market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BTC,2025-01-26T18:30:00,2025-01-27T03:30:00,157795000,157795000,157740000,157740000,1737916708624,384643635.70851,2.43770689,30
KRW-BTC,2025-01-26T18:00:00,2025-01-27T03:00:00,157690000,157795000,157630000,157795000,1737916194635,1974884085.23559,12.52078169,30
KRW-BTC,2025-01-26T17:30:00,2025-01-27T02:30:00,157730000,157737000,157644000,157733000,1737914395823,1177799096.86434,7.46902759,30
KRW-BTC,2025-01-26T17:00:00,2025-01-27T02:00:00,157600000,157737000,157505000,157730000,1737912598418,1342726893.04588,8.51615886,30
KRW-BTC,2025-01-26T16:30:00,2025-01-27T01:30:00,157555000,157668000,157550000,157600000,1737910785856,1533109911.07505,9.72700059,30
KRW-BTC,2025-01-26T16:00:00,2025-01-27T01:00:00,157646000,157650000,157500000,157554000,1737908999889,2437712654.29722,15.46920518,30
KRW-BTC,2025-01-26T15:30:00,2025-01-27T00:30:00,157660000,157748000,157535000,157646000,1737907191640,2104044506.24462,13.34521454,30
KRW-BTC,2025-01-26T15:00:00,2025-01-27T00:00:00,157773000,157787000,157500000,157659000,1737905398059,5896950457.33345,37.39973235,30
KRW-BTC,2025-01-26T14:30:00,2025-01-26T23:30:00,157516000,157777000,157498000,157700000,1737903598967,5647504668.39169,35.8308145,30
KRW-BTC,2025-01-26T14:00:00,2025-01-26T23:00:00,157479000,157527000,157347000,157516000,1737901799974,2112944811.09288,13.41834532,30
KRW-BTC,2025-01-26T13:30:00,2025-01-26T22:30:00,157499000,157527000,157347000,157479000,1737899998476,3456303270.02741,21.94760408,30
KRW-BTC,2025-01-26T13:00:00,2025-01-26T22:00:00,157347000,157560000,157207000,157499000,1737898198972,7215824110.9858,45.83363417,30
KRW-BTC,2025-01-26T12:30:00,2025-01-26T21:30:00,157341000,157400000,157248000,157347000,1737896397637,3137045259.17643,19.93930435,30
KRW-BTC,2025-01-26T12:00:00,2025-01-26T21:00:00,157187000,157416000,157030000,157341000,1737894598256,3305009016.03085,21.01695529,30
KRW-BTC,2025-01-26T11:30:00,2025-01-26T20:30:00,157191000,157192000,157034000,157187000,1737892795150,2972911902.3253,18.92278366,30
KRW-BTC,2025-01-26T11:00:00,2025-01-26T20:00:00,157250000,157424000,157192000,157192000,1737890998337,3047863647.18226,19.37437406,30
KRW-BTC,2025-01-26T10:30:00,2025-01-26T19:30:00,157218000,157250000,157011000,157250000,1737889197631,3823446002.32027,24.33260383,30
KRW-BTC,2025-01-26T10:00:00,2025-01-26T19:00:00,157255000,157281000,157120000,157218000,1737887398853,2149523545.26203,13.67195147,30
KRW-BTC,2025-01-26T09:30:00,2025-01-26T18:30:00,157228000,157269000,157027000,157255000,1737885599498,5648146283.83464,35.95049537,30
KRW-BTC,2025-01-26T09:00:00,2025-01-26T18:00:00,157350000,157350000,157199000,157210000,1737883798554,3676183216.73904,23.37677744,30
KRW-BTC,2025-01-26T08:30:00,2025-01-26T17:30:00,157321000,157435000,157266000,157350000,1737881999366,1214816800.58807,7.71941208,30
KRW-BTC,2025-01-26T08:00:00,2025-01-26T17:00:00,157269000,157449000,157227000,157321000,1737880195839,3352220416.4343,21.30346909,30
KRW-BTC,2025-01-25T17:00:00,2025-01-26T02:00:00,157097000,157295000,157000000,157183000,1737825808786,2618694294.13544,16.67030229,30
KRW-BTC,2025-01-25T16:30:00,2025-01-26T01:30:00,157201000,157285000,157097000,157097000,1737824399692,3881246455.39464,24.69871865,30
KRW-BTC,2025-01-25T16:00:00,2025-01-26T01:00:00,157315000,157501000,157150000,157202000,1737822599713,4670230688.91663,29.69514021,30
KRW-BTC,2025-01-25T15:30:00,2025-01-26T00:30:00,157556000,157655000,157212000,157272000,1737820796082,4162577501.23914,26.45282382,30
KRW-BTC,2025-01-25T15:00:00,2025-01-26T00:00:00,157217000,157683000,157198000,157555000,1737818999549,5937829556.64273,37.71105246,30
KRW-BTC,2025-01-25T14:30:00,2025-01-25T23:30:00,157332000,157400000,157200000,157217000,1737817199632,2171939738.35175,13.80980222,30
KRW-BTC,2025-01-25T14:00:00,2025-01-25T23:00:00,157396000,157410000,157250000,157332000,1737815396108,2363190405.39477,15.02458104,30
KRW-BTC,2025-01-25T13:30:00,2025-01-25T22:30:00,157344000,157412000,157240000,157396000,1737813598174,2176807577.07633,13.83602602,30
KRW-BTC,2025-01-25T13:00:00,2025-01-25T22:00:00,157315000,157496000,157313000,157344000,1737811799135,3638804179.52399,23.11837343,30
KRW-BTC,2025-01-25T12:30:00,2025-01-25T21:30:00,157125000,157315000,157114000,157313000,1737809999931,2392842443.44126,15.21988283,30
KRW-BTC,2025-01-25T12:00:00,2025-01-25T21:00:00,157337000,157359000,157125000,157126000,1737808199005,3429019269.33541,21.80906108,30
KRW-BTC,2025-01-25T11:30:00,2025-01-25T20:30:00,157344000,157417000,157118000,157337000,1737806396769,4135053652.30975,26.28702566,30
KRW-BTC,2025-01-25T11:00:00,2025-01-25T20:00:00,157433000,157570000,157054000,157252000,1737804599401,2470419406.27023,15.70097222,30
KRW-BTC,2025-01-25T10:30:00,2025-01-25T19:30:00,157174000,157600000,157171000,157434000,1737802799209,6650066966.47632,42.25006238,30
KRW-BTC,2025-01-25T10:00:00,2025-01-25T19:00:00,157138000,157242000,156941000,157174000,1737800994734,4165566102.97933,26.52320203,30
KRW-BTC,2025-01-25T09:30:00,2025-01-25T18:30:00,157135000,157150000,157071000,157138000,1737799199093,3634684985.45477,23.13317712,30
KRW-BTC,2025-01-25T09:00:00,2025-01-25T18:00:00,157073000,157258000,157010000,157136000,1737797398533,2920143891.44202,18.58312841,30
KRW-BTC,2025-01-25T08:30:00,2025-01-25T17:30:00,157059000,157147000,156990000,157073000,1737795599034,3965788198.53689,25.25347867,30
KRW-BTC,2025-01-25T08:00:00,2025-01-25T17:00:00,157185000,157250000,157059000,157059000,1737793798068,2893256098.25035,18.41103961,30
KRW-BTC,2025-01-25T07:30:00,2025-01-25T16:30:00,157210000,157301000,157099000,157184000,1737791998907,2069280965.54162,13.16268602,30
KRW-BTC,2025-01-25T07:00:00,2025-01-25T16:00:00,157135000,157380000,157076000,157210000,1737790199052,3447041625.32751,21.91816463,30
KRW-BTC,2025-01-25T06:30:00,2025-01-25T15:30:00,157170000,157178000,157052000,157135000,1737788399792,1880886588.4725,11.97060205,30
KRW-BTC,2025-01-25T06:00:00,2025-01-25T15:00:00,157055000,157170000,156974000,157150000,1737786599681,3823297813.97805,24.34329528,30
KRW-BTC,2025-01-25T05:30:00,2025-01-25T14:30:00,157328000,157444000,156973000,157000000,1737784799345,4856079070.52354,30.90245882,30
KRW-BTC,2025-01-25T05:00:00,2025-01-25T14:00:00,157348000,157375000,157146000,157334000,1737782997022,3667313513.63685,23.31624094,30
KRW-BTC,2025-01-25T04:30:00,2025-01-25T13:30:00,157547000,157549000,157347000,157361000,1737781199261,3524769749.16358,22.3847279,30
KRW-BTC,2025-01-25T04:00:00,2025-01-25T13:00:00,157798000,157832000,157500000,157549000,1737779398462,4132106992.62522,26.20236101,30
KRW-BTC,2025-01-25T03:30:00,2025-01-25T12:30:00,157194000,157808000,157193000,157798000,1737777599637,6404773266.77763,40.65227428,30
KRW-BTC,2025-01-25T03:00:00,2025-01-25T12:00:00,157129000,157285000,157000000,157193000,1737775799171,3181358699.00026,20.24757378,30
KRW-BTC,2025-01-25T02:30:00,2025-01-25T11:30:00,157174000,157286000,157000000,157122000,1737773998700,3395782166.049,21.61482807,30
KRW-BTC,2025-01-25T02:00:00,2025-01-25T11:00:00,157275000,157286000,157056000,157174000,1737772197148,3694578883.07383,23.50738881,30
KRW-BTC,2025-01-25T01:30:00,2025-01-25T10:30:00,157294000,157385000,157272000,157275000,1737770399487,4549678887.57918,28.92207677,30
KRW-BTC,2025-01-25T01:00:00,2025-01-25T10:00:00,156999000,157294000,156950000,157294000,1737768599943,5171568714.69119,32.91349595,30
KRW-BTC,2025-01-25T00:30:00,2025-01-25T09:30:00,157248000,157383000,156889000,156999000,1737766799770,8012025693.76314,50.99385462,30
KRW-BTC,2025-01-25T00:00:00,2025-01-25T09:00:00,157170000,157398000,156900000,157200000,1737764998378,9301075205.75856,59.16715127,30
KRW-BTC,2025-01-24T23:30:00,2025-01-25T08:30:00,156800000,157180000,156800000,157146000,1737763199980,5866425572.68034,37.33917949,30
KRW-BTC,2025-01-24T23:00:00,2025-01-25T08:00:00,157108000,157348000,156600000,156800000,1737761398796,12368819177.03872,78.82004132,30
KRW-BTC,2025-01-24T22:30:00,2025-01-25T07:30:00,157416000,157772000,157100000,157177000,1737759599943,5579173364.25679,35.42711414,30
KRW-BTC,2025-01-24T22:00:00,2025-01-25T07:00:00,157431000,157859000,157250000,157416000,1737757799729,5145103940.01661,32.63897081,30
KRW-BTC,2025-01-24T21:30:00,2025-01-25T06:30:00,157696000,157797000,157318000,157431000,1737755998767,3272914881.18969,20.77610235,30
KRW-BTC,2025-01-24T21:00:00,2025-01-25T06:00:00,156947000,157800000,156904000,157701000,1737754197471,5515248940.62849,35.04758932,30
