market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-1INCH,2025-01-27T13:30:00,2025-01-27T22:30:00,457.3,459.1,457.3,459.1,1737984819926,2787093.57620771,6088.98713846,30
KRW-1INCH,2025-01-27T13:00:00,2025-01-27T22:00:00,457.7,461.2,455,457.8,1737984489020,39802140.7615325,86966.32061633,30
KRW-1INCH,2025-01-27T12:30:00,2025-01-27T21:30:00,447.9,459.6,447.9,456.8,1737982790205,31006384.4627853,68123.58358065,30
KRW-1INCH,2025-01-27T12:00:00,2025-01-27T21:00:00,447.5,450.7,446.6,448.1,1737980998155,10658359.59551439,23779.86433155,30
KRW-1INCH,2025-01-27T11:30:00,2025-01-27T20:30:00,449.4,450.5,447.2,447.2,1737979198970,6576612.91300681,14634.95924858,30
KRW-1INCH,2025-01-27T11:00:00,2025-01-27T20:00:00,445.4,449.5,445.2,449.4,1737977354885,134925959.82729328,301725.75570058,30
KRW-1INCH,2025-01-27T10:30:00,2025-01-27T19:30:00,450,450,443,445.4,1737975575817,33581089.04346338,75256.76448915,30
KRW-1INCH,2025-01-27T10:00:00,2025-01-27T19:00:00,453.4,453.4,449.7,451.1,1737973798864,24927952.03452275,55258.01083929,30
KRW-1INCH,2025-01-27T09:30:00,2025-01-27T18:30:00,450.1,452.7,450.1,452.4,1737971506994,20657279.61522174,45785.6162258,30
KRW-1INCH,2025-01-27T09:00:00,2025-01-27T18:00:00,448.5,454.4,447.8,450.1,1737970196028,15509293.11045515,34399.22111211,30
KRW-1INCH,2025-01-27T08:30:00,2025-01-27T17:30:00,451.9,451.9,444.7,448.3,1737968388231,71920605.2283771,160669.18616035,30
KRW-1INCH,2025-01-27T08:00:00,2025-01-27T17:00:00,452.7,453.9,449.3,451.9,1737966536561,52007081.67771524,115361.28014626,30
KRW-1INCH,2025-01-27T07:30:00,2025-01-27T16:30:00,443,454.8,443,452.6,1737964734395,86026421.03306675,191118.28145412,30
KRW-1INCH,2025-01-27T07:00:00,2025-01-27T16:00:00,453.9,455.2,443,443,1737962999248,197936616.48069668,441230.97413159,30
KRW-1INCH,2025-01-27T06:30:00,2025-01-27T15:30:00,457.1,457.1,452.4,455,1737961186131,130941897.81503619,288131.91126565,30
KRW-1INCH,2025-01-27T06:00:00,2025-01-27T15:00:00,459.2,460.1,456.3,457.2,1737959351172,82712500.26259647,180416.13467582,30
KRW-1INCH,2025-01-27T05:30:00,2025-01-27T14:30:00,459.6,460.4,456.7,459.2,1737957511856,107883185.10700563,235290.61076498,30
KRW-1INCH,2025-01-27T05:00:00,2025-01-27T14:00:00,460.7,462,459.6,460.7,1737955768679,23284383.44986267,50558.98804096,30
KRW-1INCH,2025-01-27T04:30:00,2025-01-27T13:30:00,461.4,463.2,460.5,460.7,1737953975222,20867159.51522301,45219.43499109,30
KRW-1INCH,2025-01-27T04:00:00,2025-01-27T13:00:00,464.2,464.2,461.5,461.8,1737952109989,18736232.1222513,40502.21323462,30
KRW-1INCH,2025-01-27T03:30:00,2025-01-27T12:30:00,466.2,466.2,463.4,464.9,1737950288949,10557621.32925444,22752.47164446,30
KRW-1INCH,2025-01-27T03:00:00,2025-01-27T12:00:00,461.1,466.7,460,464.7,1737948525868,33590374.92429942,72512.25287338,30
KRW-1INCH,2025-01-27T02:30:00,2025-01-27T11:30:00,463,464.5,460.3,461,1737946761699,25827645.93886359,55940.99274699,30
KRW-1INCH,2025-01-27T02:00:00,2025-01-27T11:00:00,465.2,466.7,460,464.5,1737944968321,88033492.52844267,190148.66913944,30
KRW-1INCH,2025-01-27T01:30:00,2025-01-27T10:30:00,465.4,468.4,464.1,465.5,1737943097408,39382473.13513735,84558.98290096,30
KRW-1INCH,2025-01-27T01:00:00,2025-01-27T10:00:00,467.9,468.4,461.7,465.4,1737941391647,149395097.48212475,320768.48258998,30
KRW-1INCH,2025-01-27T00:30:00,2025-01-27T09:30:00,473.5,474.5,466.8,467.9,1737939591263,183972664.21868926,391848.22428587,30
KRW-1INCH,2025-01-27T00:00:00,2025-01-27T09:00:00,474.9,478,470.3,473.6,1737937786521,102231064.93315095,216198.87389538,30
KRW-1INCH,2025-01-26T23:30:00,2025-01-27T08:30:00,475,476.8,473.5,475,1737935949149,23028643.19229958,48527.61923822,30
KRW-1INCH,2025-01-26T23:00:00,2025-01-27T08:00:00,479.7,480.3,474.1,477.3,1737934161761,81542374.783285,171148.03275304,30
KRW-1INCH,2025-01-26T22:30:00,2025-01-27T07:30:00,481.3,482.3,479.3,480.1,1737932346309,15893067.1667321,33084.59309902,30
KRW-1INCH,2025-01-26T22:00:00,2025-01-27T07:00:00,479.3,481.3,476.6,481.3,1737930577771,37991222.60347734,79444.90704496,30
KRW-1INCH,2025-01-26T21:30:00,2025-01-27T06:30:00,481.6,481.6,479.3,479.9,1737928726771,33179311.38181035,69080.82433362,30
KRW-1INCH,2025-01-26T21:00:00,2025-01-27T06:00:00,482.4,482.4,480.9,481.7,1737926970358,21373779.68517807,44395.30843221,30
KRW-1INCH,2025-01-26T20:30:00,2025-01-27T05:30:00,485,485,482.6,482.6,1737925131870,7843520.35247458,16220.83116362,30
KRW-1INCH,2025-01-26T20:00:00,2025-01-27T05:00:00,485.7,486,485.1,485.5,1737923392851,1709116.80548672,3517.97418989,30
KRW-1INCH,2025-01-26T19:30:00,2025-01-27T04:30:00,487,488.2,485.7,485.7,1737921563084,16530516.86002426,33965.49727997,30
KRW-1INCH,2025-01-26T19:00:00,2025-01-27T04:00:00,488.4,488.4,487.1,487.7,1737919579647,10337211.41943325,21199.84851287,30
KRW-1INCH,2025-01-26T18:30:00,2025-01-27T03:30:00,488.7,489.2,488.1,488.3,1737917887334,18215635.03736724,37269.59484099,30
KRW-1INCH,2025-01-26T18:00:00,2025-01-27T03:00:00,486.7,488.7,485.9,488.7,1737916097390,39909306.38460456,81840.28981054,30
KRW-1INCH,2025-01-26T17:30:00,2025-01-27T02:30:00,485.8,489.1,484.2,488.7,1737914319311,46033768.33602617,94427.61594485,30
KRW-1INCH,2025-01-26T17:00:00,2025-01-27T02:00:00,486.6,488,485.5,485.5,1737912593359,17210016.90874705,35378.75925952,30
KRW-1INCH,2025-01-26T16:30:00,2025-01-27T01:30:00,484.4,486.8,483.7,486.8,1737910769095,34327733.8475339,70628.70150201,30
KRW-1INCH,2025-01-26T16:00:00,2025-01-27T01:00:00,485.3,485.6,482,483.7,1737908910465,32745895.02875368,67711.44470691,30
KRW-1INCH,2025-01-26T15:30:00,2025-01-27T00:30:00,484.5,486.8,484.5,484.5,1737907132603,46170368.06774134,95067.90956582,30
KRW-1INCH,2025-01-26T15:00:00,2025-01-27T00:00:00,483.8,485.5,483.3,484.8,1737905391328,40438576.81631455,83523.29487782,30
KRW-1INCH,2025-01-26T14:30:00,2025-01-26T23:30:00,484.2,484.9,482,483.3,1737903585140,52430510.11993101,108480.01566032,30
KRW-1INCH,2025-01-26T14:00:00,2025-01-26T23:00:00,484.3,484.7,481,481.3,1737901774492,66067420.93827965,137057.63781246,30
KRW-1INCH,2025-01-26T13:30:00,2025-01-26T22:30:00,484.6,486,482.7,484.4,1737899972593,82066951.74005397,169567.62906638,30
KRW-1INCH,2025-01-26T13:00:00,2025-01-26T22:00:00,485.3,497.5,482.9,486.6,1737898196903,1181707678.783138,2415985.79360548,30
KRW-1INCH,2025-01-26T12:30:00,2025-01-26T21:30:00,482.6,485.5,482.2,485.5,1737896373046,24311254.49575926,50284.09190812,30
KRW-1INCH,2025-01-26T12:00:00,2025-01-26T21:00:00,485,485,481.6,483.6,1737894530983,38388727.95383702,79345.47808415,30
KRW-1INCH,2025-01-26T11:30:00,2025-01-26T20:30:00,484.2,486.7,483.3,484.9,1737892779491,56224946.63999183,115989.85341979,30
KRW-1INCH,2025-01-26T11:00:00,2025-01-26T20:00:00,482.3,485.5,482.3,485.2,1737890877018,117784636.60837898,243205.94420983,30
KRW-1INCH,2025-01-26T10:30:00,2025-01-26T19:30:00,479.7,482.3,478.9,482.3,1737889196539,40550184.28117037,84373.89511211,30
KRW-1INCH,2025-01-26T10:00:00,2025-01-26T19:00:00,477.2,480,477,478.7,1737887355897,21268359.1229441,44537.55345717,30
KRW-1INCH,2025-01-26T09:30:00,2025-01-26T18:30:00,478.6,478.8,477.2,477.2,1737885564197,13071525.22016024,27348.68308443,30
KRW-1INCH,2025-01-26T09:00:00,2025-01-26T18:00:00,480,480.1,478.3,479.2,1737883762834,10932808.50132266,22819.96875776,30
KRW-1INCH,2025-01-26T08:30:00,2025-01-26T17:30:00,480.7,480.7,478.2,479.2,1737881961591,30637393.28303572,63903.02996139,30
KRW-1INCH,2025-01-26T08:00:00,2025-01-26T17:00:00,480,482.2,480,480.8,1737880170683,26265659.64397835,54597.30707251,30
KRW-1INCH,2025-01-26T07:30:00,2025-01-26T16:30:00,480.5,480.8,479,480.2,1737878347358,38172213.22172521,79622.17337406,30
KRW-1INCH,2025-01-26T07:00:00,2025-01-26T16:00:00,480,481.9,480,480.5,1737876580472,51291323.80534093,106624.18973882,30
KRW-1INCH,2025-01-26T06:30:00,2025-01-26T15:30:00,479.5,481.3,479.1,479.9,1737874790814,50118439.26658946,104450.97097073,30
KRW-1INCH,2025-01-26T06:00:00,2025-01-26T15:00:00,480.5,481.8,479,479,1737872885130,40296975.47000515,83946.02502703,30
KRW-1INCH,2025-01-26T05:30:00,2025-01-26T14:30:00,478.2,481.9,477.7,480.5,1737871198193,41806587.27163014,87177.97491884,30
KRW-1INCH,2025-01-26T05:00:00,2025-01-26T14:00:00,478.8,480.1,476.3,478.8,1737869387289,79011464.6923001,165058.97768511,30
KRW-1INCH,2025-01-26T04:30:00,2025-01-26T13:30:00,479.5,479.9,477.3,478.8,1737867541869,37420120.23271882,78093.72170464,30
KRW-1INCH,2025-01-26T04:00:00,2025-01-26T13:00:00,475.8,479.4,474.9,479.4,1737865794675,141199463.14500362,295692.50683414,30
KRW-1INCH,2025-01-26T03:30:00,2025-01-26T12:30:00,473.9,475.8,473.1,475.8,1737863978149,50968718.75822716,107330.78879155,30
KRW-1INCH,2025-01-26T03:00:00,2025-01-26T12:00:00,472.4,473.8,472.4,473.1,1737862138948,11995267.94428066,25348.73645022,30
KRW-1INCH,2025-01-26T02:30:00,2025-01-26T11:30:00,471.8,473,470.2,471.6,1737860330390,47418625.35271848,100573.30569662,30
KRW-1INCH,2025-01-26T02:00:00,2025-01-26T11:00:00,472.5,472.6,470,471.8,1737858427313,31008867.41970556,65781.29480176,30
KRW-1INCH,2025-01-26T01:30:00,2025-01-26T10:30:00,473,473.8,472.4,472.8,1737856774135,8063548.18414433,17051.17494319,30
KRW-1INCH,2025-01-26T01:00:00,2025-01-26T10:00:00,471.3,473,468.9,472.8,1737854983709,57025639.38650571,120963.59014818,30
KRW-1INCH,2025-01-26T00:30:00,2025-01-26T09:30:00,472.5,472.8,470.7,471.6,1737853143580,24266804.65326261,51411.82025742,30
KRW-1INCH,2025-01-26T00:00:00,2025-01-26T09:00:00,469.7,472.8,466.7,472.8,1737851284318,89338136.1481996,190322.81567471,30
KRW-1INCH,2025-01-25T23:30:00,2025-01-26T08:30:00,470.2,471.3,468.1,469.7,1737849595469,75055217.29362002,159732.85394631,30
KRW-1INCH,2025-01-25T23:00:00,2025-01-26T08:00:00,470.2,471.2,468.7,471.2,1737847761558,7801198.00794929,16612.09653801,30
KRW-1INCH,2025-01-25T22:30:00,2025-01-26T07:30:00,472.5,472.5,469.8,471.3,1737845985070,1031481.66517453,2190.97773753,30
KRW-1INCH,2025-01-25T22:00:00,2025-01-26T07:00:00,470,472.1,470,472.1,1737843904261,7109290.51749316,15062.02594598,30
KRW-1INCH,2025-01-25T21:30:00,2025-01-26T06:30:00,468.5,470,468.5,470,1737842336457,1428715.0006951,3047.61268355,30
KRW-1INCH,2025-01-25T21:00:00,2025-01-26T06:00:00,470,470,468.7,469.3,1737840331183,1934396.49158192,4124.03464589,30
KRW-1INCH,2025-01-25T20:30:00,2025-01-26T05:30:00,471.6,472,471,471,1737838635419,2135214.33994122,4526.07872724,30
KRW-1INCH,2025-01-25T20:00:00,2025-01-26T05:00:00,469.2,471.6,468.6,471.6,1737836920821,16381396.76656584,34760.06176624,30
KRW-1INCH,2025-01-25T19:30:00,2025-01-26T04:30:00,471.4,471.4,469,469.6,1737835110963,8171465.3128074,17400.70383216,30
KRW-1INCH,2025-01-25T19:00:00,2025-01-26T04:00:00,471.6,471.6,469.5,471.6,1737833064784,4037936.86722918,8562.99263389,30
KRW-1INCH,2025-01-25T18:30:00,2025-01-26T03:30:00,469.8,470.8,469.3,470.8,1737831557497,5043733.51349834,10730.07962077,30
KRW-1INCH,2025-01-25T18:00:00,2025-01-26T03:00:00,468.9,470,468.7,469.9,1737829694049,353467.10186613,753.43916925,30
KRW-1INCH,2025-01-25T17:30:00,2025-01-26T02:30:00,468.1,470,468.1,469.6,1737827704231,8733016.10270308,18621.88552907,30
KRW-1INCH,2025-01-25T17:00:00,2025-01-26T02:00:00,469,469,467.1,468.5,1737826015417,974957.57793646,2081.31806798,30
KRW-1INCH,2025-01-25T16:30:00,2025-01-26T01:30:00,467.8,468.2,466,467,1737824390877,14795169.4045613,31704.17550144,30
KRW-1INCH,2025-01-25T16:00:00,2025-01-26T01:00:00,468.4,469,467,468.1,1737822470376,22362897.09794292,47732.28955817,30
KRW-1INCH,2025-01-25T15:30:00,2025-01-26T00:30:00,471.7,471.7,466.8,468.8,1737820718825,17467831.86975356,37204.91330809,30
KRW-1INCH,2025-01-25T15:00:00,2025-01-26T00:00:00,469,471.5,468.8,470.4,1737818887000,27919410.67032106,59373.03394545,30
KRW-1INCH,2025-01-25T14:30:00,2025-01-25T23:30:00,464.9,469,464.9,469,1737817154762,32646080.69187984,69971.3927695,30
KRW-1INCH,2025-01-25T14:00:00,2025-01-25T23:00:00,463.7,465.3,462.5,464.9,1737815374282,66944419.43323644,144247.46830115,30
KRW-1INCH,2025-01-25T13:30:00,2025-01-25T22:30:00,465.4,465.7,463.6,465.2,1737813592123,66220048.2576768,142635.27949734,30
KRW-1INCH,2025-01-25T13:00:00,2025-01-25T22:00:00,463,465.4,463,465,1737811635345,34133194.48929537,73572.69209515,30
KRW-1INCH,2025-01-25T12:30:00,2025-01-25T21:30:00,461.3,462.8,460,462.8,1737809992924,37342956.65907336,81033.43754645,30
KRW-1INCH,2025-01-25T12:00:00,2025-01-25T21:00:00,463,463.5,461.3,462.2,1737808097399,31890379.10857241,68903.45760378,30
KRW-1INCH,2025-01-25T11:30:00,2025-01-25T20:30:00,462.7,463.5,461.3,463,1737806379112,10388480.55629922,22450.48830108,30
KRW-1INCH,2025-01-25T11:00:00,2025-01-25T20:00:00,462.7,462.7,460.8,460.8,1737804379837,3163248.63760256,6849.17413254,30
KRW-1INCH,2025-01-25T10:30:00,2025-01-25T19:30:00,459.9,462.7,459.4,462.7,1737802583713,12940576.02760882,28053.56470448,30
KRW-1INCH,2025-01-25T10:00:00,2025-01-25T19:00:00,461.6,461.8,460,460.4,1737800954880,28111760.57307581,60976.06670313,30
KRW-1INCH,2025-01-25T09:30:00,2025-01-25T18:30:00,462,462.8,461.8,462.5,1737798987177,23809937.44756959,51538.00001289,30
KRW-1INCH,2025-01-25T09:00:00,2025-01-25T18:00:00,463,463.1,461.3,462.3,1737797371435,30983013.67168219,67020.27616078,30
