market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AAVE,2025-01-27T13:30:00,2025-01-27T22:30:00,461050,462350,459750,462350,1737984821326,39852074.754825,86.48509863,30
KRW-AAVE,2025-01-27T13:00:00,2025-01-27T22:00:00,461600,468000,459300,460400,1737984595059,906007579.3709675,1954.78771087,30
KRW-AAVE,2025-01-27T12:30:00,2025-01-27T21:30:00,453100,466900,451750,461600,1737982793439,937056193.893294,2034.72070359,30
KRW-AAVE,2025-01-27T12:00:00,2025-01-27T21:00:00,452050,454350,451150,452250,1737980999214,226768032.622328,501.27442525,30
KRW-AAVE,2025-01-27T11:30:00,2025-01-27T20:30:00,454200,455650,451600,452050,1737979175126,355166470.1273635,783.37040418,30
KRW-AAVE,2025-01-27T11:00:00,2025-01-27T20:00:00,448250,454700,448200,454250,1737977377655,420357779.4506105,930.57222943,30
KRW-AAVE,2025-01-27T10:30:00,2025-01-27T19:30:00,452650,453200,447700,448250,1737975586689,575785045.7579575,1280.04099154,30
KRW-AAVE,2025-01-27T10:00:00,2025-01-27T19:00:00,456000,456600,452500,452600,1737973798161,251521899.476462,554.14995808,30
KRW-AAVE,2025-01-27T09:30:00,2025-01-27T18:30:00,451950,457200,451600,455950,1737971981377,335273276.0612035,737.34574294,30
KRW-AAVE,2025-01-27T09:00:00,2025-01-27T18:00:00,452850,457500,451500,451900,1737970199402,1034792957.052152,2279.31412127,30
KRW-AAVE,2025-01-27T08:30:00,2025-01-27T17:30:00,458150,458200,451600,452850,1737968399250,513863364.879368,1132.20119408,30
KRW-AAVE,2025-01-27T08:00:00,2025-01-27T17:00:00,459900,460400,455650,458200,1737966594811,457960253.878466,1000.12342265,30
KRW-AAVE,2025-01-27T07:30:00,2025-01-27T16:30:00,449900,461850,447450,459100,1737964784065,933946465.293548,2045.16526032,30
KRW-AAVE,2025-01-27T07:00:00,2025-01-27T16:00:00,456800,458650,447300,447300,1737962998290,1450957556.497513,3202.54143858,30
KRW-AAVE,2025-01-27T06:30:00,2025-01-27T15:30:00,458950,461050,456200,457500,1737961197901,947268205.9733975,2068.9229328,30
KRW-AAVE,2025-01-27T06:00:00,2025-01-27T15:00:00,460400,463900,458450,458600,1737959398681,794336889.1057265,1724.43248532,30
KRW-AAVE,2025-01-27T05:30:00,2025-01-27T14:30:00,461650,461650,457950,460400,1737957597188,673969307.8683125,1466.98615631,30
KRW-AAVE,2025-01-27T05:00:00,2025-01-27T14:00:00,461000,463150,460300,461550,1737955793227,308825995.2673145,669.45159145,30
KRW-AAVE,2025-01-27T04:30:00,2025-01-27T13:30:00,463850,463850,460000,461000,1737953992982,589238035.416245,1277.26338924,30
KRW-AAVE,2025-01-27T04:00:00,2025-01-27T13:00:00,466100,466100,461300,463850,1737952198857,292776163.8954355,631.68734839,30
KRW-AAVE,2025-01-27T03:30:00,2025-01-27T12:30:00,466950,467350,464150,466100,1737950381767,355507377.772962,764.22466487,30
KRW-AAVE,2025-01-27T03:00:00,2025-01-27T12:00:00,461400,469250,460300,467100,1737948584384,743043793.547462,1597.57091691,30
KRW-AAVE,2025-01-27T02:30:00,2025-01-27T11:30:00,464850,465300,461000,461400,1737946795362,746392501.265279,1611.46846718,30
KRW-AAVE,2025-01-27T02:00:00,2025-01-27T11:00:00,467550,468250,463600,464500,1737944999010,1287910182.494637,2766.65591951,30
KRW-AAVE,2025-01-27T01:30:00,2025-01-27T10:30:00,470500,471900,467400,467550,1737943196048,914424429.401799,1945.23895657,30
KRW-AAVE,2025-01-27T01:00:00,2025-01-27T10:00:00,474550,474600,467250,470500,1737941395662,1948204953.9345806,4139.97489987,30
KRW-AAVE,2025-01-27T00:30:00,2025-01-27T09:30:00,483900,483900,473450,473600,1737939599501,1471873748.6149435,3076.06507549,30
KRW-AAVE,2025-01-27T00:00:00,2025-01-27T09:00:00,482250,487050,477400,482900,1737937797911,1394954332.3813155,2889.62686141,30
KRW-AAVE,2025-01-26T23:30:00,2025-01-27T08:30:00,485400,485400,481150,482100,1737935985308,764940337.4805315,1585.73161817,30
KRW-AAVE,2025-01-26T23:00:00,2025-01-27T08:00:00,490850,490850,482200,485400,1737934198509,709131516.4457415,1462.79778538,30
KRW-AAVE,2025-01-26T22:30:00,2025-01-27T07:30:00,490000,493550,489300,490750,1737932366585,205604055.417868,418.39010644,30
KRW-AAVE,2025-01-26T22:00:00,2025-01-27T07:00:00,489600,490800,486350,490000,1737930540973,365924620.4292195,749.70598042,30
KRW-AAVE,2025-01-26T21:30:00,2025-01-27T06:30:00,491800,492800,489800,489800,1737928798837,118860881.5223325,242.32561482,30
KRW-AAVE,2025-01-26T21:00:00,2025-01-27T06:00:00,494100,494800,490700,491350,1737926964812,314885062.763402,640.53995599,30
KRW-AAVE,2025-01-26T20:30:00,2025-01-27T05:30:00,500200,500200,492000,493600,1737925197035,139446114.897098,281.15164657,30
KRW-AAVE,2025-01-26T20:00:00,2025-01-27T05:00:00,500400,500800,498000,500200,1737923245535,132361179.364968,264.63073412,30
KRW-AAVE,2025-01-26T19:30:00,2025-01-27T04:30:00,499800,500600,498350,500400,1737921380396,280779404.291478,561.59562618,30
KRW-AAVE,2025-01-26T19:00:00,2025-01-27T04:00:00,499700,500700,499100,499800,1737919712646,89845748.5822505,179.74386188,30
KRW-AAVE,2025-01-26T18:30:00,2025-01-27T03:30:00,500900,500900,498800,499250,1737917928049,86917597.467851,174.01548076,30
KRW-AAVE,2025-01-26T18:00:00,2025-01-27T03:00:00,498650,500900,497400,500900,1737916110096,262604810.0788715,525.83750194,30
KRW-AAVE,2025-01-26T17:30:00,2025-01-27T02:30:00,496100,499950,494000,498650,1737914389701,287477444.203056,578.10121454,30
KRW-AAVE,2025-01-26T17:00:00,2025-01-27T02:00:00,496600,497350,494700,496100,1737912552126,60165040.5370935,121.25407629,30
KRW-AAVE,2025-01-26T16:30:00,2025-01-27T01:30:00,496250,497300,495100,496650,1737910785545,155811287.652237,314.12222633,30
