market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ADA,2025-01-27T13:30:00,2025-01-27T22:30:00,1403,1409,1399,1409,1737984812968,244375730.46221828,174112.60149695,30
KRW-ADA,2025-01-27T13:00:00,2025-01-27T22:00:00,1399,1416,1390,1401,1737984595215,2272967989.3297644,1618843.27240227,30
KRW-ADA,2025-01-27T12:30:00,2025-01-27T21:30:00,1363,1411,1360,1398,1737982798945,2230860462.355096,1606960.69395364,30
KRW-ADA,2025-01-27T12:00:00,2025-01-27T21:00:00,1357,1367,1355,1362,1737980996088,851275493.7120962,625428.75239766,30
KRW-ADA,2025-01-27T11:30:00,2025-01-27T20:30:00,1363,1367,1356,1356,1737979192348,525108348.57426333,385969.16074628,30
KRW-ADA,2025-01-27T11:00:00,2025-01-27T20:00:00,1348,1365,1345,1364,1737977397381,782034730.5841893,576902.28885628,30
KRW-ADA,2025-01-27T10:30:00,2025-01-27T19:30:00,1363,1365,1344,1348,1737975599843,1073624361.8068117,794070.66853231,30
KRW-ADA,2025-01-27T10:00:00,2025-01-27T19:00:00,1370,1371,1360,1366,1737973778687,675782513.8114613,494957.50665348,30
KRW-ADA,2025-01-27T09:30:00,2025-01-27T18:30:00,1355,1372,1355,1371,1737971999977,526517495.76337904,386223.81353277,30
KRW-ADA,2025-01-27T09:00:00,2025-01-27T18:00:00,1357,1373,1350,1356,1737970199919,807294732.1372612,592186.37087352,30
KRW-ADA,2025-01-27T08:30:00,2025-01-27T17:30:00,1362,1362,1341,1357,1737968399831,1938858894.5174937,1437742.94370746,30
KRW-ADA,2025-01-27T08:00:00,2025-01-27T17:00:00,1374,1374,1355,1362,1737966598815,1556121577.874781,1143147.31967773,30
KRW-ADA,2025-01-27T07:30:00,2025-01-27T16:30:00,1341,1378,1339,1374,1737964793498,4520883238.540741,3308571.3160371,30
KRW-ADA,2025-01-27T07:00:00,2025-01-27T16:00:00,1378,1383,1340,1340,1737962999769,4826267873.329857,3544956.29722074,30
KRW-ADA,2025-01-27T06:30:00,2025-01-27T15:30:00,1388,1388,1369,1379,1737961197147,2965357806.7089043,2153555.81113682,30
KRW-ADA,2025-01-27T06:00:00,2025-01-27T15:00:00,1395,1400,1385,1388,1737959395296,1022114167.5555352,734814.38528832,30
KRW-ADA,2025-01-27T05:30:00,2025-01-27T14:30:00,1396,1396,1382,1394,1737957594587,1998188162.7067688,1439253.94901272,30
KRW-ADA,2025-01-27T05:00:00,2025-01-27T14:00:00,1398,1401,1392,1396,1737955797462,949777743.1682109,680554.72139786,30
KRW-ADA,2025-01-27T04:30:00,2025-01-27T13:30:00,1404,1405,1396,1398,1737953997085,1020736153.3194406,729059.09520598,30
KRW-ADA,2025-01-27T04:00:00,2025-01-27T13:00:00,1415,1415,1399,1402,1737952196164,1041704575.7576822,742005.32903314,30
KRW-ADA,2025-01-27T03:30:00,2025-01-27T12:30:00,1420,1421,1411,1415,1737950396418,445561273.2573948,314920.26626043,30
KRW-ADA,2025-01-27T03:00:00,2025-01-27T12:00:00,1401,1423,1397,1421,1737948599400,1139109016.5099573,808175.1248352,30
KRW-ADA,2025-01-27T02:30:00,2025-01-27T11:30:00,1408,1409,1398,1400,1737946792179,2446296191.65603,1745559.53761175,30
KRW-ADA,2025-01-27T02:00:00,2025-01-27T11:00:00,1414,1416,1401,1407,1737944997406,1873843647.948607,1330185.86768397,30
KRW-ADA,2025-01-27T01:30:00,2025-01-27T10:30:00,1415,1425,1410,1415,1737943198090,1509903099.9180088,1066010.54943255,30
KRW-ADA,2025-01-27T01:00:00,2025-01-27T10:00:00,1431,1435,1408,1415,1737941396840,3920280467.3753867,2759603.13423158,30
KRW-ADA,2025-01-27T00:30:00,2025-01-27T09:30:00,1444,1445,1429,1431,1737939599523,2720318951.538225,1892865.54830208,30
KRW-ADA,2025-01-27T00:00:00,2025-01-27T09:00:00,1452,1460,1438,1444,1737937789730,3210809346.7104273,2218811.37190547,30
KRW-ADA,2025-01-26T23:30:00,2025-01-27T08:30:00,1458,1458,1450,1452,1737935985772,1170697477.940897,805926.2551976,30
KRW-ADA,2025-01-26T23:00:00,2025-01-27T08:00:00,1468,1469,1451,1460,1737934194710,2070044137.4819016,1417722.62098605,30
KRW-ADA,2025-01-26T22:30:00,2025-01-27T07:30:00,1472,1482,1468,1469,1737932399950,535820544.66238225,363395.44713672,30
KRW-ADA,2025-01-26T22:00:00,2025-01-27T07:00:00,1480,1481,1468,1471,1737930594275,637923471.485079,432799.48772859,30
KRW-ADA,2025-01-26T21:30:00,2025-01-27T06:30:00,1487,1488,1480,1481,1737928798307,187236425.42682943,126194.2777651,30
KRW-ADA,2025-01-26T21:00:00,2025-01-27T06:00:00,1486,1490,1481,1488,1737926955205,236336893.83635002,159225.77611607,30
KRW-ADA,2025-01-26T20:30:00,2025-01-27T05:30:00,1493,1494,1485,1486,1737925121450,285971846.82783,192005.39680431,30
KRW-ADA,2025-01-26T20:00:00,2025-01-27T05:00:00,1496,1498,1492,1494,1737923387829,132273448.79288392,88522.73427323,30
KRW-ADA,2025-01-26T19:30:00,2025-01-27T04:30:00,1492,1498,1492,1496,1737921584798,94542137.29601337,63202.28445936,30
KRW-ADA,2025-01-26T19:00:00,2025-01-27T04:00:00,1491,1495,1489,1493,1737919739320,80761817.74775451,54130.01694438,30
KRW-ADA,2025-01-26T18:30:00,2025-01-27T03:30:00,1499,1499,1492,1492,1737917969789,307003572.4424397,205216.0101592,30
KRW-ADA,2025-01-26T18:00:00,2025-01-27T03:00:00,1494,1499,1490,1498,1737916178570,388734829.91599137,259752.64651561,30
KRW-ADA,2025-01-26T17:30:00,2025-01-27T02:30:00,1488,1496,1488,1494,1737914371320,302323472.8191017,202507.87039419,30
KRW-ADA,2025-01-26T17:00:00,2025-01-27T02:00:00,1490,1493,1489,1489,1737912596464,154190099.08979848,103403.21570202,30
KRW-ADA,2025-01-26T16:30:00,2025-01-27T01:30:00,1488,1492,1486,1492,1737910741564,232411394.99423575,156025.00431459,30
KRW-ADA,2025-01-26T16:00:00,2025-01-27T01:00:00,1489,1492,1485,1488,1737908991653,238117127.58463117,160075.2553049,30
KRW-ADA,2025-01-26T15:30:00,2025-01-27T00:30:00,1487,1492,1487,1489,1737907188974,444690534.4103418,298404.98108182,30
KRW-ADA,2025-01-26T15:00:00,2025-01-27T00:00:00,1488,1490,1487,1488,1737905397780,192673216.66485882,129416.10645116,30
KRW-ADA,2025-01-26T14:30:00,2025-01-26T23:30:00,1486,1491,1486,1489,1737903557366,471263693.63149554,316673.96811712,30
KRW-ADA,2025-01-26T14:00:00,2025-01-26T23:00:00,1486,1487,1482,1486,1737901793074,515143269.0429965,346959.32708164,30
KRW-ADA,2025-01-26T13:30:00,2025-01-26T22:30:00,1490,1490,1484,1487,1737899912415,271505430.5684373,182718.0140344,30
KRW-ADA,2025-01-26T13:00:00,2025-01-26T22:00:00,1486,1493,1485,1489,1737898193578,1075824582.0670033,722288.10235882,30
KRW-ADA,2025-01-26T12:30:00,2025-01-26T21:30:00,1483,1487,1482,1487,1737896399510,309009384.11208236,208264.44062992,30
KRW-ADA,2025-01-26T12:00:00,2025-01-26T21:00:00,1480,1484,1477,1483,1737894593793,252799103.20606923,170773.31334813,30
KRW-ADA,2025-01-26T11:30:00,2025-01-26T20:30:00,1483,1483,1479,1482,1737892787842,147909125.68550986,99859.65394233,30
KRW-ADA,2025-01-26T11:00:00,2025-01-26T20:00:00,1482,1485,1480,1483,1737890989729,207557349.6551296,140022.95119837,30
KRW-ADA,2025-01-26T10:30:00,2025-01-26T19:30:00,1477,1483,1474,1483,1737889197424,220884802.62197164,149515.40032165,30
