market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AERGO,2025-01-27T13:30:00,2025-01-27T22:30:00,162.6,162.9,162.5,162.9,1737984811814,10763324.94393359,66146.87310762,30
KRW-AERGO,2025-01-27T13:00:00,2025-01-27T22:00:00,162.4,162.8,160.9,162.5,1737984593309,362071940.28915817,2245302.21703097,30
KRW-AERGO,2025-01-27T12:30:00,2025-01-27T21:30:00,158.3,163.3,158.3,162.4,1737982757103,55368434.69357781,343695.86773118,30
KRW-AERGO,2025-01-27T12:00:00,2025-01-27T21:00:00,159,159.7,158,158,1737980998976,19565784.40106417,123129.55658868,30
KRW-AERGO,2025-01-27T11:30:00,2025-01-27T20:30:00,159.8,160.3,159,159,1737979131988,6142030.78543757,38403.70451821,30
KRW-AERGO,2025-01-27T11:00:00,2025-01-27T20:00:00,157.7,160.1,157.7,159.7,1737977283181,29608375.2723406,185797.31368207,30
KRW-AERGO,2025-01-27T10:30:00,2025-01-27T19:30:00,158.5,158.7,157.5,157.7,1737975481305,52847344.43946663,333853.08159157,30
KRW-AERGO,2025-01-27T10:00:00,2025-01-27T19:00:00,158.8,158.9,158,158.7,1737973788046,82495714.324196,520014.75419167,30
KRW-AERGO,2025-01-27T09:30:00,2025-01-27T18:30:00,157.1,158.9,157.1,158.8,1737971993292,31964091.99557045,202497.81171911,30
KRW-AERGO,2025-01-27T09:00:00,2025-01-27T18:00:00,157.3,159.2,156.8,157.2,1737970178123,99405043.68456177,629049.19695924,30
KRW-AERGO,2025-01-27T08:30:00,2025-01-27T17:30:00,158.1,158.1,156.1,157.5,1737968398847,167826513.85115072,1070419.72055025,30
KRW-AERGO,2025-01-27T08:00:00,2025-01-27T17:00:00,160.3,160.3,157.7,158.2,1737966597912,107535652.26807344,677790.13848513,30
KRW-AERGO,2025-01-27T07:30:00,2025-01-27T16:30:00,158.7,161.2,157.5,160.3,1737964777211,384736029.2215335,2419039.56014839,30
KRW-AERGO,2025-01-27T07:00:00,2025-01-27T16:00:00,162.1,162.8,157.7,158.6,1737962996175,212172640.7867769,1323301.79016798,30
KRW-AERGO,2025-01-27T06:30:00,2025-01-27T15:30:00,163.6,164,161.4,162,1737961193337,170679478.25110346,1049581.78301627,30
KRW-AERGO,2025-01-27T06:00:00,2025-01-27T15:00:00,164.1,164.4,163.4,163.6,1737959395012,43214158.66842008,263870.77403503,30
KRW-AERGO,2025-01-27T05:30:00,2025-01-27T14:30:00,165,165,163,164.2,1737957598957,78057538.30583102,476345.57709721,30
KRW-AERGO,2025-01-27T05:00:00,2025-01-27T14:00:00,164.8,165.1,163.8,165,1737955770623,34804193.11786992,211656.47918494,30
KRW-AERGO,2025-01-27T04:30:00,2025-01-27T13:30:00,164.8,165.2,164.2,164.8,1737953986703,43500214.84042433,264335.87032423,30
KRW-AERGO,2025-01-27T04:00:00,2025-01-27T13:00:00,165.4,165.4,164.5,164.9,1737952158488,54778375.80367072,332177.82153435,30
KRW-AERGO,2025-01-27T03:30:00,2025-01-27T12:30:00,165.9,166,164.8,165.4,1737950359763,112194463.12461203,679343.63762393,30
KRW-AERGO,2025-01-27T03:00:00,2025-01-27T12:00:00,164.8,167.8,164.8,165.9,1737948594817,71488031.65872107,430013.18698265,30
KRW-AERGO,2025-01-27T02:30:00,2025-01-27T11:30:00,165.1,165.1,164.3,164.7,1737946797771,94626441.48642653,574722.69843682,30
KRW-AERGO,2025-01-27T02:00:00,2025-01-27T11:00:00,165.5,166.1,164.5,165.1,1737944992365,133931468.3806903,810412.25081288,30
KRW-AERGO,2025-01-27T01:30:00,2025-01-27T10:30:00,166.7,167.1,165,165.5,1737943196207,102807688.82662591,618642.27778913,30
KRW-AERGO,2025-01-27T01:00:00,2025-01-27T10:00:00,168.1,168.6,165.5,166.7,1737941393070,128346091.8853218,767951.14045636,30
