market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AGLD,2025-01-27T13:30:00,2025-01-27T22:30:00,2438,2458,2438,2458,1737984808398,205289037.0185137,83813.40427468,30
KRW-AGLD,2025-01-27T13:00:00,2025-01-27T22:00:00,2428,2453,2417,2438,1737984597908,1645398298.5175266,676717.77398109,30
KRW-AGLD,2025-01-27T12:30:00,2025-01-27T21:30:00,2421,2455,2410,2427,1737982799456,1293461155.8208694,532335.79912269,30
KRW-AGLD,2025-01-27T12:00:00,2025-01-27T21:00:00,2431,2457,2415,2425,1737980996076,1482261692.305139,608602.86159401,30
KRW-AGLD,2025-01-27T11:30:00,2025-01-27T20:30:00,2459,2481,2430,2432,1737979191812,1806376602.339478,736435.34497877,30
KRW-AGLD,2025-01-27T11:00:00,2025-01-27T20:00:00,2440,2492,2437,2463,1737977397285,1967111398.9926047,795871.53501014,30
KRW-AGLD,2025-01-27T10:30:00,2025-01-27T19:30:00,2500,2504,2422,2440,1737975598527,2284178206.591465,930405.2376646,30
KRW-AGLD,2025-01-27T10:00:00,2025-01-27T19:00:00,2469,2500,2462,2500,1737973794484,1178203999.0624735,473836.94497435,30
KRW-AGLD,2025-01-27T09:30:00,2025-01-27T18:30:00,2462,2507,2455,2463,1737971998154,1688853518.5538123,680227.55410402,30
KRW-AGLD,2025-01-27T09:00:00,2025-01-27T18:00:00,2445,2499,2430,2462,1737970199944,2459935297.5702844,992075.32371341,30
KRW-AGLD,2025-01-27T08:30:00,2025-01-27T17:30:00,2437,2465,2404,2447,1737968399274,2163483716.267652,890684.8867774,30
KRW-AGLD,2025-01-27T08:00:00,2025-01-27T17:00:00,2468,2493,2435,2437,1737966599830,3498786754.297964,1418291.67208837,30
KRW-AGLD,2025-01-27T07:30:00,2025-01-27T16:30:00,2345,2486,2339,2464,1737964799533,3470864925.51338,1427536.89263103,30
KRW-AGLD,2025-01-27T07:00:00,2025-01-27T16:00:00,2435,2449,2340,2345,1737963000010,2822847147.3187423,1176783.46154049,30
KRW-AGLD,2025-01-27T06:30:00,2025-01-27T15:30:00,2442,2478,2431,2437,1737961199683,2627380936.9163647,1070421.50128814,30
KRW-AGLD,2025-01-27T06:00:00,2025-01-27T15:00:00,2424,2454,2408,2442,1737959393795,896284990.0470524,367885.71973511,30
KRW-AGLD,2025-01-27T05:30:00,2025-01-27T14:30:00,2440,2441,2397,2425,1737957597419,1438866091.394078,596591.54969621,30
KRW-AGLD,2025-01-27T05:00:00,2025-01-27T14:00:00,2446,2450,2432,2440,1737955792596,893694692.9072548,365951.3624444,30
KRW-AGLD,2025-01-27T04:30:00,2025-01-27T13:30:00,2422,2457,2419,2446,1737953993108,867863114.6564245,355246.98890976,30
KRW-AGLD,2025-01-27T04:00:00,2025-01-27T13:00:00,2423,2445,2415,2420,1737952193597,1016374413.6493137,418883.74464201,30
KRW-AGLD,2025-01-27T03:30:00,2025-01-27T12:30:00,2457,2459,2411,2423,1737950397944,1938830458.0471232,796669.27430692,30
KRW-AGLD,2025-01-27T03:00:00,2025-01-27T12:00:00,2457,2483,2446,2458,1737948598895,2267137844.5876245,920985.89427457,30
KRW-AGLD,2025-01-27T02:30:00,2025-01-27T11:30:00,2534,2534,2451,2458,1737946799464,5201034518.398718,2085548.39324413,30
KRW-AGLD,2025-01-27T02:00:00,2025-01-27T11:00:00,2479,2610,2451,2532,1737944999914,11853876342.077951,4635509.71801907,30
KRW-AGLD,2025-01-27T01:30:00,2025-01-27T10:30:00,2449,2510,2442,2478,1737943196344,2616469480.4833155,1054245.61867681,30
KRW-AGLD,2025-01-27T01:00:00,2025-01-27T10:00:00,2497,2514,2411,2447,1737941399856,6089957932.8123045,2467031.16962035,30
KRW-AGLD,2025-01-27T00:30:00,2025-01-27T09:30:00,2432,2525,2421,2497,1737939600042,8343238241.842357,3356483.1300902,30
KRW-AGLD,2025-01-27T00:00:00,2025-01-27T09:00:00,2388,2460,2356,2429,1737937798674,6263038816.945684,2593517.26271879,30
KRW-AGLD,2025-01-26T23:30:00,2025-01-27T08:30:00,2397,2397,2375,2386,1737935993362,534221809.9339857,224127.05861888,30
KRW-AGLD,2025-01-26T23:00:00,2025-01-27T08:00:00,2419,2431,2386,2397,1737934194268,829348510.3506404,344792.6287169,30
KRW-AGLD,2025-01-26T22:30:00,2025-01-27T07:30:00,2438,2446,2413,2419,1737932380028,229046133.70082277,94396.25330778,30
KRW-AGLD,2025-01-26T22:00:00,2025-01-27T07:00:00,2425,2442,2410,2442,1737930591132,216100801.53162268,89245.81267581,30
KRW-AGLD,2025-01-26T21:30:00,2025-01-27T06:30:00,2436,2439,2420,2428,1737928779480,254896072.3879904,105063.3715316,30
KRW-AGLD,2025-01-26T21:00:00,2025-01-27T06:00:00,2432,2446,2429,2434,1737926987670,118046702.54902504,48482.96671482,30
KRW-AGLD,2025-01-26T20:30:00,2025-01-27T05:30:00,2458,2460,2432,2432,1737925190377,254244359.83648407,103951.7124712,30
KRW-AGLD,2025-01-26T20:00:00,2025-01-27T05:00:00,2461,2465,2455,2458,1737923361870,111961914.07134308,45530.22509052,30
KRW-AGLD,2025-01-26T19:30:00,2025-01-27T04:30:00,2469,2475,2457,2458,1737921598366,56574818.53243661,22988.10663414,30
KRW-AGLD,2025-01-26T19:00:00,2025-01-27T04:00:00,2467,2477,2455,2467,1737919752309,206598741.25310186,83786.3150372,30
KRW-AGLD,2025-01-26T18:30:00,2025-01-27T03:30:00,2454,2471,2452,2467,1737917944770,103244719.3679939,41914.37077848,30
KRW-AGLD,2025-01-26T18:00:00,2025-01-27T03:00:00,2497,2497,2450,2454,1737916196725,342923186.78320986,138555.55733882,30
KRW-AGLD,2025-01-26T17:30:00,2025-01-27T02:30:00,2508,2512,2482,2497,1737914387095,491434821.891643,196668.33952312,30
KRW-AGLD,2025-01-26T17:00:00,2025-01-27T02:00:00,2486,2519,2481,2508,1737912598034,886692142.8832979,354357.36252271,30
KRW-AGLD,2025-01-26T16:30:00,2025-01-27T01:30:00,2455,2490,2453,2486,1737910785141,538631420.6954302,217406.77650596,30
KRW-AGLD,2025-01-26T16:00:00,2025-01-27T01:00:00,2449,2472,2446,2456,1737908990269,464953928.89082,189263.500228,30
KRW-AGLD,2025-01-26T15:30:00,2025-01-27T00:30:00,2461,2471,2435,2452,1737907199758,520768296.5950169,212504.23509365,30
KRW-AGLD,2025-01-26T15:00:00,2025-01-27T00:00:00,2426,2462,2425,2461,1737905396024,421791613.149064,172852.85729639,30
KRW-AGLD,2025-01-26T14:30:00,2025-01-26T23:30:00,2415,2449,2414,2425,1737903597401,822126245.7669263,337995.34546819,30
KRW-AGLD,2025-01-26T14:00:00,2025-01-26T23:00:00,2429,2429,2407,2418,1737901777834,565844925.2521368,234143.90432145,30
KRW-AGLD,2025-01-26T13:30:00,2025-01-26T22:30:00,2401,2433,2400,2428,1737899995282,1024398986.3456768,422903.25878322,30
KRW-AGLD,2025-01-26T13:00:00,2025-01-26T22:00:00,2454,2577,2393,2401,1737898196653,11725653902.404322,4722075.61338361,30
KRW-AGLD,2025-01-26T12:30:00,2025-01-26T21:30:00,2396,2464,2381,2455,1737896399378,1956846917.9080985,804555.4049086,30
KRW-AGLD,2025-01-26T12:00:00,2025-01-26T21:00:00,2397,2400,2381,2398,1737894590808,325950731.8309709,136223.17185922,30
KRW-AGLD,2025-01-26T11:30:00,2025-01-26T20:30:00,2378,2397,2371,2397,1737892796397,317145408.00218314,133097.20294059,30
KRW-AGLD,2025-01-26T11:00:00,2025-01-26T20:00:00,2360,2389,2350,2374,1737890993962,468704173.34106064,197341.76042042,30
KRW-AGLD,2025-01-26T10:30:00,2025-01-26T19:30:00,2341,2360,2338,2357,1737889199312,286803004.0851163,122362.8002112,30
KRW-AGLD,2025-01-26T10:00:00,2025-01-26T19:00:00,2332,2345,2329,2341,1737887313062,210917384.6754851,90173.91898322,30
KRW-AGLD,2025-01-26T09:30:00,2025-01-26T18:30:00,2345,2345,2330,2336,1737885588817,223666364.94900578,95802.51196087,30
KRW-AGLD,2025-01-26T09:00:00,2025-01-26T18:00:00,2349,2357,2338,2343,1737883772921,172411626.84713578,73514.34148185,30
KRW-AGLD,2025-01-26T08:30:00,2025-01-26T17:30:00,2340,2349,2338,2349,1737881999514,108624605.1044809,46379.37400609,30
KRW-AGLD,2025-01-26T08:00:00,2025-01-26T17:00:00,2344,2355,2340,2342,1737880163462,245011421.14554268,104529.67325462,30
KRW-AGLD,2025-01-26T07:30:00,2025-01-26T16:30:00,2345,2349,2340,2340,1737878378555,204091319.69184488,87093.26606545,30
KRW-AGLD,2025-01-26T07:00:00,2025-01-26T16:00:00,2350,2359,2344,2344,1737876590712,331357063.8235569,140775.67344083,30
KRW-AGLD,2025-01-26T06:30:00,2025-01-26T15:30:00,2341,2352,2337,2350,1737874799732,224287001.74059352,95712.08294063,30
KRW-AGLD,2025-01-26T06:00:00,2025-01-26T15:00:00,2340,2348,2335,2341,1737872983986,338517975.2449721,144569.7780523,30
KRW-AGLD,2025-01-26T05:30:00,2025-01-26T14:30:00,2338,2349,2335,2336,1737871179044,387402521.3048158,165518.13067842,30
KRW-AGLD,2025-01-26T05:00:00,2025-01-26T14:00:00,2349,2353,2338,2341,1737869392874,323466153.1674935,137981.18731448,30
KRW-AGLD,2025-01-26T04:30:00,2025-01-26T13:30:00,2366,2375,2349,2349,1737867587314,289143341.4741188,122422.27653435,30
KRW-AGLD,2025-01-26T04:00:00,2025-01-26T13:00:00,2353,2369,2345,2367,1737865752706,222492745.38662016,94383.27402666,30
