market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AHT,2025-01-27T13:30:00,2025-01-27T22:30:00,8.495,8.495,8.459,8.482,1737984816422,25289228.83796376,2989314.51069787,30
KRW-AHT,2025-01-27T13:00:00,2025-01-27T22:00:00,8.445,8.514,8.403,8.472,1737984466607,91218303.62205401,10774940.83725145,30
KRW-AHT,2025-01-27T12:30:00,2025-01-27T21:30:00,8.286,8.535,8.276,8.445,1737982798216,287832824.49043393,34114829.97774529,30
KRW-AHT,2025-01-27T12:00:00,2025-01-27T21:00:00,8.286,8.315,8.237,8.29,1737980969164,94707404.67827395,11430162.13691345,30
KRW-AHT,2025-01-27T11:30:00,2025-01-27T20:30:00,8.291,8.39,8.274,8.299,1737979193218,110081795.00342602,13230119.66503735,30
KRW-AHT,2025-01-27T11:00:00,2025-01-27T20:00:00,8.204,8.316,8.204,8.295,1737977358502,105944608.9471441,12803785.1189374,30
KRW-AHT,2025-01-27T10:30:00,2025-01-27T19:30:00,8.276,8.277,8.183,8.204,1737975584410,187103974.24368975,22770838.43685614,30
KRW-AHT,2025-01-27T10:00:00,2025-01-27T19:00:00,8.327,8.415,8.264,8.276,1737973798880,94304975.57601085,11352010.41148884,30
KRW-AHT,2025-01-27T09:30:00,2025-01-27T18:30:00,8.273,8.363,8.27,8.314,1737971977930,87184793.90588021,10496935.62877916,30
KRW-AHT,2025-01-27T09:00:00,2025-01-27T18:00:00,8.253,8.35,8.231,8.299,1737970190167,159557667.69675437,19221929.25985899,30
KRW-AHT,2025-01-27T08:30:00,2025-01-27T17:30:00,8.364,8.364,8.183,8.257,1737968387969,302523014.2615891,36751434.85748312,30
KRW-AHT,2025-01-27T08:00:00,2025-01-27T17:00:00,8.328,8.55,8.243,8.363,1737966592926,408681787.003594,48886321.88123498,30
KRW-AHT,2025-01-27T07:30:00,2025-01-27T16:30:00,8.166,8.4,8.163,8.328,1737964787963,277273235.942065,33494897.06309782,30
KRW-AHT,2025-01-27T07:00:00,2025-01-27T16:00:00,8.369,8.424,8.159,8.167,1737962999803,468471470.97328067,56661858.33220695,30
KRW-AHT,2025-01-27T06:30:00,2025-01-27T15:30:00,8.429,8.458,8.31,8.368,1737961154338,450217020.80173016,53783764.80629446,30
