market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AKT,2025-01-27T13:30:00,2025-01-27T22:30:00,3901,3928,3884,3909,1737984810477,8976037.50653659,2298.47421452,30
KRW-AKT,2025-01-27T13:00:00,2025-01-27T22:00:00,3842,3923,3842,3902,1737984588576,66288284.84225386,17050.5610135,30
KRW-AKT,2025-01-27T12:30:00,2025-01-27T21:30:00,3727,3888,3727,3859,1737982780205,103997982.77487776,27260.62501571,30
KRW-AKT,2025-01-27T12:00:00,2025-01-27T21:00:00,3747,3769,3727,3727,1737980945867,47399955.70827071,12673.78561441,30
KRW-AKT,2025-01-27T11:30:00,2025-01-27T20:30:00,3758,3769,3737,3738,1737979199316,32704980.75351396,8728.07582361,30
KRW-AKT,2025-01-27T11:00:00,2025-01-27T20:00:00,3707,3760,3700,3758,1737977385418,54172644.47353545,14563.76487528,30
KRW-AKT,2025-01-27T10:30:00,2025-01-27T19:30:00,3757,3757,3691,3697,1737975574728,51489389.03074585,13851.00371168,30
KRW-AKT,2025-01-27T10:00:00,2025-01-27T19:00:00,3804,3804,3757,3757,1737973711361,52198693.14483438,13833.3607472,30
KRW-AKT,2025-01-27T09:30:00,2025-01-27T18:30:00,3765,3804,3760,3804,1737971993124,33364407.58921475,8807.46366925,30
KRW-AKT,2025-01-27T09:00:00,2025-01-27T18:00:00,3734,3809,3725,3765,1737970183532,66716240.59049014,17687.41605787,30
KRW-AKT,2025-01-27T08:30:00,2025-01-27T17:30:00,3762,3762,3695,3727,1737968397489,72386880.73742281,19474.89545824,30
KRW-AKT,2025-01-27T08:00:00,2025-01-27T17:00:00,3778,3790,3727,3765,1737966586148,115940686.31862947,30914.40474026,30
KRW-AKT,2025-01-27T07:30:00,2025-01-27T16:30:00,3674,3854,3674,3778,1737964784715,259106336.1034537,69193.59389484,30
KRW-AKT,2025-01-27T07:00:00,2025-01-27T16:00:00,3780,3798,3672,3672,1737962997869,256127753.20243514,68640.79043086,30
KRW-AKT,2025-01-27T06:30:00,2025-01-27T15:30:00,3807,3810,3746,3780,1737961195205,208615029.89364812,55249.95818277,30
KRW-AKT,2025-01-27T06:00:00,2025-01-27T15:00:00,3840,3860,3797,3807,1737959348242,196728536.1326279,51540.24523238,30
KRW-AKT,2025-01-27T05:30:00,2025-01-27T14:30:00,3860,3864,3806,3855,1737957598595,155683810.7983729,40612.43350922,30
KRW-AKT,2025-01-27T05:00:00,2025-01-27T14:00:00,3856,3879,3849,3871,1737955798392,47248622.12522997,12235.55457834,30
KRW-AKT,2025-01-27T04:30:00,2025-01-27T13:30:00,3885,3899,3847,3856,1737953941425,114106495.03629749,29518.44683906,30
KRW-AKT,2025-01-27T04:00:00,2025-01-27T13:00:00,3917,4025,3879,3884,1737952172004,132937252.51303616,33951.16867203,30
KRW-AKT,2025-01-27T03:30:00,2025-01-27T12:30:00,3953,3953,3906,3917,1737950258947,31764536.34208295,8088.54917845,30
KRW-AKT,2025-01-27T03:00:00,2025-01-27T12:00:00,3907,3969,3896,3952,1737948560086,54639136.50185927,13922.79680233,30
KRW-AKT,2025-01-27T02:30:00,2025-01-27T11:30:00,3968,3968,3896,3904,1737946788723,149967305.78898376,38255.20702978,30
KRW-AKT,2025-01-27T02:00:00,2025-01-27T11:00:00,3984,3996,3949,3968,1737944887399,143136080.6506267,36135.46885132,30
KRW-AKT,2025-01-27T01:30:00,2025-01-27T10:30:00,3999,4032,3983,3983,1737943135707,58506613.52561173,14630.17619561,30
KRW-AKT,2025-01-27T01:00:00,2025-01-27T10:00:00,4040,4050,3975,3998,1737941392558,153166151.1230428,38254.51796844,30
KRW-AKT,2025-01-27T00:30:00,2025-01-27T09:30:00,4091,4091,4026,4030,1737939599029,120119120.84590647,29627.12758858,30
KRW-AKT,2025-01-27T00:00:00,2025-01-27T09:00:00,4150,4158,4067,4091,1737937799609,155412721.782222,37925.95543536,30
KRW-AKT,2025-01-26T23:30:00,2025-01-27T08:30:00,4155,4165,4132,4132,1737935978462,76693060.3780836,18495.25814668,30
KRW-AKT,2025-01-26T23:00:00,2025-01-27T08:00:00,4240,4240,4147,4170,1737934198208,56518288.68832993,13533.49909018,30
KRW-AKT,2025-01-26T22:30:00,2025-01-27T07:30:00,4221,4268,4216,4246,1737932317811,30168636.21821505,7138.54548695,30
KRW-AKT,2025-01-26T22:00:00,2025-01-27T07:00:00,4233,4233,4206,4221,1737930578092,87376747.34500363,20698.1478482,30
KRW-AKT,2025-01-26T21:30:00,2025-01-27T06:30:00,4267,4268,4237,4243,1737928705511,17667715.35006052,4166.38230557,30
KRW-AKT,2025-01-26T21:00:00,2025-01-27T06:00:00,4291,4291,4247,4270,1737926711710,15412180.98914588,3614.75863686,30
KRW-AKT,2025-01-26T20:30:00,2025-01-27T05:30:00,4315,4315,4275,4278,1737925182691,6300751.24304738,1465.20445898,30
KRW-AKT,2025-01-26T20:00:00,2025-01-27T05:00:00,4348,4349,4293,4315,1737923197553,10975675.45841598,2537.77919091,30
KRW-AKT,2025-01-26T19:30:00,2025-01-27T04:30:00,4290,4349,4290,4349,1737921533983,66834337.41329538,15418.52181174,30
KRW-AKT,2025-01-26T19:00:00,2025-01-27T04:00:00,4261,4290,4261,4290,1737919657353,26060080.49577265,6090.94715139,30
KRW-AKT,2025-01-26T18:30:00,2025-01-27T03:30:00,4250,4261,4248,4261,1737917949286,7695344.61161044,1809.36149003,30
KRW-AKT,2025-01-26T18:00:00,2025-01-27T03:00:00,4224,4256,4222,4256,1737916125189,5682864.4536088,1341.52884427,30
KRW-AKT,2025-01-26T17:30:00,2025-01-27T02:30:00,4196,4224,4196,4224,1737914344309,26824366.07367027,6377.48528894,30
KRW-AKT,2025-01-26T17:00:00,2025-01-27T02:00:00,4188,4199,4188,4199,1737912454064,3856001.54160177,919.61716003,30
KRW-AKT,2025-01-26T16:30:00,2025-01-27T01:30:00,4185,4188,4173,4188,1737910689860,5876965.09541294,1404.56113024,30
KRW-AKT,2025-01-26T16:00:00,2025-01-27T01:00:00,4172,4185,4154,4185,1737908987945,12305449.18159332,2946.52073663,30
KRW-AKT,2025-01-26T15:30:00,2025-01-27T00:30:00,4169,4176,4157,4176,1737906902632,5205811.04905799,1251.23903037,30
KRW-AKT,2025-01-26T15:00:00,2025-01-27T00:00:00,4174,4176,4155,4176,1737905385552,26973109.53347278,6470.10321963,30
KRW-AKT,2025-01-26T14:30:00,2025-01-26T23:30:00,4174,4177,4169,4174,1737903472383,2897717.96491788,694.11981764,30
KRW-AKT,2025-01-26T14:00:00,2025-01-26T23:00:00,4180,4180,4158,4158,1737901790591,11313868.96000845,2715.63869975,30
KRW-AKT,2025-01-26T13:30:00,2025-01-26T22:30:00,4161,4187,4161,4166,1737899930045,29677660.17666086,7102.41146417,30
KRW-AKT,2025-01-26T13:00:00,2025-01-26T22:00:00,4136,4170,4126,4170,1737898119504,79511137.21519032,19155.07065822,30
KRW-AKT,2025-01-26T12:30:00,2025-01-26T21:30:00,4135,4146,4121,4131,1737896387847,56619350.61593883,13717.45178317,30
KRW-AKT,2025-01-26T12:00:00,2025-01-26T21:00:00,4142,4145,4121,4131,1737894433262,5561292.9756665,1343.10864206,30
KRW-AKT,2025-01-26T11:30:00,2025-01-26T20:30:00,4133,4142,4124,4142,1737892758438,10711277.40058226,2590.52200023,30
