market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ALGO,2025-01-27T13:30:00,2025-01-27T22:30:00,566,568,564,567,1737984823492,63604854.33337672,112365.34114346,30
KRW-ALGO,2025-01-27T13:00:00,2025-01-27T22:00:00,562,572,558,566,1737984598913,1882915326.4927027,3330290.99469325,30
KRW-ALGO,2025-01-27T12:30:00,2025-01-27T21:30:00,542,569,541,563,1737982799863,1917739226.9324882,3434712.52218934,30
KRW-ALGO,2025-01-27T12:00:00,2025-01-27T21:00:00,540,546,539,542,1737980988953,490394818.9583516,904970.75038166,30
KRW-ALGO,2025-01-27T11:30:00,2025-01-27T20:30:00,543,547,540,540,1737979194840,454012149.6396417,835155.9538548,30
KRW-ALGO,2025-01-27T11:00:00,2025-01-27T20:00:00,539,546,538,543,1737977398709,610045179.7363704,1126983.80712538,30
KRW-ALGO,2025-01-27T10:30:00,2025-01-27T19:30:00,545,545,537,538,1737975599720,780341961.2614974,1443782.57766169,30
KRW-ALGO,2025-01-27T10:00:00,2025-01-27T19:00:00,547,549,543,545,1737973799627,430762683.1397653,790160.50840868,30
KRW-ALGO,2025-01-27T09:30:00,2025-01-27T18:30:00,541,547,540,547,1737971998844,492817535.4225853,904425.83166389,30
KRW-ALGO,2025-01-27T09:00:00,2025-01-27T18:00:00,544,551,540,540,1737970193061,1106176400.5835452,2029504.98254738,30
KRW-ALGO,2025-01-27T08:30:00,2025-01-27T17:30:00,544,544,537,542,1737968391240,972141464.9287864,1799249.83870419,30
KRW-ALGO,2025-01-27T08:00:00,2025-01-27T17:00:00,552,552,544,545,1737966595631,873694212.5485402,1596867.02007422,30
KRW-ALGO,2025-01-27T07:30:00,2025-01-27T16:30:00,537,555,535,551,1737964793800,1928398746.6489697,3523355.7108113,30
KRW-ALGO,2025-01-27T07:00:00,2025-01-27T16:00:00,550,553,535,535,1737962999859,2875537661.633455,5277001.6423862,30
KRW-ALGO,2025-01-27T06:30:00,2025-01-27T15:30:00,556,557,548,551,1737961197323,2048638317.590338,3709372.99003475,30
KRW-ALGO,2025-01-27T06:00:00,2025-01-27T15:00:00,560,562,556,556,1737959391051,1178399089.589673,2113889.63149534,30
KRW-ALGO,2025-01-27T05:30:00,2025-01-27T14:30:00,559,560,555,560,1737957596867,1062444390.7511218,1908359.6015207,30
KRW-ALGO,2025-01-27T05:00:00,2025-01-27T14:00:00,562,563,559,559,1737955799751,501410504.94521797,894680.68598294,30
KRW-ALGO,2025-01-27T04:30:00,2025-01-27T13:30:00,563,565,560,562,1737953949477,596704690.2716306,1061724.22529046,30
KRW-ALGO,2025-01-27T04:00:00,2025-01-27T13:00:00,566,567,561,563,1737952176179,395187563.50361395,701240.59559231,30
KRW-ALGO,2025-01-27T03:30:00,2025-01-27T12:30:00,568,570,564,566,1737950399548,498962712.90582544,879915.36457228,30
KRW-ALGO,2025-01-27T03:00:00,2025-01-27T12:00:00,562,572,560,569,1737948593078,778925920.7462991,1375910.14381353,30
KRW-ALGO,2025-01-27T02:30:00,2025-01-27T11:30:00,563,563,558,562,1737946799276,1129919855.5825243,2017805.12933658,30
KRW-ALGO,2025-01-27T02:00:00,2025-01-27T11:00:00,568,569,561,563,1737944996876,1565525651.1195834,2776840.53587119,30
KRW-ALGO,2025-01-27T01:30:00,2025-01-27T10:30:00,570,574,567,567,1737943191489,610561429.0180911,1070492.68302872,30
KRW-ALGO,2025-01-27T01:00:00,2025-01-27T10:00:00,576,579,565,570,1737941395280,1818058575.705708,3184935.57686628,30
KRW-ALGO,2025-01-27T00:30:00,2025-01-27T09:30:00,580,580,575,575,1737939598859,1120322049.4152658,1939565.73334403,30
KRW-ALGO,2025-01-27T00:00:00,2025-01-27T09:00:00,584,587,576,580,1737937799277,2261222101.7894697,3893667.75172649,30
KRW-ALGO,2025-01-26T23:30:00,2025-01-27T08:30:00,585,587,581,582,1737935992980,1400537545.1687498,2401505.81599742,30
KRW-ALGO,2025-01-26T23:00:00,2025-01-27T08:00:00,595,595,584,585,1737934199996,2102855965.0292108,3573229.1236514,30
KRW-ALGO,2025-01-26T22:30:00,2025-01-27T07:30:00,593,598,592,595,1737932400006,471294293.9198756,791603.28667864,30
KRW-ALGO,2025-01-26T22:00:00,2025-01-27T07:00:00,597,597,591,595,1737930599812,1153288282.5092616,1942139.09673002,30
KRW-ALGO,2025-01-26T21:30:00,2025-01-27T06:30:00,600,601,597,597,1737928797068,446071399.90048295,746219.26248999,30
KRW-ALGO,2025-01-26T21:00:00,2025-01-27T06:00:00,600,602,598,599,1737926995704,266982592.04706427,445545.41611224,30
KRW-ALGO,2025-01-26T20:30:00,2025-01-27T05:30:00,605,606,600,602,1737925157760,115806465.4271869,192413.14728918,30
KRW-ALGO,2025-01-26T20:00:00,2025-01-27T05:00:00,605,607,604,606,1737923203243,193442819.3352851,319508.33268766,30
KRW-ALGO,2025-01-26T19:30:00,2025-01-27T04:30:00,605,609,604,606,1737921475396,301601960.1782471,497194.80972904,30
KRW-ALGO,2025-01-26T19:00:00,2025-01-27T04:00:00,604,606,602,604,1737919798126,62954586.1408795,104264.75748944,30
