market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ANIME,2025-01-27T13:30:00,2025-01-27T22:30:00,73.24,73.48,73.22,73.48,1737984808340,145417997.97387666,1983461.35915914,30
KRW-ANIME,2025-01-27T13:00:00,2025-01-27T22:00:00,73.74,74.34,73.01,73.24,1737984599126,2878978267.3831453,39133360.68227991,30
KRW-ANIME,2025-01-27T12:30:00,2025-01-27T21:30:00,72.54,75,72.43,73.77,1737982797828,2669259778.841829,36302481.53324645,30
KRW-ANIME,2025-01-27T12:00:00,2025-01-27T21:00:00,73.7,74.8,72.05,72.62,1737980992533,7795739164.6240635,105867664.5114359,30
KRW-ANIME,2025-01-27T11:30:00,2025-01-27T20:30:00,71.64,74.15,71.2,73.72,1737979199945,7979679489.998672,109601595.3185443,30
KRW-ANIME,2025-01-27T11:00:00,2025-01-27T20:00:00,70.98,72.02,70.57,71.64,1737977394422,1806404135.7260733,25287167.09804277,30
KRW-ANIME,2025-01-27T10:30:00,2025-01-27T19:30:00,71.4,71.6,70.21,70.91,1737975595786,2468208988.313326,34852055.64869688,30
KRW-ANIME,2025-01-27T10:00:00,2025-01-27T19:00:00,71.54,71.7,70.52,71.46,1737973795778,2383815152.362458,33548583.59159086,30
KRW-ANIME,2025-01-27T09:30:00,2025-01-27T18:30:00,71.36,71.76,71.07,71.66,1737971999647,1595078258.6775033,22358391.05530278,30
KRW-ANIME,2025-01-27T09:00:00,2025-01-27T18:00:00,72.2,72.83,71.36,71.36,1737970199851,1679244400.2318735,23255595.29850077,30
KRW-ANIME,2025-01-27T08:30:00,2025-01-27T17:30:00,72.25,72.55,70.82,72.2,1737968399260,4080684541.7107735,57137530.4143636,30
KRW-ANIME,2025-01-27T08:00:00,2025-01-27T17:00:00,74.5,74.57,71.48,72.25,1737966599459,9528606593.395767,131264202.79790144,30
KRW-ANIME,2025-01-27T07:30:00,2025-01-27T16:30:00,74.3,75.57,74.13,74.43,1737964798285,4164717069.420241,55688213.71834398,30
KRW-ANIME,2025-01-27T07:00:00,2025-01-27T16:00:00,77.09,77.19,74.1,74.28,1737962999853,3822738309.3213882,50507454.24805134,30
KRW-ANIME,2025-01-27T06:30:00,2025-01-27T15:30:00,77.52,77.65,76.25,77.15,1737961199693,2459355035.2564163,31989026.57224323,30
KRW-ANIME,2025-01-27T06:00:00,2025-01-27T15:00:00,77.5,78.55,77.35,77.53,1737959390539,1063455019.1747296,13672349.27579412,30
KRW-ANIME,2025-01-27T05:30:00,2025-01-27T14:30:00,77.93,78.51,77.27,77.46,1737957590865,1324613415.452365,17037288.51660417,30
KRW-ANIME,2025-01-27T05:00:00,2025-01-27T14:00:00,77.23,77.95,77.07,77.94,1737955792636,955008808.9352305,12335237.57259556,30
KRW-ANIME,2025-01-27T04:30:00,2025-01-27T13:30:00,77.56,78.06,77.1,77.23,1737953996636,1724920913.7831225,22270959.75799986,30
KRW-ANIME,2025-01-27T04:00:00,2025-01-27T13:00:00,77.85,78.15,77.27,77.56,1737952187616,1409056966.660938,18157564.71429611,30
KRW-ANIME,2025-01-27T03:30:00,2025-01-27T12:30:00,78.05,78.51,77.68,77.82,1737950398056,981390947.3619081,12585402.33355427,30
KRW-ANIME,2025-01-27T03:00:00,2025-01-27T12:00:00,78.19,78.8,77.77,78.05,1737948596088,1176612296.799066,15032873.81173041,30
KRW-ANIME,2025-01-27T02:30:00,2025-01-27T11:30:00,77.51,78.5,77.35,78.2,1737946799937,1824722075.5567453,23460105.1933039,30
KRW-ANIME,2025-01-27T02:00:00,2025-01-27T11:00:00,78.5,78.69,77.39,77.51,1737944999051,3417124513.7173877,43862973.4430225,30
KRW-ANIME,2025-01-27T01:30:00,2025-01-27T10:30:00,78.41,79.21,77.08,78.38,1737943197694,4343415589.984344,55566622.60225797,30
KRW-ANIME,2025-01-27T01:00:00,2025-01-27T10:00:00,79.94,80.4,77,78.52,1737941398680,7596873465.729742,96561767.7178295,30
KRW-ANIME,2025-01-27T00:30:00,2025-01-27T09:30:00,80.88,80.88,79.58,79.94,1737939596734,5842198244.26517,72988780.75351425,30
KRW-ANIME,2025-01-27T00:00:00,2025-01-27T09:00:00,82.96,83.83,80.1,80.8,1737937799280,12480389019.36369,152773427.6701447,30
KRW-ANIME,2025-01-26T23:30:00,2025-01-27T08:30:00,82.67,83.39,82.07,82.95,1737935999234,2977200128.040766,35972218.23452899,30
KRW-ANIME,2025-01-26T23:00:00,2025-01-27T08:00:00,83.33,83.39,82,82.65,1737934196533,4545390996.304351,55050854.96507335,30
KRW-ANIME,2025-01-26T22:30:00,2025-01-27T07:30:00,82.94,84.18,82.91,83.33,1737932395567,1961854506.106926,23440621.85639734,30
KRW-ANIME,2025-01-26T22:00:00,2025-01-27T07:00:00,83.73,83.8,82.69,82.94,1737930598023,3816108386.9714417,45963346.41865095,30
KRW-ANIME,2025-01-26T21:30:00,2025-01-27T06:30:00,83.97,84.18,83.39,83.73,1737928799902,1854818065.8401859,22124995.31434565,30
KRW-ANIME,2025-01-26T21:00:00,2025-01-27T06:00:00,85.7,85.7,83.94,83.97,1737926997708,2603634837.243459,30832682.67643197,30
