market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ANKR,2025-01-27T13:30:00,2025-01-27T22:30:00,43.14,43.18,43.14,43.18,1737984767584,2984920.50148155,69159.41847733,30
KRW-ANKR,2025-01-27T13:00:00,2025-01-27T22:00:00,43.04,43.3,42.82,43.24,1737984515001,38516716.5746079,893378.71666081,30
KRW-ANKR,2025-01-27T12:30:00,2025-01-27T21:30:00,41.81,43.31,41.79,43.14,1737982799374,61493237.68288823,1442804.37625148,30
KRW-ANKR,2025-01-27T12:00:00,2025-01-27T21:00:00,41.88,42.29,41.81,41.9,1737980989268,16074974.05741485,382874.47343708,30
KRW-ANKR,2025-01-27T11:30:00,2025-01-27T20:30:00,42.06,42.2,41.88,41.88,1737979162988,47647422.42193063,1133835.54671634,30
KRW-ANKR,2025-01-27T11:00:00,2025-01-27T20:00:00,41.67,42.14,41.53,42.05,1737977209939,34690835.54703978,828893.93473449,30
KRW-ANKR,2025-01-27T10:30:00,2025-01-27T19:30:00,42,42,41.4,41.67,1737975521341,86680457.0269737,2083580.0307898,30
KRW-ANKR,2025-01-27T10:00:00,2025-01-27T19:00:00,42.29,42.31,42,42.12,1737973756889,13946377.72666003,330965.69344715,30
KRW-ANKR,2025-01-27T09:30:00,2025-01-27T18:30:00,41.89,42.31,41.85,42.29,1737971998846,14538700.69263117,345008.47524547,30
KRW-ANKR,2025-01-27T09:00:00,2025-01-27T18:00:00,41.82,42.36,41.64,41.98,1737970126413,28923843.42108943,688931.76367735,30
KRW-ANKR,2025-01-27T08:30:00,2025-01-27T17:30:00,41.9,41.9,41.44,41.82,1737968369656,62469078.97970735,1501087.29161002,30
KRW-ANKR,2025-01-27T08:00:00,2025-01-27T17:00:00,42.15,42.32,41.76,41.91,1737966575203,96636645.08421445,2304499.86897161,30
KRW-ANKR,2025-01-27T07:30:00,2025-01-27T16:30:00,41.43,43.13,41.2,42.18,1737964748285,251091481.27301607,5979393.19695422,30
KRW-ANKR,2025-01-27T07:00:00,2025-01-27T16:00:00,42.29,42.33,41.2,41.43,1737962999908,259005792.22787246,6182710.53707319,30
KRW-ANKR,2025-01-27T06:30:00,2025-01-27T15:30:00,42.67,42.67,42.16,42.23,1737961191358,195936749.63986483,4625409.16532846,30
KRW-ANKR,2025-01-27T06:00:00,2025-01-27T15:00:00,42.82,43.02,42.67,42.76,1737959359239,47830760.24266349,1118216.27032683,30
KRW-ANKR,2025-01-27T05:30:00,2025-01-27T14:30:00,43.05,43.05,42.68,42.82,1737957510917,59295718.44251733,1384656.5400506,30
KRW-ANKR,2025-01-27T05:00:00,2025-01-27T14:00:00,43.09,43.17,42.93,43.05,1737955789720,51602919.08183045,1199192.25517995,30
KRW-ANKR,2025-01-27T04:30:00,2025-01-27T13:30:00,43.08,43.3,42.96,42.99,1737953991016,43255408.76377328,1004505.29356611,30
KRW-ANKR,2025-01-27T04:00:00,2025-01-27T13:00:00,43.39,43.39,43.05,43.05,1737952047196,37858362.66954551,877269.17715645,30
KRW-ANKR,2025-01-27T03:30:00,2025-01-27T12:30:00,43.39,43.39,43.2,43.27,1737950254053,27857707.38846538,642620.87323119,30
KRW-ANKR,2025-01-27T03:00:00,2025-01-27T12:00:00,43.08,43.47,42.99,43.45,1737948599175,30427463.91074785,703507.85342836,30
KRW-ANKR,2025-01-27T02:30:00,2025-01-27T11:30:00,43.15,43.22,43,43.01,1737946799367,115995044.08941132,2692785.43193748,30
KRW-ANKR,2025-01-27T02:00:00,2025-01-27T11:00:00,43.36,43.49,43.09,43.2,1737944989417,87264929.50029223,2018378.01853493,30
KRW-ANKR,2025-01-27T01:30:00,2025-01-27T10:30:00,43.56,43.82,43.31,43.35,1737943179285,106565357.34301765,2450307.42690329,30
KRW-ANKR,2025-01-27T01:00:00,2025-01-27T10:00:00,43.9,44.02,43.34,43.63,1737941356846,129903745.86586706,2977580.48881376,30
KRW-ANKR,2025-01-27T00:30:00,2025-01-27T09:30:00,44.23,44.26,43.87,44.04,1737939591982,135620688.4125848,3080854.99187029,30
KRW-ANKR,2025-01-27T00:00:00,2025-01-27T09:00:00,44.34,44.66,44,44.16,1737937749912,145745670.436351,3297552.06432804,30
KRW-ANKR,2025-01-26T23:30:00,2025-01-27T08:30:00,44.65,44.65,44.29,44.41,1737935989301,78234409.90835246,1761921.62679761,30
KRW-ANKR,2025-01-26T23:00:00,2025-01-27T08:00:00,45.29,45.29,44.51,44.7,1737934140397,115346027.71224056,2567405.23648772,30
KRW-ANKR,2025-01-26T22:30:00,2025-01-27T07:30:00,45.27,45.27,45.07,45.2,1737932374394,8996513.47268851,199149.87944887,30
KRW-ANKR,2025-01-26T22:00:00,2025-01-27T07:00:00,45.16,45.19,45.01,45.19,1737930509145,25089167.27011653,556806.70803601,30
