market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-APT,2025-01-27T13:30:00,2025-01-27T22:30:00,11260,11320,11260,11320,1737984824397,12964797.9206135,1149.29340839,30
KRW-APT,2025-01-27T13:00:00,2025-01-27T22:00:00,11200,11350,11140,11240,1737984576555,293240355.7314397,26006.36564397,30
KRW-APT,2025-01-27T12:30:00,2025-01-27T21:30:00,10930,11290,10930,11220,1737982797816,431399990.4275919,38849.70045294,30
KRW-APT,2025-01-27T12:00:00,2025-01-27T21:00:00,10900,10990,10890,10940,1737980995281,153516485.9197529,14020.84558099,30
KRW-APT,2025-01-27T11:30:00,2025-01-27T20:30:00,10970,11020,10900,10900,1737979144016,154735733.7825598,14150.40507017,30
KRW-APT,2025-01-27T11:00:00,2025-01-27T20:00:00,10850,11020,10850,10980,1737977392850,164469262.015593,15061.86732362,30
KRW-APT,2025-01-27T10:30:00,2025-01-27T19:30:00,10930,10930,10790,10850,1737975599178,266324430.4307882,24532.13057018,30
KRW-APT,2025-01-27T10:00:00,2025-01-27T19:00:00,10970,11000,10900,10950,1737973795934,147968113.394258,13521.5531897,30
KRW-APT,2025-01-27T09:30:00,2025-01-27T18:30:00,10860,10990,10860,10990,1737971987583,267228685.0819129,24457.92562466,30
KRW-APT,2025-01-27T09:00:00,2025-01-27T18:00:00,10880,11000,10830,10860,1737970197257,188237402.3540503,17268.55660269,30
KRW-APT,2025-01-27T08:30:00,2025-01-27T17:30:00,10840,10900,10730,10890,1737968398145,325251216.4855728,30106.11011906,30
KRW-APT,2025-01-27T08:00:00,2025-01-27T17:00:00,10990,10990,10830,10860,1737966595211,352206881.3463251,32342.41218232,30
KRW-APT,2025-01-27T07:30:00,2025-01-27T16:30:00,10680,11050,10680,11000,1737964767374,525126083.8757332,48188.9524919,30
KRW-APT,2025-01-27T07:00:00,2025-01-27T16:00:00,11010,11050,10650,10730,1737962999811,834491810.4593267,76627.76409531,30
KRW-APT,2025-01-27T06:30:00,2025-01-27T15:30:00,11100,11100,10960,11010,1737961188247,603647527.9505233,54704.73457716,30
KRW-APT,2025-01-27T06:00:00,2025-01-27T15:00:00,11160,11190,11070,11100,1737959399345,192032876.1631975,17272.11126185,30
KRW-APT,2025-01-27T05:30:00,2025-01-27T14:30:00,11230,11230,11110,11160,1737957578740,331223823.9325989,29722.00648457,30
KRW-APT,2025-01-27T05:00:00,2025-01-27T14:00:00,11200,11270,11150,11230,1737955763821,233042109.1461306,20806.16248688,30
KRW-APT,2025-01-27T04:30:00,2025-01-27T13:30:00,11220,11270,11170,11190,1737953995893,275172595.5631847,24546.1384695,30
KRW-APT,2025-01-27T04:00:00,2025-01-27T13:00:00,11290,11310,11200,11220,1737952199562,224136278.9493479,19927.81914154,30
KRW-APT,2025-01-27T03:30:00,2025-01-27T12:30:00,11350,11360,11260,11290,1737950381926,216093418.7104892,19129.09362072,30
KRW-APT,2025-01-27T03:00:00,2025-01-27T12:00:00,11250,11400,11210,11350,1737948591168,239585411.2628106,21156.37695685,30
KRW-APT,2025-01-27T02:30:00,2025-01-27T11:30:00,11270,11280,11200,11220,1737946796145,420310062.587806,37460.19994026,30
KRW-APT,2025-01-27T02:00:00,2025-01-27T11:00:00,11360,11400,11210,11250,1737944982232,953379334.0594422,84473.02831121,30
KRW-APT,2025-01-27T01:30:00,2025-01-27T10:30:00,11440,11470,11360,11390,1737943199599,553013647.2082714,48524.37909541,30
KRW-APT,2025-01-27T01:00:00,2025-01-27T10:00:00,11580,11650,11430,11440,1737941395785,514694421.5368608,44670.44987032,30
KRW-APT,2025-01-27T00:30:00,2025-01-27T09:30:00,11720,11720,11560,11580,1737939592695,499471099.7317963,42974.88612032,30
KRW-APT,2025-01-27T00:00:00,2025-01-27T09:00:00,11940,11940,11680,11710,1737937799277,751215604.2035037,63667.38311146,30
