market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AQT,2025-01-27T13:30:00,2025-01-27T22:30:00,2843,2853,2843,2852,1737984820205,7462652.41996461,2619.92447152,30
KRW-AQT,2025-01-27T13:00:00,2025-01-27T22:00:00,2878,2890,2834,2842,1737984596573,1054313642.6780151,368781.78631405,30
KRW-AQT,2025-01-27T12:30:00,2025-01-27T21:30:00,2801,2891,2798,2878,1737982798482,736702771.1394868,257838.88171933,30
KRW-AQT,2025-01-27T12:00:00,2025-01-27T21:00:00,2821,2853,2800,2801,1737980994428,841053720.1567919,297882.84240432,30
KRW-AQT,2025-01-27T11:30:00,2025-01-27T20:30:00,2831,2859,2820,2822,1737979186167,677321511.6647984,238827.80772551,30
KRW-AQT,2025-01-27T11:00:00,2025-01-27T20:00:00,2787,2839,2786,2826,1737977388857,635824832.6065851,225710.45024713,30
KRW-AQT,2025-01-27T10:30:00,2025-01-27T19:30:00,2850,2850,2780,2786,1737975596670,688146358.5362203,244859.44986111,30
KRW-AQT,2025-01-27T10:00:00,2025-01-27T19:00:00,2852,2857,2837,2850,1737973764937,301334742.79255456,105747.47032617,30
KRW-AQT,2025-01-27T09:30:00,2025-01-27T18:30:00,2843,2856,2837,2852,1737971950829,250638159.91938624,88022.5984334,30
KRW-AQT,2025-01-27T09:00:00,2025-01-27T18:00:00,2831,2857,2795,2843,1737970197936,525956066.94263434,185681.98002152,30
KRW-AQT,2025-01-27T08:30:00,2025-01-27T17:30:00,2834,2841,2760,2830,1737968399506,2125777931.9854271,759669.16472843,30
KRW-AQT,2025-01-27T08:00:00,2025-01-27T17:00:00,2865,2870,2810,2834,1737966599229,1011569762.800112,355921.17980411,30
KRW-AQT,2025-01-27T07:30:00,2025-01-27T16:30:00,2806,2915,2802,2865,1737964798488,2044214984.5725198,714399.25132094,30
KRW-AQT,2025-01-27T07:00:00,2025-01-27T16:00:00,2906,2930,2802,2804,1737962999856,2328968744.528829,815090.31735932,30
KRW-AQT,2025-01-27T06:30:00,2025-01-27T15:30:00,2953,2956,2874,2902,1737961197103,1969942818.2168343,678549.42402034,30
