market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ARB,2025-01-27T13:30:00,2025-01-27T22:30:00,971.3,974.6,969,974.6,1737984818551,25474246.14183794,26236.36022602,30
KRW-ARB,2025-01-27T13:00:00,2025-01-27T22:00:00,970.4,978.3,963.5,971.3,1737984598006,736865966.2021112,757980.79814927,30
KRW-ARB,2025-01-27T12:30:00,2025-01-27T21:30:00,949.4,979.3,947.6,969.4,1737982799430,786632474.1610575,816453.11172864,30
KRW-ARB,2025-01-27T12:00:00,2025-01-27T21:00:00,947.9,954.4,946.5,949.3,1737980996327,368740399.49971235,387960.68298818,30
KRW-ARB,2025-01-27T11:30:00,2025-01-27T20:30:00,953,956.5,947.9,947.9,1737979195985,207829614.15893653,218536.05055539,30
KRW-ARB,2025-01-27T11:00:00,2025-01-27T20:00:00,944.3,956.8,943.3,953.9,1737977387025,408511308.08461905,430548.30944539,30
KRW-ARB,2025-01-27T10:30:00,2025-01-27T19:30:00,953.9,955.1,943,944.3,1737975595108,626292953.6401216,660830.99282032,30
KRW-ARB,2025-01-27T10:00:00,2025-01-27T19:00:00,960.4,960.9,953.7,955.2,1737973790912,154456242.22196963,161525.31484873,30
KRW-ARB,2025-01-27T09:30:00,2025-01-27T18:30:00,952.4,962.2,951.5,961.7,1737971961923,174676095.8208504,182258.86579421,30
KRW-ARB,2025-01-27T09:00:00,2025-01-27T18:00:00,953.8,963.5,950.9,952.5,1737970185852,310783707.0273701,324252.31559362,30
KRW-ARB,2025-01-27T08:30:00,2025-01-27T17:30:00,957.7,957.8,945,954.7,1737968379960,464514339.42444855,489228.68299781,30
KRW-ARB,2025-01-27T08:00:00,2025-01-27T17:00:00,962.2,963.2,952.6,958.8,1737966578953,593925598.3467634,619694.16974114,30
KRW-ARB,2025-01-27T07:30:00,2025-01-27T16:30:00,941.9,967.7,941.7,961.8,1737964782239,784978901.8716071,819567.41273696,30
KRW-ARB,2025-01-27T07:00:00,2025-01-27T16:00:00,965.3,970.6,941.9,941.9,1737962999791,1582990232.2861893,1652470.58967918,30
KRW-ARB,2025-01-27T06:30:00,2025-01-27T15:30:00,974.7,975.6,963.6,965.3,1737961197993,950154400.7419177,979871.70599668,30
KRW-ARB,2025-01-27T06:00:00,2025-01-27T15:00:00,979,981.9,973.1,975,1737959394434,316977409.82808036,324661.16313916,30
KRW-ARB,2025-01-27T05:30:00,2025-01-27T14:30:00,982,982.9,971,977.5,1737957599103,831661000.8320879,851991.50014398,30
KRW-ARB,2025-01-27T05:00:00,2025-01-27T14:00:00,986,986.8,979,982,1737955774177,501902675.75823283,510922.09726627,30
KRW-ARB,2025-01-27T04:30:00,2025-01-27T13:30:00,985.4,989.9,982.8,985.9,1737953989120,219485816.68525875,222526.292781,30
KRW-ARB,2025-01-27T04:00:00,2025-01-27T13:00:00,992,992,981,985.7,1737952172180,314894378.3795807,319507.45961352,30
KRW-ARB,2025-01-27T03:30:00,2025-01-27T12:30:00,995,995,989.7,992.8,1737950400031,232960861.543901,234558.52081487,30
KRW-ARB,2025-01-27T03:00:00,2025-01-27T12:00:00,982,997.9,981.3,995,1737948591997,367372796.55893815,371567.94001523,30
KRW-ARB,2025-01-27T02:30:00,2025-01-27T11:30:00,987.9,989,981,982.1,1737946797700,758096031.098132,770518.7953141,30
KRW-ARB,2025-01-27T02:00:00,2025-01-27T11:00:00,994.6,996,985,988,1737944998991,1132164010.899398,1143164.08059826,30
KRW-ARB,2025-01-27T01:30:00,2025-01-27T10:30:00,1001,1006,994.6,994.6,1737943198853,612206020.4646772,612336.49992162,30
KRW-ARB,2025-01-27T01:00:00,2025-01-27T10:00:00,1009,1016,996.5,1001,1737941393851,1407312239.6665246,1404207.70178881,30
KRW-ARB,2025-01-27T00:30:00,2025-01-27T09:30:00,1022,1022,1007,1008,1737939589466,916408053.5055827,904349.76987791,30
KRW-ARB,2025-01-27T00:00:00,2025-01-27T09:00:00,1030,1031,1013,1021,1737937796635,1025580272.7054783,1003418.94942467,30
KRW-ARB,2025-01-26T23:30:00,2025-01-27T08:30:00,1035,1035,1027,1030,1737935995170,582507342.66988,565481.42364907,30
KRW-ARB,2025-01-26T23:00:00,2025-01-27T08:00:00,1051,1051,1033,1035,1737934199952,637691041.0364223,613529.25840718,30
KRW-ARB,2025-01-26T22:30:00,2025-01-27T07:30:00,1054,1059,1050,1052,1737932392987,95793211.26688036,90740.6266606,30
KRW-ARB,2025-01-26T22:00:00,2025-01-27T07:00:00,1054,1054,1049,1054,1737930560836,137326618.69450748,130652.08916095,30
KRW-ARB,2025-01-26T21:30:00,2025-01-27T06:30:00,1060,1061,1053,1054,1737928798089,87537849.9603129,82833.32470142,30
KRW-ARB,2025-01-26T21:00:00,2025-01-27T06:00:00,1064,1064,1056,1060,1737926812200,128144084.89803194,121008.78829076,30
KRW-ARB,2025-01-26T20:30:00,2025-01-27T05:30:00,1070,1070,1064,1064,1737925189757,113680165.05471486,106382.40733734,30
