market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ARDR,2025-01-27T13:30:00,2025-01-27T22:30:00,125.3,125.4,125.1,125.4,1737984720537,11063003.06853341,88275.4701011,30
KRW-ARDR,2025-01-27T13:00:00,2025-01-27T22:00:00,126.3,127.1,125.1,125.1,1737984594421,231585656.98303708,1843157.12662033,30
KRW-ARDR,2025-01-27T12:30:00,2025-01-27T21:30:00,124,127.1,124,126.3,1737982782161,36015532.83590961,285243.10521301,30
KRW-ARDR,2025-01-27T12:00:00,2025-01-27T21:00:00,123.7,124.5,123.3,123.5,1737980956164,6718777.61654993,54320.24137735,30
KRW-ARDR,2025-01-27T11:30:00,2025-01-27T20:30:00,124.1,124.5,123.3,123.7,1737979176529,13545222.25783224,109315.30757661,30
KRW-ARDR,2025-01-27T11:00:00,2025-01-27T20:00:00,123.3,124.6,123.2,124.2,1737977143520,19373845.23555228,156294.55657437,30
KRW-ARDR,2025-01-27T10:30:00,2025-01-27T19:30:00,124.9,124.9,122.7,123.5,1737975595267,144974051.62382552,1174503.38653782,30
KRW-ARDR,2025-01-27T10:00:00,2025-01-27T19:00:00,125.5,125.6,124.8,125.1,1737973746414,6629593.95851699,52976.40090729,30
KRW-ARDR,2025-01-27T09:30:00,2025-01-27T18:30:00,124.8,126.2,124.5,125.2,1737971986085,28046128.32551838,224201.45151812,30
KRW-ARDR,2025-01-27T09:00:00,2025-01-27T18:00:00,124.3,125.3,124.2,124.8,1737970178389,29742474.92016937,238097.31127464,30
KRW-ARDR,2025-01-27T08:30:00,2025-01-27T17:30:00,125.2,125.2,123.1,123.9,1737968337735,184371301.19676158,1489924.91351299,30
KRW-ARDR,2025-01-27T08:00:00,2025-01-27T17:00:00,126.5,126.5,125,125.3,1737966550433,145156441.5087852,1158348.29688924,30
KRW-ARDR,2025-01-27T07:30:00,2025-01-27T16:30:00,124.5,126.9,124,126.9,1737964721929,70080733.4679819,558666.6811807,30
KRW-ARDR,2025-01-27T07:00:00,2025-01-27T16:00:00,126.4,126.7,124.6,124.6,1737962970499,115508195.02231719,920143.71802066,30
KRW-ARDR,2025-01-27T06:30:00,2025-01-27T15:30:00,127.1,127.1,125.3,126.1,1737961172536,180451216.6622066,1429941.1958087,30
KRW-ARDR,2025-01-27T06:00:00,2025-01-27T15:00:00,128.1,128.3,127.1,127.3,1737959397667,23332042.61548372,182838.95560082,30
KRW-ARDR,2025-01-27T05:30:00,2025-01-27T14:30:00,128.6,128.8,128,128.4,1737957423926,17833595.39548582,139114.63015837,30
KRW-ARDR,2025-01-27T05:00:00,2025-01-27T14:00:00,128.7,129.3,128.3,128.7,1737955783621,46057169.70843721,357768.12404547,30
KRW-ARDR,2025-01-27T04:30:00,2025-01-27T13:30:00,128.9,129.4,128.7,128.7,1737953941785,4904273.25594742,38062.11982462,30
KRW-ARDR,2025-01-27T04:00:00,2025-01-27T13:00:00,129.3,129.3,128.6,128.8,1737952166959,29961972.62092942,232107.30856379,30
KRW-ARDR,2025-01-27T03:30:00,2025-01-27T12:30:00,129.5,129.7,129.2,129.7,1737950344936,14737511.95967343,113905.58695256,30
KRW-ARDR,2025-01-27T03:00:00,2025-01-27T12:00:00,128.6,129.9,128.4,129.5,1737948560898,36339418.42276463,282008.58270174,30
