market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ARK,2025-01-27T13:30:00,2025-01-27T22:30:00,772.9,773.2,772.1,772.4,1737984793771,14046127.6928149,18167.14950212,30
KRW-ARK,2025-01-27T13:00:00,2025-01-27T22:00:00,765.8,774.9,761.9,772,1737984565430,84335853.40716325,109480.61471507,30
KRW-ARK,2025-01-27T12:30:00,2025-01-27T21:30:00,747.4,772.9,745.7,766.6,1737982793076,147884445.4530183,194077.71283786,30
KRW-ARK,2025-01-27T12:00:00,2025-01-27T21:00:00,747.9,753,745.5,746.1,1737980989130,69034526.29457861,92293.82871836,30
KRW-ARK,2025-01-27T11:30:00,2025-01-27T20:30:00,752.3,755.9,746.4,747.1,1737979184668,49394202.17701199,65801.39645931,30
KRW-ARK,2025-01-27T11:00:00,2025-01-27T20:00:00,744.3,752.9,744.3,752.8,1737977392133,44706047.63484885,59660.608685,30
KRW-ARK,2025-01-27T10:30:00,2025-01-27T19:30:00,752.1,752.1,744.1,745.9,1737975375899,78402883.26764616,104839.72278754,30
KRW-ARK,2025-01-27T10:00:00,2025-01-27T19:00:00,757.5,757.5,752.1,752.1,1737973773327,38675286.43692021,51255.37485141,30
KRW-ARK,2025-01-27T09:30:00,2025-01-27T18:30:00,749.9,759.5,749.9,757.8,1737971965617,29705351.45107402,39307.9634708,30
KRW-ARK,2025-01-27T09:00:00,2025-01-27T18:00:00,748.4,757.3,744.6,750,1737970167479,66983948.41306132,88876.97447595,30
KRW-ARK,2025-01-27T08:30:00,2025-01-27T17:30:00,752.1,752.1,742.8,748.2,1737968386387,207039031.6094283,277466.20963693,30
KRW-ARK,2025-01-27T08:00:00,2025-01-27T17:00:00,758.1,758.2,750,752.1,1737966593275,155125123.52377498,206110.02424603,30
KRW-ARK,2025-01-27T07:30:00,2025-01-27T16:30:00,747.5,762.3,747.2,758.1,1737964796536,213950715.1983238,283471.35884381,30
KRW-ARK,2025-01-27T07:00:00,2025-01-27T16:00:00,763.7,764.4,747.5,747.5,1737962999225,352209955.37966335,466092.48105599,30
KRW-ARK,2025-01-27T06:30:00,2025-01-27T15:30:00,766.5,768.4,759.6,762.1,1737961165326,199171079.85229215,261057.93202528,30
KRW-ARK,2025-01-27T06:00:00,2025-01-27T15:00:00,774.3,774.4,766.6,766.6,1737959396223,118296816.63674013,153805.71470335,30
KRW-ARK,2025-01-27T05:30:00,2025-01-27T14:30:00,777.1,777.3,770,774,1737957590755,143256738.971117,185531.52573972,30
KRW-ARK,2025-01-27T05:00:00,2025-01-27T14:00:00,778.8,781.1,776.6,776.6,1737955775402,71130972.24323434,91408.32155985,30
