market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ASTR,2025-01-27T13:30:00,2025-01-27T22:30:00,76.39,76.54,76.27,76.47,1737984806642,20337278.73109042,266174.88222753,30
KRW-ASTR,2025-01-27T13:00:00,2025-01-27T22:00:00,76.39,76.95,76,76.43,1737984585505,192635464.12564772,2521872.82490928,30
KRW-ASTR,2025-01-27T12:30:00,2025-01-27T21:30:00,74.73,77.05,74.73,76.39,1737982789181,107335288.34134531,1409110.13762389,30
KRW-ASTR,2025-01-27T12:00:00,2025-01-27T21:00:00,74.61,75.08,74.59,74.73,1737980995670,23371311.96674867,312497.06116337,30
KRW-ASTR,2025-01-27T11:30:00,2025-01-27T20:30:00,75.02,75.09,74.6,74.6,1737979197673,44775992.62052324,598405.44742925,30
KRW-ASTR,2025-01-27T11:00:00,2025-01-27T20:00:00,74.5,75.15,74.31,75.03,1737977376327,192398523.90349838,2582072.56878263,30
KRW-ASTR,2025-01-27T10:30:00,2025-01-27T19:30:00,75.17,75.17,74.3,74.48,1737975590189,154675623.80969352,2071671.52938027,30
KRW-ASTR,2025-01-27T10:00:00,2025-01-27T19:00:00,75.42,75.49,75.11,75.26,1737973776207,53726631.85564522,713794.78914312,30
KRW-ASTR,2025-01-27T09:30:00,2025-01-27T18:30:00,75.28,75.71,75.07,75.48,1737971868252,69626032.95521633,925268.36287327,30
KRW-ASTR,2025-01-27T09:00:00,2025-01-27T18:00:00,75.29,76.27,75.11,75.31,1737970187847,151110323.1941161,1991343.72053653,30
KRW-ASTR,2025-01-27T08:30:00,2025-01-27T17:30:00,76.12,76.18,74.57,75.29,1737968399215,362641048.56008756,4827108.07275207,30
KRW-ASTR,2025-01-27T08:00:00,2025-01-27T17:00:00,76.16,76.51,75.32,76.12,1737966584340,85242964.56783207,1121594.6067637,30
KRW-ASTR,2025-01-27T07:30:00,2025-01-27T16:30:00,74.57,76.58,74.31,76.2,1737964795916,105998348.84209703,1400394.43844165,30
KRW-ASTR,2025-01-27T07:00:00,2025-01-27T16:00:00,75.89,76.18,74.29,74.29,1737962999684,339640173.6108339,4519432.64796654,30
KRW-ASTR,2025-01-27T06:30:00,2025-01-27T15:30:00,76.25,76.38,75.35,75.76,1737961179985,266120832.92815065,3506298.10276434,30
