market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ATH,2025-01-27T13:30:00,2025-01-27T22:30:00,81.42,81.6,81.27,81.6,1737984815357,13734340.38733138,168453.66806722,30
KRW-ATH,2025-01-27T13:00:00,2025-01-27T22:00:00,80.74,82.32,80.27,81.42,1737984599149,127371360.14128943,1559541.25544279,30
KRW-ATH,2025-01-27T12:30:00,2025-01-27T21:30:00,78.98,81.26,78.81,80.85,1737982795152,76477730.88568173,954770.94877411,30
KRW-ATH,2025-01-27T12:00:00,2025-01-27T21:00:00,79.43,80.41,79,79,1737980983657,78402005.93838774,986736.37442012,30
KRW-ATH,2025-01-27T11:30:00,2025-01-27T20:30:00,79.86,80.33,79.42,79.57,1737979144432,51830745.01538964,650064.31376758,30
KRW-ATH,2025-01-27T11:00:00,2025-01-27T20:00:00,78.88,80.12,78.88,79.89,1737977298418,79073649.99191223,997822.62482715,30
KRW-ATH,2025-01-27T10:30:00,2025-01-27T19:30:00,79.81,79.81,78.72,78.72,1737975540988,95585146.92612253,1209391.9347229,30
KRW-ATH,2025-01-27T10:00:00,2025-01-27T19:00:00,80.14,80.42,79.81,79.81,1737973766646,30934630.47748371,386265.00659855,30
KRW-ATH,2025-01-27T09:30:00,2025-01-27T18:30:00,79.75,80.24,79.59,80,1737971900438,53987571.31138915,675887.17602877,30
KRW-ATH,2025-01-27T09:00:00,2025-01-27T18:00:00,79.4,80.53,79.4,79.75,1737970193677,98185687.56916438,1222896.54896998,30
KRW-ATH,2025-01-27T08:30:00,2025-01-27T17:30:00,80.03,80.1,78.68,79.6,1737968398385,181825352.77696815,2301832.10540394,30
KRW-ATH,2025-01-27T08:00:00,2025-01-27T17:00:00,80.14,80.16,79.1,80.03,1737966525936,106601207.72361682,1339193.55838053,30
KRW-ATH,2025-01-27T07:30:00,2025-01-27T16:30:00,78.19,80.4,78.13,80.16,1737964795888,367760357.3485628,4651816.29621349,30
KRW-ATH,2025-01-27T07:00:00,2025-01-27T16:00:00,80.5,80.82,78.14,78.19,1737963000010,340731595.0686577,4279218.4167255,30
KRW-ATH,2025-01-27T06:30:00,2025-01-27T15:30:00,81.08,81.08,79.8,80.33,1737961191107,377715330.40878785,4707958.0751562,30
KRW-ATH,2025-01-27T06:00:00,2025-01-27T15:00:00,81.73,81.77,80.96,81.12,1737959353721,107313800.77253489,1321844.95271792,30
KRW-ATH,2025-01-27T05:30:00,2025-01-27T14:30:00,81.7,82.19,81.29,81.73,1737957598699,139931738.67830592,1715955.9336932,30
KRW-ATH,2025-01-27T05:00:00,2025-01-27T14:00:00,82.15,82.32,81.69,81.97,1737955740491,66869593.18138551,816265.34039233,30
KRW-ATH,2025-01-27T04:30:00,2025-01-27T13:30:00,81.74,82.11,81.66,81.93,1737953998934,123592104.47962587,1509918.61832238,30
KRW-ATH,2025-01-27T04:00:00,2025-01-27T13:00:00,82.65,82.65,81.6,81.74,1737952106758,68146619.71138437,830043.7928973,30
KRW-ATH,2025-01-27T03:30:00,2025-01-27T12:30:00,82.68,82.74,82.3,82.41,1737950301662,54153563.76544502,655674.37566451,30
KRW-ATH,2025-01-27T03:00:00,2025-01-27T12:00:00,81.54,82.85,81.54,82.64,1737948598695,90319389.63848774,1102564.30212935,30
KRW-ATH,2025-01-27T02:30:00,2025-01-27T11:30:00,82.36,82.56,81.48,81.54,1737946796998,278986911.8787359,3409591.98174449,30
KRW-ATH,2025-01-27T02:00:00,2025-01-27T11:00:00,82.26,82.68,81.97,82.36,1737944995339,151274199.33925733,1838202.27373641,30
KRW-ATH,2025-01-27T01:30:00,2025-01-27T10:30:00,82.59,82.74,82.26,82.43,1737943151000,97469912.90080705,1181606.15480899,30
KRW-ATH,2025-01-27T01:00:00,2025-01-27T10:00:00,82.57,83,81.98,82.59,1737941396037,217390188.62806275,2636486.27523836,30
KRW-ATH,2025-01-27T00:30:00,2025-01-27T09:30:00,83.2,83.31,82.5,82.57,1737939585111,173622978.06908008,2095523.92822924,30
KRW-ATH,2025-01-27T00:00:00,2025-01-27T09:00:00,84.05,84.34,82.66,83.3,1737937797819,376503985.9825289,4526966.18201901,30
KRW-ATH,2025-01-26T23:30:00,2025-01-27T08:30:00,84.42,84.48,83.77,83.99,1737935965119,155413266.4686298,1848668.16363294,30
KRW-ATH,2025-01-26T23:00:00,2025-01-27T08:00:00,84.74,84.74,84.33,84.42,1737934195133,258653703.65321717,3062592.43443056,30
KRW-ATH,2025-01-26T22:30:00,2025-01-27T07:30:00,84.68,84.78,84.52,84.74,1737932325482,30192397.41356226,356718.36975261,30
KRW-ATH,2025-01-26T22:00:00,2025-01-27T07:00:00,84.13,84.78,84.07,84.66,1737930596725,43102230.4211963,511513.42035834,30
KRW-ATH,2025-01-26T21:30:00,2025-01-27T06:30:00,84.72,84.8,84.15,84.15,1737928800015,80632745.78927554,954135.04897143,30
KRW-ATH,2025-01-26T21:00:00,2025-01-27T06:00:00,85.01,85.07,84.71,84.72,1737926999461,63680369.66888111,750492.77091805,30
KRW-ATH,2025-01-26T20:30:00,2025-01-27T05:30:00,85.2,85.2,85.01,85.01,1737925197766,35840465.54750865,421268.77289158,30
KRW-ATH,2025-01-26T20:00:00,2025-01-27T05:00:00,85.1,85.16,85.05,85.16,1737923334282,17299991.08096156,203338.00814946,30
KRW-ATH,2025-01-26T19:30:00,2025-01-27T04:30:00,85.08,85.13,85.08,85.1,1737921583775,9114192.32079452,107101.05865457,30
KRW-ATH,2025-01-26T19:00:00,2025-01-27T04:00:00,85.16,85.18,85.07,85.08,1737919594299,13318252.7337742,156440.39038377,30
KRW-ATH,2025-01-26T18:30:00,2025-01-27T03:30:00,85.22,85.28,85.02,85.13,1737917869175,24749020.73063679,290746.09198962,30
KRW-ATH,2025-01-26T18:00:00,2025-01-27T03:00:00,85.64,85.64,85.1,85.22,1737916171084,60213691.02058648,706188.3391723,30
KRW-ATH,2025-01-26T17:30:00,2025-01-27T02:30:00,85.44,85.86,85.37,85.66,1737914330978,13151686.59456273,153643.20872792,30
KRW-ATH,2025-01-26T17:00:00,2025-01-27T02:00:00,85.35,85.45,85.23,85.45,1737912243141,4261389.57666942,49909.61414057,30
KRW-ATH,2025-01-26T16:30:00,2025-01-27T01:30:00,85.27,85.35,85.15,85.35,1737910786645,9637978.97189223,113022.69111403,30
KRW-ATH,2025-01-26T16:00:00,2025-01-27T01:00:00,85.3,85.3,85.06,85.27,1737908893659,47112891.9859311,553399.42943867,30
KRW-ATH,2025-01-26T15:30:00,2025-01-27T00:30:00,85.43,85.56,85.2,85.3,1737907197404,53122756.12764436,622803.26689064,30
KRW-ATH,2025-01-26T15:00:00,2025-01-27T00:00:00,85.44,85.78,85.18,85.43,1737905353574,35925618.66415225,421013.06951464,30
KRW-ATH,2025-01-26T14:30:00,2025-01-26T23:30:00,85.27,85.58,85.16,85.45,1737903580159,66947618.26103694,784675.95912884,30
KRW-ATH,2025-01-26T14:00:00,2025-01-26T23:00:00,85.4,85.42,85.15,85.3,1737901784765,46830640.69857022,549280.27543337,30
KRW-ATH,2025-01-26T13:30:00,2025-01-26T22:30:00,85.22,85.52,85.13,85.52,1737899981784,28101638.30590325,329457.2542093,30
KRW-ATH,2025-01-26T13:00:00,2025-01-26T22:00:00,85.22,85.51,85.11,85.33,1737898198477,64987444.97253644,762493.44162423,30
KRW-ATH,2025-01-26T12:30:00,2025-01-26T21:30:00,85.43,85.46,85.08,85.41,1737896354150,35921483.86943805,421836.73770708,30
KRW-ATH,2025-01-26T12:00:00,2025-01-26T21:00:00,85.44,85.46,85.14,85.3,1737894521654,51275251.59529633,601184.64646348,30
KRW-ATH,2025-01-26T11:30:00,2025-01-26T20:30:00,85.43,85.51,85.25,85.44,1737892767266,14519600.54993926,170046.02582395,30
KRW-ATH,2025-01-26T11:00:00,2025-01-26T20:00:00,85.41,85.45,85.2,85.22,1737890824707,42469100.31648372,497718.01477901,30
KRW-ATH,2025-01-26T10:30:00,2025-01-26T19:30:00,85.28,85.44,85.14,85.41,1737889182390,25442210.09925741,298267.79283916,30
KRW-ATH,2025-01-26T10:00:00,2025-01-26T19:00:00,85.08,85.32,85.02,85.31,1737887333810,31416930.45390975,368673.7664706,30
KRW-ATH,2025-01-26T09:30:00,2025-01-26T18:30:00,85.59,85.66,85.08,85.08,1737885598288,39708375.54190265,465460.64684954,30
KRW-ATH,2025-01-26T09:00:00,2025-01-26T18:00:00,85.71,85.95,85.51,85.74,1737883749981,57621919.69858427,672875.51996718,30
KRW-ATH,2025-01-26T08:30:00,2025-01-26T17:30:00,85.75,85.94,85.62,85.71,1737881959945,30906569.76401793,360448.53875983,30
KRW-ATH,2025-01-26T08:00:00,2025-01-26T17:00:00,85.96,85.96,85.71,85.75,1737880183233,43879821.32678293,511152.09918147,30
KRW-ATH,2025-01-26T07:30:00,2025-01-26T16:30:00,85.85,85.96,85.74,85.89,1737878399664,32244803.24017014,375554.35347488,30
KRW-ATH,2025-01-26T07:00:00,2025-01-26T16:00:00,86.01,86.11,85.78,85.86,1737876562112,89216133.97705184,1038390.43486372,30
KRW-ATH,2025-01-26T06:30:00,2025-01-26T15:30:00,86.1,86.18,85.94,86.02,1737874558110,24962801.75070868,290180.24566623,30
KRW-ATH,2025-01-26T06:00:00,2025-01-26T15:00:00,85.62,86.1,85.62,86.1,1737872997190,134080304.69131291,1562369.83589069,30
KRW-ATH,2025-01-26T05:30:00,2025-01-26T14:30:00,85.78,85.95,85.61,85.61,1737871199892,36433698.65421426,424796.93361461,30
KRW-ATH,2025-01-26T05:00:00,2025-01-26T14:00:00,86.17,86.17,85.63,85.79,1737869367787,39430416.57592608,459303.6204312,30
KRW-ATH,2025-01-26T04:30:00,2025-01-26T13:30:00,86.37,86.37,85.95,86.17,1737867415696,11451219.99121555,132857.50897331,30
KRW-ATH,2025-01-26T04:00:00,2025-01-26T13:00:00,86.02,86.46,85.71,86.35,1737865684490,74669010.69630542,868132.14061734,30
KRW-ATH,2025-01-26T03:30:00,2025-01-26T12:30:00,85.73,86.2,85.51,85.77,1737863852554,62753296.92270264,731312.09651793,30
KRW-ATH,2025-01-26T03:00:00,2025-01-26T12:00:00,85.32,86.14,85.32,85.6,1737862127779,38746977.31077371,451595.40247632,30
KRW-ATH,2025-01-26T02:30:00,2025-01-26T11:30:00,85.14,85.32,85,85.32,1737860377161,41958996.6359284,493269.0990616,30
KRW-ATH,2025-01-26T02:00:00,2025-01-26T11:00:00,85.69,85.69,85.02,85.27,1737858572379,38834857.0088293,455193.55804092,30
KRW-ATH,2025-01-26T01:30:00,2025-01-26T10:30:00,85.88,85.98,85.6,85.78,1737856788389,38035065.14225605,443309.44191283,30
KRW-ATH,2025-01-26T01:00:00,2025-01-26T10:00:00,85.63,86.09,85.52,85.92,1737854940775,23573413.12294872,274835.91539714,30
KRW-ATH,2025-01-26T00:30:00,2025-01-26T09:30:00,85.68,85.74,85.31,85.63,1737853195336,46170582.37762049,539830.2756068,30
KRW-ATH,2025-01-26T00:00:00,2025-01-26T09:00:00,85.11,85.69,84.9,85.6,1737851390570,135500915.64672297,1587011.61434953,30
KRW-ATH,2025-01-25T23:30:00,2025-01-26T08:30:00,85.4,85.4,85.1,85.11,1737849586368,47364606.66250833,555604.18408027,30
KRW-ATH,2025-01-25T23:00:00,2025-01-26T08:00:00,85.33,85.57,85.1,85.42,1737847710732,56939913.9030801,668028.65399906,30
KRW-ATH,2025-01-25T22:30:00,2025-01-26T07:30:00,85.24,85.38,85.1,85.2,1737845981155,21934467.06086155,257399.738815,30
KRW-ATH,2025-01-25T22:00:00,2025-01-26T07:00:00,85.15,85.62,85.09,85.25,1737844170298,22616696.06085949,265062.351279,30
KRW-ATH,2025-01-25T21:30:00,2025-01-26T06:30:00,85.04,85.27,85.02,85.15,1737842386232,33045715.88882001,387991.1006511,30
KRW-ATH,2025-01-25T21:00:00,2025-01-26T06:00:00,85.29,85.29,85.03,85.03,1737840598875,15384099.25365458,180632.45082984,30
KRW-ATH,2025-01-25T20:30:00,2025-01-26T05:30:00,85.55,85.55,85.29,85.29,1737838761262,15583642.20285598,182388.57602604,30
KRW-ATH,2025-01-25T20:00:00,2025-01-26T05:00:00,85.57,85.67,85.35,85.55,1737836948924,17917999.97675379,209450.19391494,30
KRW-ATH,2025-01-25T19:30:00,2025-01-26T04:30:00,85.47,85.54,85.32,85.47,1737835156023,24803112.85371332,290430.07500554,30
KRW-ATH,2025-01-25T19:00:00,2025-01-26T04:00:00,85.46,85.61,85.45,85.47,1737833320632,10823189.76114491,126574.62367528,30
KRW-ATH,2025-01-25T18:30:00,2025-01-26T03:30:00,85.46,85.61,85.43,85.43,1737831371546,10370848.05260538,121331.83874951,30
KRW-ATH,2025-01-25T18:00:00,2025-01-26T03:00:00,85.34,85.46,85.26,85.32,1737829739796,41081722.28315435,481320.65683073,30
KRW-ATH,2025-01-25T17:30:00,2025-01-26T02:30:00,85.13,85.34,84.82,85.34,1737827998261,38927106.77108238,457404.53188698,30
KRW-ATH,2025-01-25T17:00:00,2025-01-26T02:00:00,84.96,85.14,84.81,85.13,1737826139396,11881441.92259124,139895.48990449,30
KRW-ATH,2025-01-25T16:30:00,2025-01-26T01:30:00,85.01,85.2,84.74,84.95,1737824377608,46664724.30380064,549747.96333657,30
KRW-ATH,2025-01-25T16:00:00,2025-01-26T01:00:00,85.27,85.31,84.99,85.2,1737822534410,39223299.47702917,460200.15060549,30
KRW-ATH,2025-01-25T15:30:00,2025-01-26T00:30:00,85.29,85.29,84.95,85.27,1737820782106,23869168.18431392,280334.81859649,30
KRW-ATH,2025-01-25T15:00:00,2025-01-26T00:00:00,85.03,85.33,84.9,85.16,1737818997771,247732502.63423496,2911435.72890586,30
KRW-ATH,2025-01-25T14:30:00,2025-01-25T23:30:00,85.25,85.33,85.01,85.03,1737817199204,71328023.05968682,838462.11741969,30
KRW-ATH,2025-01-25T14:00:00,2025-01-25T23:00:00,85.54,85.54,85.07,85.08,1737815395273,44493294.22683739,522649.85357063,30
