market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ATOM,2025-01-27T13:30:00,2025-01-27T22:30:00,8869,8909,8859,8891,1737984813156,3065162.60770835,345.28556399,30
KRW-ATOM,2025-01-27T13:00:00,2025-01-27T22:00:00,8852,8935,8810,8863,1737984565266,148203672.91920632,16684.22060152,30
KRW-ATOM,2025-01-27T12:30:00,2025-01-27T21:30:00,8644,8899,8640,8840,1737982798833,244745654.9580291,27806.93752106,30
KRW-ATOM,2025-01-27T12:00:00,2025-01-27T21:00:00,8616,8676,8600,8644,1737980993664,60048559.8547852,6955.72886294,30
KRW-ATOM,2025-01-27T11:30:00,2025-01-27T20:30:00,8680,8695,8616,8616,1737979197432,51949630.81293582,6001.16077345,30
KRW-ATOM,2025-01-27T11:00:00,2025-01-27T20:00:00,8609,8700,8591,8689,1737977393229,95836377.54733258,11114.8088281,30
KRW-ATOM,2025-01-27T10:30:00,2025-01-27T19:30:00,8661,8676,8584,8600,1737975585278,156847077.32476872,18215.94123079,30
KRW-ATOM,2025-01-27T10:00:00,2025-01-27T19:00:00,8711,8717,8660,8660,1737973732055,55707617.49928356,6414.92572901,30
KRW-ATOM,2025-01-27T09:30:00,2025-01-27T18:30:00,8641,8725,8634,8710,1737971997952,62480300.79817718,7197.28890894,30
KRW-ATOM,2025-01-27T09:00:00,2025-01-27T18:00:00,8647,8742,8618,8648,1737970194644,92839622.30027328,10681.47902896,30
KRW-ATOM,2025-01-27T08:30:00,2025-01-27T17:30:00,8701,8705,8601,8647,1737968386305,200012543.94643512,23149.69369697,30
KRW-ATOM,2025-01-27T08:00:00,2025-01-27T17:00:00,8783,8783,8682,8701,1737966599230,127394184.12886797,14608.27867342,30
KRW-ATOM,2025-01-27T07:30:00,2025-01-27T16:30:00,8630,8825,8629,8783,1737964798187,152919536.73271716,17498.20787857,30
KRW-ATOM,2025-01-27T07:00:00,2025-01-27T16:00:00,8832,8858,8630,8630,1737962999605,468200543.63606715,53564.90763836,30
KRW-ATOM,2025-01-27T06:30:00,2025-01-27T15:30:00,8871,8892,8789,8832,1737961195507,269430046.9043668,30515.56050999,30
KRW-ATOM,2025-01-27T06:00:00,2025-01-27T15:00:00,8926,8951,8868,8885,1737959351699,220589079.872608,24810.87366137,30
KRW-ATOM,2025-01-27T05:30:00,2025-01-27T14:30:00,8939,8939,8883,8926,1737957598580,120242591.99686076,13508.99101403,30
KRW-ATOM,2025-01-27T05:00:00,2025-01-27T14:00:00,8979,8993,8903,8930,1737955788999,138628177.50069705,15514.26195619,30
KRW-ATOM,2025-01-27T04:30:00,2025-01-27T13:30:00,9019,9053,8972,8972,1737953971247,31305350.59770343,3474.66995697,30
KRW-ATOM,2025-01-27T04:00:00,2025-01-27T13:00:00,9095,9095,9013,9019,1737952179907,81392428.24955285,9020.20962667,30
KRW-ATOM,2025-01-27T03:30:00,2025-01-27T12:30:00,9107,9107,9046,9095,1737950398909,43215461.00845906,4766.53432026,30
KRW-ATOM,2025-01-27T03:00:00,2025-01-27T12:00:00,8999,9120,8975,9109,1737948594116,100685494.07867754,11111.28914354,30
KRW-ATOM,2025-01-27T02:30:00,2025-01-27T11:30:00,8988,9014,8941,9003,1737946798476,112953720.89654487,12586.64403321,30
KRW-ATOM,2025-01-27T02:00:00,2025-01-27T11:00:00,9076,9076,8959,8988,1737944998707,242662216.74223015,26946.9707497,30
KRW-ATOM,2025-01-27T01:30:00,2025-01-27T10:30:00,9109,9160,9071,9072,1737943199334,53310622.08812092,5849.59891246,30
KRW-ATOM,2025-01-27T01:00:00,2025-01-27T10:00:00,9145,9169,9050,9100,1737941353369,166240045.174392,18252.54597024,30
KRW-ATOM,2025-01-27T00:30:00,2025-01-27T09:30:00,9220,9237,9145,9145,1737939594020,282443967.19683397,30741.20481408,30
KRW-ATOM,2025-01-27T00:00:00,2025-01-27T09:00:00,9290,9302,9189,9219,1737937773760,143275911.11047277,15514.2554525,30
KRW-ATOM,2025-01-26T23:30:00,2025-01-27T08:30:00,9362,9368,9267,9284,1737935999725,173107459.59985748,18598.4234382,30
KRW-ATOM,2025-01-26T23:00:00,2025-01-27T08:00:00,9425,9444,9335,9368,1737934188870,202776568.3588816,21580.51170774,30
KRW-ATOM,2025-01-26T22:30:00,2025-01-27T07:30:00,9594,9594,9403,9445,1737932383341,129957207.15862943,13712.32334304,30
KRW-ATOM,2025-01-26T22:00:00,2025-01-27T07:00:00,9543,9642,9520,9594,1737930526539,229593653.87344652,23933.74674807,30
KRW-ATOM,2025-01-26T21:30:00,2025-01-27T06:30:00,9540,9565,9506,9543,1737928798167,57340670.92897878,6011.37632542,30
KRW-ATOM,2025-01-26T21:00:00,2025-01-27T06:00:00,9485,9557,9464,9540,1737926884620,58746264.30331613,6184.97043398,30
KRW-ATOM,2025-01-26T20:30:00,2025-01-27T05:30:00,9505,9508,9471,9485,1737925196439,29557736.23279609,3118.06795651,30
KRW-ATOM,2025-01-26T20:00:00,2025-01-27T05:00:00,9535,9554,9485,9505,1737923373385,25482095.45037909,2681.59755023,30
KRW-ATOM,2025-01-26T19:30:00,2025-01-27T04:30:00,9605,9605,9535,9535,1737921528022,44050125.63001245,4595.30236637,30
KRW-ATOM,2025-01-26T19:00:00,2025-01-27T04:00:00,9561,9605,9548,9605,1737919788596,32463086.1629674,3386.54548038,30
KRW-ATOM,2025-01-26T18:30:00,2025-01-27T03:30:00,9556,9582,9548,9561,1737917968617,51436089.59072528,5377.55869322,30
KRW-ATOM,2025-01-26T18:00:00,2025-01-27T03:00:00,9456,9555,9454,9552,1737916131651,88521323.23968291,9300.11145186,30
KRW-ATOM,2025-01-26T17:30:00,2025-01-27T02:30:00,9378,9480,9378,9457,1737914398754,38174531.80350409,4042.7264618,30
KRW-ATOM,2025-01-26T17:00:00,2025-01-27T02:00:00,9398,9430,9373,9373,1737912549382,38210069.79720026,4058.79650172,30
KRW-ATOM,2025-01-26T16:30:00,2025-01-27T01:30:00,9375,9400,9359,9398,1737910748973,32739525.0379311,3486.16925465,30
KRW-ATOM,2025-01-26T16:00:00,2025-01-27T01:00:00,9345,9375,9298,9375,1737908996371,90587023.37733243,9717.71513157,30
KRW-ATOM,2025-01-26T15:30:00,2025-01-27T00:30:00,9310,9359,9310,9340,1737907195722,26793347.92200825,2867.92281997,30
KRW-ATOM,2025-01-26T15:00:00,2025-01-27T00:00:00,9303,9320,9295,9303,1737905313924,48145631.98178437,5176.16439707,30
KRW-ATOM,2025-01-26T14:30:00,2025-01-26T23:30:00,9260,9303,9260,9303,1737903588362,20167242.46193948,2172.04014952,30
KRW-ATOM,2025-01-26T14:00:00,2025-01-26T23:00:00,9275,9275,9238,9262,1737901705121,27256876.17735122,2945.1177183,30
KRW-ATOM,2025-01-26T13:30:00,2025-01-26T22:30:00,9299,9308,9275,9275,1737899996144,30497016.85612572,3282.36100397,30
KRW-ATOM,2025-01-26T13:00:00,2025-01-26T22:00:00,9286,9306,9270,9299,1737898187257,31865773.69365519,3429.10660643,30
KRW-ATOM,2025-01-26T12:30:00,2025-01-26T21:30:00,9270,9286,9251,9286,1737896313591,116307735.67538169,12560.2865917,30
KRW-ATOM,2025-01-26T12:00:00,2025-01-26T21:00:00,9267,9277,9250,9277,1737894568187,7181426.72804327,775.24586637,30
KRW-ATOM,2025-01-26T11:30:00,2025-01-26T20:30:00,9224,9287,9224,9267,1737892796553,50931320.76477622,5494.60953438,30
KRW-ATOM,2025-01-26T11:00:00,2025-01-26T20:00:00,9197,9237,9190,9220,1737890929119,12049687.61952173,1308.73364137,30
KRW-ATOM,2025-01-26T10:30:00,2025-01-26T19:30:00,9213,9213,9172,9198,1737889197888,47497515.41819574,5168.76237677,30
KRW-ATOM,2025-01-26T10:00:00,2025-01-26T19:00:00,9177,9217,9177,9210,1737887340562,37749072.36953863,4103.57833549,30
KRW-ATOM,2025-01-26T09:30:00,2025-01-26T18:30:00,9200,9213,9168,9176,1737885596786,34742399.67712975,3783.78796676,30
KRW-ATOM,2025-01-26T09:00:00,2025-01-26T18:00:00,9249,9249,9189,9200,1737883772900,48476634.86730422,5262.08241854,30
KRW-ATOM,2025-01-26T08:30:00,2025-01-26T17:30:00,9234,9249,9211,9249,1737881977955,21141020.71902588,2293.25532522,30
KRW-ATOM,2025-01-26T08:00:00,2025-01-26T17:00:00,9250,9300,9228,9238,1737880147845,53047195.72532605,5728.23367031,30
KRW-ATOM,2025-01-26T07:30:00,2025-01-26T16:30:00,9235,9250,9209,9245,1737878397379,21341525.17840431,2311.44300709,30
KRW-ATOM,2025-01-26T07:00:00,2025-01-26T16:00:00,9220,9250,9220,9234,1737876599764,29247023.76768344,3165.906811,30
KRW-ATOM,2025-01-26T06:30:00,2025-01-26T15:30:00,9199,9218,9195,9213,1737874774058,49320793.68063185,5358.43929321,30
KRW-ATOM,2025-01-26T06:00:00,2025-01-26T15:00:00,9220,9246,9199,9199,1737872992858,74032736.81250496,8027.00279271,30
KRW-ATOM,2025-01-26T05:30:00,2025-01-26T14:30:00,9213,9241,9210,9220,1737871197752,45709503.08899378,4955.04938059,30
KRW-ATOM,2025-01-26T05:00:00,2025-01-26T14:00:00,9250,9250,9200,9213,1737869396969,40502068.65921136,4389.19379081,30
KRW-ATOM,2025-01-26T04:30:00,2025-01-26T13:30:00,9273,9277,9245,9250,1737867587172,36420420.58959201,3933.64945316,30
KRW-ATOM,2025-01-26T04:00:00,2025-01-26T13:00:00,9195,9275,9195,9273,1737865792153,30313452.47250585,3282.28394416,30
KRW-ATOM,2025-01-26T03:30:00,2025-01-26T12:30:00,9171,9230,9171,9194,1737863998028,47027313.66477518,5109.225079,30
KRW-ATOM,2025-01-26T03:00:00,2025-01-26T12:00:00,9174,9196,9155,9156,1737862024260,74131691.8555387,8081.85130933,30
KRW-ATOM,2025-01-26T02:30:00,2025-01-26T11:30:00,9216,9216,9155,9169,1737860328783,60228593.53057154,6567.14045324,30
KRW-ATOM,2025-01-26T02:00:00,2025-01-26T11:00:00,9224,9224,9190,9205,1737858474425,63055572.93196916,6850.67803168,30
KRW-ATOM,2025-01-26T01:30:00,2025-01-26T10:30:00,9275,9283,9200,9225,1737856798389,121066570.76863149,13101.05976805,30
KRW-ATOM,2025-01-26T01:00:00,2025-01-26T10:00:00,9300,9316,9224,9268,1737854989008,109341109.94925465,11810.92177933,30
KRW-ATOM,2025-01-26T00:30:00,2025-01-26T09:30:00,9333,9340,9300,9300,1737853194988,47773899.20760554,5125.78332775,30
KRW-ATOM,2025-01-26T00:00:00,2025-01-26T09:00:00,9308,9340,9273,9330,1737851387883,237966898.8694654,25565.02274954,30
KRW-ATOM,2025-01-25T23:30:00,2025-01-26T08:30:00,9306,9312,9270,9292,1737849598701,107893971.64783664,11615.01800882,30
KRW-ATOM,2025-01-25T23:00:00,2025-01-26T08:00:00,9319,9327,9286,9303,1737847660440,36383218.94032821,3909.03270362,30
KRW-ATOM,2025-01-25T22:30:00,2025-01-26T07:30:00,9337,9337,9310,9326,1737845982305,20109696.31642101,2158.71739939,30
KRW-ATOM,2025-01-25T22:00:00,2025-01-26T07:00:00,9323,9360,9323,9337,1737844148996,10596934.89012528,1134.43603258,30
KRW-ATOM,2025-01-25T21:30:00,2025-01-26T06:30:00,9304,9320,9291,9320,1737842399159,5660983.73140525,608.76511877,30
KRW-ATOM,2025-01-25T21:00:00,2025-01-26T06:00:00,9312,9316,9292,9300,1737840185440,15852616.08714496,1703.75388777,30
KRW-ATOM,2025-01-25T20:30:00,2025-01-26T05:30:00,9343,9352,9309,9309,1737838773453,24235637.87651004,2595.69828044,30
