market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AUCTION,2025-01-27T13:30:00,2025-01-27T22:30:00,18490,18490,18470,18470,1737984756459,2884907.0872098,156.0947076,30
KRW-AUCTION,2025-01-27T13:00:00,2025-01-27T22:00:00,18380,18620,18350,18500,1737984462398,25004148.4477172,1353.4487898,30
KRW-AUCTION,2025-01-27T12:30:00,2025-01-27T21:30:00,17990,18600,17990,18470,1737982797891,66569387.1493054,3624.12871951,30
KRW-AUCTION,2025-01-27T12:00:00,2025-01-27T21:00:00,17980,18070,17950,17950,1737980874687,7549607.8580112,419.49745169,30
KRW-AUCTION,2025-01-27T11:30:00,2025-01-27T20:30:00,18050,18120,17980,17980,1737979150180,5817585.3200548,322.34729722,30
KRW-AUCTION,2025-01-27T11:00:00,2025-01-27T20:00:00,17930,18100,17910,18090,1737977312853,20494261.1911438,1141.56863572,30
KRW-AUCTION,2025-01-27T10:30:00,2025-01-27T19:30:00,18000,18040,17860,17910,1737975554727,18221127.8209985,1015.10830797,30
KRW-AUCTION,2025-01-27T10:00:00,2025-01-27T19:00:00,18210,18210,18020,18020,1737973743806,22890451.5881413,1266.0000073,30
KRW-AUCTION,2025-01-27T09:30:00,2025-01-27T18:30:00,18060,18260,18060,18210,1737971886319,8466297.5105785,466.71712864,30
KRW-AUCTION,2025-01-27T09:00:00,2025-01-27T18:00:00,18010,18270,18000,18080,1737970190095,17368193.9706415,958.17142343,30
KRW-AUCTION,2025-01-27T08:30:00,2025-01-27T17:30:00,18040,18130,17830,18010,1737968368890,118879851.75532,6632.91375829,30
KRW-AUCTION,2025-01-27T08:00:00,2025-01-27T17:00:00,18200,18200,18030,18130,1737966595076,140520643.0672816,7752.57294809,30
KRW-AUCTION,2025-01-27T07:30:00,2025-01-27T16:30:00,17880,18310,17870,18210,1737964780099,114760630.8226586,6316.35812069,30
KRW-AUCTION,2025-01-27T07:00:00,2025-01-27T16:00:00,18280,18340,17800,17800,1737962991826,149053181.8394259,8221.30357529,30
KRW-AUCTION,2025-01-27T06:30:00,2025-01-27T15:30:00,18500,18510,18210,18280,1737961199782,459426205.224556,25032.58985894,30
KRW-AUCTION,2025-01-27T06:00:00,2025-01-27T15:00:00,18620,18670,18430,18490,1737959264259,66195154.336252,3579.46317564,30
KRW-AUCTION,2025-01-27T05:30:00,2025-01-27T14:30:00,18630,18660,18510,18640,1737957547262,57829978.8899135,3112.79834932,30
KRW-AUCTION,2025-01-27T05:00:00,2025-01-27T14:00:00,18660,18700,18610,18670,1737955543623,12113041.6908668,649.76754576,30
KRW-AUCTION,2025-01-27T04:30:00,2025-01-27T13:30:00,18670,18780,18660,18660,1737953812285,23175513.1489317,1238.93249164,30
KRW-AUCTION,2025-01-27T04:00:00,2025-01-27T13:00:00,18830,18830,18670,18690,1737952109252,58953287.4903582,3142.75907073,30
KRW-AUCTION,2025-01-27T03:30:00,2025-01-27T12:30:00,18850,18850,18770,18840,1737950342471,24734604.5176352,1314.54513357,30
KRW-AUCTION,2025-01-27T03:00:00,2025-01-27T12:00:00,18670,18880,18620,18870,1737948561530,29970812.6121227,1598.86700288,30
KRW-AUCTION,2025-01-27T02:30:00,2025-01-27T11:30:00,18720,18750,18620,18630,1737946799963,42280914.6906831,2265.53797665,30
KRW-AUCTION,2025-01-27T02:00:00,2025-01-27T11:00:00,18800,18850,18660,18720,1737944978449,70939988.7923935,3784.37585196,30
KRW-AUCTION,2025-01-27T01:30:00,2025-01-27T10:30:00,18870,18950,18810,18810,1737943118781,28575450.7166802,1514.22319897,30
KRW-AUCTION,2025-01-27T01:00:00,2025-01-27T10:00:00,19070,19120,18760,18870,1737941396835,175460331.0133028,9282.30241149,30
KRW-AUCTION,2025-01-27T00:30:00,2025-01-27T09:30:00,19260,19260,19010,19070,1737939549458,58744898.7694345,3068.65792539,30
KRW-AUCTION,2025-01-27T00:00:00,2025-01-27T09:00:00,19360,19470,19160,19260,1737937799933,180270932.2223705,9344.54747432,30
KRW-AUCTION,2025-01-26T23:30:00,2025-01-27T08:30:00,19500,19510,19200,19390,1737935969589,174868108.1536789,9032.10056924,30
KRW-AUCTION,2025-01-26T23:00:00,2025-01-27T08:00:00,19660,19710,19400,19490,1737934188290,78574638.552611,4026.25101805,30
KRW-AUCTION,2025-01-26T22:30:00,2025-01-27T07:30:00,19750,19830,19670,19680,1737932390481,22002122.1407724,1112.25565737,30
KRW-AUCTION,2025-01-26T22:00:00,2025-01-27T07:00:00,19710,19760,19600,19760,1737930565967,18243063.0922155,927.5902198,30
KRW-AUCTION,2025-01-26T21:30:00,2025-01-27T06:30:00,19780,19810,19710,19710,1737928796093,24035772.1947022,1216.61732828,30
KRW-AUCTION,2025-01-26T21:00:00,2025-01-27T06:00:00,19870,19870,19770,19780,1737926261004,22707674.8085143,1147.31823431,30
KRW-AUCTION,2025-01-26T20:30:00,2025-01-27T05:30:00,19950,19950,19900,19900,1737924650471,320049.5555162,16.05227419,30
KRW-AUCTION,2025-01-26T20:00:00,2025-01-27T05:00:00,19980,19990,19930,19940,1737922834696,474235.3733746,23.75178264,30
KRW-AUCTION,2025-01-26T19:30:00,2025-01-27T04:30:00,19940,20040,19940,19990,1737921123638,12286415.2976036,614.60176164,30
KRW-AUCTION,2025-01-26T19:00:00,2025-01-27T04:00:00,19940,19970,19940,19940,1737919465793,1124467.0044684,56.39177442,30
KRW-AUCTION,2025-01-26T18:30:00,2025-01-27T03:30:00,19990,19990,19940,19940,1737917891825,2395852.6273662,120.13970968,30
KRW-AUCTION,2025-01-26T18:00:00,2025-01-27T03:00:00,20040,20040,19970,19970,1737915606586,209522.9714212,10.49013727,30
KRW-AUCTION,2025-01-26T17:30:00,2025-01-27T02:30:00,19940,20080,19900,20080,1737913933374,16209338.6533903,810.65971391,30
KRW-AUCTION,2025-01-26T17:00:00,2025-01-27T02:00:00,19980,20000,19940,19980,1737912550495,7181186.4621853,359.47936045,30
KRW-AUCTION,2025-01-26T16:30:00,2025-01-27T01:30:00,19940,20000,19940,19960,1737910513910,9698237.2520348,485.77269676,30
KRW-AUCTION,2025-01-26T16:00:00,2025-01-27T01:00:00,19950,19950,19870,19940,1737908985356,10347944.7166759,519.16053804,30
KRW-AUCTION,2025-01-26T15:30:00,2025-01-27T00:30:00,20020,20020,19870,19950,1737907090268,58231750.5299204,2917.82803049,30
KRW-AUCTION,2025-01-26T15:00:00,2025-01-27T00:00:00,19870,20050,19870,20030,1737905393640,64060679.7438053,3209.56370748,30
KRW-AUCTION,2025-01-26T14:30:00,2025-01-26T23:30:00,19830,19950,19830,19870,1737903586394,11233291.228452,564.50458824,30
KRW-AUCTION,2025-01-26T14:00:00,2025-01-26T23:00:00,19900,19900,19830,19830,1737901687644,9022077.2553713,454.57291719,30
KRW-AUCTION,2025-01-26T13:30:00,2025-01-26T22:30:00,19800,19870,19790,19870,1737899977458,13186148.4354149,665.40175354,30
KRW-AUCTION,2025-01-26T13:00:00,2025-01-26T22:00:00,19830,19880,19760,19790,1737898095322,50034963.7221443,2523.88819817,30
KRW-AUCTION,2025-01-26T12:30:00,2025-01-26T21:30:00,19810,19810,19740,19810,1737896302232,23171782.1397045,1171.94449863,30
KRW-AUCTION,2025-01-26T12:00:00,2025-01-26T21:00:00,19780,19850,19770,19820,1737894578256,11901879.1533971,601.09678004,30
KRW-AUCTION,2025-01-26T11:30:00,2025-01-26T20:30:00,19780,19850,19750,19790,1737892669449,3121006.0325046,157.76271437,30
KRW-AUCTION,2025-01-26T11:00:00,2025-01-26T20:00:00,19730,19810,19700,19790,1737890925128,46564646.7322112,2354.11081762,30
KRW-AUCTION,2025-01-26T10:30:00,2025-01-26T19:30:00,19690,19740,19650,19710,1737889183575,11571087.478295,588.0364555,30
KRW-AUCTION,2025-01-26T10:00:00,2025-01-26T19:00:00,19590,19680,19590,19680,1737887395990,18277739.5408566,930.18406113,30
KRW-AUCTION,2025-01-26T09:30:00,2025-01-26T18:30:00,19690,19690,19580,19610,1737885599038,40865270.0833469,2083.48299135,30
KRW-AUCTION,2025-01-26T09:00:00,2025-01-26T18:00:00,19830,19830,19700,19700,1737883765662,24065350.7151472,1219.7252346,30
KRW-AUCTION,2025-01-26T08:30:00,2025-01-26T17:30:00,19800,19860,19770,19800,1737881791564,21320877.2954137,1075.91399184,30
KRW-AUCTION,2025-01-26T08:00:00,2025-01-26T17:00:00,19880,19900,19790,19800,1737880136005,24298367.2245303,1223.88428513,30
KRW-AUCTION,2025-01-26T07:30:00,2025-01-26T16:30:00,19830,19850,19750,19790,1737878291845,21361589.3318761,1078.96659016,30
KRW-AUCTION,2025-01-26T07:00:00,2025-01-26T16:00:00,19830,19920,19820,19860,1737876591353,24743849.7071999,1245.37524552,30
KRW-AUCTION,2025-01-26T06:30:00,2025-01-26T15:30:00,19840,19860,19800,19820,1737874764030,57841089.4914622,2920.85103971,30
KRW-AUCTION,2025-01-26T06:00:00,2025-01-26T15:00:00,19870,19890,19810,19830,1737872969314,15467753.8944752,779.11971636,30
KRW-AUCTION,2025-01-26T05:30:00,2025-01-26T14:30:00,19790,19900,19750,19860,1737871019248,25034250.6463848,1262.80249075,30
KRW-AUCTION,2025-01-26T05:00:00,2025-01-26T14:00:00,19790,19810,19730,19770,1737869372820,10827226.5297103,547.23305021,30
KRW-AUCTION,2025-01-26T04:30:00,2025-01-26T13:30:00,19830,19900,19790,19830,1737867581088,27487406.7336506,1384.38483437,30
KRW-AUCTION,2025-01-26T04:00:00,2025-01-26T13:00:00,19700,19830,19670,19830,1737865732628,18983422.4470109,959.38402788,30
KRW-AUCTION,2025-01-26T03:30:00,2025-01-26T12:30:00,19690,19780,19690,19740,1737863900866,13492828.9393686,684.33565821,30
KRW-AUCTION,2025-01-26T03:00:00,2025-01-26T12:00:00,19720,19770,19620,19620,1737862039413,17409236.7203714,884.24718302,30
KRW-AUCTION,2025-01-26T02:30:00,2025-01-26T11:30:00,19680,19730,19640,19700,1737860365101,18945003.2200568,963.54623394,30
KRW-AUCTION,2025-01-26T02:00:00,2025-01-26T11:00:00,19710,19760,19640,19680,1737858538742,38988556.7647157,1979.68677341,30
KRW-AUCTION,2025-01-26T01:30:00,2025-01-26T10:30:00,19770,19890,19710,19710,1737856742030,34628742.451755,1751.73172845,30
KRW-AUCTION,2025-01-26T01:00:00,2025-01-26T10:00:00,19680,19800,19680,19760,1737854970947,18093569.3068869,916.11938803,30
KRW-AUCTION,2025-01-26T00:30:00,2025-01-26T09:30:00,19680,19710,19610,19680,1737853155469,48665130.1846672,2471.65096947,30
KRW-AUCTION,2025-01-26T00:00:00,2025-01-26T09:00:00,19500,19680,19400,19680,1737851395734,108418135.842384,5558.88644222,30
KRW-AUCTION,2025-01-25T23:30:00,2025-01-26T08:30:00,19540,19560,19500,19560,1737849584926,11404635.0873303,583.9826596,30
KRW-AUCTION,2025-01-25T23:00:00,2025-01-26T08:00:00,19610,19610,19510,19540,1737847743154,34358168.325535,1756.85736244,30
KRW-AUCTION,2025-01-25T22:30:00,2025-01-26T07:30:00,19620,19620,19530,19610,1737845934913,9674625.991103,494.07438491,30
KRW-AUCTION,2025-01-25T22:00:00,2025-01-26T07:00:00,19620,19650,19610,19620,1737843906389,12539032.3172281,638.73880477,30
KRW-AUCTION,2025-01-25T21:30:00,2025-01-26T06:30:00,19530,19590,19510,19590,1737842086666,2351122.9515629,120.35416316,30
