market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AVAX,2025-01-27T13:30:00,2025-01-27T22:30:00,51800,52040,51740,52040,1737984825246,23972963.261476,462.03702965,30
KRW-AVAX,2025-01-27T13:00:00,2025-01-27T22:00:00,51950,52260,51640,51800,1737984585824,758718440.8612114,14614.77032678,30
KRW-AVAX,2025-01-27T12:30:00,2025-01-27T21:30:00,50860,52290,50770,51940,1737982798157,1099218190.461298,21328.93650374,30
KRW-AVAX,2025-01-27T12:00:00,2025-01-27T21:00:00,51000,51250,50780,50860,1737980995827,531523133.8638651,10435.13627581,30
KRW-AVAX,2025-01-27T11:30:00,2025-01-27T20:30:00,51340,51490,51000,51000,1737979199862,542409935.8078852,10599.72718321,30
KRW-AVAX,2025-01-27T11:00:00,2025-01-27T20:00:00,51040,51480,51040,51400,1737977390417,534727843.881148,10433.11462114,30
KRW-AVAX,2025-01-27T10:30:00,2025-01-27T19:30:00,51540,51590,51010,51040,1737975599765,537889528.9502617,10497.89593082,30
KRW-AVAX,2025-01-27T10:00:00,2025-01-27T19:00:00,51900,51920,51510,51540,1737973765125,391940739.6681086,7584.08185072,30
KRW-AVAX,2025-01-27T09:30:00,2025-01-27T18:30:00,51570,51920,51430,51900,1737971996324,212282327.4035644,4102.90535674,30
KRW-AVAX,2025-01-27T09:00:00,2025-01-27T18:00:00,51700,52150,51480,51580,1737970191172,456720623.842655,8803.991704,30
KRW-AVAX,2025-01-27T08:30:00,2025-01-27T17:30:00,51950,51960,51340,51650,1737968368678,432111384.669919,8384.48398945,30
KRW-AVAX,2025-01-27T08:00:00,2025-01-27T17:00:00,52340,52340,51720,51960,1737966585550,586467724.2090366,11284.3860995,30
KRW-AVAX,2025-01-27T07:30:00,2025-01-27T16:30:00,51370,52630,51310,52340,1737964792129,918032736.7288915,17618.43871217,30
KRW-AVAX,2025-01-27T07:00:00,2025-01-27T16:00:00,52520,52680,51320,51400,1737962998306,1313769410.134629,25258.95584576,30
KRW-AVAX,2025-01-27T06:30:00,2025-01-27T15:30:00,52850,52990,52260,52570,1737961199081,834949018.8605862,15878.41895881,30
KRW-AVAX,2025-01-27T06:00:00,2025-01-27T15:00:00,53200,53230,52750,52840,1737959395778,383792649.8224993,7249.05993594,30
KRW-AVAX,2025-01-27T05:30:00,2025-01-27T14:30:00,53380,53430,52900,53210,1737957600002,501848603.2193047,9448.15116102,30
KRW-AVAX,2025-01-27T05:00:00,2025-01-27T14:00:00,53300,53600,53190,53430,1737955780601,255015427.1754457,4779.5853114,30
