market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-AXS,2025-01-27T13:30:00,2025-01-27T22:30:00,8211,8230,8206,8230,1737984821065,2446370.0959649,297.33456796,30
KRW-AXS,2025-01-27T13:00:00,2025-01-27T22:00:00,8167,8244,8130,8228,1737984595620,97185900.7123806,11848.73114374,30
KRW-AXS,2025-01-27T12:30:00,2025-01-27T21:30:00,7976,8221,7966,8167,1737982782777,79349433.7385583,9761.82938971,30
KRW-AXS,2025-01-27T12:00:00,2025-01-27T21:00:00,7976,8010,7955,7977,1737980989052,40364820.74012517,5062.07534497,30
KRW-AXS,2025-01-27T11:30:00,2025-01-27T20:30:00,7990,8023,7980,7980,1737979179261,35245762.33351823,4408.10051472,30
KRW-AXS,2025-01-27T11:00:00,2025-01-27T20:00:00,7920,7995,7911,7990,1737977298860,80250939.47947706,10062.6910697,30
KRW-AXS,2025-01-27T10:30:00,2025-01-27T19:30:00,7985,7985,7910,7920,1737975585888,100627533.53247768,12677.81776434,30
KRW-AXS,2025-01-27T10:00:00,2025-01-27T19:00:00,8024,8024,7978,7998,1737973766411,60896247.54956792,7611.41702352,30
KRW-AXS,2025-01-27T09:30:00,2025-01-27T18:30:00,7951,8030,7942,8024,1737971991497,58364531.84344153,7313.47558427,30
KRW-AXS,2025-01-27T09:00:00,2025-01-27T18:00:00,7946,8016,7911,7960,1737970180248,97222061.51320992,12185.92525362,30
KRW-AXS,2025-01-27T08:30:00,2025-01-27T17:30:00,7985,7985,7886,7946,1737968327738,83360473.73327547,10539.13701114,30
KRW-AXS,2025-01-27T08:00:00,2025-01-27T17:00:00,8026,8026,7938,7986,1737966581684,132394373.1634817,16598.6677152,30
KRW-AXS,2025-01-27T07:30:00,2025-01-27T16:30:00,7900,8088,7899,8035,1737964789563,252822709.4398771,31630.47657288,30
KRW-AXS,2025-01-27T07:00:00,2025-01-27T16:00:00,8052,8085,7900,7900,1737962999151,346894434.7570529,43435.88714551,30
KRW-AXS,2025-01-27T06:30:00,2025-01-27T15:30:00,8086,8086,8000,8040,1737961196658,327591531.14565355,40748.92038194,30
KRW-AXS,2025-01-27T06:00:00,2025-01-27T15:00:00,8132,8136,8086,8086,1737959392699,142951335.65251538,17633.10768523,30
