market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BAT,2025-01-27T13:30:00,2025-01-27T22:30:00,333,335.2,333,335.2,1737984799093,25653067.31751963,76901.50223935,30
KRW-BAT,2025-01-27T13:00:00,2025-01-27T22:00:00,331.5,335.2,330.7,333.3,1737984564706,50471799.41587833,151382.9844484,30
KRW-BAT,2025-01-27T12:30:00,2025-01-27T21:30:00,324.4,334.5,324.2,332,1737982789300,100707166.23674348,304542.7535691,30
KRW-BAT,2025-01-27T12:00:00,2025-01-27T21:00:00,324.3,326.1,323.2,323.6,1737980995851,40605285.07297666,125250.63750336,30
KRW-BAT,2025-01-27T11:30:00,2025-01-27T20:30:00,326.8,327.8,324.2,324.2,1737979198798,7637353.02398171,23398.07035441,30
KRW-BAT,2025-01-27T11:00:00,2025-01-27T20:00:00,325.1,327.4,324.4,327.2,1737977004482,40249577.55648207,123824.50896127,30
KRW-BAT,2025-01-27T10:30:00,2025-01-27T19:30:00,327.8,327.8,324.5,324.8,1737975588902,38525976.58848247,118286.77025019,30
KRW-BAT,2025-01-27T10:00:00,2025-01-27T19:00:00,329.9,330.1,327.7,327.8,1737973681005,27254129.13863387,82816.14118917,30
KRW-BAT,2025-01-27T09:30:00,2025-01-27T18:30:00,327.5,330.6,326.6,330.5,1737971957993,31125804.6174855,94797.35460464,30
KRW-BAT,2025-01-27T09:00:00,2025-01-27T18:00:00,325.4,330.3,325.3,327.4,1737970184215,8300958.4029675,25324.07504607,30
KRW-BAT,2025-01-27T08:30:00,2025-01-27T17:30:00,327,327,323.1,325.5,1737968361442,35234105.95804659,108703.24709082,30
KRW-BAT,2025-01-27T08:00:00,2025-01-27T17:00:00,329.2,329.2,325.5,327.8,1737966538627,80650069.02937922,246824.11997264,30
KRW-BAT,2025-01-27T07:30:00,2025-01-27T16:30:00,322.3,330.1,322.3,329.2,1737964747612,97439142.13688993,299416.18321803,30
KRW-BAT,2025-01-27T07:00:00,2025-01-27T16:00:00,328.2,329.8,322,322,1737962999642,162695180.94925323,498992.82612843,30
KRW-BAT,2025-01-27T06:30:00,2025-01-27T15:30:00,331.5,331.5,327.1,327.8,1737961149136,103027283.72685292,312902.97874714,30
KRW-BAT,2025-01-27T06:00:00,2025-01-27T15:00:00,332.6,333.9,331.1,331.9,1737959382887,15870139.15273126,47738.0424203,30
KRW-BAT,2025-01-27T05:30:00,2025-01-27T14:30:00,332.4,332.4,330.5,332.3,1737957597534,53713513.39749401,162125.51233462,30
KRW-BAT,2025-01-27T05:00:00,2025-01-27T14:00:00,333.8,334.2,331.5,332.9,1737955727068,47075376.08415375,141627.3192232,30
KRW-BAT,2025-01-27T04:30:00,2025-01-27T13:30:00,334,335.2,333.1,333.1,1737953999755,17072209.36482918,51119.54809596,30
KRW-BAT,2025-01-27T04:00:00,2025-01-27T13:00:00,336.1,336.1,333.8,334,1737952085966,25584298.2786895,76376.92437788,30
KRW-BAT,2025-01-27T03:30:00,2025-01-27T12:30:00,337.2,337.4,336.2,336.2,1737950356703,7765716.08987851,23063.36442749,30
KRW-BAT,2025-01-27T03:00:00,2025-01-27T12:00:00,333.5,339.5,333.2,337.2,1737948588472,52649690.08281752,156891.47721733,30
KRW-BAT,2025-01-27T02:30:00,2025-01-27T11:30:00,335,335.2,333.3,333.7,1737946788683,58878929.3531566,176003.14674519,30
KRW-BAT,2025-01-27T02:00:00,2025-01-27T11:00:00,336.8,337.2,334.1,335.3,1737944951341,73077122.0565877,217584.86866495,30
