market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BCH,2025-01-27T13:30:00,2025-01-27T22:30:00,633000,634100,632300,634100,1737984773153,12826608.45146,20.26389016,30
KRW-BCH,2025-01-27T13:00:00,2025-01-27T22:00:00,631500,636200,629800,633000,1737984564568,295920850.592819,467.60473003,30
KRW-BCH,2025-01-27T12:30:00,2025-01-27T21:30:00,621200,635000,619700,632300,1737982790787,395100683.694559,628.63554619,30
KRW-BCH,2025-01-27T12:00:00,2025-01-27T21:00:00,619200,622000,618200,620600,1737980993377,314699019.818732,507.73000432,30
KRW-BCH,2025-01-27T11:30:00,2025-01-27T20:30:00,620000,621500,618700,618700,1737979198275,115797292.711812,186.77376584,30
KRW-BCH,2025-01-27T11:00:00,2025-01-27T20:00:00,616500,621200,616400,620000,1737977366008,298164411.561545,482.26174988,30
KRW-BCH,2025-01-27T10:30:00,2025-01-27T19:30:00,620000,621400,614600,616300,1737975566584,348615044.55461,565.11957542,30
KRW-BCH,2025-01-27T10:00:00,2025-01-27T19:00:00,624000,624000,620000,620000,1737973785559,118216286.204027,189.93344942,30
KRW-BCH,2025-01-27T09:30:00,2025-01-27T18:30:00,619600,624000,618400,623500,1737971973324,188681712.452698,303.31020908,30
KRW-BCH,2025-01-27T09:00:00,2025-01-27T18:00:00,619900,624500,618100,619100,1737970186114,209172766.404759,337.02225995,30
KRW-BCH,2025-01-27T08:30:00,2025-01-27T17:30:00,622100,622100,617500,620000,1737968388791,383065311.281885,618.91051705,30
KRW-BCH,2025-01-27T08:00:00,2025-01-27T17:00:00,627100,627100,619900,622100,1737966594291,279673526.469917,449.93739189,30
KRW-BCH,2025-01-27T07:30:00,2025-01-27T16:30:00,619100,629700,618200,627600,1737964795339,601274972.257655,965.83781995,30
KRW-BCH,2025-01-27T07:00:00,2025-01-27T16:00:00,627900,629600,619100,619100,1737962999567,1004811105.916608,1611.26791964,30
KRW-BCH,2025-01-27T06:30:00,2025-01-27T15:30:00,632600,632600,626100,627900,1737961194582,616761355.439878,979.60904826,30
KRW-BCH,2025-01-27T06:00:00,2025-01-27T15:00:00,635200,636500,631900,633300,1737959388328,175151593.789386,276.39734978,30
KRW-BCH,2025-01-27T05:30:00,2025-01-27T14:30:00,637600,637600,632400,635200,1737957599540,165241814.409021,260.71738817,30
