market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BEAM,2025-01-27T13:30:00,2025-01-27T22:30:00,24.6,24.67,24.56,24.64,1737984782028,18662947.22681593,758039.59888236,30
KRW-BEAM,2025-01-27T13:00:00,2025-01-27T22:00:00,24.29,24.61,24.17,24.6,1737984597899,408377743.50879747,16661231.30426835,30
KRW-BEAM,2025-01-27T12:30:00,2025-01-27T21:30:00,23.47,24.5,23.42,24.23,1737982797491,408201711.12812805,16935703.09803014,30
KRW-BEAM,2025-01-27T12:00:00,2025-01-27T21:00:00,23.37,23.95,23.32,23.47,1737980995555,145753916.4710148,6155575.77555173,30
KRW-BEAM,2025-01-27T11:30:00,2025-01-27T20:30:00,23.36,23.79,23.33,23.37,1737979198360,122415250.9637384,5225993.18889401,30
KRW-BEAM,2025-01-27T11:00:00,2025-01-27T20:00:00,23,23.4,23,23.38,1737977386132,83574604.66032761,3600673.66212478,30
KRW-BEAM,2025-01-27T10:30:00,2025-01-27T19:30:00,23.23,23.27,22.91,23,1737975572251,73989095.81977925,3211084.71649557,30
KRW-BEAM,2025-01-27T10:00:00,2025-01-27T19:00:00,23.36,23.42,23.22,23.27,1737973794213,57273340.94357426,2458340.10672481,30
KRW-BEAM,2025-01-27T09:30:00,2025-01-27T18:30:00,23.12,23.47,23.1,23.36,1737971999766,54252832.12931525,2331054.98151126,30
KRW-BEAM,2025-01-27T09:00:00,2025-01-27T18:00:00,23.15,23.48,23,23.12,1737970188850,64661410.07421088,2780470.12532614,30
KRW-BEAM,2025-01-27T08:30:00,2025-01-27T17:30:00,23.12,23.17,22.77,23.1,1737968386287,197651597.52880347,8624806.10683082,30
KRW-BEAM,2025-01-27T08:00:00,2025-01-27T17:00:00,23.43,23.43,23.12,23.12,1737966587616,112876016.79616924,4856296.27665042,30
KRW-BEAM,2025-01-27T07:30:00,2025-01-27T16:30:00,22.87,23.85,22.86,23.47,1737964781683,245679894.29798362,10552129.84816836,30
KRW-BEAM,2025-01-27T07:00:00,2025-01-27T16:00:00,23.49,23.52,22.81,22.86,1737962999717,311702482.2168001,13413306.71379878,30
KRW-BEAM,2025-01-27T06:30:00,2025-01-27T15:30:00,23.72,23.75,23.3,23.43,1737961182228,425557301.5697886,18146110.62713292,30
KRW-BEAM,2025-01-27T06:00:00,2025-01-27T15:00:00,23.9,24.01,23.65,23.75,1737959394458,134720504.17472917,5662088.43467152,30
KRW-BEAM,2025-01-27T05:30:00,2025-01-27T14:30:00,24.05,24.19,23.7,23.92,1737957599276,342934564.1325118,14369320.38893074,30
KRW-BEAM,2025-01-27T05:00:00,2025-01-27T14:00:00,24.09,24.31,23.9,24.05,1737955798376,160373065.21581396,6683616.11213783,30
KRW-BEAM,2025-01-27T04:30:00,2025-01-27T13:30:00,24.07,24.3,24,24.09,1737953981438,104697835.07328835,4340886.90674454,30
KRW-BEAM,2025-01-27T04:00:00,2025-01-27T13:00:00,24.26,24.38,23.98,24.07,1737952198012,149186206.92176035,6192233.18593549,30
KRW-BEAM,2025-01-27T03:30:00,2025-01-27T12:30:00,24.2,24.48,24.1,24.26,1737950388199,171572599.49150935,7086449.99563958,30
KRW-BEAM,2025-01-27T03:00:00,2025-01-27T12:00:00,23.98,24.4,23.93,24.22,1737948582478,219618391.95343143,9121559.51418739,30
KRW-BEAM,2025-01-27T02:30:00,2025-01-27T11:30:00,24.56,24.63,23.96,23.98,1737946780949,292020374.0386757,12044775.05934167,30
KRW-BEAM,2025-01-27T02:00:00,2025-01-27T11:00:00,24.64,24.78,24.35,24.56,1737944970009,217388203.78174996,8872087.89874945,30
KRW-BEAM,2025-01-27T01:30:00,2025-01-27T10:30:00,24.7,24.93,24.6,24.64,1737943197292,274705725.09854996,11121796.88895794,30
KRW-BEAM,2025-01-27T01:00:00,2025-01-27T10:00:00,25.1,25.42,24.67,24.7,1737941395148,471520858.8058401,18927897.68093176,30
