market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BIGTIME,2025-01-27T13:30:00,2025-01-27T22:30:00,135.7,136.2,135.6,136.2,1737984818390,2280378.10515427,16785.94251959,30
KRW-BIGTIME,2025-01-27T13:00:00,2025-01-27T22:00:00,135.1,137,133.9,135.8,1737984564307,193531648.53859037,1425452.11204945,30
KRW-BIGTIME,2025-01-27T12:30:00,2025-01-27T21:30:00,131.9,136.4,131.2,135.3,1737982795423,155297458.49519414,1158790.61684246,30
KRW-BIGTIME,2025-01-27T12:00:00,2025-01-27T21:00:00,132.4,133.6,131.7,131.7,1737980950671,57190766.59611209,431914.67263985,30
KRW-BIGTIME,2025-01-27T11:30:00,2025-01-27T20:30:00,133.2,133.9,132.3,132.5,1737979197663,87893948.79494669,659857.5394344,30
KRW-BIGTIME,2025-01-27T11:00:00,2025-01-27T20:00:00,131.5,133.5,131.1,133.1,1737977378416,108132062.21032944,820055.89425976,30
KRW-BIGTIME,2025-01-27T10:30:00,2025-01-27T19:30:00,132.3,132.3,131,131.4,1737975582100,121327650.23429534,923200.62824292,30
KRW-BIGTIME,2025-01-27T10:00:00,2025-01-27T19:00:00,133.4,133.4,132.3,132.3,1737973753630,75107837.26672852,565787.35506014,30
KRW-BIGTIME,2025-01-27T09:30:00,2025-01-27T18:30:00,132.5,133.8,132.3,133.3,1737971992363,59180821.81124227,444894.3007833,30
KRW-BIGTIME,2025-01-27T09:00:00,2025-01-27T18:00:00,132,134.3,131.5,132.5,1737970177859,150511566.7460791,1131302.03874719,30
KRW-BIGTIME,2025-01-27T08:30:00,2025-01-27T17:30:00,132.2,132.3,130.2,131.9,1737968398486,300606943.9735366,2294314.93092074,30
KRW-BIGTIME,2025-01-27T08:00:00,2025-01-27T17:00:00,133,133.3,131.5,132.2,1737966557614,217978517.21453202,1647558.67639573,30
KRW-BIGTIME,2025-01-27T07:30:00,2025-01-27T16:30:00,130.3,133.9,129.8,132.9,1737964778549,370735229.2285246,2802051.00968042,30
KRW-BIGTIME,2025-01-27T07:00:00,2025-01-27T16:00:00,134.5,135.5,129.5,130.3,1737962999828,848024857.7449409,6412653.04740051,30
KRW-BIGTIME,2025-01-27T06:30:00,2025-01-27T15:30:00,135.1,135.1,132.9,134.5,1737961191802,407041515.58241796,3039530.1052426,30
