market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BLAST,2025-01-27T13:30:00,2025-01-27T22:30:00,8.65,8.676,8.63,8.676,1737984820557,23909863.91696634,2759535.412811,30
KRW-BLAST,2025-01-27T13:00:00,2025-01-27T22:00:00,8.704,8.759,8.626,8.65,1737984596083,238806212.16158834,27473001.62784495,30
KRW-BLAST,2025-01-27T12:30:00,2025-01-27T21:30:00,8.455,8.77,8.455,8.704,1737982783962,364772796.1137447,42156640.2668388,30
KRW-BLAST,2025-01-27T12:00:00,2025-01-27T21:00:00,8.454,8.514,8.45,8.455,1737980978766,151081134.31696036,17824177.72201097,30
KRW-BLAST,2025-01-27T11:30:00,2025-01-27T20:30:00,8.485,8.53,8.456,8.463,1737979156702,350904954.2011134,41378800.59489741,30
KRW-BLAST,2025-01-27T11:00:00,2025-01-27T20:00:00,8.414,8.499,8.412,8.478,1737977351135,226301425.57621145,26788519.90168004,30
KRW-BLAST,2025-01-27T10:30:00,2025-01-27T19:30:00,8.534,8.557,8.412,8.432,1737975589506,529297606.00366044,62685170.36700311,30
KRW-BLAST,2025-01-27T10:00:00,2025-01-27T19:00:00,8.599,8.599,8.52,8.557,1737973772073,200007065.55981803,23409306.43610058,30
KRW-BLAST,2025-01-27T09:30:00,2025-01-27T18:30:00,8.523,8.6,8.51,8.566,1737971948900,108675190.83092119,12694219.50067712,30
KRW-BLAST,2025-01-27T09:00:00,2025-01-27T18:00:00,8.482,8.59,8.476,8.523,1737970192822,187235831.47684878,21901670.75020392,30
KRW-BLAST,2025-01-27T08:30:00,2025-01-27T17:30:00,8.526,8.534,8.417,8.502,1737968379804,412671600.4544708,48817306.47183831,30
KRW-BLAST,2025-01-27T08:00:00,2025-01-27T17:00:00,8.57,8.605,8.491,8.526,1737966593973,327051356.4217579,38341973.06141443,30
KRW-BLAST,2025-01-27T07:30:00,2025-01-27T16:30:00,8.437,8.647,8.4,8.57,1737964790299,868698016.3002336,101997815.95149696,30
KRW-BLAST,2025-01-27T07:00:00,2025-01-27T16:00:00,8.59,8.64,8.426,8.426,1737962999160,1025243883.070731,119755350.30362217,30
KRW-BLAST,2025-01-27T06:30:00,2025-01-27T15:30:00,8.733,8.734,8.511,8.58,1737961198421,1928970019.313691,224531938.59372556,30
