market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BLUR,2025-01-27T13:30:00,2025-01-27T22:30:00,282,284,282,284,1737984826040,8958419.20233965,31652.42961391,30
KRW-BLUR,2025-01-27T13:00:00,2025-01-27T22:00:00,281,284,280,282,1737984590720,284082248.3470471,1006805.4457718,30
KRW-BLUR,2025-01-27T12:30:00,2025-01-27T21:30:00,276,285,276,282,1737982789441,593969101.3408015,2116288.56120021,30
KRW-BLUR,2025-01-27T12:00:00,2025-01-27T21:00:00,276,277,275,275,1737980969282,123688285.76846436,448814.57073175,30
KRW-BLUR,2025-01-27T11:30:00,2025-01-27T20:30:00,277,278,276,276,1737979172375,91308170.31462924,329765.2383138,30
KRW-BLUR,2025-01-27T11:00:00,2025-01-27T20:00:00,276,278,275,277,1737977388818,143483978.4616687,518662.52272432,30
KRW-BLUR,2025-01-27T10:30:00,2025-01-27T19:30:00,278,278,275,276,1737975582101,198205811.3260933,716700.06243696,30
KRW-BLUR,2025-01-27T10:00:00,2025-01-27T19:00:00,279,280,278,279,1737973784425,89173340.5542107,320108.19422901,30
KRW-BLUR,2025-01-27T09:30:00,2025-01-27T18:30:00,276,280,276,280,1737971997442,146213361.40768608,524385.31261481,30
KRW-BLUR,2025-01-27T09:00:00,2025-01-27T18:00:00,276,280,275,277,1737970195667,221074548.50784814,796051.98136322,30
KRW-BLUR,2025-01-27T08:30:00,2025-01-27T17:30:00,277,277,274,276,1737968399249,454696448.7263805,1652704.65201671,30
KRW-BLUR,2025-01-27T08:00:00,2025-01-27T17:00:00,279,279,276,277,1737966598026,356431047.179551,1286347.50698105,30
KRW-BLUR,2025-01-27T07:30:00,2025-01-27T16:30:00,276,280,275,279,1737964795071,432050725.37705094,1553561.20438228,30
KRW-BLUR,2025-01-27T07:00:00,2025-01-27T16:00:00,282,283,275,275,1737962997897,701143429.1856946,2512258.59394503,30
KRW-BLUR,2025-01-27T06:30:00,2025-01-27T15:30:00,284,284,280,282,1737961186200,528780192.06143606,1878629.45235044,30
KRW-BLUR,2025-01-27T06:00:00,2025-01-27T15:00:00,284,285,282,283,1737959361408,248613296.329714,877378.41410225,30
KRW-BLUR,2025-01-27T05:30:00,2025-01-27T14:30:00,285,286,283,284,1737957586338,209571039.09549606,737447.45492149,30
KRW-BLUR,2025-01-27T05:00:00,2025-01-27T14:00:00,286,287,285,285,1737955733186,135885331.78285506,476184.01330214,30
KRW-BLUR,2025-01-27T04:30:00,2025-01-27T13:30:00,285,287,285,286,1737953999674,174285988.2702821,610206.20135158,30
KRW-BLUR,2025-01-27T04:00:00,2025-01-27T13:00:00,287,288,285,286,1737952186151,329072305.5759772,1149963.72807086,30
KRW-BLUR,2025-01-27T03:30:00,2025-01-27T12:30:00,289,289,287,288,1737950354490,32357110.415001,112569.09789902,30
KRW-BLUR,2025-01-27T03:00:00,2025-01-27T12:00:00,285,289,284,289,1737948503766,275747977.11957073,961365.74646579,30
KRW-BLUR,2025-01-27T02:30:00,2025-01-27T11:30:00,286,287,284,284,1737946797085,284394109.0549913,997275.11767312,30
KRW-BLUR,2025-01-27T02:00:00,2025-01-27T11:00:00,287,288,285,287,1737944962017,315930597.3959995,1102834.37073067,30
KRW-BLUR,2025-01-27T01:30:00,2025-01-27T10:30:00,288,289,287,287,1737943199616,304200714.4329724,1057773.45308745,30
KRW-BLUR,2025-01-27T01:00:00,2025-01-27T10:00:00,291,292,286,288,1737941390138,547772920.5881549,1898817.49374098,30
KRW-BLUR,2025-01-27T00:30:00,2025-01-27T09:30:00,294,294,290,290,1737939578200,314034203.0792299,1076407.10432502,30
