market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BONK,2025-01-27T13:30:00,2025-01-27T22:30:00,0.03882,0.03905,0.03872,0.03905,1737984793650,26839122.81438385,690570163.4703542,30
KRW-BONK,2025-01-27T13:00:00,2025-01-27T22:00:00,0.03904,0.0397,0.03872,0.03888,1737984575625,442098424.8497855,11294889996.58644,30
KRW-BONK,2025-01-27T12:30:00,2025-01-27T21:30:00,0.03781,0.03935,0.03774,0.03904,1737982791072,830505563.9723485,21511416825.043682,30
KRW-BONK,2025-01-27T12:00:00,2025-01-27T21:00:00,0.03799,0.03821,0.0378,0.03785,1737980995665,474837985.0405412,12509623442.497795,30
KRW-BONK,2025-01-27T11:30:00,2025-01-27T20:30:00,0.03822,0.0384,0.03795,0.03799,1737979199351,236374364.69112322,6197413026.926551,30
KRW-BONK,2025-01-27T11:00:00,2025-01-27T20:00:00,0.03773,0.03832,0.03773,0.03824,1737977396180,292053757.8187177,7677095871.021902,30
KRW-BONK,2025-01-27T10:30:00,2025-01-27T19:30:00,0.03815,0.03818,0.03759,0.03773,1737975598941,726441843.297737,19164035829.38832,30
KRW-BONK,2025-01-27T10:00:00,2025-01-27T19:00:00,0.03854,0.03854,0.03812,0.03815,1737973799288,418372351.6207054,10937043518.42749,30
KRW-BONK,2025-01-27T09:30:00,2025-01-27T18:30:00,0.03833,0.03867,0.03832,0.03854,1737971998593,180821167.51466772,4696767529.876665,30
KRW-BONK,2025-01-27T09:00:00,2025-01-27T18:00:00,0.03862,0.0389,0.0383,0.03833,1737970199381,230151664.00129366,5956031765.174547,30
KRW-BONK,2025-01-27T08:30:00,2025-01-27T17:30:00,0.03847,0.03867,0.038,0.03862,1737968392403,502290893.33915216,13140363937.070286,30
KRW-BONK,2025-01-27T08:00:00,2025-01-27T17:00:00,0.03941,0.03941,0.03847,0.03847,1737966597993,455889389.2162109,11728462072.299776,30
KRW-BONK,2025-01-27T07:30:00,2025-01-27T16:30:00,0.03827,0.03975,0.03827,0.0394,1737964799836,904942191.7060889,23226267589.943157,30
KRW-BONK,2025-01-27T07:00:00,2025-01-27T16:00:00,0.03902,0.03953,0.03827,0.03827,1737962998468,897334348.2519354,23035984166.641,30
KRW-BONK,2025-01-27T06:30:00,2025-01-27T15:30:00,0.03925,0.03931,0.0388,0.03902,1737961197453,445625760.87303793,11416111754.717997,30
KRW-BONK,2025-01-27T06:00:00,2025-01-27T15:00:00,0.03923,0.03962,0.03908,0.03927,1737959397229,247510302.41817424,6285341620.703455,30
KRW-BONK,2025-01-27T05:30:00,2025-01-27T14:30:00,0.03927,0.03936,0.03891,0.03923,1737957595184,404401862.36177343,10356947931.596024,30
KRW-BONK,2025-01-27T05:00:00,2025-01-27T14:00:00,0.0394,0.0395,0.03921,0.03927,1737955792486,290765485.4313864,7393095270.891067,30
KRW-BONK,2025-01-27T04:30:00,2025-01-27T13:30:00,0.03954,0.03975,0.03939,0.0394,1737953981747,194589991.27776903,4924309369.460788,30
KRW-BONK,2025-01-27T04:00:00,2025-01-27T13:00:00,0.03979,0.03999,0.03953,0.03955,1737952195243,357539391.4821657,9015575805.248213,30
KRW-BONK,2025-01-27T03:30:00,2025-01-27T12:30:00,0.03952,0.03987,0.03932,0.03979,1737950389191,354849604.76257604,8964508582.137293,30
KRW-BONK,2025-01-27T03:00:00,2025-01-27T12:00:00,0.03907,0.03992,0.03899,0.03952,1737948593432,572814198.3063515,14544720225.302471,30
KRW-BONK,2025-01-27T02:30:00,2025-01-27T11:30:00,0.0393,0.03942,0.03892,0.03907,1737946798152,859802637.363596,22004967669.97815,30
KRW-BONK,2025-01-27T02:00:00,2025-01-27T11:00:00,0.03973,0.03979,0.0393,0.0393,1737944999656,1066052698.1381012,26974997823.75275,30
KRW-BONK,2025-01-27T01:30:00,2025-01-27T10:30:00,0.03989,0.04007,0.0397,0.03971,1737943193360,486977526.5101527,12228154001.003906,30
KRW-BONK,2025-01-27T01:00:00,2025-01-27T10:00:00,0.04043,0.04057,0.0397,0.03987,1737941398632,1173355251.143176,29337774071.43964,30
KRW-BONK,2025-01-27T00:30:00,2025-01-27T09:30:00,0.04114,0.04114,0.04031,0.04043,1737939598991,922326255.4765089,22693262365.001385,30
KRW-BONK,2025-01-27T00:00:00,2025-01-27T09:00:00,0.04151,0.04189,0.04095,0.04114,1737937797785,1034199428.0387348,25077271101.049595,30
KRW-BONK,2025-01-26T23:30:00,2025-01-27T08:30:00,0.04175,0.04179,0.0413,0.04151,1737935999291,873279441.8527046,21037694810.66002,30
KRW-BONK,2025-01-26T23:00:00,2025-01-27T08:00:00,0.04235,0.04235,0.04155,0.0417,1737934198417,990143501.4081345,23608525497.09321,30
KRW-BONK,2025-01-26T22:30:00,2025-01-27T07:30:00,0.04244,0.04258,0.04218,0.0423,1737932397651,267908129.88102072,6315329994.791865,30
KRW-BONK,2025-01-26T22:00:00,2025-01-27T07:00:00,0.04261,0.04261,0.04213,0.04244,1737930557319,697762563.4072282,16470402631.423065,30
KRW-BONK,2025-01-26T21:30:00,2025-01-27T06:30:00,0.04318,0.04323,0.0426,0.0426,1737928799712,425641531.6118607,9941780990.528337,30
KRW-BONK,2025-01-26T21:00:00,2025-01-27T06:00:00,0.04335,0.04335,0.043,0.04304,1737926983265,421491998.4727758,9771102051.345211,30
KRW-BONK,2025-01-26T20:30:00,2025-01-27T05:30:00,0.04378,0.04378,0.04331,0.04337,1737925179840,154865473.08277583,3563637633.615217,30
KRW-BONK,2025-01-26T20:00:00,2025-01-27T05:00:00,0.04379,0.04383,0.04361,0.0438,1737923385104,38012081.85173893,869828495.9714112,30
KRW-BONK,2025-01-26T19:30:00,2025-01-27T04:30:00,0.04355,0.04386,0.04348,0.04379,1737921502372,40253915.13338687,920752448.3920044,30
KRW-BONK,2025-01-26T19:00:00,2025-01-27T04:00:00,0.04365,0.04376,0.04344,0.04355,1737919785685,137597042.33418408,3158273040.423461,30
KRW-BONK,2025-01-26T18:30:00,2025-01-27T03:30:00,0.0438,0.04392,0.04365,0.04369,1737917980205,160428308.30678064,3663633408.785408,30
KRW-BONK,2025-01-26T18:00:00,2025-01-27T03:00:00,0.04361,0.04379,0.04356,0.04372,1737916185742,126992705.88119242,2908474001.773312,30
KRW-BONK,2025-01-26T17:30:00,2025-01-27T02:30:00,0.04349,0.04369,0.04337,0.04361,1737914332078,91815196.50860043,2111435852.5343802,30
KRW-BONK,2025-01-26T17:00:00,2025-01-27T02:00:00,0.04351,0.04373,0.04347,0.04349,1737912591754,127690317.4602586,2928715063.8705196,30
KRW-BONK,2025-01-26T16:30:00,2025-01-27T01:30:00,0.0435,0.04383,0.0435,0.04351,1737910783746,101550524.37464307,2320161317.5332785,30
KRW-BONK,2025-01-26T16:00:00,2025-01-27T01:00:00,0.04369,0.0437,0.04336,0.04347,1737908999513,208257319.06990877,4787467639.816278,30
KRW-BONK,2025-01-26T15:30:00,2025-01-27T00:30:00,0.0437,0.04377,0.0436,0.04369,1737907198317,175776338.76705098,4026622716.071312,30
KRW-BONK,2025-01-26T15:00:00,2025-01-27T00:00:00,0.04386,0.04386,0.0436,0.0437,1737905396690,182631913.90635762,4180059417.2515936,30
KRW-BONK,2025-01-26T14:30:00,2025-01-26T23:30:00,0.04369,0.04391,0.04367,0.04391,1737903597633,145738183.23836932,3327017357.2915726,30
KRW-BONK,2025-01-26T14:00:00,2025-01-26T23:00:00,0.04395,0.04402,0.04367,0.0437,1737901795660,282984143.11954033,6455406967.552492,30
KRW-BONK,2025-01-26T13:30:00,2025-01-26T22:30:00,0.044,0.0443,0.04383,0.04396,1737899994754,342589148.5087561,7771271002.576271,30
KRW-BONK,2025-01-26T13:00:00,2025-01-26T22:00:00,0.04412,0.04448,0.04396,0.04404,1737898151489,916882210.5398277,20719717466.867516,30
KRW-BONK,2025-01-26T12:30:00,2025-01-26T21:30:00,0.04396,0.04412,0.0437,0.04412,1737896397982,704930869.6005588,16067981122.582699,30
KRW-BONK,2025-01-26T12:00:00,2025-01-26T21:00:00,0.04382,0.04397,0.04358,0.04397,1737894596669,177720706.87231514,4062658604.8265653,30
KRW-BONK,2025-01-26T11:30:00,2025-01-26T20:30:00,0.04375,0.0439,0.04363,0.04382,1737892796857,106163288.35358492,2426688241.9873066,30
KRW-BONK,2025-01-26T11:00:00,2025-01-26T20:00:00,0.04354,0.04375,0.04346,0.04367,1737890997238,140521446.60190788,3218122084.047813,30
KRW-BONK,2025-01-26T10:30:00,2025-01-26T19:30:00,0.04352,0.04359,0.0432,0.04354,1737889199068,376379383.40134,8681152416.922121,30
KRW-BONK,2025-01-26T10:00:00,2025-01-26T19:00:00,0.04358,0.04371,0.04352,0.04352,1737887398652,134989214.9051305,3095458522.574919,30
KRW-BONK,2025-01-26T09:30:00,2025-01-26T18:30:00,0.04368,0.04377,0.04351,0.04358,1737885592757,232850654.89475334,5339980407.819816,30
KRW-BONK,2025-01-26T09:00:00,2025-01-26T18:00:00,0.04375,0.04392,0.04359,0.04368,1737883772046,127021753.35569884,2906217776.129753,30
KRW-BONK,2025-01-26T08:30:00,2025-01-26T17:30:00,0.04361,0.04376,0.04356,0.04375,1737881988671,133930021.15911716,3071073382.7824783,30
KRW-BONK,2025-01-26T08:00:00,2025-01-26T17:00:00,0.0439,0.04399,0.04361,0.04361,1737880194208,353299705.07073057,8076204785.459543,30
KRW-BONK,2025-01-26T07:30:00,2025-01-26T16:30:00,0.04394,0.04401,0.04379,0.0439,1737878398582,182739289.51820707,4165994142.464856,30
KRW-BONK,2025-01-26T07:00:00,2025-01-26T16:00:00,0.04393,0.04417,0.04389,0.04389,1737876587138,224958357.24613565,5110673220.384062,30
KRW-BONK,2025-01-26T06:30:00,2025-01-26T15:30:00,0.04379,0.04393,0.04373,0.04393,1737874797596,128175819.40398112,2925546871.744728,30
KRW-BONK,2025-01-26T06:00:00,2025-01-26T15:00:00,0.04394,0.04394,0.0435,0.04381,1737872985951,618969263.1863506,14168776141.158314,30
KRW-BONK,2025-01-26T05:30:00,2025-01-26T14:30:00,0.04385,0.04398,0.0438,0.04385,1737871191246,222567354.92047745,5075379530.708219,30
KRW-BONK,2025-01-26T05:00:00,2025-01-26T14:00:00,0.04413,0.04413,0.04383,0.04394,1737869381850,280056893.32784075,6372229368.631132,30
KRW-BONK,2025-01-26T04:30:00,2025-01-26T13:30:00,0.04417,0.04424,0.04394,0.04414,1737867587394,272650890.2347468,6188034108.729507,30
KRW-BONK,2025-01-26T04:00:00,2025-01-26T13:00:00,0.04396,0.04425,0.04382,0.04418,1737865788430,215341693.32463387,4891144392.639458,30
KRW-BONK,2025-01-26T03:30:00,2025-01-26T12:30:00,0.04382,0.04422,0.04382,0.04396,1737863997002,354995371.4341829,8071667363.2339735,30
KRW-BONK,2025-01-26T03:00:00,2025-01-26T12:00:00,0.04375,0.04396,0.0437,0.04381,1737862193284,491040421.9753942,11202748717.0657,30
