market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BORA,2025-01-27T13:00:00,2025-01-27T22:00:00,183.8,185.3,183.1,184.6,1737984597890,120555272.3245991,654763.80424593,30
KRW-BORA,2025-01-27T12:30:00,2025-01-27T21:30:00,180.1,185,180,183.7,1737982773032,82827758.7331334,452536.05421556,30
KRW-BORA,2025-01-27T12:00:00,2025-01-27T21:00:00,180,180.3,179.7,180,1737980852487,45056605.46820817,250268.5489995,30
KRW-BORA,2025-01-27T11:30:00,2025-01-27T20:30:00,180.7,180.8,179.8,180,1737979196810,24732232.40697646,137199.98229641,30
KRW-BORA,2025-01-27T11:00:00,2025-01-27T20:00:00,178.8,180.8,178.6,180,1737977341578,57352106.00237118,318965.75376725,30
KRW-BORA,2025-01-27T10:30:00,2025-01-27T19:30:00,180.6,181,178.6,178.9,1737975572457,90626418.32219157,504718.99668438,30
KRW-BORA,2025-01-27T10:00:00,2025-01-27T19:00:00,180.3,181,180.1,180.5,1737973783482,21112403.09013744,116999.03145339,30
KRW-BORA,2025-01-27T09:30:00,2025-01-27T18:30:00,179.4,182.9,179.4,180.3,1737971991155,163527277.0841865,901715.229336,30
KRW-BORA,2025-01-27T09:00:00,2025-01-27T18:00:00,179.3,180.7,178.6,179.4,1737970149385,45595830.78152843,253529.53737933,30
KRW-BORA,2025-01-27T08:30:00,2025-01-27T17:30:00,180.3,180.3,178.4,179.5,1737968369232,84713141.64669327,472661.26133706,30
KRW-BORA,2025-01-27T08:00:00,2025-01-27T17:00:00,180.5,180.9,179.2,180.3,1737966599405,48584416.68598604,269974.56329949,30
KRW-BORA,2025-01-27T07:30:00,2025-01-27T16:30:00,178.9,182,178.3,180.9,1737964764221,208929241.00808975,1159231.45678019,30
KRW-BORA,2025-01-27T07:00:00,2025-01-27T16:00:00,181.7,181.8,178.3,178.3,1737962996057,175134756.58531246,975852.0960346,30
KRW-BORA,2025-01-27T06:30:00,2025-01-27T15:30:00,181.1,182,179.8,181.7,1737961106542,191571807.1133205,1061541.93604495,30
KRW-BORA,2025-01-27T06:00:00,2025-01-27T15:00:00,182.6,182.7,181,182,1737959388823,102940543.64632078,566814.74945035,30
KRW-BORA,2025-01-27T05:30:00,2025-01-27T14:30:00,183.2,183.8,181.8,182.6,1737957380499,59255750.26271833,324943.68428727,30
KRW-BORA,2025-01-27T05:00:00,2025-01-27T14:00:00,182.7,183.8,182.2,183.2,1737955708515,38170185.82857325,208696.66115203,30
KRW-BORA,2025-01-27T04:30:00,2025-01-27T13:30:00,183.5,183.8,182.1,182.7,1737953931853,79741723.64495885,435823.19012166,30
KRW-BORA,2025-01-27T04:00:00,2025-01-27T13:00:00,185,185,182.7,183.8,1737952099174,78825709.8001021,429450.75590508,30
KRW-BORA,2025-01-27T03:30:00,2025-01-27T12:30:00,184.7,185.2,184.1,185,1737950394451,23275715.7798915,126158.6389655,30
KRW-BORA,2025-01-27T03:00:00,2025-01-27T12:00:00,183.1,185.3,183.1,184.7,1737948588219,32906584.09168539,178721.06616789,30
KRW-BORA,2025-01-27T02:30:00,2025-01-27T11:30:00,184.2,184.5,182,183.1,1737946788014,114545146.55738862,625990.91476286,30
KRW-BORA,2025-01-27T02:00:00,2025-01-27T11:00:00,185.5,185.5,182.2,184.8,1737944933314,304433577.8029757,1655514.96142911,30
KRW-BORA,2025-01-27T01:30:00,2025-01-27T10:30:00,186.7,187.5,185.6,185.7,1737943168446,65867123.69837955,353505.64593006,30
KRW-BORA,2025-01-27T01:00:00,2025-01-27T10:00:00,189.1,189.2,185.8,186.7,1737941394839,247429659.84810483,1321543.22624677,30
KRW-BORA,2025-01-27T00:30:00,2025-01-27T09:30:00,188.5,190.7,188.3,189.3,1737939509596,248919385.45166153,1311873.71504269,30
KRW-BORA,2025-01-27T00:00:00,2025-01-27T09:00:00,190,190.8,186.9,188.3,1737937794199,273369654.63052225,1450651.75368259,30
KRW-BORA,2025-01-26T23:30:00,2025-01-27T08:30:00,189.2,190.7,187.7,189.5,1737935999203,190327431.06206882,1007274.8368246,30
KRW-BORA,2025-01-26T23:00:00,2025-01-27T08:00:00,192,192.3,188.6,189.5,1737934199171,146582173.79411852,771773.94768714,30
KRW-BORA,2025-01-26T22:30:00,2025-01-27T07:30:00,192.1,192.7,192,192,1737932359961,28858916.47588014,150146.99026755,30
KRW-BORA,2025-01-26T22:00:00,2025-01-27T07:00:00,192.5,192.6,191.8,192.1,1737930521262,16051601.83336657,83574.21214077,30
KRW-BORA,2025-01-26T21:30:00,2025-01-27T06:30:00,192.3,192.6,192.1,192.1,1737928660759,25824937.11161418,134272.15069669,30
KRW-BORA,2025-01-26T21:00:00,2025-01-27T06:00:00,192.6,192.7,192,192.3,1737926872238,8829339.72563963,45939.21057592,30
KRW-BORA,2025-01-26T20:30:00,2025-01-27T05:30:00,192.6,192.6,192.2,192.6,1737925110672,3850279.97457093,19999.71930355,30
KRW-BORA,2025-01-26T20:00:00,2025-01-27T05:00:00,192.7,192.7,192.5,192.5,1737922868278,4704940.72633523,24429.37479198,30
KRW-BORA,2025-01-26T19:30:00,2025-01-27T04:30:00,192.6,192.7,192.4,192.7,1737921581711,8030282.75259643,41709.54681765,30
KRW-BORA,2025-01-26T19:00:00,2025-01-27T04:00:00,192.2,192.7,192.1,192.7,1737919749537,1123949.52431072,5842.67403032,30
KRW-BORA,2025-01-26T18:30:00,2025-01-27T03:30:00,193,193.4,192.2,192.2,1737917826611,26000403.91733773,134694.24225883,30
KRW-BORA,2025-01-26T18:00:00,2025-01-27T03:00:00,192.6,193,192,193,1737916064480,10595754.82733103,55015.52357285,30
KRW-BORA,2025-01-26T17:30:00,2025-01-27T02:30:00,191.8,192.6,191.7,192,1737913994110,9215572.8350057,47942.74612096,30
KRW-BORA,2025-01-26T17:00:00,2025-01-27T02:00:00,192,192.3,191.7,191.7,1737912253493,7160697.44551546,37286.40061423,30
KRW-BORA,2025-01-26T16:30:00,2025-01-27T01:30:00,191.9,192.5,191.4,191.5,1737910774145,21865233.38461293,113896.55449083,30
KRW-BORA,2025-01-26T16:00:00,2025-01-27T01:00:00,192.6,192.6,191.8,191.9,1737908965262,18482171.19742655,96231.6342283,30
KRW-BORA,2025-01-26T15:30:00,2025-01-27T00:30:00,192.5,192.7,192,192.6,1737907065667,27479359.25697476,142889.33725845,30
KRW-BORA,2025-01-26T15:00:00,2025-01-27T00:00:00,191.8,192.6,191.8,192.1,1737905331400,9196040.71357951,47846.38491004,30
KRW-BORA,2025-01-26T14:30:00,2025-01-26T23:30:00,192,192.4,191.6,192.4,1737903592929,16833170.48640263,87644.57810077,30
KRW-BORA,2025-01-26T14:00:00,2025-01-26T23:00:00,191.4,192.3,191,192,1737901763947,26104825.1078055,136216.71674859,30
KRW-BORA,2025-01-26T13:30:00,2025-01-26T22:30:00,192.3,192.3,190.9,191.4,1737899950524,84477408.43903191,441218.01947251,30
KRW-BORA,2025-01-26T13:00:00,2025-01-26T22:00:00,191.5,192.6,190.7,192.3,1737898178612,55605831.87809409,290658.2349886,30
KRW-BORA,2025-01-26T12:30:00,2025-01-26T21:30:00,192.3,192.6,191,191.1,1737896270000,97708870.313171,510002.04845566,30
KRW-BORA,2025-01-26T12:00:00,2025-01-26T21:00:00,192.3,193,192.2,192.2,1737894537791,36353081.84226841,188606.35412882,30
KRW-BORA,2025-01-26T11:30:00,2025-01-26T20:30:00,192.3,192.9,192.1,192.3,1737892764905,30845642.40188384,160146.3672382,30
KRW-BORA,2025-01-26T11:00:00,2025-01-26T20:00:00,192.1,192.7,192,192.7,1737890912829,16204534.43451903,84281.58192719,30
KRW-BORA,2025-01-26T10:30:00,2025-01-26T19:30:00,192.1,192.8,191.7,191.9,1737889044991,58237066.31794397,303311.43445385,30
KRW-BORA,2025-01-26T10:00:00,2025-01-26T19:00:00,192,192.8,191.6,192.8,1737887316372,70872871.57681616,368675.49989838,30
KRW-BORA,2025-01-26T09:30:00,2025-01-26T18:30:00,192.1,192.5,191.9,192.3,1737885580644,103871919.328006,540423.54190647,30
KRW-BORA,2025-01-26T09:00:00,2025-01-26T18:00:00,192.4,192.7,192,192.1,1737883751843,66459492.76566635,346010.2907367,30
KRW-BORA,2025-01-26T08:30:00,2025-01-26T17:30:00,192.4,192.4,191.7,192,1737881550294,64149933.99802499,333855.38332274,30
KRW-BORA,2025-01-26T08:00:00,2025-01-26T17:00:00,192.3,192.9,192.3,192.4,1737880191288,32207250.27802184,167162.58791382,30
KRW-BORA,2025-01-26T07:30:00,2025-01-26T16:30:00,192.5,192.8,192.1,192.3,1737878334486,58645807.25309697,304787.51877491,30
KRW-BORA,2025-01-26T07:00:00,2025-01-26T16:00:00,193.1,193.1,191.8,192.5,1737876595064,67044262.00146612,348551.27874872,30
KRW-BORA,2025-01-26T06:30:00,2025-01-26T15:30:00,192.7,193.3,192.3,193.2,1737874782801,78923782.50836815,409381.56650521,30
KRW-BORA,2025-01-26T06:00:00,2025-01-26T15:00:00,193,193.7,192.5,193.2,1737872937232,111141876.61311486,575437.4336085,30
KRW-BORA,2025-01-26T05:30:00,2025-01-26T14:30:00,193.3,193.3,192.6,192.9,1737871166298,50942800.63010899,264066.47817621,30
KRW-BORA,2025-01-26T05:00:00,2025-01-26T14:00:00,192.1,193.3,191.8,193.3,1737869396048,64879181.58235255,337154.37960422,30
KRW-BORA,2025-01-26T04:30:00,2025-01-26T13:30:00,191.7,192.1,191.3,191.8,1737867582326,26512615.8282403,138243.96655529,30
KRW-BORA,2025-01-26T04:00:00,2025-01-26T13:00:00,191.2,191.8,191.2,191.7,1737865792287,49194521.83191553,257007.12846986,30
KRW-BORA,2025-01-26T03:30:00,2025-01-26T12:30:00,191.6,191.9,191.1,191.2,1737863946287,20887180.0275394,109033.52898348,30
KRW-BORA,2025-01-26T03:00:00,2025-01-26T12:00:00,191.8,192.2,190.3,191.6,1737862178210,70343315.13625889,367348.81307757,30
KRW-BORA,2025-01-26T02:30:00,2025-01-26T11:30:00,190.5,191.8,190.5,191.8,1737860299390,33066429.309519,173095.25257095,30
KRW-BORA,2025-01-26T02:00:00,2025-01-26T11:00:00,191.7,191.8,190.5,190.9,1737858586460,64319764.06651722,336582.36484754,30
KRW-BORA,2025-01-26T01:30:00,2025-01-26T10:30:00,191,192.1,190.5,191.8,1737856687310,39507881.5325245,206377.40498443,30
KRW-BORA,2025-01-26T01:00:00,2025-01-26T10:00:00,191,191.2,189.6,190.9,1737854994184,78565646.9075534,412309.40018582,30
KRW-BORA,2025-01-26T00:30:00,2025-01-26T09:30:00,192.1,192.3,190.2,191.1,1737853184325,200812046.25383693,1049823.81787691,30
KRW-BORA,2025-01-26T00:00:00,2025-01-26T09:00:00,190.7,194,189,192.3,1737851364592,578055072.4172868,3009610.3657487,30
KRW-BORA,2025-01-25T23:30:00,2025-01-26T08:30:00,190.8,191.5,190.2,190.4,1737849585967,111941703.4865076,586228.93365332,30
KRW-BORA,2025-01-25T23:00:00,2025-01-26T08:00:00,191,191.3,190.2,190.8,1737847799119,29493101.4540714,154643.85555506,30
