market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BOUNTY,2025-01-27T13:30:00,2025-01-27T22:30:00,117.1,117.7,117,117.6,1737984809925,46785429.6912734,399359.80911051,30
KRW-BOUNTY,2025-01-27T13:00:00,2025-01-27T22:00:00,117.5,118.6,116.4,117.1,1737984597236,870332554.3026847,7395921.91815497,30
KRW-BOUNTY,2025-01-27T12:30:00,2025-01-27T21:30:00,117.1,118.2,116.9,117.7,1737982799759,546310360.3603202,4648798.75697381,30
KRW-BOUNTY,2025-01-27T12:00:00,2025-01-27T21:00:00,115.7,118.2,115.4,117.5,1737980997572,533961351.90775955,4556005.83717362,30
KRW-BOUNTY,2025-01-27T11:30:00,2025-01-27T20:30:00,115.9,118.2,115.3,115.8,1737979195079,945211912.208267,8102659.04303988,30
KRW-BOUNTY,2025-01-27T11:00:00,2025-01-27T20:00:00,113,116,112.7,115.9,1737977395687,484652244.26911294,4235793.13557459,30
KRW-BOUNTY,2025-01-27T10:30:00,2025-01-27T19:30:00,114.3,114.5,112.7,113,1737975594760,339159447.06397843,2987499.76505585,30
KRW-BOUNTY,2025-01-27T10:00:00,2025-01-27T19:00:00,115.1,115.2,114,114.6,1737973794935,211578158.30589354,1845123.03724122,30
KRW-BOUNTY,2025-01-27T09:30:00,2025-01-27T18:30:00,113.6,115.2,113.6,115.1,1737971994929,368918710.96927285,3213151.64410026,30
KRW-BOUNTY,2025-01-27T09:00:00,2025-01-27T18:00:00,113,114.6,112.8,113.6,1737970193868,476854208.6232323,4190288.75598847,30
KRW-BOUNTY,2025-01-27T08:30:00,2025-01-27T17:30:00,113.9,113.9,111.6,112.9,1737968385223,1089008343.1667435,9671358.60130196,30
KRW-BOUNTY,2025-01-27T08:00:00,2025-01-27T17:00:00,115.3,115.3,113.6,113.9,1737966588316,631834195.5991611,5528475.83453765,30
KRW-BOUNTY,2025-01-27T07:30:00,2025-01-27T16:30:00,113,115.8,112.8,115.3,1737964797101,1508445890.2693512,13177328.8307922,30
KRW-BOUNTY,2025-01-27T07:00:00,2025-01-27T16:00:00,115.7,117.8,113,113,1737962999018,2068676504.442446,18029771.15920173,30
KRW-BOUNTY,2025-01-27T06:30:00,2025-01-27T15:30:00,118.1,118.1,115.2,115.7,1737961196623,1418567558.4845037,12211094.91260653,30
KRW-BOUNTY,2025-01-27T06:00:00,2025-01-27T15:00:00,117.4,118.4,117,118.1,1737959391842,636401608.8872063,5414493.3902775,30
KRW-BOUNTY,2025-01-27T05:30:00,2025-01-27T14:30:00,118.3,119,116.6,117.4,1737957599255,1099591971.8165169,9356146.82839353,30
KRW-BOUNTY,2025-01-27T05:00:00,2025-01-27T14:00:00,118.4,119.4,118.1,118.2,1737955773264,549766583.0743265,4629044.10083655,30
KRW-BOUNTY,2025-01-27T04:30:00,2025-01-27T13:30:00,120.6,120.7,117.7,118.3,1737953990454,1373384878.5041816,11542259.11911602,30
