market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BSV,2025-01-27T13:30:00,2025-01-27T22:30:00,74250,74350,74150,74350,1737984787717,69065.995773,0.92969646,30
KRW-BSV,2025-01-27T13:00:00,2025-01-27T22:00:00,74270,74790,74000,74300,1737984577366,86634706.3418144,1165.21569102,30
KRW-BSV,2025-01-27T12:30:00,2025-01-27T21:30:00,72600,74860,72580,74280,1737982729774,242493246.5825955,3285.70996689,30
KRW-BSV,2025-01-27T12:00:00,2025-01-27T21:00:00,72600,73060,72540,72600,1737980963983,33115930.7167326,454.68792565,30
KRW-BSV,2025-01-27T11:30:00,2025-01-27T20:30:00,72920,73170,72640,72640,1737979196983,57565013.5905013,788.68191993,30
KRW-BSV,2025-01-27T11:00:00,2025-01-27T20:00:00,72540,73160,72450,73070,1737977184596,49405284.3671356,678.80992361,30
KRW-BSV,2025-01-27T10:30:00,2025-01-27T19:30:00,73180,73280,72210,72560,1737975589111,198647752.8812615,2734.51389741,30
KRW-BSV,2025-01-27T10:00:00,2025-01-27T19:00:00,73660,73700,73170,73170,1737973724097,42219568.6527911,575.45526035,30
KRW-BSV,2025-01-27T09:30:00,2025-01-27T18:30:00,73170,73660,73100,73450,1737971665590,79300330.8657642,1080.53082559,30
KRW-BSV,2025-01-27T09:00:00,2025-01-27T18:00:00,73260,73780,73060,73110,1737970185452,64918257.6453497,884.72974032,30
KRW-BSV,2025-01-27T08:30:00,2025-01-27T17:30:00,73400,73400,72720,73240,1737968328564,77393082.6123051,1060.46874903,30
KRW-BSV,2025-01-27T08:00:00,2025-01-27T17:00:00,74030,74030,73260,73470,1737966567189,64818836.1638816,880.10012614,30
KRW-BSV,2025-01-27T07:30:00,2025-01-27T16:30:00,72690,74440,72670,74030,1737964764007,275395043.6445732,3742.72159934,30
KRW-BSV,2025-01-27T07:00:00,2025-01-27T16:00:00,74060,74320,72670,72690,1737962999203,609850007.3351151,8321.90116259,30
KRW-BSV,2025-01-27T06:30:00,2025-01-27T15:30:00,74430,74430,73720,74060,1737961198748,455589585.3193091,6154.91485822,30
KRW-BSV,2025-01-27T06:00:00,2025-01-27T15:00:00,74850,74970,74270,74450,1737959380809,125447676.0041648,1681.53410586,30
KRW-BSV,2025-01-27T05:30:00,2025-01-27T14:30:00,75160,75200,74400,74730,1737957551339,210734422.9591439,2821.39221928,30
KRW-BSV,2025-01-27T05:00:00,2025-01-27T14:00:00,75420,75430,75100,75150,1737955754868,58638057.3281516,779.11225184,30
KRW-BSV,2025-01-27T04:30:00,2025-01-27T13:30:00,75260,75620,75260,75330,1737953999675,43709911.2023645,579.63063234,30
KRW-BSV,2025-01-27T04:00:00,2025-01-27T13:00:00,75680,75690,75200,75210,1737952068157,28829497.6841325,381.88731064,30
KRW-BSV,2025-01-27T03:30:00,2025-01-27T12:30:00,75660,75770,75470,75680,1737950318300,55241506.9485511,730.39573556,30
KRW-BSV,2025-01-27T03:00:00,2025-01-27T12:00:00,74850,75740,74740,75660,1737948561338,138285740.4483108,1840.41316864,30
KRW-BSV,2025-01-27T02:30:00,2025-01-27T11:30:00,75140,75310,74850,74860,1737946793834,252477312.4023239,3365.52997946,30
KRW-BSV,2025-01-27T02:00:00,2025-01-27T11:00:00,75610,75610,75000,75150,1737944976092,462354478.0158842,6151.03502877,30
KRW-BSV,2025-01-27T01:30:00,2025-01-27T10:30:00,75810,76120,75640,75640,1737943199816,87154313.8106492,1149.05567144,30
KRW-BSV,2025-01-27T01:00:00,2025-01-27T10:00:00,76160,76470,75500,75860,1737941379900,305872668.7270765,4031.73828194,30
KRW-BSV,2025-01-27T00:30:00,2025-01-27T09:30:00,76760,76830,76150,76250,1737939542396,105740626.80735,1381.60792589,30
KRW-BSV,2025-01-27T00:00:00,2025-01-27T09:00:00,76740,77160,76150,76880,1737937778530,364223834.0607531,4754.47995605,30
KRW-BSV,2025-01-26T23:30:00,2025-01-27T08:30:00,76740,76810,76510,76760,1737935988758,150689624.1729117,1966.53333693,30
KRW-BSV,2025-01-26T23:00:00,2025-01-27T08:00:00,77650,77650,76520,76740,1737934194896,387982786.1473324,5033.07837694,30
KRW-BSV,2025-01-26T22:30:00,2025-01-27T07:30:00,77650,77960,77540,77810,1737932326224,29697554.8114484,382.4466168,30
KRW-BSV,2025-01-26T22:00:00,2025-01-27T07:00:00,77550,77880,77380,77520,1737930494187,29900497.9735124,385.75540358,30
KRW-BSV,2025-01-26T21:30:00,2025-01-27T06:30:00,77770,77820,77560,77560,1737928798367,28350766.9691911,365.17743511,30
