market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BTC,2025-01-27T13:30:00,2025-01-27T22:30:00,154530000,154999000,154382000,154999000,1737984810162,1851547390.4548,11.97623409,30
KRW-BTC,2025-01-27T13:00:00,2025-01-27T22:00:00,154724000,155402000,154221000,154530000,1737984598991,31363645692.50003,202.519448,30
KRW-BTC,2025-01-27T12:30:00,2025-01-27T21:30:00,152700000,155306000,152695000,154726000,1737982799785,37412892417.43166,242.73509775,30
KRW-BTC,2025-01-27T12:00:00,2025-01-27T21:00:00,152010000,152725000,151850000,152700000,1737980999953,16420073301.34439,107.84026036,30
KRW-BTC,2025-01-27T11:30:00,2025-01-27T20:30:00,152275000,152500000,152000000,152010000,1737979199293,9824158782.47547,64.53512338,30
KRW-BTC,2025-01-27T11:00:00,2025-01-27T20:00:00,151993000,152567000,151870000,152276000,1737977398921,18944885018.85583,124.5077771,30
KRW-BTC,2025-01-27T10:30:00,2025-01-27T19:30:00,152825000,152921000,151991000,152000000,1737975599971,20076147410.38365,131.78025573,30
KRW-BTC,2025-01-27T10:00:00,2025-01-27T19:00:00,153050000,153207000,152608000,152825000,1737973799333,9582872701.98151,62.67811478,30
KRW-BTC,2025-01-27T09:30:00,2025-01-27T18:30:00,152263000,153072000,152144000,153050000,1737971998503,8029132152.65398,52.60718257,30
KRW-BTC,2025-01-27T09:00:00,2025-01-27T18:00:00,152405000,153030000,152144000,152263000,1737970200027,15293143702.10096,100.25540098,30
KRW-BTC,2025-01-27T08:30:00,2025-01-27T17:30:00,153282000,153292000,152337000,152403000,1737968400024,20131091415.73766,131.8163765,30
KRW-BTC,2025-01-27T08:00:00,2025-01-27T17:00:00,153135000,153655000,152829000,153292000,1737966598940,18798170454.94699,122.71941869,30
KRW-BTC,2025-01-27T07:30:00,2025-01-27T16:30:00,151287000,153700000,151260000,153131000,1737964799792,48907277653.97828,320.45199955,30
KRW-BTC,2025-01-27T07:00:00,2025-01-27T16:00:00,152388000,152500000,151287000,151288000,1737962999991,52650774571.13837,346.49665823,30
KRW-BTC,2025-01-27T06:30:00,2025-01-27T15:30:00,153356000,153357000,152131000,152388000,1737961199928,46609719169.61211,305.32137628,30
KRW-BTC,2025-01-27T06:00:00,2025-01-27T15:00:00,153820000,153820000,153314000,153357000,1737959399938,13593449741.37853,88.56919666,30
KRW-BTC,2025-01-27T05:30:00,2025-01-27T14:30:00,153911000,154171000,153381000,153820000,1737957599929,17699956500.82358,115.17065464,30
KRW-BTC,2025-01-27T05:00:00,2025-01-27T14:00:00,153841000,154360000,153733000,153911000,1737955799614,12005094672.23241,77.95621472,30
KRW-BTC,2025-01-27T04:30:00,2025-01-27T13:30:00,154268000,154287000,153369000,153841000,1737953999388,24295759267.70947,158.0146623,30
KRW-BTC,2025-01-27T04:00:00,2025-01-27T13:00:00,154584000,154584000,154000000,154269000,1737952199268,13855165084.73504,89.87224595,30
KRW-BTC,2025-01-27T03:30:00,2025-01-27T12:30:00,155070000,155075000,154283000,154467000,1737950398701,8601400541.87406,55.61440239,30
KRW-BTC,2025-01-27T03:00:00,2025-01-27T12:00:00,154078000,155070000,154000000,155043000,1737948598820,17263630066.88517,111.71656479,30
KRW-BTC,2025-01-27T02:30:00,2025-01-27T11:30:00,154487000,154487000,154000000,154070000,1737946799368,16357574589.80159,106.10586348,30
KRW-BTC,2025-01-27T02:00:00,2025-01-27T11:00:00,154620000,154925000,154200000,154487000,1737944998912,19051730440.62927,123.26613478,30
KRW-BTC,2025-01-27T01:30:00,2025-01-27T10:30:00,155027000,155082000,154599000,154601000,1737943199966,18132031843.97255,117.07561532,30
KRW-BTC,2025-01-27T01:00:00,2025-01-27T10:00:00,154870000,155450000,154115000,155048000,1737941399003,29323608965.04281,189.48271035,30
KRW-BTC,2025-01-27T00:30:00,2025-01-27T09:30:00,156678000,156800000,154865000,154871000,1737939599890,30984965487.29239,199.03634981,30
KRW-BTC,2025-01-27T00:00:00,2025-01-27T09:00:00,156100000,157075000,156003000,156646000,1737937799297,27024409332.40946,172.64393494,30
KRW-BTC,2025-01-26T23:30:00,2025-01-27T08:30:00,156677000,156709000,156000000,156100000,1737935999723,21096571388.03059,134.99506641,30
