market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BTT,2025-01-27T13:30:00,2025-01-27T22:30:00,0.001537,0.00154,0.001537,0.00154,1737984807668,10599388.8091858,6896133267.137473,30
KRW-BTT,2025-01-27T13:00:00,2025-01-27T22:00:00,0.00154,0.001546,0.001531,0.001536,1737984594291,90551018.19591412,58891239651.596695,30
KRW-BTT,2025-01-27T12:30:00,2025-01-27T21:30:00,0.001523,0.001544,0.001522,0.00154,1737982797579,212142239.8644033,138383542413.86447,30
KRW-BTT,2025-01-27T12:00:00,2025-01-27T21:00:00,0.001524,0.001527,0.001519,0.001523,1737980990988,135942035.3763058,89244803758.78021,30
KRW-BTT,2025-01-27T11:30:00,2025-01-27T20:30:00,0.001519,0.001528,0.001519,0.001524,1737979199213,161109945.6361454,105756436047.04276,30
KRW-BTT,2025-01-27T11:00:00,2025-01-27T20:00:00,0.00152,0.001524,0.001517,0.001519,1737977396421,120321074.04839315,79171940180.00356,30
KRW-BTT,2025-01-27T10:30:00,2025-01-27T19:30:00,0.00153,0.001532,0.001519,0.00152,1737975551025,218289120.65382224,143399041665.46204,30
KRW-BTT,2025-01-27T10:00:00,2025-01-27T19:00:00,0.001531,0.001532,0.001525,0.00153,1737973779451,89298064.69844653,58465052698.621025,30
KRW-BTT,2025-01-27T09:30:00,2025-01-27T18:30:00,0.00153,0.001536,0.001529,0.001531,1737971993615,81295734.293108,53083250959.6307,30
KRW-BTT,2025-01-27T09:00:00,2025-01-27T18:00:00,0.001526,0.001533,0.001524,0.00153,1737970195425,70958338.59669314,46409744977.99541,30
KRW-BTT,2025-01-27T08:30:00,2025-01-27T17:30:00,0.001532,0.001532,0.001523,0.001526,1737968399711,254496805.76457024,166754711415.86057,30
KRW-BTT,2025-01-27T08:00:00,2025-01-27T17:00:00,0.001533,0.001536,0.001525,0.001532,1737966595452,188130114.73122528,123116499884.07466,30
KRW-BTT,2025-01-27T07:30:00,2025-01-27T16:30:00,0.001529,0.001543,0.001515,0.001533,1737964792235,552917893.2809982,362447676468.47095,30
KRW-BTT,2025-01-27T07:00:00,2025-01-27T16:00:00,0.001546,0.001548,0.001525,0.00153,1737962987752,491960094.8191323,320322234916.66583,30
KRW-BTT,2025-01-27T06:30:00,2025-01-27T15:30:00,0.001554,0.001554,0.001538,0.001546,1737961193356,525504883.9492553,339995357171.60626,30
KRW-BTT,2025-01-27T06:00:00,2025-01-27T15:00:00,0.001557,0.001559,0.001551,0.001555,1737959394493,158147773.83230937,101775654899.65045,30
KRW-BTT,2025-01-27T05:30:00,2025-01-27T14:30:00,0.00156,0.001566,0.001551,0.001557,1737957584910,308747060.6405025,198349590844.93472,30
KRW-BTT,2025-01-27T05:00:00,2025-01-27T14:00:00,0.001567,0.001569,0.001559,0.00156,1737955797843,272168832.48576444,174151138559.52097,30
KRW-BTT,2025-01-27T04:30:00,2025-01-27T13:30:00,0.001565,0.001568,0.001561,0.001564,1737953990240,136512743.7128011,87314859691.75716,30
KRW-BTT,2025-01-27T04:00:00,2025-01-27T13:00:00,0.001573,0.001574,0.001562,0.001564,1737952199799,209632378.25175443,133776274381.42784,30
KRW-BTT,2025-01-27T03:30:00,2025-01-27T12:30:00,0.001575,0.00158,0.001571,0.001573,1737950391459,132805333.88542613,84324533739.1112,30
KRW-BTT,2025-01-27T03:00:00,2025-01-27T12:00:00,0.00157,0.001575,0.001568,0.001573,1737948589748,148830666.91613534,94676293375.41467,30
KRW-BTT,2025-01-27T02:30:00,2025-01-27T11:30:00,0.001572,0.001574,0.001567,0.001569,1737946785997,198603038.94714856,126587132846.04964,30
KRW-BTT,2025-01-27T02:00:00,2025-01-27T11:00:00,0.001572,0.001578,0.001567,0.001572,1737944985100,212200625.4963905,135049063040.0814,30
KRW-BTT,2025-01-27T01:30:00,2025-01-27T10:30:00,0.001572,0.001578,0.001568,0.001573,1737943199012,186370202.24845794,118607236224.30951,30
KRW-BTT,2025-01-27T01:00:00,2025-01-27T10:00:00,0.001581,0.001585,0.001568,0.001573,1737941395137,460978414.3489897,292878759178.4324,30
KRW-BTT,2025-01-27T00:30:00,2025-01-27T09:30:00,0.001591,0.001592,0.00158,0.001581,1737939597674,189498288.74510047,119512264577.09189,30
KRW-BTT,2025-01-27T00:00:00,2025-01-27T09:00:00,0.001592,0.001599,0.001585,0.001591,1737937797742,303783177.8479778,191130633167.07828,30
KRW-BTT,2025-01-26T23:30:00,2025-01-27T08:30:00,0.001602,0.001604,0.001587,0.001592,1737935999544,536197364.6132323,336257593770.0975,30
KRW-BTT,2025-01-26T23:00:00,2025-01-27T08:00:00,0.001618,0.001618,0.001601,0.001602,1737934192462,574023290.8527696,356693779040.96594,30
KRW-BTT,2025-01-26T22:30:00,2025-01-27T07:30:00,0.001616,0.001619,0.001614,0.001619,1737932349711,73920012.56818041,45716436448.14097,30
KRW-BTT,2025-01-26T22:00:00,2025-01-27T07:00:00,0.001615,0.001616,0.001613,0.001616,1737930479867,55276117.85701001,34235209580.79006,30
KRW-BTT,2025-01-26T21:30:00,2025-01-27T06:30:00,0.001611,0.001615,0.001611,0.001612,1737928793674,24068191.44418139,14913463351.249334,30
KRW-BTT,2025-01-26T21:00:00,2025-01-27T06:00:00,0.001612,0.001615,0.001611,0.001611,1737926999922,32235996.59043547,19993114908.16152,30
KRW-BTT,2025-01-26T20:30:00,2025-01-27T05:30:00,0.001613,0.001616,0.001612,0.001612,1737925155672,8977723.89312589,5565049929.17546,30
KRW-BTT,2025-01-26T20:00:00,2025-01-27T05:00:00,0.001612,0.001615,0.001612,0.001613,1737923314813,19224866.31012568,11922816403.8486,30
KRW-BTT,2025-01-26T19:30:00,2025-01-27T04:30:00,0.001613,0.001616,0.001612,0.001612,1737921572536,29599126.74854902,18355676071.28429,30
KRW-BTT,2025-01-26T19:00:00,2025-01-27T04:00:00,0.001614,0.001618,0.001613,0.001613,1737919753651,32487604.54682029,20118180945.503098,30
KRW-BTT,2025-01-26T18:30:00,2025-01-27T03:30:00,0.001615,0.001615,0.001613,0.001615,1737917954937,30947667.64192406,19174423841.06892,30
KRW-BTT,2025-01-26T18:00:00,2025-01-27T03:00:00,0.001614,0.001617,0.001612,0.001613,1737916113173,13473898.44273622,8351212095.065458,30
KRW-BTT,2025-01-26T17:30:00,2025-01-27T02:30:00,0.001613,0.001617,0.001612,0.001617,1737914358734,21988808.15869509,13619461994.133259,30
KRW-BTT,2025-01-26T17:00:00,2025-01-27T02:00:00,0.001614,0.001615,0.001611,0.001613,1737912474892,44125120.80967332,27373515600.654648,30
KRW-BTT,2025-01-26T16:30:00,2025-01-27T01:30:00,0.001615,0.001615,0.001613,0.001615,1737910792986,28475194.18831157,17637888137.920612,30
KRW-BTT,2025-01-26T16:00:00,2025-01-27T01:00:00,0.001615,0.001618,0.001612,0.001615,1737908951584,80606954.97482973,49919354222.00017,30
KRW-BTT,2025-01-26T15:30:00,2025-01-27T00:30:00,0.001616,0.001616,0.001613,0.001613,1737907170306,25906297.16321793,16050765824.884241,30
KRW-BTT,2025-01-26T15:00:00,2025-01-27T00:00:00,0.001612,0.001618,0.001612,0.001616,1737905321123,47116219.11726034,29195636198.35085,30
KRW-BTT,2025-01-26T14:30:00,2025-01-26T23:30:00,0.001616,0.001616,0.001612,0.001612,1737903562086,59461959.04887237,36834194726.152176,30
KRW-BTT,2025-01-26T14:00:00,2025-01-26T23:00:00,0.001614,0.001616,0.001612,0.001616,1737901776937,67090658.28921058,41582035569.20013,30
KRW-BTT,2025-01-26T13:30:00,2025-01-26T22:30:00,0.001616,0.001617,0.001612,0.001614,1737899929515,41342625.29896641,25619892407.957756,30
KRW-BTT,2025-01-26T13:00:00,2025-01-26T22:00:00,0.001616,0.001618,0.001612,0.001616,1737898194882,90265597.44202995,55909191093.74654,30
KRW-BTT,2025-01-26T12:30:00,2025-01-26T21:30:00,0.001615,0.001618,0.001612,0.001616,1737896393786,90364362.56222683,55993843197.36298,30
KRW-BTT,2025-01-26T12:00:00,2025-01-26T21:00:00,0.001614,0.001616,0.001613,0.001615,1737894592409,56810676.59720083,35187645517.4826,30
KRW-BTT,2025-01-26T11:30:00,2025-01-26T20:30:00,0.001615,0.001615,0.001612,0.001615,1737892786214,55969910.93719787,34695191495.13328,30
KRW-BTT,2025-01-26T11:00:00,2025-01-26T20:00:00,0.001615,0.001616,0.001611,0.001615,1737890982765,49351083.4347695,30580468218.409237,30
KRW-BTT,2025-01-26T10:30:00,2025-01-26T19:30:00,0.001616,0.001616,0.00161,0.001611,1737889163925,205813364.28397784,127664207204.8752,30
KRW-BTT,2025-01-26T10:00:00,2025-01-26T19:00:00,0.001615,0.001617,0.001614,0.001616,1737887388373,71183225.01035924,44073754851.92737,30
KRW-BTT,2025-01-26T09:30:00,2025-01-26T18:30:00,0.001617,0.00162,0.001615,0.001615,1737885590197,82202566.72371705,50869874416.43459,30
KRW-BTT,2025-01-26T09:00:00,2025-01-26T18:00:00,0.00162,0.001621,0.001615,0.001616,1737883794302,57904002.02800102,35795786971.65678,30
KRW-BTT,2025-01-26T08:30:00,2025-01-26T17:30:00,0.001618,0.001621,0.001617,0.001619,1737881983110,62534906.90148478,38633973226.34251,30
KRW-BTT,2025-01-26T08:00:00,2025-01-26T17:00:00,0.001618,0.001621,0.001617,0.001618,1737880181948,31200839.32237788,19284405358.20854,30
KRW-BTT,2025-01-26T07:30:00,2025-01-26T16:30:00,0.001618,0.001622,0.001616,0.001618,1737878388259,78630723.19042403,48580818788.8797,30
KRW-BTT,2025-01-26T07:00:00,2025-01-26T16:00:00,0.001616,0.001618,0.001616,0.001618,1737876594718,37015750.46440883,22885228446.2708,30
KRW-BTT,2025-01-26T06:30:00,2025-01-26T15:30:00,0.001619,0.001619,0.001616,0.001616,1737874796042,70050302.72851168,43327355736.80356,30
KRW-BTT,2025-01-26T06:00:00,2025-01-26T15:00:00,0.001618,0.001621,0.001615,0.001618,1737872971134,80692874.16379572,49911439015.76289,30
KRW-BTT,2025-01-26T05:30:00,2025-01-26T14:30:00,0.00162,0.001621,0.001616,0.001617,1737871188749,101885348.52687816,62941983198.19873,30
KRW-BTT,2025-01-26T05:00:00,2025-01-26T14:00:00,0.001619,0.001622,0.001618,0.00162,1737869347314,43461220.31635415,26827963216.888577,30
KRW-BTT,2025-01-26T04:30:00,2025-01-26T13:30:00,0.001621,0.001621,0.001616,0.001619,1737867591429,72471326.37423873,44805020149.44802,30
KRW-BTT,2025-01-26T04:00:00,2025-01-26T13:00:00,0.001616,0.001621,0.001616,0.001621,1737865779577,77920140.10035627,48169940982.47152,30
KRW-BTT,2025-01-26T03:30:00,2025-01-26T12:30:00,0.001614,0.00162,0.001613,0.001616,1737863958767,140884211.93104386,87157991693.49983,30
KRW-BTT,2025-01-26T03:00:00,2025-01-26T12:00:00,0.001614,0.001617,0.001613,0.001617,1737862153855,115296799.45702077,71402556893.67534,30
KRW-BTT,2025-01-26T02:30:00,2025-01-26T11:30:00,0.001615,0.001617,0.001613,0.001614,1737860398296,111730461.24245004,69217090831.27708,30
KRW-BTT,2025-01-26T02:00:00,2025-01-26T11:00:00,0.001614,0.001616,0.001613,0.001615,1737858598999,52471878.98750385,32503217055.720493,30
KRW-BTT,2025-01-26T01:30:00,2025-01-26T10:30:00,0.001616,0.001621,0.001614,0.001614,1737856790516,139245786.4246571,86144066158.99759,30
