market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-CARV,2025-01-27T13:30:00,2025-01-27T22:30:00,985.5,987.9,985,985,1737984820420,2693842.6520073,2729.92517872,30
KRW-CARV,2025-01-27T13:00:00,2025-01-27T22:00:00,990.3,992.6,980.2,985.6,1737984587767,231131157.0837467,234139.89410188,30
KRW-CARV,2025-01-27T12:30:00,2025-01-27T21:30:00,1001,1001,985.2,990.3,1737982799039,311898561.2129283,314015.0474702,30
KRW-CARV,2025-01-27T12:00:00,2025-01-27T21:00:00,1005,1010,999.9,1001,1737980987503,254635789.66435617,253301.2614503,30
KRW-CARV,2025-01-27T11:30:00,2025-01-27T20:30:00,990.7,1009,989,1008,1737979165850,283936224.61721385,283025.4545178,30
KRW-CARV,2025-01-27T11:00:00,2025-01-27T20:00:00,992.4,1007,982.9,990.7,1737977392213,255845093.0042686,257275.60017845,30
KRW-CARV,2025-01-27T10:30:00,2025-01-27T19:30:00,988,1008,986,992.4,1737975597158,180918560.8343282,181351.32829879,30
KRW-CARV,2025-01-27T10:00:00,2025-01-27T19:00:00,972.5,988.1,972.5,988.1,1737973796730,128611263.36130732,130864.61327615,30
KRW-CARV,2025-01-27T09:30:00,2025-01-27T18:30:00,962,972.9,951,972.9,1737971991239,94268839.60008316,98289.59326361,30
KRW-CARV,2025-01-27T09:00:00,2025-01-27T18:00:00,953,971.7,950.2,962,1737970193098,208684437.37889484,218192.46122929,30
KRW-CARV,2025-01-27T08:30:00,2025-01-27T17:30:00,964.5,964.5,952.9,953,1737968386102,172504173.27622843,180416.69384661,30
KRW-CARV,2025-01-27T08:00:00,2025-01-27T17:00:00,975.6,975.6,960.1,968,1737966518364,117119084.85194267,121277.37588154,30
KRW-CARV,2025-01-27T07:30:00,2025-01-27T16:30:00,957,980.3,953.7,975.6,1737964769969,281739601.4684142,292119.76364528,30
KRW-CARV,2025-01-27T07:00:00,2025-01-27T16:00:00,1001,1001,956,956,1737962999243,530790269.2340145,543056.64715646,30
KRW-CARV,2025-01-27T06:30:00,2025-01-27T15:30:00,994,1009,994,997.8,1737961195877,301112688.6100112,300897.51100788,30
KRW-CARV,2025-01-27T06:00:00,2025-01-27T15:00:00,1008,1008,992.9,994,1737959398135,214615940.0560074,214824.51017036,30
KRW-CARV,2025-01-27T05:30:00,2025-01-27T14:30:00,991,1026,991,1008,1737957583526,482870458.56628287,479033.44432324,30
KRW-CARV,2025-01-27T05:00:00,2025-01-27T14:00:00,981.4,993,981.4,992.7,1737955787547,30720033.57195292,31116.57415537,30
KRW-CARV,2025-01-27T04:30:00,2025-01-27T13:30:00,985.2,993.2,981,981.3,1737953902021,34928687.84607606,35485.34089606,30
KRW-CARV,2025-01-27T04:00:00,2025-01-27T13:00:00,986.4,993.1,985.2,985.2,1737952198656,35511750.49156353,35969.58840106,30
KRW-CARV,2025-01-27T03:30:00,2025-01-27T12:30:00,989,989.8,986.1,986.3,1737950258319,7504322.52933532,7602.49132758,30
KRW-CARV,2025-01-27T03:00:00,2025-01-27T12:00:00,985,989.9,980,989,1737948185436,52650715.17642963,53583.07700925,30
KRW-CARV,2025-01-27T02:30:00,2025-01-27T11:30:00,987.1,987.1,980.1,980.7,1737946788172,102037638.48386218,103916.38156852,30
KRW-CARV,2025-01-27T02:00:00,2025-01-27T11:00:00,993,994.1,981.6,987.5,1737944880220,128086945.40017304,130018.74166845,30
KRW-CARV,2025-01-27T01:30:00,2025-01-27T10:30:00,988.9,994.3,987.1,994.3,1737943188816,61011407.63222764,61602.1293478,30
KRW-CARV,2025-01-27T01:00:00,2025-01-27T10:00:00,997.9,997.9,985.8,988.8,1737941356815,148906324.20024928,150266.74360637,30
KRW-CARV,2025-01-27T00:30:00,2025-01-27T09:30:00,1004,1008,995.1,995.1,1737939581089,87846854.46916364,87919.39936581,30
KRW-CARV,2025-01-27T00:00:00,2025-01-27T09:00:00,999.6,1034,992.9,1004,1737937787027,450119470.24588287,445030.71686179,30
KRW-CARV,2025-01-26T23:30:00,2025-01-27T08:30:00,998.3,1004,998.1,1003,1737935911087,63236594.2746693,63293.33685016,30
KRW-CARV,2025-01-26T23:00:00,2025-01-27T08:00:00,1009,1013,998.2,998.3,1737934179733,100729601.6440733,100541.13830367,30
KRW-CARV,2025-01-26T22:30:00,2025-01-27T07:30:00,1008,1023,1007,1010,1737932376675,24552849.16343595,24285.43676879,30
KRW-CARV,2025-01-26T22:00:00,2025-01-27T07:00:00,1008,1009,1002,1006,1737930352279,44242164.5007213,44042.52259131,30
KRW-CARV,2025-01-26T21:30:00,2025-01-27T06:30:00,1009,1012,1006,1008,1737928799792,25126084.69348729,24893.97117558,30
KRW-CARV,2025-01-26T21:00:00,2025-01-27T06:00:00,1013,1013,1007,1009,1737926333168,11928693.53542143,11805.52672292,30
KRW-CARV,2025-01-26T20:30:00,2025-01-27T05:30:00,1013,1013,1009,1013,1737924985475,3178304.79750455,3144.17238632,30
KRW-CARV,2025-01-26T20:00:00,2025-01-27T05:00:00,1013,1013,1009,1009,1737923037154,1512127.2810729,1494.73747969,30
KRW-CARV,2025-01-26T19:30:00,2025-01-27T04:30:00,1011,1013,1008,1012,1737921509603,10995402.0082102,10869.16289456,30
KRW-CARV,2025-01-26T19:00:00,2025-01-27T04:00:00,1010,1011,1006,1007,1737919386357,9600876.10342848,9517.65520772,30
KRW-CARV,2025-01-26T18:30:00,2025-01-27T03:30:00,1012,1017,1009,1009,1737917850888,14081393.99165101,13914.84990317,30
KRW-CARV,2025-01-26T18:00:00,2025-01-27T03:00:00,1016,1018,1013,1017,1737916076227,3593233.69115526,3541.07400042,30
KRW-CARV,2025-01-26T17:30:00,2025-01-27T02:30:00,1019,1021,1009,1016,1737913806235,13475866.1871219,13294.88223895,30
KRW-CARV,2025-01-26T17:00:00,2025-01-27T02:00:00,1018,1020,1016,1016,1737912594287,17960732.20493713,17637.60375396,30
KRW-CARV,2025-01-26T16:30:00,2025-01-27T01:30:00,1026,1026,1014,1019,1737910774177,57162107.9948523,56187.41735826,30
KRW-CARV,2025-01-26T16:00:00,2025-01-27T01:00:00,1023,1028,1021,1021,1737908827123,63870043.62032297,62346.70629372,30
KRW-CARV,2025-01-26T15:30:00,2025-01-27T00:30:00,1022,1030,1019,1021,1737907159458,62606305.9669105,61122.02143152,30
KRW-CARV,2025-01-26T15:00:00,2025-01-27T00:00:00,1016,1036,1013,1022,1737905385643,235249738.94822547,229225.7156075,30
KRW-CARV,2025-01-26T14:30:00,2025-01-26T23:30:00,1014,1019,1014,1016,1737903574836,19034431.42284826,18743.75559999,30
KRW-CARV,2025-01-26T14:00:00,2025-01-26T23:00:00,1023,1023,1013,1014,1737901745159,29597307.97088379,29123.76435846,30
KRW-CARV,2025-01-26T13:30:00,2025-01-26T22:30:00,1017,1023,1014,1022,1737899999117,68814069.10041068,67500.75826877,30
KRW-CARV,2025-01-26T13:00:00,2025-01-26T22:00:00,1014,1023,1007,1015,1737898088987,203088240.81514114,200435.20437549,30
KRW-CARV,2025-01-26T12:30:00,2025-01-26T21:30:00,1006,1020,1004,1014,1737896394884,86159662.25156757,85263.12314597,30
KRW-CARV,2025-01-26T12:00:00,2025-01-26T21:00:00,1006,1006,1003,1006,1737894580048,10657142.47344805,10599.97979488,30
KRW-CARV,2025-01-26T11:30:00,2025-01-26T20:30:00,1001,1006,1001,1006,1737892796373,20760805.95974628,20693.43477314,30
KRW-CARV,2025-01-26T11:00:00,2025-01-26T20:00:00,1001,1002,1001,1001,1737890974393,54837956.60784374,54762.59569637,30
KRW-CARV,2025-01-26T10:30:00,2025-01-26T19:30:00,1004,1005,1002,1002,1737889162501,32896935.34362488,32819.94249348,30
KRW-CARV,2025-01-26T10:00:00,2025-01-26T19:00:00,1003,1005,1002,1004,1737887332391,24404376.01250407,24338.4234686,30
KRW-CARV,2025-01-26T09:30:00,2025-01-26T18:30:00,1002,1004,1001,1003,1737885465542,40715177.41928914,40643.87005072,30
