market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-CBK,2025-01-27T13:30:00,2025-01-27T22:30:00,1317,1319,1317,1319,1737984819843,11566554.35211393,8775.88249406,30
KRW-CBK,2025-01-27T13:00:00,2025-01-27T22:00:00,1325,1328,1310,1316,1737984575717,222680492.940213,169109.58915649,30
KRW-CBK,2025-01-27T12:30:00,2025-01-27T21:30:00,1291,1335,1290,1326,1737982799579,224871995.1684813,170825.37507676,30
KRW-CBK,2025-01-27T12:00:00,2025-01-27T21:00:00,1292,1300,1287,1292,1737980972324,107412635.34285107,83013.7451735,30
KRW-CBK,2025-01-27T11:30:00,2025-01-27T20:30:00,1299,1301,1291,1291,1737979165571,74449592.6230716,57362.32274026,30
KRW-CBK,2025-01-27T11:00:00,2025-01-27T20:00:00,1297,1303,1275,1299,1737977360567,175988021.6554887,136176.185813,30
KRW-CBK,2025-01-27T10:30:00,2025-01-27T19:30:00,1305,1307,1280,1297,1737975599646,168030484.0581655,130165.62686096,30
KRW-CBK,2025-01-27T10:00:00,2025-01-27T19:00:00,1309,1309,1301,1305,1737973792626,34797417.79646618,26670.90243881,30
KRW-CBK,2025-01-27T09:30:00,2025-01-27T18:30:00,1297,1310,1297,1306,1737971993715,51910442.08138189,39822.79708367,30
KRW-CBK,2025-01-27T09:00:00,2025-01-27T18:00:00,1291,1313,1284,1299,1737970186098,199251476.0578183,153226.20311475,30
KRW-CBK,2025-01-27T08:30:00,2025-01-27T17:30:00,1299,1307,1276,1291,1737968393330,243410597.98808724,189392.47792644,30
KRW-CBK,2025-01-27T08:00:00,2025-01-27T17:00:00,1302,1308,1288,1300,1737966599882,148783240.8143399,114635.52554453,30
KRW-CBK,2025-01-27T07:30:00,2025-01-27T16:30:00,1273,1310,1267,1302,1737964797944,421063025.4374622,325693.89121792,30
KRW-CBK,2025-01-27T07:00:00,2025-01-27T16:00:00,1314,1322,1273,1273,1737962999937,413483731.1316352,319182.38123442,30
KRW-CBK,2025-01-27T06:30:00,2025-01-27T15:30:00,1332,1333,1293,1314,1737961189239,684633286.9312941,522812.67469643,30
KRW-CBK,2025-01-27T06:00:00,2025-01-27T15:00:00,1353,1356,1321,1332,1737959398676,392228682.4145928,293771.02952566,30
KRW-CBK,2025-01-27T05:30:00,2025-01-27T14:30:00,1378,1378,1348,1353,1737957575501,130172244.1417334,95623.64288322,30
KRW-CBK,2025-01-27T05:00:00,2025-01-27T14:00:00,1374,1379,1366,1378,1737955800043,108882748.39781547,79272.65242307,30
KRW-CBK,2025-01-27T04:30:00,2025-01-27T13:30:00,1397,1397,1354,1374,1737953987993,429967553.650893,313046.65140078,30
KRW-CBK,2025-01-27T04:00:00,2025-01-27T13:00:00,1375,1415,1363,1400,1737952200022,455331470.1875781,327611.10653935,30
KRW-CBK,2025-01-27T03:30:00,2025-01-27T12:30:00,1374,1382,1361,1378,1737950350718,173752596.07605433,126761.28100523,30
KRW-CBK,2025-01-27T03:00:00,2025-01-27T12:00:00,1362,1380,1357,1370,1737948539578,138953170.28174198,101582.95658531,30
KRW-CBK,2025-01-27T02:30:00,2025-01-27T11:30:00,1360,1366,1344,1361,1737946797503,211902652.41027075,156449.04989585,30
KRW-CBK,2025-01-27T02:00:00,2025-01-27T11:00:00,1372,1378,1357,1360,1737944992835,204018548.62679595,149451.83962501,30
KRW-CBK,2025-01-27T01:30:00,2025-01-27T10:30:00,1367,1386,1359,1372,1737943196587,339681620.7028963,247338.93401544,30
