market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-CELO,2025-01-27T13:30:00,2025-01-27T22:30:00,814,814,813,814,1737984748201,5071635.71540373,6235.85063612,30
KRW-CELO,2025-01-27T13:00:00,2025-01-27T22:00:00,815,818,809,813,1737984565838,25563296.23784686,31425.80738506,30
KRW-CELO,2025-01-27T12:30:00,2025-01-27T21:30:00,796,819,796,815,1737982782260,54138201.57319758,66853.65830955,30
KRW-CELO,2025-01-27T12:00:00,2025-01-27T21:00:00,797,800,795,796,1737980996854,8006461.70427606,10028.92781732,30
KRW-CELO,2025-01-27T11:30:00,2025-01-27T20:30:00,800,802,796,798,1737979108275,18461118.69483531,23119.75094208,30
KRW-CELO,2025-01-27T11:00:00,2025-01-27T20:00:00,791,801,789,800,1737977379477,34094979.3727373,42958.21790355,30
KRW-CELO,2025-01-27T10:30:00,2025-01-27T19:30:00,800,800,789,789,1737975595289,143831256.8863771,181753.9007915,30
KRW-CELO,2025-01-27T10:00:00,2025-01-27T19:00:00,806,806,799,802,1737973734006,21721723.14840365,27108.32106154,30
KRW-CELO,2025-01-27T09:30:00,2025-01-27T18:30:00,799,807,799,807,1737971994475,13169372.37400127,16399.35397614,30
KRW-CELO,2025-01-27T09:00:00,2025-01-27T18:00:00,797,808,796,800,1737970179994,26295817.45572956,32717.9305539,30
KRW-CELO,2025-01-27T08:30:00,2025-01-27T17:30:00,803,803,791,797,1737968331102,52265111.91073762,65720.33316019,30
KRW-CELO,2025-01-27T08:00:00,2025-01-27T17:00:00,809,809,799,803,1737966581909,38401415.73748484,47889.51974934,30
KRW-CELO,2025-01-27T07:30:00,2025-01-27T16:30:00,791,809,790,807,1737964711491,124866770.06692377,156628.21204966,30
KRW-CELO,2025-01-27T07:00:00,2025-01-27T16:00:00,807,808,791,791,1737962995527,226966842.6712739,283329.00558381,30
KRW-CELO,2025-01-27T06:30:00,2025-01-27T15:30:00,813,816,804,807,1737961172615,171768675.54443038,212514.58115957,30
KRW-CELO,2025-01-27T06:00:00,2025-01-27T15:00:00,819,821,814,816,1737959387408,45555854.25062581,55840.61635446,30
KRW-CELO,2025-01-27T05:30:00,2025-01-27T14:30:00,821,821,815,820,1737957565181,73706895.04704253,90023.76689468,30
KRW-CELO,2025-01-27T05:00:00,2025-01-27T14:00:00,825,825,821,823,1737955608378,32991547.75752111,40096.81240652,30
KRW-CELO,2025-01-27T04:30:00,2025-01-27T13:30:00,825,829,823,823,1737953859986,16461833.65446406,19965.99003896,30
KRW-CELO,2025-01-27T04:00:00,2025-01-27T13:00:00,829,830,823,825,1737952147908,37901915.72055009,45928.36390475,30
KRW-CELO,2025-01-27T03:30:00,2025-01-27T12:30:00,832,832,829,830,1737950390660,6499155.80443306,7830.43949914,30
KRW-CELO,2025-01-27T03:00:00,2025-01-27T12:00:00,823,836,823,832,1737948581913,25582810.73749224,30839.79431717,30
KRW-CELO,2025-01-27T02:30:00,2025-01-27T11:30:00,825,827,821,824,1737946788830,70383194.09154494,85372.69170688,30
KRW-CELO,2025-01-27T02:00:00,2025-01-27T11:00:00,830,832,824,826,1737944976192,66343054.67240091,80286.24436501,30
KRW-CELO,2025-01-27T01:30:00,2025-01-27T10:30:00,833,839,831,831,1737943148155,18872396.36595002,22622.8623564,30
KRW-CELO,2025-01-27T01:00:00,2025-01-27T10:00:00,840,842,828,831,1737941362494,92102668.61774205,110302.61136769,30
KRW-CELO,2025-01-27T00:30:00,2025-01-27T09:30:00,843,845,838,839,1737939560689,103214263.15913536,122722.4326902,30
KRW-CELO,2025-01-27T00:00:00,2025-01-27T09:00:00,847,852,841,843,1737937790664,100328551.3667705,118404.2239915,30
KRW-CELO,2025-01-26T23:30:00,2025-01-27T08:30:00,850,850,844,847,1737935973046,92204875.6191381,108851.67597494,30
KRW-CELO,2025-01-26T23:00:00,2025-01-27T08:00:00,858,860,848,851,1737934160501,114410620.21086392,134076.13503567,30
KRW-CELO,2025-01-26T22:30:00,2025-01-27T07:30:00,860,863,857,860,1737932231985,5014553.79842776,5826.99001066,30
KRW-CELO,2025-01-26T22:00:00,2025-01-27T07:00:00,857,860,854,859,1737930587976,21004301.85556579,24525.30088997,30
KRW-CELO,2025-01-26T21:30:00,2025-01-27T06:30:00,862,862,857,857,1737928793129,7398187.09881529,8616.50382737,30
KRW-CELO,2025-01-26T21:00:00,2025-01-27T06:00:00,862,862,858,858,1737926949305,32842528.39317269,38150.86492281,30
KRW-CELO,2025-01-26T20:30:00,2025-01-27T05:30:00,866,866,863,863,1737925028124,52178968.8990856,60322.44350837,30
KRW-CELO,2025-01-26T20:00:00,2025-01-27T05:00:00,865,866,864,865,1737923224944,11449417.2039893,13237.21721807,30
KRW-CELO,2025-01-26T19:30:00,2025-01-27T04:30:00,867,867,863,865,1737921590698,73180666.07520685,84699.384255,30
KRW-CELO,2025-01-26T19:00:00,2025-01-27T04:00:00,869,869,864,866,1737919319824,153336732.46717367,177135.68532628,30
KRW-CELO,2025-01-26T18:30:00,2025-01-27T03:30:00,873,873,869,869,1737917259593,20053129.82439213,23044.41431927,30
KRW-CELO,2025-01-26T18:00:00,2025-01-27T03:00:00,871,873,870,873,1737916166619,1960562.71963911,2248.52394625,30
KRW-CELO,2025-01-26T17:30:00,2025-01-27T02:30:00,868,872,868,871,1737913993812,2616017.12624456,3011.10554879,30
KRW-CELO,2025-01-26T17:00:00,2025-01-27T02:00:00,869,869,866,869,1737912389557,1961598.90366031,2262.46243209,30
KRW-CELO,2025-01-26T16:30:00,2025-01-27T01:30:00,865,869,865,868,1737910482619,4860249.1311614,5616.32986229,30
KRW-CELO,2025-01-26T16:00:00,2025-01-27T01:00:00,866,868,865,868,1737908968710,11739729.94397637,13565.23587648,30
KRW-CELO,2025-01-26T15:30:00,2025-01-27T00:30:00,867,870,865,865,1737906902432,16571652.8049673,19118.01790144,30
KRW-CELO,2025-01-26T15:00:00,2025-01-27T00:00:00,868,870,867,867,1737905303174,15772830.79659035,18161.95172919,30
KRW-CELO,2025-01-26T14:30:00,2025-01-26T23:30:00,869,870,868,868,1737903563942,2951381.65486136,3395.10041529,30
KRW-CELO,2025-01-26T14:00:00,2025-01-26T23:00:00,868,870,867,870,1737901702097,5677976.30651655,6536.6319686,30
KRW-CELO,2025-01-26T13:30:00,2025-01-26T22:30:00,870,870,866,869,1737899975729,59648619.26401247,68658.29920993,30
