market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-CHZ,2025-01-27T13:30:00,2025-01-27T22:30:00,103.7,104.1,103.5,104.1,1737984802719,9841098.8397683,94798.53358219,30
KRW-CHZ,2025-01-27T13:00:00,2025-01-27T22:00:00,102.9,104.4,102.5,103.7,1737984578208,265129703.74340385,2558006.56743038,30
KRW-CHZ,2025-01-27T12:30:00,2025-01-27T21:30:00,100.8,103.7,100.7,102.9,1737982791149,161790978.5951081,1581720.37147157,30
KRW-CHZ,2025-01-27T12:00:00,2025-01-27T21:00:00,100.8,101.3,100.5,100.9,1737980995901,67958224.06208281,673218.62233654,30
KRW-CHZ,2025-01-27T11:30:00,2025-01-27T20:30:00,101.2,101.5,100.5,100.7,1737979190550,115430676.07174622,1144200.00918691,30
KRW-CHZ,2025-01-27T11:00:00,2025-01-27T20:00:00,100.6,103,100.1,101.1,1737977344594,288659013.36784345,2863259.17814037,30
KRW-CHZ,2025-01-27T10:30:00,2025-01-27T19:30:00,101.5,101.5,100.2,100.4,1737975534035,189187941.4768108,1878418.85389477,30
KRW-CHZ,2025-01-27T10:00:00,2025-01-27T19:00:00,102.2,102.2,101.5,101.5,1737973794462,82389780.61245883,809474.99951236,30
KRW-CHZ,2025-01-27T09:30:00,2025-01-27T18:30:00,101.5,102.3,101.3,102.3,1737971906960,52131570.32765194,512066.39187861,30
KRW-CHZ,2025-01-27T09:00:00,2025-01-27T18:00:00,101.5,102.3,101.2,101.5,1737970194423,50922384.63935112,500045.81161996,30
KRW-CHZ,2025-01-27T08:30:00,2025-01-27T17:30:00,102,102,100.4,101.2,1737968360102,157189404.86898676,1556063.86819609,30
KRW-CHZ,2025-01-27T08:00:00,2025-01-27T17:00:00,102.5,102.5,101.3,102.1,1737966595758,231544133.4620753,2271213.59810704,30
KRW-CHZ,2025-01-27T07:30:00,2025-01-27T16:30:00,100.8,102.9,100.6,102.5,1737964796216,329948517.7412286,3243357.88177773,30
KRW-CHZ,2025-01-27T07:00:00,2025-01-27T16:00:00,103,103.4,100.5,100.6,1737962998641,442643975.31365025,4341616.01919163,30
KRW-CHZ,2025-01-27T06:30:00,2025-01-27T15:30:00,104.1,104.3,102.6,103,1737961183108,707403215.6894609,6857745.71888154,30
KRW-CHZ,2025-01-27T06:00:00,2025-01-27T15:00:00,104.4,104.8,103.9,104,1737959382796,72850847.00250255,699423.57791268,30
KRW-CHZ,2025-01-27T05:30:00,2025-01-27T14:30:00,104.5,104.9,104,104.5,1737957594889,149572455.10038248,1434065.70002847,30
KRW-CHZ,2025-01-27T05:00:00,2025-01-27T14:00:00,104.9,104.9,104.1,104.5,1737955730980,114992413.80215006,1100214.09614831,30
KRW-CHZ,2025-01-27T04:30:00,2025-01-27T13:30:00,105,105.3,104.8,104.9,1737953966989,29606139.48135682,281838.32772613,30
KRW-CHZ,2025-01-27T04:00:00,2025-01-27T13:00:00,105.4,105.4,104.8,105.1,1737952167362,64036336.76415019,609296.71366231,30
KRW-CHZ,2025-01-27T03:30:00,2025-01-27T12:30:00,105.8,105.8,105.2,105.5,1737950369829,39230455.13944568,372096.99261908,30
KRW-CHZ,2025-01-27T03:00:00,2025-01-27T12:00:00,104.6,105.9,104.4,105.8,1737948580848,112640069.07765377,1071516.92811293,30
KRW-CHZ,2025-01-27T02:30:00,2025-01-27T11:30:00,104.8,105,104.3,104.5,1737946789117,278702718.50564516,2660729.13652089,30
KRW-CHZ,2025-01-27T02:00:00,2025-01-27T11:00:00,106.1,106.1,104.5,104.8,1737944991510,635167767.5810388,6045343.46147707,30
KRW-CHZ,2025-01-27T01:30:00,2025-01-27T10:30:00,106.8,107.1,106,106,1737943191206,103660148.07161416,973153.852669,30
KRW-CHZ,2025-01-27T01:00:00,2025-01-27T10:00:00,107.8,108.1,106.1,106.8,1737941389620,403265748.56661004,3773263.86070865,30
KRW-CHZ,2025-01-27T00:30:00,2025-01-27T09:30:00,108.7,108.8,107.5,107.8,1737939599700,189568520.59575784,1754062.63329201,30
KRW-CHZ,2025-01-27T00:00:00,2025-01-27T09:00:00,109.7,110.1,108.3,108.9,1737937792070,441596235.1847657,4051789.83524184,30
KRW-CHZ,2025-01-26T23:30:00,2025-01-27T08:30:00,110.2,110.2,109.5,109.7,1737935989823,188566856.52525914,1716187.52638041,30
KRW-CHZ,2025-01-26T23:00:00,2025-01-27T08:00:00,111.6,111.6,110,110.3,1737934110764,212397453.22934476,1920717.68394462,30
KRW-CHZ,2025-01-26T22:30:00,2025-01-27T07:30:00,111.8,112.5,111.5,111.9,1737932324779,39608803.97918029,353158.09692127,30
KRW-CHZ,2025-01-26T22:00:00,2025-01-27T07:00:00,112.1,112.1,111.1,111.8,1737930538051,66867091.30388418,599065.06078094,30
KRW-CHZ,2025-01-26T21:30:00,2025-01-27T06:30:00,112.5,112.5,112,112.1,1737928799030,10123411.19377993,90090.33482627,30
KRW-CHZ,2025-01-26T21:00:00,2025-01-27T06:00:00,112.8,112.8,111.9,112.6,1737926804130,52377841.35984285,466421.0716264,30
KRW-CHZ,2025-01-26T20:30:00,2025-01-27T05:30:00,113.3,113.3,112.8,112.8,1737924945785,18814959.70930594,166453.54799696,30
KRW-CHZ,2025-01-26T20:00:00,2025-01-27T05:00:00,113,113.4,113,113.4,1737923236563,6981993.1905317,61667.29797966,30
KRW-CHZ,2025-01-26T19:30:00,2025-01-27T04:30:00,113.1,113.1,112.9,112.9,1737921035508,6995168.46285495,61914.8313889,30
