market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-CKB,2025-01-27T13:30:00,2025-01-27T22:30:00,12.88,12.93,12.88,12.92,1737984828208,3343572.96825445,259211.40150749,30
KRW-CKB,2025-01-27T13:00:00,2025-01-27T22:00:00,12.8,12.97,12.72,12.88,1737984561783,113763946.17349917,8860557.6258794,30
KRW-CKB,2025-01-27T12:30:00,2025-01-27T21:30:00,12.49,12.87,12.49,12.8,1737982790920,110879570.91643429,8733628.57670825,30
KRW-CKB,2025-01-27T12:00:00,2025-01-27T21:00:00,12.43,12.56,12.42,12.49,1737980998160,68668712.66288368,5488742.41951457,30
KRW-CKB,2025-01-27T11:30:00,2025-01-27T20:30:00,12.51,12.55,12.44,12.44,1737979177252,84762719.64371684,6785678.40202968,30
KRW-CKB,2025-01-27T11:00:00,2025-01-27T20:00:00,12.43,12.54,12.41,12.51,1737977376686,72242812.25246364,5802867.53933785,30
KRW-CKB,2025-01-27T10:30:00,2025-01-27T19:30:00,12.61,12.61,12.38,12.46,1737975589812,194640138.32190117,15627224.9324064,30
KRW-CKB,2025-01-27T10:00:00,2025-01-27T19:00:00,12.68,12.68,12.58,12.58,1737973723008,31535321.71412311,2498282.10703227,30
KRW-CKB,2025-01-27T09:30:00,2025-01-27T18:30:00,12.52,12.73,12.51,12.73,1737971998754,45733685.20116895,3624985.96557015,30
KRW-CKB,2025-01-27T09:00:00,2025-01-27T18:00:00,12.55,12.67,12.5,12.5,1737970199508,136375098.47495216,10843762.1318415,30
KRW-CKB,2025-01-27T08:30:00,2025-01-27T17:30:00,12.62,12.62,12.43,12.55,1737968397225,189890809.15354633,15224421.51944385,30
KRW-CKB,2025-01-27T08:00:00,2025-01-27T17:00:00,12.67,12.67,12.51,12.62,1737966597834,160436165.89202204,12745282.87037185,30
KRW-CKB,2025-01-27T07:30:00,2025-01-27T16:30:00,12.46,12.75,12.46,12.67,1737964794531,216661778.7379007,17174138.49567112,30
KRW-CKB,2025-01-27T07:00:00,2025-01-27T16:00:00,12.77,12.98,12.41,12.46,1737962999834,544480781.177113,43068883.30687274,30
KRW-CKB,2025-01-27T06:30:00,2025-01-27T15:30:00,12.88,12.88,12.69,12.74,1737961170890,305521791.5097714,23924268.53291508,30
KRW-CKB,2025-01-27T06:00:00,2025-01-27T15:00:00,12.93,13,12.83,12.88,1737959394295,156177678.0012991,12103542.04090592,30
KRW-CKB,2025-01-27T05:30:00,2025-01-27T14:30:00,12.92,12.95,12.82,12.92,1737957594090,336621493.68347573,26116195.20434737,30
KRW-CKB,2025-01-27T05:00:00,2025-01-27T14:00:00,12.96,12.99,12.89,12.91,1737955773023,330360389.22531915,25555433.78622538,30
KRW-CKB,2025-01-27T04:30:00,2025-01-27T13:30:00,12.99,13.02,12.92,12.95,1737953960110,232623193.37731037,17932365.59247651,30
KRW-CKB,2025-01-27T04:00:00,2025-01-27T13:00:00,13.09,13.1,12.93,12.98,1737952184786,245343797.86239848,18872665.05823521,30
KRW-CKB,2025-01-27T03:30:00,2025-01-27T12:30:00,13.11,13.16,13.04,13.12,1737950396903,152097632.85372713,11628652.48827157,30
KRW-CKB,2025-01-27T03:00:00,2025-01-27T12:00:00,13.05,13.14,13,13.11,1737948577718,140009193.5380422,10740975.06052044,30
KRW-CKB,2025-01-27T02:30:00,2025-01-27T11:30:00,13.13,13.13,13.01,13.02,1737946782764,294251779.3873991,22525717.63451824,30
KRW-CKB,2025-01-27T02:00:00,2025-01-27T11:00:00,13.23,13.33,13.09,13.13,1737944983819,454614269.5935357,34562049.33006187,30
KRW-CKB,2025-01-27T01:30:00,2025-01-27T10:30:00,13.31,13.35,13.2,13.22,1737943195964,177481594.87969497,13365353.14442113,30
KRW-CKB,2025-01-27T01:00:00,2025-01-27T10:00:00,13.41,13.43,13.18,13.32,1737941397245,436013090.68310905,32778434.02414353,30
KRW-CKB,2025-01-27T00:30:00,2025-01-27T09:30:00,13.59,13.63,13.38,13.45,1737939576329,543804491.6484889,40289646.55947016,30
KRW-CKB,2025-01-27T00:00:00,2025-01-27T09:00:00,13.81,14.93,13.56,13.6,1737937799084,2271188545.328491,162081427.07207096,30
KRW-CKB,2025-01-26T23:30:00,2025-01-27T08:30:00,13.79,13.84,13.74,13.78,1737935998969,164961228.65670198,11975934.46206299,30
KRW-CKB,2025-01-26T23:00:00,2025-01-27T08:00:00,13.99,14,13.78,13.8,1737934186578,143946737.36882827,10392385.03282718,30
KRW-CKB,2025-01-26T22:30:00,2025-01-27T07:30:00,13.98,14.08,13.96,14,1737932396392,33004429.96477117,2350612.31430251,30
KRW-CKB,2025-01-26T22:00:00,2025-01-27T07:00:00,13.97,13.98,13.91,13.96,1737930348874,57946409.25786635,4159565.62745577,30
KRW-CKB,2025-01-26T21:30:00,2025-01-27T06:30:00,14,14.04,13.96,13.97,1737928798570,31840539.34358238,2272622.25792523,30
KRW-CKB,2025-01-26T21:00:00,2025-01-27T06:00:00,14.01,14.04,13.96,14,1737926984126,52837567.88977706,3775145.30355082,30
KRW-CKB,2025-01-26T20:30:00,2025-01-27T05:30:00,14.07,14.07,14.01,14.01,1737925165590,18639279.34344163,1329280.64672334,30
KRW-CKB,2025-01-26T20:00:00,2025-01-27T05:00:00,14.06,14.1,14.05,14.07,1737923355954,4635407.35088197,329409.9815341,30
KRW-CKB,2025-01-26T19:30:00,2025-01-27T04:30:00,14.04,14.07,14.03,14.07,1737921113148,1253123.56509601,89170.68825402,30
KRW-CKB,2025-01-26T19:00:00,2025-01-27T04:00:00,14.06,14.07,14.04,14.04,1737919152317,2483723.98828446,176748.02770962,30
KRW-CKB,2025-01-26T18:30:00,2025-01-27T03:30:00,14.08,14.1,14.07,14.07,1737917895368,7864257.39769202,558451.96072715,30
KRW-CKB,2025-01-26T18:00:00,2025-01-27T03:00:00,14.06,14.08,14.06,14.08,1737915752740,10732313.54883872,762852.55178974,30
KRW-CKB,2025-01-26T17:30:00,2025-01-27T02:30:00,14.02,14.06,14.01,14.06,1737914389882,47457983.92514678,3383693.4428384,30
KRW-CKB,2025-01-26T17:00:00,2025-01-27T02:00:00,14.02,14.06,14.01,14.02,1737912457878,35980043.74975823,2563895.3084005,30
KRW-CKB,2025-01-26T16:30:00,2025-01-27T01:30:00,14.05,14.06,14.01,14.03,1737910723780,9725554.85622395,692689.94194612,30
KRW-CKB,2025-01-26T16:00:00,2025-01-27T01:00:00,14.06,14.06,14,14.01,1737908468135,41544842.56702977,2965476.04494171,30
KRW-CKB,2025-01-26T15:30:00,2025-01-27T00:30:00,14.12,14.14,14.03,14.03,1737907165044,82916784.07322954,5892740.97583175,30
KRW-CKB,2025-01-26T15:00:00,2025-01-27T00:00:00,14.1,14.12,14.07,14.12,1737905392086,36714435.89268904,2603885.49323718,30
KRW-CKB,2025-01-26T14:30:00,2025-01-26T23:30:00,14.07,14.1,14.05,14.1,1737903528954,24032586.54682916,1708418.34693148,30
KRW-CKB,2025-01-26T14:00:00,2025-01-26T23:00:00,14.05,14.07,14.01,14.06,1737901758445,82942003.69282432,5902663.26125619,30
KRW-CKB,2025-01-26T13:30:00,2025-01-26T22:30:00,14.04,14.06,14.01,14.06,1737899989218,19848262.13546854,1415021.75628762,30
KRW-CKB,2025-01-26T13:00:00,2025-01-26T22:00:00,14.05,14.09,14.02,14.05,1737898178338,67599277.83518212,4810513.54922059,30
KRW-CKB,2025-01-26T12:30:00,2025-01-26T21:30:00,14.02,14.03,13.98,14,1737896187171,52785628.34052686,3766350.0017038,30
KRW-CKB,2025-01-26T12:00:00,2025-01-26T21:00:00,14.03,14.03,13.98,14.02,1737894458367,20014758.76614605,1428718.95066477,30
KRW-CKB,2025-01-26T11:30:00,2025-01-26T20:30:00,13.98,14.04,13.98,14.03,1737892789062,37825134.06972092,2699457.30361726,30
