market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-CRO,2025-01-27T13:30:00,2025-01-27T22:30:00,203.1,203.2,202,202.2,1737984700090,21516572.36485301,106219.83501131,30
KRW-CRO,2025-01-27T13:00:00,2025-01-27T22:00:00,202.9,205.8,200.5,203.1,1737984599061,228012034.31936926,1125783.16175954,30
KRW-CRO,2025-01-27T12:30:00,2025-01-27T21:30:00,197.4,204.1,197.4,202.9,1737982789195,521639260.3357534,2580860.20850958,30
KRW-CRO,2025-01-27T12:00:00,2025-01-27T21:00:00,196.6,197.6,196.1,197.5,1737980998118,75602532.42481212,384153.72926534,30
KRW-CRO,2025-01-27T11:30:00,2025-01-27T20:30:00,197,197.7,196.2,196.6,1737979183719,33257877.51353296,168937.83111841,30
KRW-CRO,2025-01-27T11:00:00,2025-01-27T20:00:00,194.4,197.4,194.1,197,1737977295520,66559092.09308543,340324.99380358,30
KRW-CRO,2025-01-27T10:30:00,2025-01-27T19:30:00,196.1,196.2,193.8,194.8,1737975565099,79969884.85911378,410208.50559469,30
KRW-CRO,2025-01-27T10:00:00,2025-01-27T19:00:00,197.3,197.5,195.7,196.8,1737973776966,43877475.24420348,223330.11385575,30
KRW-CRO,2025-01-27T09:30:00,2025-01-27T18:30:00,195.8,197.4,195.2,197,1737971866254,41898776.46326901,213322.24418402,30
KRW-CRO,2025-01-27T09:00:00,2025-01-27T18:00:00,193.8,198,193.2,195.8,1737970183710,68680003.9549943,350417.16083518,30
KRW-CRO,2025-01-27T08:30:00,2025-01-27T17:30:00,195.3,195.3,192.3,193.8,1737968378094,62405259.58868829,322953.27944737,30
KRW-CRO,2025-01-27T08:00:00,2025-01-27T17:00:00,194.1,195.7,192.2,195.6,1737966550070,182851650.79781592,943499.24517359,30
KRW-CRO,2025-01-27T07:30:00,2025-01-27T16:30:00,190.9,195.4,190.9,194.4,1737964743473,341241940.2361046,1769301.20874668,30
KRW-CRO,2025-01-27T07:00:00,2025-01-27T16:00:00,194.8,195.5,190.1,190.8,1737963000020,598528016.5717082,3091291.4472889,30
KRW-CRO,2025-01-27T06:30:00,2025-01-27T15:30:00,197,197.5,194.5,194.8,1737961189298,539614388.9714404,2756075.2985481,30
KRW-CRO,2025-01-27T06:00:00,2025-01-27T15:00:00,197.9,197.9,195.7,197.2,1737959391486,169168356.7111977,859992.36409665,30
KRW-CRO,2025-01-27T05:30:00,2025-01-27T14:30:00,199.6,200.1,196.2,197.8,1737957599429,520196243.82894486,2636216.77985976,30
KRW-CRO,2025-01-27T05:00:00,2025-01-27T14:00:00,198.7,200.2,198.2,199.9,1737955713155,155846859.48174646,782687.49517152,30
KRW-CRO,2025-01-27T04:30:00,2025-01-27T13:30:00,199.5,199.8,198.6,198.7,1737953939819,126263783.38524526,634315.77008937,30
KRW-CRO,2025-01-27T04:00:00,2025-01-27T13:00:00,202.1,202.1,199,199,1737952136368,67314913.33232085,337346.21187287,30
KRW-CRO,2025-01-27T03:30:00,2025-01-27T12:30:00,202,202.4,201.5,202.1,1737950366997,22897524.96509591,113408.17274265,30
KRW-CRO,2025-01-27T03:00:00,2025-01-27T12:00:00,199.6,202,199.3,202,1737948586813,63966806.65180474,317850.67497151,30
KRW-CRO,2025-01-27T02:30:00,2025-01-27T11:30:00,199.9,200.8,199.3,199.3,1737946736031,96779852.53700566,484300.089623,30
KRW-CRO,2025-01-27T02:00:00,2025-01-27T11:00:00,200.6,200.6,198.6,199.8,1737944787978,141112315.01695824,706641.46116762,30
KRW-CRO,2025-01-27T01:30:00,2025-01-27T10:30:00,201.8,203.3,200.5,200.6,1737943190785,98668200.85883585,489508.78727798,30
KRW-CRO,2025-01-27T01:00:00,2025-01-27T10:00:00,202.4,203.1,201,202.2,1737941378106,276705375.9872545,1368749.91202423,30
