market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-CTC,2025-01-27T13:30:00,2025-01-27T22:30:00,1462,1462,1458,1462,1737984821066,15411631.99884011,10546.33924371,30
KRW-CTC,2025-01-27T13:00:00,2025-01-27T22:00:00,1467,1473,1456,1462,1737984581471,175666313.37819424,120040.76464251,30
KRW-CTC,2025-01-27T12:30:00,2025-01-27T21:30:00,1440,1474,1431,1464,1737982791171,358306125.9148965,246792.76376695,30
KRW-CTC,2025-01-27T12:00:00,2025-01-27T21:00:00,1445,1450,1439,1440,1737980969557,53843799.75814716,37311.11676603,30
KRW-CTC,2025-01-27T11:30:00,2025-01-27T20:30:00,1446,1450,1441,1445,1737979178538,46113957.14107493,31893.94728443,30
KRW-CTC,2025-01-27T11:00:00,2025-01-27T20:00:00,1435,1448,1432,1446,1737977389335,104007562.46804114,72310.37492223,30
KRW-CTC,2025-01-27T10:30:00,2025-01-27T19:30:00,1451,1451,1434,1435,1737975595486,174955019.53965953,121446.82933921,30
KRW-CTC,2025-01-27T10:00:00,2025-01-27T19:00:00,1455,1456,1447,1451,1737973782759,64271666.38161497,44296.039378,30
KRW-CTC,2025-01-27T09:30:00,2025-01-27T18:30:00,1449,1456,1447,1455,1737971908040,51590839.55912561,35534.66140563,30
KRW-CTC,2025-01-27T09:00:00,2025-01-27T18:00:00,1444,1454,1440,1450,1737970178263,106496607.98598059,73526.87364178,30
KRW-CTC,2025-01-27T08:30:00,2025-01-27T17:30:00,1449,1449,1434,1444,1737968399630,276396301.4926775,192132.3588384,30
KRW-CTC,2025-01-27T08:00:00,2025-01-27T17:00:00,1456,1457,1443,1449,1737966587005,164595446.345264,113668.33699856,30
KRW-CTC,2025-01-27T07:30:00,2025-01-27T16:30:00,1427,1462,1425,1456,1737964788601,315726815.2354605,218816.52091935,30
KRW-CTC,2025-01-27T07:00:00,2025-01-27T16:00:00,1448,1454,1427,1427,1737962998006,583178063.1954423,404480.68230532,30
KRW-CTC,2025-01-27T06:30:00,2025-01-27T15:30:00,1464,1464,1447,1449,1737961198164,393793428.321479,271142.86356384,30
KRW-CTC,2025-01-27T06:00:00,2025-01-27T15:00:00,1468,1468,1459,1465,1737959328498,116585357.53407687,79759.14641186,30
KRW-CTC,2025-01-27T05:30:00,2025-01-27T14:30:00,1476,1476,1459,1470,1737957581548,277677502.407522,189423.80264704,30
KRW-CTC,2025-01-27T05:00:00,2025-01-27T14:00:00,1470,1478,1470,1476,1737955787786,145100040.68581262,98436.40779968,30
KRW-CTC,2025-01-27T04:30:00,2025-01-27T13:30:00,1475,1477,1470,1470,1737953996800,47305704.83239096,32096.46082545,30
KRW-CTC,2025-01-27T04:00:00,2025-01-27T13:00:00,1484,1484,1473,1476,1737952083154,84627929.23576717,57285.38822034,30
KRW-CTC,2025-01-27T03:30:00,2025-01-27T12:30:00,1483,1487,1481,1484,1737950373555,58729250.2800986,39565.66218825,30
KRW-CTC,2025-01-27T03:00:00,2025-01-27T12:00:00,1468,1489,1467,1481,1737948589201,147060709.73245686,99451.41667667,30
KRW-CTC,2025-01-27T02:30:00,2025-01-27T11:30:00,1476,1476,1465,1469,1737946779282,281707156.46950924,191642.88539149,30
KRW-CTC,2025-01-27T02:00:00,2025-01-27T11:00:00,1484,1484,1470,1476,1737944988927,274544275.2356246,185875.50672198,30
KRW-CTC,2025-01-27T01:30:00,2025-01-27T10:30:00,1490,1492,1481,1484,1737943198475,201049030.169969,135300.82114558,30
KRW-CTC,2025-01-27T01:00:00,2025-01-27T10:00:00,1500,1506,1481,1490,1737941395783,350638256.99371046,235301.95525994,30
KRW-CTC,2025-01-27T00:30:00,2025-01-27T09:30:00,1509,1511,1496,1500,1737939598438,181069323.9339784,120633.81488633,30
KRW-CTC,2025-01-27T00:00:00,2025-01-27T09:00:00,1506,1519,1500,1509,1737937800000,337776632.8241587,224484.92393257,30
KRW-CTC,2025-01-26T23:30:00,2025-01-27T08:30:00,1508,1510,1501,1509,1737935999604,123594696.76894367,82109.8269613,30
KRW-CTC,2025-01-26T23:00:00,2025-01-27T08:00:00,1519,1519,1506,1508,1737934199795,221151677.21396533,146080.60766991,30
KRW-CTC,2025-01-26T22:30:00,2025-01-27T07:30:00,1521,1522,1518,1518,1737932321041,16599552.50463074,10925.92216729,30
KRW-CTC,2025-01-26T22:00:00,2025-01-27T07:00:00,1522,1522,1518,1522,1737930504422,105734373.9298945,69578.6753849,30
KRW-CTC,2025-01-26T21:30:00,2025-01-27T06:30:00,1520,1522,1520,1522,1737928768600,61349399.12255611,40329.89326474,30
KRW-CTC,2025-01-26T21:00:00,2025-01-27T06:00:00,1525,1526,1520,1520,1737926969006,109471941.36626232,71960.79251522,30
KRW-CTC,2025-01-26T20:30:00,2025-01-27T05:30:00,1527,1527,1524,1524,1737925169439,12872509.96943045,8445.3744619,30
KRW-CTC,2025-01-26T20:00:00,2025-01-27T05:00:00,1527,1528,1523,1528,1737923230842,13852305.52658345,9077.44459029,30
KRW-CTC,2025-01-26T19:30:00,2025-01-27T04:30:00,1529,1529,1523,1528,1737921592505,39485201.59144504,25887.16410712,30
KRW-CTC,2025-01-26T19:00:00,2025-01-27T04:00:00,1529,1531,1528,1531,1737919762421,4740515.15214108,3101.83674873,30
KRW-CTC,2025-01-26T18:30:00,2025-01-27T03:30:00,1533,1535,1528,1532,1737917860168,43063475.82636764,28113.68782286,30
KRW-CTC,2025-01-26T18:00:00,2025-01-27T03:00:00,1535,1536,1533,1533,1737916102228,15508672.83143155,10111.45553312,30
KRW-CTC,2025-01-26T17:30:00,2025-01-27T02:30:00,1532,1537,1530,1537,1737914319070,15097756.44534085,9845.23908349,30
KRW-CTC,2025-01-26T17:00:00,2025-01-27T02:00:00,1536,1536,1531,1532,1737912571918,14324692.64024933,9345.93432189,30
KRW-CTC,2025-01-26T16:30:00,2025-01-27T01:30:00,1533,1546,1529,1533,1737910789920,51710605.4731338,33675.44646099,30
KRW-CTC,2025-01-26T16:00:00,2025-01-27T01:00:00,1531,1542,1527,1531,1737908971764,172740853.6007859,112844.89156782,30
KRW-CTC,2025-01-26T15:30:00,2025-01-27T00:30:00,1539,1540,1531,1531,1737907192960,86850514.4024599,56627.79199622,30
KRW-CTC,2025-01-26T15:00:00,2025-01-27T00:00:00,1539,1544,1535,1539,1737905385678,102959901.29491435,66847.20663974,30
KRW-CTC,2025-01-26T14:30:00,2025-01-26T23:30:00,1538,1541,1535,1539,1737903581375,23602719.99541437,15338.05930281,30
KRW-CTC,2025-01-26T14:00:00,2025-01-26T23:00:00,1538,1540,1534,1538,1737901761839,146328424.80462363,95270.98600461,30
KRW-CTC,2025-01-26T13:30:00,2025-01-26T22:30:00,1541,1542,1538,1538,1737899992469,99155240.04636449,64396.3417445,30
KRW-CTC,2025-01-26T13:00:00,2025-01-26T22:00:00,1531,1542,1522,1541,1737898160122,464926653.804961,303194.63255649,30
KRW-CTC,2025-01-26T12:30:00,2025-01-26T21:30:00,1532,1536,1530,1534,1737896367953,81491905.80318575,53209.41468839,30
KRW-CTC,2025-01-26T12:00:00,2025-01-26T21:00:00,1533,1536,1530,1532,1737894507178,41929845.56550817,27345.04598421,30
KRW-CTC,2025-01-26T11:30:00,2025-01-26T20:30:00,1534,1534,1530,1533,1737892794652,36423334.14423174,23774.94938091,30
KRW-CTC,2025-01-26T11:00:00,2025-01-26T20:00:00,1530,1537,1526,1534,1737890994529,61774686.43606921,40311.51726401,30
KRW-CTC,2025-01-26T10:30:00,2025-01-26T19:30:00,1532,1532,1523,1530,1737889152681,85396290.49836898,55974.73454748,30
KRW-CTC,2025-01-26T10:00:00,2025-01-26T19:00:00,1531,1532,1526,1532,1737887264081,31666304.93153644,20700.78451354,30
KRW-CTC,2025-01-26T09:30:00,2025-01-26T18:30:00,1527,1529,1524,1529,1737885461031,33228709.36084177,21761.42907033,30
KRW-CTC,2025-01-26T09:00:00,2025-01-26T18:00:00,1531,1534,1524,1524,1737883721049,141638379.318775,92721.12974625,30
KRW-CTC,2025-01-26T08:30:00,2025-01-26T17:30:00,1534,1536,1530,1531,1737881993228,29509758.39157848,19259.11635692,30
KRW-CTC,2025-01-26T08:00:00,2025-01-26T17:00:00,1535,1535,1530,1534,1737880164261,54676811.80263182,35687.19744528,30
KRW-CTC,2025-01-26T07:30:00,2025-01-26T16:30:00,1535,1540,1530,1534,1737878334966,117311779.4390107,76500.52647897,30
KRW-CTC,2025-01-26T07:00:00,2025-01-26T16:00:00,1539,1540,1535,1536,1737876530078,104587495.58250073,68089.73299389,30
KRW-CTC,2025-01-26T06:30:00,2025-01-26T15:30:00,1538,1543,1535,1536,1737874720773,191469943.6346346,124435.62067419,30
KRW-CTC,2025-01-26T06:00:00,2025-01-26T15:00:00,1539,1539,1536,1538,1737872975726,46979675.02708462,30559.59948993,30
KRW-CTC,2025-01-26T05:30:00,2025-01-26T14:30:00,1537,1539,1535,1539,1737871199960,70142539.63145512,45653.88800849,30
KRW-CTC,2025-01-26T05:00:00,2025-01-26T14:00:00,1538,1541,1536,1539,1737869379406,55411655.35481956,36035.49365914,30
KRW-CTC,2025-01-26T04:30:00,2025-01-26T13:30:00,1540,1540,1535,1538,1737867552536,50062648.44437421,32565.59749588,30
KRW-CTC,2025-01-26T04:00:00,2025-01-26T13:00:00,1536,1541,1532,1541,1737865754679,46514334.20879774,30251.95154143,30
KRW-CTC,2025-01-26T03:30:00,2025-01-26T12:30:00,1532,1539,1527,1536,1737863973364,177191947.16782817,115603.72031064,30
KRW-CTC,2025-01-26T03:00:00,2025-01-26T12:00:00,1542,1542,1530,1530,1737862193948,183249197.05016255,119438.71475064,30
KRW-CTC,2025-01-26T02:30:00,2025-01-26T11:30:00,1539,1545,1537,1542,1737860353877,176073782.20940024,114262.89215008,30
KRW-CTC,2025-01-26T02:00:00,2025-01-26T11:00:00,1538,1541,1530,1539,1737858564257,157304224.0307506,102421.60706379,30
KRW-CTC,2025-01-26T01:30:00,2025-01-26T10:30:00,1535,1545,1533,1538,1737856791279,153281529.36084434,99648.35052986,30
KRW-CTC,2025-01-26T01:00:00,2025-01-26T10:00:00,1529,1536,1529,1535,1737854922015,100959978.84504178,65917.77572086,30
KRW-CTC,2025-01-26T00:30:00,2025-01-26T09:30:00,1540,1541,1526,1529,1737853157300,102827313.03526399,67122.49449952,30
KRW-CTC,2025-01-26T00:00:00,2025-01-26T09:00:00,1538,1541,1525,1540,1737851396352,368858899.8296169,240999.29589427,30
KRW-CTC,2025-01-25T23:30:00,2025-01-26T08:30:00,1532,1539,1529,1538,1737849597600,73991540.45937759,48256.34764461,30
KRW-CTC,2025-01-25T23:00:00,2025-01-26T08:00:00,1537,1537,1529,1532,1737847786471,66422003.42982047,43357.02957153,30
KRW-CTC,2025-01-25T22:30:00,2025-01-26T07:30:00,1537,1540,1530,1539,1737845885189,113961310.0650545,74301.63884189,30
KRW-CTC,2025-01-25T22:00:00,2025-01-26T07:00:00,1535,1538,1533,1537,1737844185934,20688236.46571148,13474.57013928,30
KRW-CTC,2025-01-25T21:30:00,2025-01-26T06:30:00,1532,1535,1531,1532,1737842296816,30720297.2048864,20060.14505388,30
