market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-CVC,2025-01-27T13:30:00,2025-01-27T22:30:00,211.9,212.5,211.5,212.4,1737984786790,3436384.90508937,16209.47861449,30
KRW-CVC,2025-01-27T13:00:00,2025-01-27T22:00:00,211.8,213.4,210.3,211.5,1737984564186,83435742.97779275,393285.39113199,30
KRW-CVC,2025-01-27T12:30:00,2025-01-27T21:30:00,207.9,213.5,207.6,212,1737982729742,77992753.91457064,369344.2531003,30
KRW-CVC,2025-01-27T12:00:00,2025-01-27T21:00:00,207.8,208.3,207.2,207.6,1737980993459,85024075.40683278,409664.23132926,30
KRW-CVC,2025-01-27T11:30:00,2025-01-27T20:30:00,209.9,210,207.7,207.7,1737979169183,22111738.46530783,105883.35930089,30
KRW-CVC,2025-01-27T11:00:00,2025-01-27T20:00:00,206.4,209.3,206.4,208.3,1737977015997,29309565.34602473,141050.70393679,30
KRW-CVC,2025-01-27T10:30:00,2025-01-27T19:30:00,208,208,206,206.1,1737975591455,69700540.72769603,337158.46705928,30
KRW-CVC,2025-01-27T10:00:00,2025-01-27T19:00:00,209.7,209.7,208.2,208.2,1737973752417,5225543.96877007,25040.45012833,30
KRW-CVC,2025-01-27T09:30:00,2025-01-27T18:30:00,207.2,209.8,207.2,209.7,1737971947330,23910625.65548679,114742.88000319,30
KRW-CVC,2025-01-27T09:00:00,2025-01-27T18:00:00,206.2,209.2,206.1,207.8,1737970185593,27498232.52978163,132174.27977867,30
KRW-CVC,2025-01-27T08:30:00,2025-01-27T17:30:00,206.6,206.6,205,206.2,1737968373415,28386805.09841011,138016.13396942,30
KRW-CVC,2025-01-27T08:00:00,2025-01-27T17:00:00,207.7,208,205.8,206.8,1737966566154,64905614.21855774,314054.40790462,30
KRW-CVC,2025-01-27T07:30:00,2025-01-27T16:30:00,204.7,209.2,204.7,208.3,1737964770809,209512043.86643583,1008984.09881707,30
KRW-CVC,2025-01-27T07:00:00,2025-01-27T16:00:00,208.2,209.4,204.3,204.4,1737962998988,326231208.74848026,1575872.07897531,30
KRW-CVC,2025-01-27T06:30:00,2025-01-27T15:30:00,210.5,210.5,208,208.1,1737961196409,251683770.55136794,1203126.5547753,30
KRW-CVC,2025-01-27T06:00:00,2025-01-27T15:00:00,211.3,211.8,210.4,210.6,1737959390035,57503164.07884109,272608.58569931,30
KRW-CVC,2025-01-27T05:30:00,2025-01-27T14:30:00,211.7,212.1,210.4,211.3,1737957480499,68042045.6237894,322116.37094809,30
KRW-CVC,2025-01-27T05:00:00,2025-01-27T14:00:00,211.9,212.5,211.5,211.7,1737955782106,24263966.06673038,114546.49401132,30
KRW-CVC,2025-01-27T04:30:00,2025-01-27T13:30:00,212,212.9,211.6,211.9,1737953988310,19012400.93701623,89717.69498068,30
KRW-CVC,2025-01-27T04:00:00,2025-01-27T13:00:00,212.8,212.8,211.3,212,1737952134659,45031853.08387383,212614.91866596,30
KRW-CVC,2025-01-27T03:30:00,2025-01-27T12:30:00,213.7,213.7,212.6,212.8,1737950374480,27796922.67982107,130463.78622274,30
KRW-CVC,2025-01-27T03:00:00,2025-01-27T12:00:00,212,214.4,212,213.9,1737948564247,142281162.95549253,668313.41418788,30
KRW-CVC,2025-01-27T02:30:00,2025-01-27T11:30:00,213.8,213.8,212,212.3,1737946799780,49997587.24038612,235078.94763266,30
KRW-CVC,2025-01-27T02:00:00,2025-01-27T11:00:00,213.6,214.3,212,213.9,1737944991786,69168836.26720925,324773.05182853,30
KRW-CVC,2025-01-27T01:30:00,2025-01-27T10:30:00,215.1,216,213.6,213.6,1737943196129,109634640.78390893,510798.21157001,30
KRW-CVC,2025-01-27T01:00:00,2025-01-27T10:00:00,216.1,216.5,213.3,215.1,1737941369232,166543235.72224823,774951.66302325,30
KRW-CVC,2025-01-27T00:30:00,2025-01-27T09:30:00,218.1,218.6,216,216,1737939595319,88084932.93068293,405883.33948327,30
KRW-CVC,2025-01-27T00:00:00,2025-01-27T09:00:00,219.2,220.1,216.3,218.1,1737937791421,315250146.4716499,1446796.528367,30
KRW-CVC,2025-01-26T23:30:00,2025-01-27T08:30:00,218.9,219.5,218.1,219.2,1737935965044,186652889.6374435,854142.42659504,30
KRW-CVC,2025-01-26T23:00:00,2025-01-27T08:00:00,220.8,220.8,218.5,219.1,1737934184805,141203427.32638502,643356.01327628,30
KRW-CVC,2025-01-26T22:30:00,2025-01-27T07:30:00,221.2,222.6,220.7,220.8,1737932320919,14632276.62004648,65943.05383166,30
KRW-CVC,2025-01-26T22:00:00,2025-01-27T07:00:00,221.4,221.4,220,221.2,1737930563502,80648798.05455779,365652.05325728,30
KRW-CVC,2025-01-26T21:30:00,2025-01-27T06:30:00,221.5,222,221.5,221.5,1737928799090,26838219.84272117,121040.8192765,30
KRW-CVC,2025-01-26T21:00:00,2025-01-27T06:00:00,222.3,222.3,221.3,221.5,1737926806968,58600883.04834629,264276.3620472,30
KRW-CVC,2025-01-26T20:30:00,2025-01-27T05:30:00,222.5,222.9,222.2,222.2,1737925177994,31519166.97891404,141723.15062685,30
KRW-CVC,2025-01-26T20:00:00,2025-01-27T05:00:00,223,223.1,222.7,222.8,1737923214663,7311245.20228877,32806.33147498,30
KRW-CVC,2025-01-26T19:30:00,2025-01-27T04:30:00,222.6,223.3,222.6,222.7,1737921137170,10130960.65813618,45436.38464878,30
