market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-DKA,2025-01-27T13:30:00,2025-01-27T22:30:00,36.78,36.89,36.77,36.78,1737984810878,8293002.66647557,225387.32832185,30
KRW-DKA,2025-01-27T13:00:00,2025-01-27T22:00:00,36.81,37.06,36.66,36.82,1737984588755,80346699.08392017,2182790.00280043,30
KRW-DKA,2025-01-27T12:30:00,2025-01-27T21:30:00,36.08,37.12,35.96,36.83,1737982764127,148238599.24751654,4042726.77823556,30
KRW-DKA,2025-01-27T12:00:00,2025-01-27T21:00:00,36.26,36.35,36.08,36.08,1737980959114,16444614.33334272,454349.89516051,30
KRW-DKA,2025-01-27T11:30:00,2025-01-27T20:30:00,36.28,36.55,36.06,36.26,1737979178741,32564032.35302852,898085.36211288,30
KRW-DKA,2025-01-27T11:00:00,2025-01-27T20:00:00,35.76,36.4,35.7,36.31,1737977387627,105787342.17369178,2944060.84688936,30
KRW-DKA,2025-01-27T10:30:00,2025-01-27T19:30:00,36.4,36.4,35.72,35.76,1737975583100,116074873.99756677,3231900.9811983,30
KRW-DKA,2025-01-27T10:00:00,2025-01-27T19:00:00,36.51,36.52,36.25,36.4,1737973796049,50126823.73181447,1378445.7823407,30
KRW-DKA,2025-01-27T09:30:00,2025-01-27T18:30:00,36.44,36.59,36.35,36.37,1737971994610,35569543.02837825,977835.87519763,30
KRW-DKA,2025-01-27T09:00:00,2025-01-27T18:00:00,36.16,36.58,36.1,36.4,1737970184601,54498143.15704886,1499270.09740543,30
KRW-DKA,2025-01-27T08:30:00,2025-01-27T17:30:00,36.32,36.49,35.9,36.27,1737968388034,63517034.90875534,1758206.7838883,30
KRW-DKA,2025-01-27T08:00:00,2025-01-27T17:00:00,36.27,36.55,35.95,36.49,1737966579458,157092513.57391897,4339792.90980819,30
KRW-DKA,2025-01-27T07:30:00,2025-01-27T16:30:00,35.82,36.72,35.7,36.36,1737964736144,405490890.87417775,11239378.27109824,30
