market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-DOGE,2025-01-27T13:30:00,2025-01-27T22:30:00,495.3,497.5,494.9,497.5,1737984821185,828192186.9578102,1669515.50768799,30
KRW-DOGE,2025-01-27T13:00:00,2025-01-27T22:00:00,493.8,498.4,490.1,495.3,1737984599998,16394326674.66086,33103937.93693962,30
KRW-DOGE,2025-01-27T12:30:00,2025-01-27T21:30:00,481.3,496.3,480.1,493.9,1737982798117,14407431462.95504,29434949.16477515,30
KRW-DOGE,2025-01-27T12:00:00,2025-01-27T21:00:00,480.8,484,480.1,481.5,1737980999617,4812742405.9692135,9988381.23449205,30
KRW-DOGE,2025-01-27T11:30:00,2025-01-27T20:30:00,483.4,485,480.5,480.5,1737979199513,4270231798.439231,8848533.62920283,30
KRW-DOGE,2025-01-27T11:00:00,2025-01-27T20:00:00,478,483.6,477.9,483.5,1737977396440,5654269219.413315,11758686.66881352,30
KRW-DOGE,2025-01-27T10:30:00,2025-01-27T19:30:00,482.5,483,477.4,478,1737975598617,9049292598.777327,18860963.88117144,30
KRW-DOGE,2025-01-27T10:00:00,2025-01-27T19:00:00,485.6,486,482,482.5,1737973799745,4962255933.805397,10259218.76356004,30
KRW-DOGE,2025-01-27T09:30:00,2025-01-27T18:30:00,481.7,486.5,481.1,485.7,1737971999627,5351150435.665395,11050405.15743475,30
KRW-DOGE,2025-01-27T09:00:00,2025-01-27T18:00:00,482.1,487.7,480.8,481.6,1737970199865,7985626990.677917,16470288.59584117,30
KRW-DOGE,2025-01-27T08:30:00,2025-01-27T17:30:00,484,484.2,478,482.2,1737968399792,12214327503.75205,25426294.75042174,30
KRW-DOGE,2025-01-27T08:00:00,2025-01-27T17:00:00,488.5,488.8,480.8,484,1737966599807,12864336309.600868,26567702.95458743,30
KRW-DOGE,2025-01-27T07:30:00,2025-01-27T16:30:00,476,490.9,475.9,488.5,1737964799842,26328644939.05245,54376553.97371965,30
KRW-DOGE,2025-01-27T07:00:00,2025-01-27T16:00:00,485.9,488,476,476,1737962999899,31876340629.819866,66092548.45916747,30
KRW-DOGE,2025-01-27T06:30:00,2025-01-27T15:30:00,490.3,490.4,483,485.9,1737961199508,26919007818.36847,55313072.14825604,30
KRW-DOGE,2025-01-27T06:00:00,2025-01-27T15:00:00,494.1,494.2,489.1,490.3,1737959399987,14187330258.823387,28896338.46983455,30
KRW-DOGE,2025-01-27T05:30:00,2025-01-27T14:30:00,496.8,496.9,490.8,494.1,1737957599738,12277485683.045143,24890052.14350719,30
KRW-DOGE,2025-01-27T05:00:00,2025-01-27T14:00:00,496.3,498.6,494.5,496.7,1737955799612,10529807042.564474,21219285.57495904,30
KRW-DOGE,2025-01-27T04:30:00,2025-01-27T13:30:00,501.4,501.7,495.1,496.3,1737953999949,9267058458.979113,18597157.19545771,30
KRW-DOGE,2025-01-27T04:00:00,2025-01-27T13:00:00,503.2,503.2,499.5,501.3,1737952199220,4583700991.521818,9153493.30876227,30
KRW-DOGE,2025-01-27T03:30:00,2025-01-27T12:30:00,505.4,505.5,501.1,503.3,1737950397221,4316663754.548195,8582937.35863655,30
KRW-DOGE,2025-01-27T03:00:00,2025-01-27T12:00:00,499.5,505.6,498.1,505.5,1737948599882,7610435344.935508,15158421.84358094,30
KRW-DOGE,2025-01-27T02:30:00,2025-01-27T11:30:00,499.1,499.7,497,499.5,1737946799237,11647589552.935656,23365765.78069327,30
KRW-DOGE,2025-01-27T02:00:00,2025-01-27T11:00:00,502.5,504,499,499.1,1737944999996,22582268744.90205,45098954.95825538,30
KRW-DOGE,2025-01-27T01:30:00,2025-01-27T10:30:00,503.9,506.1,502.4,502.5,1737943199599,8388252192.599338,16641745.0158355,30
KRW-DOGE,2025-01-27T01:00:00,2025-01-27T10:00:00,505.5,507.5,500.1,503.9,1737941399998,21329192972.680416,42331787.00621479,30
KRW-DOGE,2025-01-27T00:30:00,2025-01-27T09:30:00,509.8,510,505.3,505.5,1737939599902,14140111394.521418,27844482.15366833,30
KRW-DOGE,2025-01-27T00:00:00,2025-01-27T09:00:00,512.9,515.9,507.7,509.8,1737937799863,24737360240.312183,48426467.57496798,30
KRW-DOGE,2025-01-26T23:30:00,2025-01-27T08:30:00,514.2,514.8,511,512.9,1737935999966,13932701639.11003,27183087.6845861,30
KRW-DOGE,2025-01-26T23:00:00,2025-01-27T08:00:00,520.7,520.7,512.7,514.2,1737934200015,17342983404.078075,33604270.57971865,30
KRW-DOGE,2025-01-26T22:30:00,2025-01-27T07:30:00,520.9,523.4,519.2,520.5,1737932399124,4875531768.087769,9352813.7950255,30
KRW-DOGE,2025-01-26T22:00:00,2025-01-27T07:00:00,522.7,523.3,519.8,520.9,1737930598547,10293682744.028042,19761553.32975091,30
KRW-DOGE,2025-01-26T21:30:00,2025-01-27T06:30:00,526.6,527.1,522.6,522.6,1737928798957,4857722352.8857975,9261479.11774424,30
KRW-DOGE,2025-01-26T21:00:00,2025-01-27T06:00:00,527.1,527.2,525.7,526.3,1737926989422,2611981148.850745,4964055.3560736,30
KRW-DOGE,2025-01-26T20:30:00,2025-01-27T05:30:00,529,529.3,526.8,527,1737925196880,737987107.486186,1398015.46063253,30
KRW-DOGE,2025-01-26T20:00:00,2025-01-27T05:00:00,528.8,529.4,527.9,528.9,1737923395504,416397913.42468065,787967.26686548,30
KRW-DOGE,2025-01-26T19:30:00,2025-01-27T04:30:00,528.7,529.3,528.3,528.7,1737921591903,302669533.86786777,572484.22055482,30
KRW-DOGE,2025-01-26T19:00:00,2025-01-27T04:00:00,529,529.4,528.3,528.7,1737919798388,515104976.761559,973991.42524597,30
KRW-DOGE,2025-01-26T18:30:00,2025-01-27T03:30:00,529.9,530.5,528.8,529,1737917999559,506218119.991365,955440.83151587,30
KRW-DOGE,2025-01-26T18:00:00,2025-01-27T03:00:00,529.9,530.8,529,529.8,1737916197891,719176108.2747147,1356809.71928268,30
