market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-DOT,2025-01-27T13:30:00,2025-01-27T22:30:00,8895,8924,8875,8918,1737984793681,47824545.6073009,5377.43842294,30
KRW-DOT,2025-01-27T13:00:00,2025-01-27T22:00:00,8877,8975,8826,8900,1737984566296,364000826.2375869,40834.83743174,30
KRW-DOT,2025-01-27T12:30:00,2025-01-27T21:30:00,8653,8939,8650,8875,1737982790987,552991107.4901234,62731.34362161,30
KRW-DOT,2025-01-27T12:00:00,2025-01-27T21:00:00,8677,8724,8641,8661,1737980993450,182632429.12979585,21079.38960089,30
KRW-DOT,2025-01-27T11:30:00,2025-01-27T20:30:00,8728,8748,8679,8679,1737979195629,185661592.08786824,21323.13071536,30
KRW-DOT,2025-01-27T11:00:00,2025-01-27T20:00:00,8646,8736,8637,8728,1737977376968,337792090.02920806,38879.22255755,30
KRW-DOT,2025-01-27T10:30:00,2025-01-27T19:30:00,8746,8747,8621,8646,1737975595794,372379090.0456463,42954.81821098,30
KRW-DOT,2025-01-27T10:00:00,2025-01-27T19:00:00,8780,8791,8715,8730,1737973749554,128369964.58164531,14694.12266326,30
KRW-DOT,2025-01-27T09:30:00,2025-01-27T18:30:00,8676,8783,8670,8780,1737971992544,118633670.8109227,13577.93910928,30
KRW-DOT,2025-01-27T09:00:00,2025-01-27T18:00:00,8726,8805,8676,8676,1737970186437,483598492.5835814,55341.31029628,30
KRW-DOT,2025-01-27T08:30:00,2025-01-27T17:30:00,8758,8758,8646,8726,1737968398629,483105486.88126117,55575.28107472,30
KRW-DOT,2025-01-27T08:00:00,2025-01-27T17:00:00,8830,8832,8721,8760,1737966597666,320065288.99759555,36488.43851659,30
KRW-DOT,2025-01-27T07:30:00,2025-01-27T16:30:00,8601,8866,8600,8830,1737964782362,772417855.1470548,88178.59522007,30
KRW-DOT,2025-01-27T07:00:00,2025-01-27T16:00:00,8871,8892,8600,8600,1737962999227,955677490.7108285,109279.05322947,30
KRW-DOT,2025-01-27T06:30:00,2025-01-27T15:30:00,8954,8957,8828,8874,1737961190015,709630324.4394068,79898.52534838,30
KRW-DOT,2025-01-27T06:00:00,2025-01-27T15:00:00,9005,9019,8937,8954,1737959397492,381488828.726979,42534.29131979,30
KRW-DOT,2025-01-27T05:30:00,2025-01-27T14:30:00,9018,9023,8955,9001,1737957598183,1566586664.8732896,174179.23105832,30
KRW-DOT,2025-01-27T05:00:00,2025-01-27T14:00:00,9023,9057,9000,9022,1737955780740,289362039.36541873,32090.01343721,30
KRW-DOT,2025-01-27T04:30:00,2025-01-27T13:30:00,9076,9098,9000,9023,1737953978113,213111214.02056393,23577.76485243,30
KRW-DOT,2025-01-27T04:00:00,2025-01-27T13:00:00,9124,9124,9043,9076,1737952185066,278293126.29793304,30677.36168633,30
KRW-DOT,2025-01-27T03:30:00,2025-01-27T12:30:00,9156,9156,9105,9121,1737950395507,112547558.86194581,12335.25223478,30
KRW-DOT,2025-01-27T03:00:00,2025-01-27T12:00:00,9048,9178,9000,9158,1737948577877,449850831.26613,49555.70566732,30
