market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-DRIFT,2025-01-27T13:30:00,2025-01-27T22:30:00,1425,1427,1417,1427,1737984797753,20817653.39721004,14652.2579734,30
KRW-DRIFT,2025-01-27T13:00:00,2025-01-27T22:00:00,1417,1433,1408,1423,1737984593541,327688647.5439237,230500.46465934,30
KRW-DRIFT,2025-01-27T12:30:00,2025-01-27T21:30:00,1390,1433,1387,1417,1737982799011,455216751.41096,322926.58900753,30
KRW-DRIFT,2025-01-27T12:00:00,2025-01-27T21:00:00,1411,1419,1384,1387,1737980987720,539699570.0427173,385497.34029655,30
KRW-DRIFT,2025-01-27T11:30:00,2025-01-27T20:30:00,1443,1460,1405,1412,1737979195722,1557954397.9649029,1083909.5249703,30
KRW-DRIFT,2025-01-27T11:00:00,2025-01-27T20:00:00,1380,1449,1373,1444,1737977398556,879003654.1816378,620169.42324876,30
KRW-DRIFT,2025-01-27T10:30:00,2025-01-27T19:30:00,1385,1388,1364,1380,1737975599099,192063205.7616143,139560.11452704,30
KRW-DRIFT,2025-01-27T10:00:00,2025-01-27T19:00:00,1390,1392,1382,1385,1737973793723,142560408.36921728,102856.86505049,30
KRW-DRIFT,2025-01-27T09:30:00,2025-01-27T18:30:00,1375,1398,1368,1390,1737971954865,183317515.2064992,132478.38619889,30
KRW-DRIFT,2025-01-27T09:00:00,2025-01-27T18:00:00,1369,1394,1366,1375,1737970189958,330337302.00475335,239845.82815103,30
KRW-DRIFT,2025-01-27T08:30:00,2025-01-27T17:30:00,1380,1381,1359,1371,1737968366063,420185745.50662035,307655.10784919,30
KRW-DRIFT,2025-01-27T08:00:00,2025-01-27T17:00:00,1410,1410,1379,1382,1737966593327,272118960.3403525,195387.26749639,30
KRW-DRIFT,2025-01-27T07:30:00,2025-01-27T16:30:00,1363,1411,1360,1411,1737964793847,882085027.3940609,632689.551117,30
KRW-DRIFT,2025-01-27T07:00:00,2025-01-27T16:00:00,1390,1402,1360,1361,1737962999579,656689558.6026787,475850.18796314,30
