market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-EGLD,2025-01-27T13:30:00,2025-01-27T22:30:00,42890,43070,42890,43070,1737984814524,3397208.9600086,78.97946692,30
KRW-EGLD,2025-01-27T13:00:00,2025-01-27T22:00:00,42670,43200,42670,42860,1737984568838,13401058.3608531,311.62469277,30
KRW-EGLD,2025-01-27T12:30:00,2025-01-27T21:30:00,41920,43200,41920,42850,1737982799499,19822494.7211248,465.17792058,30
KRW-EGLD,2025-01-27T12:00:00,2025-01-27T21:00:00,41850,42140,41770,41920,1737980989750,10263972.0667784,244.90286984,30
KRW-EGLD,2025-01-27T11:30:00,2025-01-27T20:30:00,41910,42070,41850,41850,1737979127420,6114491.5029121,145.64774838,30
KRW-EGLD,2025-01-27T11:00:00,2025-01-27T20:00:00,41470,42010,41460,41910,1737977325998,41033611.3727325,987.64177219,30
KRW-EGLD,2025-01-27T10:30:00,2025-01-27T19:30:00,41870,41870,41420,41460,1737975566686,36355752.4180233,873.74547169,30
KRW-EGLD,2025-01-27T10:00:00,2025-01-27T19:00:00,42320,42380,41870,41870,1737973798647,22390864.3680222,533.64637143,30
KRW-EGLD,2025-01-27T09:30:00,2025-01-27T18:30:00,41930,42240,41860,42210,1737971978385,25059467.1847835,595.02836228,30
KRW-EGLD,2025-01-27T09:00:00,2025-01-27T18:00:00,41740,42310,41720,41970,1737970181114,12858152.0498328,305.29202834,30
KRW-EGLD,2025-01-27T08:30:00,2025-01-27T17:30:00,41950,42070,41500,41740,1737968398496,30237726.5289485,725.67428769,30
KRW-EGLD,2025-01-27T08:00:00,2025-01-27T17:00:00,42260,42310,41720,41980,1737966586349,29751372.0324709,708.15416714,30
KRW-EGLD,2025-01-27T07:30:00,2025-01-27T16:30:00,41140,42390,41120,42260,1737964764979,97295122.7864609,2338.76117555,30
KRW-EGLD,2025-01-27T07:00:00,2025-01-27T16:00:00,42330,42530,41000,41240,1737962994334,292836255.9481491,7019.7542969,30
KRW-EGLD,2025-01-27T06:30:00,2025-01-27T15:30:00,42810,42840,42060,42240,1737961152935,40276075.1828093,949.89867216,30
KRW-EGLD,2025-01-27T06:00:00,2025-01-27T15:00:00,43010,43140,42790,42810,1737959368264,32650625.1282517,761.11951327,30
KRW-EGLD,2025-01-27T05:30:00,2025-01-27T14:30:00,43130,43210,42800,42980,1737957588757,50263998.096476,1170.04814478,30
KRW-EGLD,2025-01-27T05:00:00,2025-01-27T14:00:00,43070,43230,43000,43140,1737955769188,12598988.3393417,292.57947338,30
KRW-EGLD,2025-01-27T04:30:00,2025-01-27T13:30:00,43200,43200,43040,43050,1737953975033,4688846.3306296,108.71078161,30
KRW-EGLD,2025-01-27T04:00:00,2025-01-27T13:00:00,43430,43430,43080,43110,1737952160931,12000871.7511506,277.92262066,30
KRW-EGLD,2025-01-27T03:30:00,2025-01-27T12:30:00,43540,43640,43250,43430,1737950267723,27246995.2640954,626.80871543,30
