market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ELF,2025-01-27T13:30:00,2025-01-27T22:30:00,523,525,523,525,1737984766991,14778248.19363015,28198.40702752,30
KRW-ELF,2025-01-27T13:00:00,2025-01-27T22:00:00,518,530,515,522,1737984554120,306958506.2789605,586618.78571746,30
KRW-ELF,2025-01-27T12:30:00,2025-01-27T21:30:00,512,522,512,518,1737982799522,142011483.0601419,274181.82759023,30
KRW-ELF,2025-01-27T12:00:00,2025-01-27T21:00:00,513,516,512,513,1737980944067,97152874.87381694,189060.39412637,30
KRW-ELF,2025-01-27T11:30:00,2025-01-27T20:30:00,514,515,512,513,1737979198287,104397881.0085445,203292.52866801,30
KRW-ELF,2025-01-27T11:00:00,2025-01-27T20:00:00,513,515,512,514,1737977386404,86020739.07900368,167601.15207265,30
KRW-ELF,2025-01-27T10:30:00,2025-01-27T19:30:00,517,518,512,513,1737975553789,116963075.0677763,226976.49213728,30
KRW-ELF,2025-01-27T10:00:00,2025-01-27T19:00:00,519,521,517,519,1737973782189,108536439.61974034,209355.7285133,30
KRW-ELF,2025-01-27T09:30:00,2025-01-27T18:30:00,517,521,517,521,1737971991415,44207058.16359537,85254.11815646,30
KRW-ELF,2025-01-27T09:00:00,2025-01-27T18:00:00,518,521,516,517,1737970185653,91808072.59879428,176802.12176704,30
KRW-ELF,2025-01-27T08:30:00,2025-01-27T17:30:00,522,522,515,518,1737968341387,169654297.1351638,327659.42340694,30
KRW-ELF,2025-01-27T08:00:00,2025-01-27T17:00:00,526,526,520,523,1737966577788,115841822.81776747,221949.38140405,30
KRW-ELF,2025-01-27T07:30:00,2025-01-27T16:30:00,521,528,518,525,1737964743534,272222241.52471876,520761.58456697,30
KRW-ELF,2025-01-27T07:00:00,2025-01-27T16:00:00,527,528,521,521,1737962993606,175143319.5080139,333866.82658314,30
KRW-ELF,2025-01-27T06:30:00,2025-01-27T15:30:00,530,531,527,527,1737961194408,251354523.25777206,475506.04187172,30
KRW-ELF,2025-01-27T06:00:00,2025-01-27T15:00:00,534,535,528,531,1737959389144,214427919.2887718,403909.52398867,30
KRW-ELF,2025-01-27T05:30:00,2025-01-27T14:30:00,536,537,534,535,1737957580103,91707351.33289322,171449.62060059,30
KRW-ELF,2025-01-27T05:00:00,2025-01-27T14:00:00,537,537,535,537,1737955776866,43668277.91464937,81487.95013735,30
KRW-ELF,2025-01-27T04:30:00,2025-01-27T13:30:00,536,537,535,537,1737953963730,36595039.54889731,68333.57981582,30
KRW-ELF,2025-01-27T04:00:00,2025-01-27T13:00:00,539,539,534,537,1737952184725,200284337.35978416,373520.30844844,30
KRW-ELF,2025-01-27T03:30:00,2025-01-27T12:30:00,540,540,538,540,1737950368257,70243201.62065184,130244.76825475,30
KRW-ELF,2025-01-27T03:00:00,2025-01-27T12:00:00,537,541,536,540,1737948579968,71540666.15936524,132750.80401921,30
KRW-ELF,2025-01-27T02:30:00,2025-01-27T11:30:00,542,543,537,538,1737946764025,204878160.86317423,380010.66433523,30
KRW-ELF,2025-01-27T02:00:00,2025-01-27T11:00:00,544,545,541,543,1737944972830,252272544.79614788,465030.48273814,30
KRW-ELF,2025-01-27T01:30:00,2025-01-27T10:30:00,546,549,543,545,1737943170413,142797720.16936123,261468.29005469,30
KRW-ELF,2025-01-27T01:00:00,2025-01-27T10:00:00,551,551,543,546,1737941395583,399654026.3815516,731633.67268957,30
KRW-ELF,2025-01-27T00:30:00,2025-01-27T09:30:00,555,557,549,550,1737939591049,192678390.13437495,349132.53066725,30
KRW-ELF,2025-01-27T00:00:00,2025-01-27T09:00:00,561,563,552,554,1737937797007,297968925.76204157,534470.38386963,30
KRW-ELF,2025-01-26T23:30:00,2025-01-27T08:30:00,563,563,560,562,1737935974967,177621326.35259917,316588.21919962,30
KRW-ELF,2025-01-26T23:00:00,2025-01-27T08:00:00,567,567,560,562,1737934176129,360659967.6528573,640092.50800836,30
KRW-ELF,2025-01-26T22:30:00,2025-01-27T07:30:00,570,570,567,568,1737932335329,44402554.91966549,78100.23623608,30
KRW-ELF,2025-01-26T22:00:00,2025-01-27T07:00:00,567,569,567,568,1737930560731,55918894.00205079,98454.93863558,30
KRW-ELF,2025-01-26T21:30:00,2025-01-27T06:30:00,570,571,567,568,1737928765509,64295791.80070552,113018.98436155,30
KRW-ELF,2025-01-26T21:00:00,2025-01-27T06:00:00,570,570,570,570,1737926988518,29638008.0980982,51996.50543526,30
KRW-ELF,2025-01-26T20:30:00,2025-01-27T05:30:00,571,572,570,570,1737924851686,10581208.29151144,18523.44377714,30
KRW-ELF,2025-01-26T20:00:00,2025-01-27T05:00:00,571,572,570,571,1737923206212,32717937.72327866,57359.75356745,30
KRW-ELF,2025-01-26T19:30:00,2025-01-27T04:30:00,571,572,570,571,1737921587908,8000783.22822682,14011.76999419,30
KRW-ELF,2025-01-26T19:00:00,2025-01-27T04:00:00,571,572,571,572,1737919769826,32042833.10479435,56116.12683522,30
KRW-ELF,2025-01-26T18:30:00,2025-01-27T03:30:00,572,573,571,571,1737917975875,31713498.53483499,55493.76343286,30
