market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ENS,2025-01-27T13:30:00,2025-01-27T22:30:00,47890,48050,47750,48050,1737984827375,123941281.1206405,2589.20815485,30
KRW-ENS,2025-01-27T13:00:00,2025-01-27T22:00:00,47670,48310,47360,47850,1737984594852,2707202818.776821,56511.30753692,30
KRW-ENS,2025-01-27T12:30:00,2025-01-27T21:30:00,46620,48170,46620,47670,1737982799223,2953928229.448114,62057.44215615,30
KRW-ENS,2025-01-27T12:00:00,2025-01-27T21:00:00,46630,46840,46500,46680,1737980996078,1723425321.7193847,36937.14095076,30
KRW-ENS,2025-01-27T11:30:00,2025-01-27T20:30:00,46900,47080,46630,46630,1737979197078,793247077.9666764,16943.82277328,30
KRW-ENS,2025-01-27T11:00:00,2025-01-27T20:00:00,46570,46990,46570,46930,1737977399806,1414508757.711913,30251.82664943,30
KRW-ENS,2025-01-27T10:30:00,2025-01-27T19:30:00,47040,47110,46520,46580,1737975599872,1664823209.6523142,35589.79648514,30
KRW-ENS,2025-01-27T10:00:00,2025-01-27T19:00:00,47210,47310,47010,47040,1737973799210,738215431.0167966,15666.07283112,30
KRW-ENS,2025-01-27T09:30:00,2025-01-27T18:30:00,46890,47350,46870,47200,1737971994909,772342544.6974577,16384.69466655,30
KRW-ENS,2025-01-27T09:00:00,2025-01-27T18:00:00,47060,47500,46900,46950,1737970197096,1750144793.3138824,37100.99254938,30
KRW-ENS,2025-01-27T08:30:00,2025-01-27T17:30:00,47450,47490,46860,47030,1737968392957,1916922810.3939042,40716.15720494,30
KRW-ENS,2025-01-27T08:00:00,2025-01-27T17:00:00,47800,47800,47200,47560,1737966599745,1390894588.0282843,29281.86461642,30
KRW-ENS,2025-01-27T07:30:00,2025-01-27T16:30:00,46710,48090,46500,47750,1737964798866,3715702427.0490327,78325.25112022,30
KRW-ENS,2025-01-27T07:00:00,2025-01-27T16:00:00,48060,48200,46660,46710,1737962999446,6053825395.87005,127619.90819789,30
KRW-ENS,2025-01-27T06:30:00,2025-01-27T15:30:00,48390,48420,47840,48060,1737961199588,2913263200.558729,60586.16212862,30
KRW-ENS,2025-01-27T06:00:00,2025-01-27T15:00:00,48490,48700,48200,48390,1737959398433,1126416106.5526438,23273.78588613,30
KRW-ENS,2025-01-27T05:30:00,2025-01-27T14:30:00,48650,48660,48030,48470,1737957599747,2150538834.830116,44488.08693764,30
KRW-ENS,2025-01-27T05:00:00,2025-01-27T14:00:00,48660,48840,48530,48560,1737955754193,982649478.8513836,20199.05830199,30
KRW-ENS,2025-01-27T04:30:00,2025-01-27T13:30:00,48840,48960,48600,48650,1737953996378,1239048391.3712358,25428.66200827,30
KRW-ENS,2025-01-27T04:00:00,2025-01-27T13:00:00,49280,49280,48700,48840,1737952193546,1267637634.976441,25930.55399229,30
KRW-ENS,2025-01-27T03:30:00,2025-01-27T12:30:00,49300,49400,49130,49300,1737950395609,624227776.1809483,12681.78166251,30
KRW-ENS,2025-01-27T03:00:00,2025-01-27T12:00:00,48830,49450,48770,49420,1737948582416,1130879116.7558744,23002.085893,30
KRW-ENS,2025-01-27T02:30:00,2025-01-27T11:30:00,49020,49050,48700,48830,1737946790917,2663260570.5484247,54516.81994004,30
KRW-ENS,2025-01-27T02:00:00,2025-01-27T11:00:00,49230,49410,49000,49010,1737944998894,1980504246.4361925,40322.62023429,30
KRW-ENS,2025-01-27T01:30:00,2025-01-27T10:30:00,49340,49790,49210,49230,1737943198275,1612292737.3927934,32606.42546905,30
KRW-ENS,2025-01-27T01:00:00,2025-01-27T10:00:00,49550,49790,49100,49340,1737941397378,3324650084.9019904,67299.08630153,30
KRW-ENS,2025-01-27T00:30:00,2025-01-27T09:30:00,49970,50150,49520,49550,1737939599407,2497774368.3481307,50168.26890789,30
KRW-ENS,2025-01-27T00:00:00,2025-01-27T09:00:00,49970,50400,49560,49920,1737937797332,3547351728.2340407,71035.49855333,30
KRW-ENS,2025-01-26T23:30:00,2025-01-27T08:30:00,50270,50320,49960,49970,1737935995227,2037910573.5869155,40728.33666875,30
KRW-ENS,2025-01-26T23:00:00,2025-01-27T08:00:00,50760,50840,50060,50270,1737934195059,2147235204.538461,42663.22119387,30
KRW-ENS,2025-01-26T22:30:00,2025-01-27T07:30:00,50880,51060,50670,50840,1737932394055,400665230.1274182,7867.42114548,30
KRW-ENS,2025-01-26T22:00:00,2025-01-27T07:00:00,50730,50910,50500,50890,1737930598164,774926213.3722647,15301.61882547,30
KRW-ENS,2025-01-26T21:30:00,2025-01-27T06:30:00,50900,50990,50700,50750,1737928796927,343588014.4594585,6762.06147749,30
KRW-ENS,2025-01-26T21:00:00,2025-01-27T06:00:00,50880,50990,50650,50840,1737926997399,547058048.5246483,10773.19144779,30
KRW-ENS,2025-01-26T20:30:00,2025-01-27T05:30:00,51100,51130,50860,50870,1737925151379,400108101.7452502,7844.682787,30
KRW-ENS,2025-01-26T20:00:00,2025-01-27T05:00:00,51240,51250,51100,51100,1737923384365,107027285.081047,2092.50059304,30
KRW-ENS,2025-01-26T19:30:00,2025-01-27T04:30:00,51140,51260,51100,51240,1737921590609,142265943.2346138,2781.94644771,30
KRW-ENS,2025-01-26T19:00:00,2025-01-27T04:00:00,51460,51500,51140,51140,1737919783874,125203804.2611868,2442.22912834,30
KRW-ENS,2025-01-26T18:30:00,2025-01-27T03:30:00,51630,51630,51310,51460,1737917994822,233752684.5841224,4537.94805863,30
KRW-ENS,2025-01-26T18:00:00,2025-01-27T03:00:00,51470,51690,51320,51560,1737916170049,455287779.9627676,8827.83874975,30
KRW-ENS,2025-01-26T17:30:00,2025-01-27T02:30:00,51010,51590,51000,51490,1737914397651,486850741.7905339,9480.74933389,30
KRW-ENS,2025-01-26T17:00:00,2025-01-27T02:00:00,50980,51070,50870,51010,1737912590148,184587420.8318444,3620.95846362,30
KRW-ENS,2025-01-26T16:30:00,2025-01-27T01:30:00,51030,51130,50950,50970,1737910798501,225871067.1406755,4426.21803048,30
KRW-ENS,2025-01-26T16:00:00,2025-01-27T01:00:00,51000,51130,50820,51030,1737908981642,866223548.7948023,17004.27925686,30
KRW-ENS,2025-01-26T15:30:00,2025-01-27T00:30:00,51090,51190,50990,51000,1737907195893,332194601.1974103,6510.09720943,30
KRW-ENS,2025-01-26T15:00:00,2025-01-27T00:00:00,51140,51200,51000,51090,1737905362909,398151228.5288433,7791.30844366,30
KRW-ENS,2025-01-26T14:30:00,2025-01-26T23:30:00,51100,51210,51060,51140,1737903578799,277321670.5699339,5422.41423052,30
KRW-ENS,2025-01-26T14:00:00,2025-01-26T23:00:00,51140,51180,50980,51070,1737901793271,438770361.2919035,8598.92415788,30
KRW-ENS,2025-01-26T13:30:00,2025-01-26T22:30:00,51060,51240,51050,51140,1737899987372,617372677.312661,12080.15343181,30
KRW-ENS,2025-01-26T13:00:00,2025-01-26T22:00:00,51310,51340,51010,51060,1737898171809,785397544.2573701,15346.20105728,30
KRW-ENS,2025-01-26T12:30:00,2025-01-26T21:30:00,51080,51310,50960,51310,1737896397235,692829559.0930531,13561.99750683,30
KRW-ENS,2025-01-26T12:00:00,2025-01-26T21:00:00,51090,51130,50980,51080,1737894596089,420908800.9974783,8251.17988312,30
KRW-ENS,2025-01-26T11:30:00,2025-01-26T20:30:00,51070,51160,50990,51100,1737892796898,200132595.8118373,3918.94932145,30
KRW-ENS,2025-01-26T11:00:00,2025-01-26T20:00:00,51090,51250,50990,51080,1737890998431,518471417.2729689,10149.93203897,30
KRW-ENS,2025-01-26T10:30:00,2025-01-26T19:30:00,50980,51220,50950,51090,1737889194337,446508260.1307273,8752.86631097,30
KRW-ENS,2025-01-26T10:00:00,2025-01-26T19:00:00,51090,51270,50940,51070,1737887384484,843457012.0716147,16518.75325225,30
