market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-EOS,2025-01-27T13:30:00,2025-01-27T22:30:00,1131,1133,1130,1133,1737984784715,17638652.79198367,15593.13378221,30
KRW-EOS,2025-01-27T13:00:00,2025-01-27T22:00:00,1126,1138,1121,1130,1737984586511,235795170.90734646,208469.76179893,30
KRW-EOS,2025-01-27T12:30:00,2025-01-27T21:30:00,1102,1138,1099,1126,1737982797077,193305511.04925692,172537.96804564,30
KRW-EOS,2025-01-27T12:00:00,2025-01-27T21:00:00,1097,1107,1096,1100,1737980995633,70760182.59694684,64253.69195681,30
KRW-EOS,2025-01-27T11:30:00,2025-01-27T20:30:00,1105,1107,1097,1097,1737979193862,153375275.67420417,139110.51530242,30
KRW-EOS,2025-01-27T11:00:00,2025-01-27T20:00:00,1094,1108,1093,1105,1737977344916,190406086.525605,173399.20201248,30
KRW-EOS,2025-01-27T10:30:00,2025-01-27T19:30:00,1105,1105,1093,1094,1737975599902,295161725.97529125,268899.92397057,30
KRW-EOS,2025-01-27T10:00:00,2025-01-27T19:00:00,1113,1113,1104,1105,1737973796575,120009831.86497952,108329.86039122,30
KRW-EOS,2025-01-27T09:30:00,2025-01-27T18:30:00,1102,1114,1102,1113,1737971980954,166521482.1479056,150275.01935906,30
KRW-EOS,2025-01-27T09:00:00,2025-01-27T18:00:00,1107,1118,1102,1102,1737970192874,290643962.943162,261910.7148024,30
KRW-EOS,2025-01-27T08:30:00,2025-01-27T17:30:00,1113,1113,1096,1107,1737968399566,242624455.3380223,219952.55492224,30
KRW-EOS,2025-01-27T08:00:00,2025-01-27T17:00:00,1117,1119,1105,1115,1737966594530,310035199.31554693,279343.97656841,30
KRW-EOS,2025-01-27T07:30:00,2025-01-27T16:30:00,1093,1121,1091,1119,1737964792298,316281150.7759077,284615.10896774,30
KRW-EOS,2025-01-27T07:00:00,2025-01-27T16:00:00,1118,1125,1092,1093,1737962999862,801541054.2855583,723737.91692782,30
KRW-EOS,2025-01-27T06:30:00,2025-01-27T15:30:00,1129,1130,1114,1117,1737961188826,740404171.2798588,660638.67857295,30
KRW-EOS,2025-01-27T06:00:00,2025-01-27T15:00:00,1135,1139,1129,1130,1737959395606,119117984.09090434,105252.68227973,30
KRW-EOS,2025-01-27T05:30:00,2025-01-27T14:30:00,1141,1143,1127,1135,1737957590889,420800547.7722659,370365.52820919,30
KRW-EOS,2025-01-27T05:00:00,2025-01-27T14:00:00,1137,1145,1137,1141,1737955735604,91863347.40193436,80574.13444949,30
KRW-EOS,2025-01-27T04:30:00,2025-01-27T13:30:00,1147,1152,1135,1137,1737953996977,198495609.71601003,173951.81586196,30
KRW-EOS,2025-01-27T04:00:00,2025-01-27T13:00:00,1153,1155,1145,1149,1737952187599,111831141.48708536,97258.40238074,30
KRW-EOS,2025-01-27T03:30:00,2025-01-27T12:30:00,1154,1156,1151,1156,1737950396191,44355921.59430219,38472.87134669,30
KRW-EOS,2025-01-27T03:00:00,2025-01-27T12:00:00,1141,1157,1139,1154,1737948588255,299486669.6876957,259748.87916712,30
KRW-EOS,2025-01-27T02:30:00,2025-01-27T11:30:00,1146,1146,1135,1141,1737946752495,304067252.82662976,266837.12392792,30
KRW-EOS,2025-01-27T02:00:00,2025-01-27T11:00:00,1150,1150,1138,1146,1737944977668,462743480.24580485,404038.67141409,30
KRW-EOS,2025-01-27T01:30:00,2025-01-27T10:30:00,1160,1164,1150,1150,1737943195492,287110706.01631254,248154.40819797,30
KRW-EOS,2025-01-27T01:00:00,2025-01-27T10:00:00,1165,1171,1155,1160,1737941399493,342900751.5014657,294618.42638036,30
KRW-EOS,2025-01-27T00:30:00,2025-01-27T09:30:00,1179,1181,1164,1164,1737939599712,434176040.64639765,370889.2934152,30
KRW-EOS,2025-01-27T00:00:00,2025-01-27T09:00:00,1181,1187,1168,1179,1737937730341,298408064.2541928,253299.43752675,30
KRW-EOS,2025-01-26T23:30:00,2025-01-27T08:30:00,1187,1188,1177,1181,1737935982435,231767765.3616069,196084.3772023,30
KRW-EOS,2025-01-26T23:00:00,2025-01-27T08:00:00,1192,1194,1183,1189,1737934186103,356859476.5134697,300319.98655033,30
KRW-EOS,2025-01-26T22:30:00,2025-01-27T07:30:00,1197,1201,1191,1194,1737932338543,84004482.41991338,70128.55651731,30
KRW-EOS,2025-01-26T22:00:00,2025-01-27T07:00:00,1192,1196,1186,1196,1737930526972,134796622.5982101,113202.04348483,30
KRW-EOS,2025-01-26T21:30:00,2025-01-27T06:30:00,1198,1198,1191,1191,1737928798215,62392676.19015038,52320.64207577,30
KRW-EOS,2025-01-26T21:00:00,2025-01-27T06:00:00,1197,1198,1195,1195,1737926818614,48670605.46235735,40715.12220647,30
KRW-EOS,2025-01-26T20:30:00,2025-01-27T05:30:00,1203,1203,1196,1196,1737924998316,39047723.91926568,32546.81704172,30
KRW-EOS,2025-01-26T20:00:00,2025-01-27T05:00:00,1205,1206,1201,1203,1737923228262,27810867.19853096,23128.2238078,30
KRW-EOS,2025-01-26T19:30:00,2025-01-27T04:30:00,1201,1207,1201,1205,1737921564363,17518984.57828113,14546.40608536,30
KRW-EOS,2025-01-26T19:00:00,2025-01-27T04:00:00,1204,1205,1200,1201,1737919684746,27235707.36875867,22658.96550775,30
KRW-EOS,2025-01-26T18:30:00,2025-01-27T03:30:00,1211,1211,1204,1204,1737917987994,35547177.8155587,29436.99045528,30
KRW-EOS,2025-01-26T18:00:00,2025-01-27T03:00:00,1207,1210,1203,1209,1737916112158,22682562.89070432,18760.01477022,30
KRW-EOS,2025-01-26T17:30:00,2025-01-27T02:30:00,1200,1209,1200,1207,1737914376640,99525729.63228486,82585.99162167,30
KRW-EOS,2025-01-26T17:00:00,2025-01-27T02:00:00,1201,1204,1200,1200,1737912594184,23506145.83036508,19550.65207322,30
KRW-EOS,2025-01-26T16:30:00,2025-01-27T01:30:00,1198,1202,1197,1201,1737910776291,70619426.79347445,58848.93634849,30
KRW-EOS,2025-01-26T16:00:00,2025-01-27T01:00:00,1204,1204,1192,1197,1737908982561,232245165.30102575,193789.31505777,30
KRW-EOS,2025-01-26T15:30:00,2025-01-27T00:30:00,1205,1208,1202,1203,1737907176347,65614372.72648536,54518.35129337,30
KRW-EOS,2025-01-26T15:00:00,2025-01-27T00:00:00,1210,1210,1204,1205,1737905380591,104073276.711819,86238.85881926,30
KRW-EOS,2025-01-26T14:30:00,2025-01-26T23:30:00,1208,1211,1208,1211,1737903574761,74026645.74104647,61209.74294285,30
KRW-EOS,2025-01-26T14:00:00,2025-01-26T23:00:00,1211,1213,1206,1207,1737901691179,63902587.83359694,52851.46963202,30
