market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ETC,2025-01-27T13:30:00,2025-01-27T22:30:00,39290,39340,39210,39310,1737984811111,138889846.4775392,3536.81229507,30
KRW-ETC,2025-01-27T13:00:00,2025-01-27T22:00:00,39230,39480,39030,39250,1737984586324,720621814.974573,18351.74663679,30
KRW-ETC,2025-01-27T12:30:00,2025-01-27T21:30:00,38480,39440,38330,39210,1737982796167,1209790372.9349453,30955.94760395,30
KRW-ETC,2025-01-27T12:00:00,2025-01-27T21:00:00,38500,38710,38300,38410,1737980991991,523888625.6228684,13621.17984159,30
KRW-ETC,2025-01-27T11:30:00,2025-01-27T20:30:00,38600,38710,38460,38500,1737979194715,413341322.5813963,10717.5603323,30
KRW-ETC,2025-01-27T11:00:00,2025-01-27T20:00:00,38240,38660,38240,38590,1737977383852,576952220.8187793,15001.03528622,30
KRW-ETC,2025-01-27T10:30:00,2025-01-27T19:30:00,38640,38680,38120,38240,1737975598982,1231414165.8643723,32090.5813447,30
KRW-ETC,2025-01-27T10:00:00,2025-01-27T19:00:00,38800,38800,38570,38640,1737973773612,346127850.5266033,8946.13148382,30
KRW-ETC,2025-01-27T09:30:00,2025-01-27T18:30:00,38540,38910,38520,38800,1737971995158,377481274.940584,9750.54104112,30
KRW-ETC,2025-01-27T09:00:00,2025-01-27T18:00:00,38710,39030,38520,38570,1737970198375,821846284.624401,21186.20118587,30
KRW-ETC,2025-01-27T08:30:00,2025-01-27T17:30:00,38780,38800,38290,38700,1737968399388,1256472430.9822545,32664.55017248,30
KRW-ETC,2025-01-27T08:00:00,2025-01-27T17:00:00,39080,39080,38570,38790,1737966597933,1217421470.4041932,31382.69091753,30
KRW-ETC,2025-01-27T07:30:00,2025-01-27T16:30:00,38380,39320,38360,39040,1737964799755,2240575586.5890555,57489.52760623,30
KRW-ETC,2025-01-27T07:00:00,2025-01-27T16:00:00,39140,39270,38350,38360,1737962999488,3175794752.456646,81693.07582713,30
KRW-ETC,2025-01-27T06:30:00,2025-01-27T15:30:00,39550,39550,38960,39130,1737961197512,2182839600.1647468,55719.65827044,30
KRW-ETC,2025-01-27T06:00:00,2025-01-27T15:00:00,39620,39800,39450,39550,1737959393128,709493433.1591429,17929.35816579,30
KRW-ETC,2025-01-27T05:30:00,2025-01-27T14:30:00,39710,39740,39300,39620,1737957592875,953332022.3694205,24161.51790635,30
KRW-ETC,2025-01-27T05:00:00,2025-01-27T14:00:00,39650,39800,39500,39710,1737955785519,486086668.5141257,12260.33632149,30
KRW-ETC,2025-01-27T04:30:00,2025-01-27T13:30:00,39680,39900,39590,39650,1737953994974,577522860.3475177,14538.25831131,30
KRW-ETC,2025-01-27T04:00:00,2025-01-27T13:00:00,39950,39950,39680,39680,1737952199278,519113359.8358364,13053.60319467,30
KRW-ETC,2025-01-27T03:30:00,2025-01-27T12:30:00,39940,40060,39800,39950,1737950341239,485808218.1384013,12162.11345732,30
KRW-ETC,2025-01-27T03:00:00,2025-01-27T12:00:00,39330,40100,39260,39950,1737948597205,881530623.0790796,22137.29160031,30
KRW-ETC,2025-01-27T02:30:00,2025-01-27T11:30:00,39510,39590,39130,39330,1737946798371,2244577631.47316,57073.95318107,30
KRW-ETC,2025-01-27T02:00:00,2025-01-27T11:00:00,39890,40010,39510,39520,1737944998876,2163486691.929736,54432.81183093,30
KRW-ETC,2025-01-27T01:30:00,2025-01-27T10:30:00,39860,40270,39810,39890,1737943198678,1203459957.5290823,30034.49523118,30
KRW-ETC,2025-01-27T01:00:00,2025-01-27T10:00:00,40130,40290,39600,39890,1737941399091,2242992066.108002,56160.96134877,30
