market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ETH,2025-01-27T13:30:00,2025-01-27T22:30:00,4784000,4793000,4781000,4792000,1737984806060,511479961.79353,106.87090007,30
KRW-ETH,2025-01-27T13:00:00,2025-01-27T22:00:00,4779000,4807000,4761000,4781000,1737984595706,9523638361.61308,1989.71636812,30
KRW-ETH,2025-01-27T12:30:00,2025-01-27T21:30:00,4720000,4811000,4718000,4779000,1737982800003,9467441171.4972,1982.61087783,30
KRW-ETH,2025-01-27T12:00:00,2025-01-27T21:00:00,4710000,4727000,4705000,4720000,1737980993824,4038956130.24238,856.45429902,30
KRW-ETH,2025-01-27T11:30:00,2025-01-27T20:30:00,4719000,4725000,4710000,4711000,1737979199661,3118603141.7162,661.09061486,30
KRW-ETH,2025-01-27T11:00:00,2025-01-27T20:00:00,4700000,4728000,4700000,4720000,1737977399732,6342294255.51362,1346.39659055,30
KRW-ETH,2025-01-27T10:30:00,2025-01-27T19:30:00,4732000,4734000,4700000,4700000,1737975598861,8511426282.27333,1807.66975653,30
KRW-ETH,2025-01-27T10:00:00,2025-01-27T19:00:00,4745000,4748000,4723000,4732000,1737973799262,3609351845.78366,761.99720664,30
KRW-ETH,2025-01-27T09:30:00,2025-01-27T18:30:00,4717000,4748000,4714000,4747000,1737971999972,3114370530.12665,657.97475001,30
KRW-ETH,2025-01-27T09:00:00,2025-01-27T18:00:00,4718000,4749000,4713000,4720000,1737970199768,5787432984.3848,1223.01679175,30
KRW-ETH,2025-01-27T08:30:00,2025-01-27T17:30:00,4741000,4741000,4705000,4718000,1737968399156,9505810164.90209,2015.97656282,30
KRW-ETH,2025-01-27T08:00:00,2025-01-27T17:00:00,4751000,4753000,4730000,4736000,1737966599012,6499271016.5544,1370.69067933,30
KRW-ETH,2025-01-27T07:30:00,2025-01-27T16:30:00,4705000,4776000,4705000,4751000,1737964798285,15096947790.0078,3179.71531371,30
KRW-ETH,2025-01-27T07:00:00,2025-01-27T16:00:00,4757000,4761000,4705000,4705000,1737962999778,20414587784.86994,4312.82689496,30
KRW-ETH,2025-01-27T06:30:00,2025-01-27T15:30:00,4787000,4790000,4750000,4757000,1737961197696,16661802662.36266,3493.55882162,30
