market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-FCT2,2025-01-27T13:30:00,2025-01-27T22:30:00,80.22,80.76,80.22,80.26,1737984820566,276668310.0552489,3432490.00759596,30
KRW-FCT2,2025-01-27T13:00:00,2025-01-27T22:00:00,81.15,81.83,79.8,80.21,1737984592685,3397639606.403816,42127111.54384696,30
KRW-FCT2,2025-01-27T12:30:00,2025-01-27T21:30:00,80.38,83.18,80.22,81.26,1737982795045,5630412861.1824465,68938816.11623704,30
KRW-FCT2,2025-01-27T12:00:00,2025-01-27T21:00:00,80.25,80.65,79.1,80.38,1737980999936,2980403349.869713,37234435.9221841,30
KRW-FCT2,2025-01-27T11:30:00,2025-01-27T20:30:00,80,82,78.9,80.25,1737979194206,5283362777.697438,65727258.47394583,30
KRW-FCT2,2025-01-27T11:00:00,2025-01-27T20:00:00,82.07,82.64,79.53,80,1737977400006,4851064307.440676,59971745.78548403,30
KRW-FCT2,2025-01-27T10:30:00,2025-01-27T19:30:00,84.59,84.74,81.37,82.17,1737975598622,4607296390.630614,55787473.890358,30
KRW-FCT2,2025-01-27T10:00:00,2025-01-27T19:00:00,83.85,85,83.68,84.58,1737973799693,2186166287.4956393,25899985.36085822,30
KRW-FCT2,2025-01-27T09:30:00,2025-01-27T18:30:00,85.74,86.97,83.13,83.67,1737971999064,7435671841.230839,87320796.77004796,30
KRW-FCT2,2025-01-27T09:00:00,2025-01-27T18:00:00,82.45,85.77,81.76,85.74,1737970199907,6657592247.387637,79246027.88508362,30
KRW-FCT2,2025-01-27T08:30:00,2025-01-27T17:30:00,81.69,82.81,80.73,82.4,1737968399102,3833069474.068559,46882963.01576639,30
KRW-FCT2,2025-01-27T08:00:00,2025-01-27T17:00:00,82.02,82.69,80.27,81.69,1737966597695,4534053375.252298,55674882.95507235,30
KRW-FCT2,2025-01-27T07:30:00,2025-01-27T16:30:00,78.72,82.95,78.38,81.94,1737964799953,11352952628.996832,139839817.11698753,30
KRW-FCT2,2025-01-27T07:00:00,2025-01-27T16:00:00,86.32,86.33,78.6,78.74,1737962999971,13305693302.14947,161829706.3681127,30
KRW-FCT2,2025-01-27T06:30:00,2025-01-27T15:30:00,86.61,87.3,85.54,86.32,1737961199004,4095027360.805846,47386101.04235361,30
KRW-FCT2,2025-01-27T06:00:00,2025-01-27T15:00:00,86.16,88,85.5,86.61,1737959399357,5843258746.967824,67258298.00082138,30
KRW-FCT2,2025-01-27T05:30:00,2025-01-27T14:30:00,87.5,87.81,85.29,86.39,1737957598925,6576319332.215979,76305179.96249814,30
KRW-FCT2,2025-01-27T05:00:00,2025-01-27T14:00:00,88.41,89,87.17,87.4,1737955799556,2565035826.9565473,29128042.66061466,30
KRW-FCT2,2025-01-27T04:30:00,2025-01-27T13:30:00,88.7,89.52,86.87,88.42,1737953998283,5774411535.798395,65543378.71702906,30
KRW-FCT2,2025-01-27T04:00:00,2025-01-27T13:00:00,89.72,91.3,88.21,88.7,1737952199971,7170289329.674952,79730908.94372343,30
KRW-FCT2,2025-01-27T03:30:00,2025-01-27T12:30:00,89.1,90.45,88.42,89.72,1737950398320,5082848676.897483,56771979.44000663,30
KRW-FCT2,2025-01-27T03:00:00,2025-01-27T12:00:00,91.29,91.77,87.8,89.1,1737948597854,9958494726.212217,110962403.3189347,30
KRW-FCT2,2025-01-27T02:30:00,2025-01-27T11:30:00,87.48,91.95,87.12,91.29,1737946799670,12479736998.539276,138870095.75046098,30
KRW-FCT2,2025-01-27T02:00:00,2025-01-27T11:00:00,89.26,89.6,86.21,87.71,1737944999132,8757979865.448353,99813247.74143471,30
KRW-FCT2,2025-01-27T01:30:00,2025-01-27T10:30:00,87.28,90.4,85.44,88.94,1737943199787,14559227430.199959,165572374.70443064,30
KRW-FCT2,2025-01-27T01:00:00,2025-01-27T10:00:00,88.43,90.3,83.32,87.26,1737941399124,19592013638.54572,224589560.05145985,30
KRW-FCT2,2025-01-27T00:30:00,2025-01-27T09:30:00,89.34,94.44,87.8,88.44,1737939599949,38609473263.18545,425168011.66126305,30
KRW-FCT2,2025-01-27T00:00:00,2025-01-27T09:00:00,74.02,92.49,73.89,89.3,1737937799845,80329470347.40633,926782321.0528667,30
KRW-FCT2,2025-01-26T23:30:00,2025-01-27T08:30:00,73.19,74.49,72.53,74.02,1737935990024,572918918.3518916,7794649.43672996,30
KRW-FCT2,2025-01-26T23:00:00,2025-01-27T08:00:00,74.34,74.34,72.57,73.19,1737934197066,461662044.4761819,6281396.21537335,30
KRW-FCT2,2025-01-26T22:30:00,2025-01-27T07:30:00,75.21,75.28,74.1,74.32,1737932392530,250742467.02791733,3354807.57178069,30
KRW-FCT2,2025-01-26T22:00:00,2025-01-27T07:00:00,75.94,75.94,75.04,75.22,1737930578757,116560127.77926558,1548467.45304083,30
KRW-FCT2,2025-01-26T21:30:00,2025-01-27T06:30:00,75.42,75.96,75.11,75.94,1737928798588,172700620.1418815,2294074.32904135,30
KRW-FCT2,2025-01-26T21:00:00,2025-01-27T06:00:00,75.83,76.1,75.41,75.41,1737926988710,88950431.354865,1173819.9598108,30
KRW-FCT2,2025-01-26T20:30:00,2025-01-27T05:30:00,75.4,76.09,75.4,75.99,1737925131790,209160635.60655817,2763391.80036034,30
KRW-FCT2,2025-01-26T20:00:00,2025-01-27T05:00:00,75.28,75.4,75.11,75.4,1737923377220,127956189.8457773,1700401.84340635,30
KRW-FCT2,2025-01-26T19:30:00,2025-01-27T04:30:00,75,75.35,75,75.28,1737921596209,58803873.81852687,781796.52925766,30
KRW-FCT2,2025-01-26T19:00:00,2025-01-27T04:00:00,74.8,75.09,74.48,75.09,1737919795634,49354233.17867328,660665.60481129,30
KRW-FCT2,2025-01-26T18:30:00,2025-01-27T03:30:00,75.09,75.25,74.61,74.78,1737917936776,171458356.4058076,2287768.69074625,30
KRW-FCT2,2025-01-26T18:00:00,2025-01-27T03:00:00,74.76,75.1,74.47,75.1,1737916127495,40743615.05752189,544634.48241956,30
KRW-FCT2,2025-01-26T17:30:00,2025-01-27T02:30:00,74.5,74.81,74.37,74.81,1737914282703,43998985.53235513,589964.87729676,30
KRW-FCT2,2025-01-26T17:00:00,2025-01-27T02:00:00,73.88,74.54,73.82,74.54,1737912591934,45621570.97915407,614373.50256441,30
KRW-FCT2,2025-01-26T16:30:00,2025-01-27T01:30:00,74,74.42,73.86,73.86,1737910715683,99231971.87850697,1338378.07882575,30
KRW-FCT2,2025-01-26T16:00:00,2025-01-27T01:00:00,73.36,74,72.52,74,1737908998648,171860004.69538623,2343209.75356326,30
KRW-FCT2,2025-01-26T15:30:00,2025-01-27T00:30:00,73.9,74.3,72.47,72.75,1737907168642,448843114.79031533,6126842.24094638,30
KRW-FCT2,2025-01-26T15:00:00,2025-01-27T00:00:00,73.98,74.56,73.37,73.76,1737905373671,287870422.62947917,3899748.98121853,30
KRW-FCT2,2025-01-26T14:30:00,2025-01-26T23:30:00,72.95,75.45,72.82,74.27,1737903588359,634685332.7561189,8544160.83445623,30
