market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-FLOW,2025-01-27T13:30:00,2025-01-27T22:30:00,958.3,960.7,956.9,960.7,1737984819881,21060875.8476831,21988.88150114,30
KRW-FLOW,2025-01-27T13:00:00,2025-01-27T22:00:00,958.3,964.9,952,959.4,1737984578735,251018565.54982442,261591.93700653,30
KRW-FLOW,2025-01-27T12:30:00,2025-01-27T21:30:00,936.4,964.9,935.3,958.3,1737982796306,245339501.8493677,257852.88297595,30
KRW-FLOW,2025-01-27T12:00:00,2025-01-27T21:00:00,938,942.3,933.5,934.4,1737980988746,216278014.890821,230747.6117969,30
KRW-FLOW,2025-01-27T11:30:00,2025-01-27T20:30:00,942.5,944.2,937.8,937.8,1737979197732,120310250.89594476,127940.09932398,30
KRW-FLOW,2025-01-27T11:00:00,2025-01-27T20:00:00,934.1,943.5,933.8,943.3,1737977390298,182266096.73763633,194065.72118485,30
KRW-FLOW,2025-01-27T10:30:00,2025-01-27T19:30:00,944.1,944.1,933.4,934.1,1737975578390,405865908.42809516,432665.46488749,30
KRW-FLOW,2025-01-27T10:00:00,2025-01-27T19:00:00,948.2,950.2,943.9,944.1,1737973799203,158447844.71266812,167533.29811378,30
KRW-FLOW,2025-01-27T09:30:00,2025-01-27T18:30:00,945.5,951.4,943.7,948.2,1737971945986,98704692.46843442,104146.66723899,30
KRW-FLOW,2025-01-27T09:00:00,2025-01-27T18:00:00,947,955,943.9,946.3,1737970199883,221116314.44491136,233303.56564154,30
KRW-FLOW,2025-01-27T08:30:00,2025-01-27T17:30:00,953,953,941.7,947,1737968381907,396391390.95777315,419099.08265602,30
KRW-FLOW,2025-01-27T08:00:00,2025-01-27T17:00:00,963,963,952,953,1737966599269,284120605.46994275,297419.35591396,30
KRW-FLOW,2025-01-27T07:30:00,2025-01-27T16:30:00,946.7,966.5,946,963,1737964749325,357189522.04713076,373045.7132461,30
KRW-FLOW,2025-01-27T07:00:00,2025-01-27T16:00:00,970.7,973.2,946.7,946.7,1737962998439,647231281.141189,674226.35474858,30
KRW-FLOW,2025-01-27T06:30:00,2025-01-27T15:30:00,971.4,974.1,962.8,970,1737961197031,575561387.0818825,594669.57276425,30
KRW-FLOW,2025-01-27T06:00:00,2025-01-27T15:00:00,979.6,980.1,971.1,971.4,1737959399877,201369964.04766792,206770.84058166,30
KRW-FLOW,2025-01-27T05:30:00,2025-01-27T14:30:00,982.9,982.9,974.5,977.5,1737957585072,314202837.93769354,321528.1983091,30
KRW-FLOW,2025-01-27T05:00:00,2025-01-27T14:00:00,981.3,982.9,979,982.9,1737955777258,116562279.89765891,118855.53469087,30
KRW-FLOW,2025-01-27T04:30:00,2025-01-27T13:30:00,981.5,985,980,981.3,1737953961471,345812768.4200966,352290.89695338,30
KRW-FLOW,2025-01-27T04:00:00,2025-01-27T13:00:00,987.7,987.9,981,983.4,1737952183178,152626721.7100157,155245.93535221,30
KRW-FLOW,2025-01-27T03:30:00,2025-01-27T12:30:00,991,991,985.2,987.7,1737950378334,200519047.1059875,202933.44834652,30
KRW-FLOW,2025-01-27T03:00:00,2025-01-27T12:00:00,981,992,981,989.2,1737948574385,165605204.31585535,167828.43234424,30
KRW-FLOW,2025-01-27T02:30:00,2025-01-27T11:30:00,985.3,987.8,980.8,981,1737946784366,206827121.9718246,210262.04998099,30
KRW-FLOW,2025-01-27T02:00:00,2025-01-27T11:00:00,989,992,980,985.2,1737944992903,387595448.26145893,393177.64594028,30
KRW-FLOW,2025-01-27T01:30:00,2025-01-27T10:30:00,990,995.9,987,988,1737943198010,178246226.996437,179914.353666,30
KRW-FLOW,2025-01-27T01:00:00,2025-01-27T10:00:00,994,996.9,984,990.5,1737941389501,579674997.9341913,585005.9539068,30
KRW-FLOW,2025-01-27T00:30:00,2025-01-27T09:30:00,1008,1008,993.5,994,1737939599601,707366644.0718192,708780.32151896,30
KRW-FLOW,2025-01-27T00:00:00,2025-01-27T09:00:00,1010,1017,1001,1008,1737937796988,599424996.4850116,595421.52961472,30
KRW-FLOW,2025-01-26T23:30:00,2025-01-27T08:30:00,1017,1017,1008,1010,1737935995792,253213507.8379919,250516.43060931,30
KRW-FLOW,2025-01-26T23:00:00,2025-01-27T08:00:00,1029,1029,1013,1016,1737934187727,254667943.829264,249888.58761345,30
KRW-FLOW,2025-01-26T22:30:00,2025-01-27T07:30:00,1031,1033,1027,1030,1737932375813,20863973.6242487,20233.72629066,30
KRW-FLOW,2025-01-26T22:00:00,2025-01-27T07:00:00,1029,1031,1026,1029,1737930507755,73854741.85376206,71877.20678118,30
KRW-FLOW,2025-01-26T21:30:00,2025-01-27T06:30:00,1032,1033,1029,1029,1737928799310,37556899.61087252,36448.39207351,30
KRW-FLOW,2025-01-26T21:00:00,2025-01-27T06:00:00,1035,1035,1031,1035,1737926737039,35803169.77114666,34641.96049271,30
KRW-FLOW,2025-01-26T20:30:00,2025-01-27T05:30:00,1039,1040,1035,1035,1737925057390,49346020.29600468,47568.71064742,30
KRW-FLOW,2025-01-26T20:00:00,2025-01-27T05:00:00,1039,1040,1038,1039,1737923318351,41618792.43018105,40069.02465668,30
KRW-FLOW,2025-01-26T19:30:00,2025-01-27T04:30:00,1037,1040,1037,1039,1737921581529,20012739.81702215,19259.61237449,30
KRW-FLOW,2025-01-26T19:00:00,2025-01-27T04:00:00,1037,1039,1034,1037,1737918757675,2707999.12633666,2615.59263585,30
KRW-FLOW,2025-01-26T18:30:00,2025-01-27T03:30:00,1040,1040,1036,1036,1737917679842,33354361.99679449,32090.77061379,30
KRW-FLOW,2025-01-26T18:00:00,2025-01-27T03:00:00,1036,1040,1033,1040,1737916169045,43104098.43917391,41512.54982004,30
KRW-FLOW,2025-01-26T17:30:00,2025-01-27T02:30:00,1028,1037,1027,1036,1737914333242,21785663.24869683,21077.69641178,30
