market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-G,2025-01-27T13:30:00,2025-01-27T22:30:00,39.98,40.14,39.98,40.14,1737984810885,1238978.19935707,30921.56746147,30
KRW-G,2025-01-27T13:00:00,2025-01-27T22:00:00,39.91,40.37,39.73,40.03,1737984592261,44093340.44473731,1100085.84654803,30
KRW-G,2025-01-27T12:30:00,2025-01-27T21:30:00,39.27,40.2,39.26,40,1737982777987,73743723.90497966,1857946.07691728,30
KRW-G,2025-01-27T12:00:00,2025-01-27T21:00:00,39.54,39.65,39.25,39.26,1737980952994,41230710.95098828,1044815.70143995,30
KRW-G,2025-01-27T11:30:00,2025-01-27T20:30:00,39.5,39.64,39.42,39.54,1737979194005,50909620.57010115,1286169.68061356,30
KRW-G,2025-01-27T11:00:00,2025-01-27T20:00:00,39.36,39.62,39.29,39.5,1737977389443,43710940.88254867,1108198.35058193,30
KRW-G,2025-01-27T10:30:00,2025-01-27T19:30:00,39.7,39.7,39.3,39.37,1737975554500,70261057.69885448,1781453.86533068,30
KRW-G,2025-01-27T10:00:00,2025-01-27T19:00:00,39.98,40.01,39.61,39.74,1737973562751,27974752.99889551,703923.25487696,30
KRW-G,2025-01-27T09:30:00,2025-01-27T18:30:00,39.68,40.13,39.68,40.04,1737971788558,7128604.25442571,178455.17513803,30
KRW-G,2025-01-27T09:00:00,2025-01-27T18:00:00,39.54,40.05,39.48,39.75,1737970190269,36073438.43893382,906196.97058493,30
KRW-G,2025-01-27T08:30:00,2025-01-27T17:30:00,39.72,39.73,39.26,39.6,1737968324692,93610363.71592179,2368748.05608355,30
KRW-G,2025-01-27T08:00:00,2025-01-27T17:00:00,40.12,40.12,39.65,39.8,1737966573299,90823191.53400001,2281807.68616842,30
KRW-G,2025-01-27T07:30:00,2025-01-27T16:30:00,39.38,40.24,39.21,40.12,1737964784308,90185960.17173426,2268704.18695947,30
KRW-G,2025-01-27T07:00:00,2025-01-27T16:00:00,40.3,40.45,39.29,39.37,1737962998322,193116663.71567467,4841487.67589165,30
KRW-G,2025-01-27T06:30:00,2025-01-27T15:30:00,40.51,40.61,40.22,40.26,1737961156973,132307761.25626154,3276318.41870208,30
KRW-G,2025-01-27T06:00:00,2025-01-27T15:00:00,40.61,40.79,40.45,40.53,1737959364998,39483410.37815364,972886.71963715,30
KRW-G,2025-01-27T05:30:00,2025-01-27T14:30:00,40.82,40.84,40.51,40.63,1737957593504,46885595.75155628,1153534.0712019,30
KRW-G,2025-01-27T05:00:00,2025-01-27T14:00:00,40.75,40.92,40.64,40.89,1737955726336,8528661.53869478,209135.57441343,30
KRW-G,2025-01-27T04:30:00,2025-01-27T13:30:00,40.85,40.93,40.6,40.72,1737953891067,21123421.01690373,518476.01896335,30
KRW-G,2025-01-27T04:00:00,2025-01-27T13:00:00,40.9,40.93,40.73,40.85,1737952166441,15110944.58949943,370083.10542809,30
KRW-G,2025-01-27T03:30:00,2025-01-27T12:30:00,40.84,40.95,40.77,40.95,1737950378346,30201911.80086022,739681.88956403,30
KRW-G,2025-01-27T03:00:00,2025-01-27T12:00:00,40.5,40.98,40.37,40.89,1737948572153,26854243.72198522,659221.68481234,30
KRW-G,2025-01-27T02:30:00,2025-01-27T11:30:00,40.5,40.6,40.26,40.47,1737946661468,56884699.71823679,1408500.72129397,30
KRW-G,2025-01-27T02:00:00,2025-01-27T11:00:00,40.88,40.97,40.42,40.5,1737944919847,138617727.32538655,3414822.45445345,30
KRW-G,2025-01-27T01:30:00,2025-01-27T10:30:00,41.09,41.24,40.9,40.95,1737943175226,66910089.32730531,1629673.67652142,30
KRW-G,2025-01-27T01:00:00,2025-01-27T10:00:00,41.48,41.54,40.93,41.09,1737941389950,140516057.1590655,3408013.60058993,30
KRW-G,2025-01-27T00:30:00,2025-01-27T09:30:00,41.82,41.9,41.48,41.57,1737939554445,95314959.39005455,2287425.59368254,30
KRW-G,2025-01-27T00:00:00,2025-01-27T09:00:00,42.02,42.54,41.72,41.9,1737937746426,110216470.17872907,2626119.30605812,30
KRW-G,2025-01-26T23:30:00,2025-01-27T08:30:00,42.13,42.29,42,42.02,1737935973315,106738329.30846919,2535299.88279583,30
KRW-G,2025-01-26T23:00:00,2025-01-27T08:00:00,42.6,42.63,42.01,42.17,1737934196162,56872085.19585451,1345892.82611871,30
