market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-GAME2,2025-01-27T13:30:00,2025-01-27T22:30:00,8.828,8.828,8.791,8.82,1737984809172,18443556.45604631,2093562.9986631,30
KRW-GAME2,2025-01-27T13:00:00,2025-01-27T22:00:00,8.805,8.848,8.707,8.799,1737984597931,177075610.06966996,20116709.5876481,30
KRW-GAME2,2025-01-27T12:30:00,2025-01-27T21:30:00,8.565,8.81,8.56,8.769,1737982794773,237335389.26135275,27239710.75293565,30
KRW-GAME2,2025-01-27T12:00:00,2025-01-27T21:00:00,8.623,8.649,8.559,8.568,1737980996391,98002887.16379513,11414841.6987958,30
KRW-GAME2,2025-01-27T11:30:00,2025-01-27T20:30:00,8.6,8.66,8.6,8.623,1737979173542,66864076.12038082,7743527.13659728,30
KRW-GAME2,2025-01-27T11:00:00,2025-01-27T20:00:00,8.509,8.643,8.507,8.601,1737977399572,84128786.3332472,9809754.61273617,30
KRW-GAME2,2025-01-27T10:30:00,2025-01-27T19:30:00,8.625,8.631,8.509,8.555,1737975565428,195705042.27420086,22866104.9065669,30
KRW-GAME2,2025-01-27T10:00:00,2025-01-27T19:00:00,8.632,8.656,8.589,8.625,1737973755789,49129871.37703803,5695012.02430213,30
KRW-GAME2,2025-01-27T09:30:00,2025-01-27T18:30:00,8.576,8.629,8.537,8.629,1737971970603,47911951.47550843,5587493.77637428,30
KRW-GAME2,2025-01-27T09:00:00,2025-01-27T18:00:00,8.524,8.59,8.461,8.589,1737970153957,158418443.08507723,18553400.87157325,30
KRW-GAME2,2025-01-27T08:30:00,2025-01-27T17:30:00,8.584,8.584,8.449,8.524,1737968395944,395072049.7904587,46530243.66213901,30
KRW-GAME2,2025-01-27T08:00:00,2025-01-27T17:00:00,8.627,8.675,8.537,8.605,1737966556302,250054196.8401805,29112867.27014524,30
KRW-GAME2,2025-01-27T07:30:00,2025-01-27T16:30:00,8.541,8.714,8.533,8.628,1737964774921,468318710.7879741,54362887.091282,30
KRW-GAME2,2025-01-27T07:00:00,2025-01-27T16:00:00,8.688,8.771,8.541,8.541,1737962999117,494109769.4580533,57165109.91844499,30
