market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-GAS,2025-01-27T13:30:00,2025-01-27T22:30:00,7010,7021,7005,7021,1737984804227,12459229.11384586,1777.46667391,30
KRW-GAS,2025-01-27T13:00:00,2025-01-27T22:00:00,7009,7066,6980,7010,1737984566495,357906876.4696396,51033.70679851,30
KRW-GAS,2025-01-27T12:30:00,2025-01-27T21:30:00,6863,7067,6850,7025,1737982796669,290089232.170112,41514.8942021,30
KRW-GAS,2025-01-27T12:00:00,2025-01-27T21:00:00,6860,6903,6845,6863,1737980988690,64598923.30051129,9412.41071156,30
KRW-GAS,2025-01-27T11:30:00,2025-01-27T20:30:00,6870,6903,6853,6860,1737979185649,64570107.00980075,9390.18120122,30
KRW-GAS,2025-01-27T11:00:00,2025-01-27T20:00:00,6811,6891,6802,6877,1737977390165,79385805.54884005,11594.84269458,30
KRW-GAS,2025-01-27T10:30:00,2025-01-27T19:30:00,6863,6873,6799,6808,1737975591197,145446365.36518893,21327.50121613,30
KRW-GAS,2025-01-27T10:00:00,2025-01-27T19:00:00,6898,6898,6862,6863,1737973789304,60893997.22163532,8854.0489202,30
KRW-GAS,2025-01-27T09:30:00,2025-01-27T18:30:00,6830,6900,6827,6898,1737971941897,67323919.7837378,9808.3447013,30
KRW-GAS,2025-01-27T09:00:00,2025-01-27T18:00:00,6814,6892,6803,6833,1737970188643,97509470.1258099,14204.29403916,30
KRW-GAS,2025-01-27T08:30:00,2025-01-27T17:30:00,6870,6870,6774,6814,1737968392464,223338118.764245,32840.80777001,30
KRW-GAS,2025-01-27T08:00:00,2025-01-27T17:00:00,6900,6911,6823,6875,1737966598387,158765662.1301078,23160.85836994,30
KRW-GAS,2025-01-27T07:30:00,2025-01-27T16:30:00,6754,6924,6743,6900,1737964766698,322662456.12747943,47086.52955391,30
KRW-GAS,2025-01-27T07:00:00,2025-01-27T16:00:00,6865,6890,6744,6744,1737962998982,599987302.7054079,88023.8976084,30
KRW-GAS,2025-01-27T06:30:00,2025-01-27T15:30:00,6899,6900,6830,6846,1737961198448,512180341.31224287,74679.51528231,30
KRW-GAS,2025-01-27T06:00:00,2025-01-27T15:00:00,6937,6952,6880,6899,1737959372496,179416098.74879056,25962.90979841,30
KRW-GAS,2025-01-27T05:30:00,2025-01-27T14:30:00,6955,6955,6900,6937,1737957584369,159741425.74787804,23071.56807143,30
KRW-GAS,2025-01-27T05:00:00,2025-01-27T14:00:00,6967,6970,6945,6955,1737955798527,182251484.8389731,26216.57083824,30
KRW-GAS,2025-01-27T04:30:00,2025-01-27T13:30:00,6963,6987,6950,6952,1737953980199,196393454.23533088,28221.00783779,30
KRW-GAS,2025-01-27T04:00:00,2025-01-27T13:00:00,6999,7000,6950,6963,1737952197495,163924277.1943545,23532.46777239,30
KRW-GAS,2025-01-27T03:30:00,2025-01-27T12:30:00,7041,7041,6990,7000,1737950383600,132730770.60173824,18948.97741185,30
KRW-GAS,2025-01-27T03:00:00,2025-01-27T12:00:00,6962,7043,6950,7041,1737948590604,267069040.24139595,38157.89380511,30
KRW-GAS,2025-01-27T02:30:00,2025-01-27T11:30:00,7030,7030,6950,6962,1737946798372,393181373.81107074,56234.81766077,30
KRW-GAS,2025-01-27T02:00:00,2025-01-27T11:00:00,7087,7110,7005,7032,1737944999241,491223493.0149936,69719.91773742,30
KRW-GAS,2025-01-27T01:30:00,2025-01-27T10:30:00,7098,7220,7070,7095,1737943199052,1149513742.376532,161013.58158336,30
KRW-GAS,2025-01-27T01:00:00,2025-01-27T10:00:00,7170,7550,7052,7108,1737941399478,5996331263.474511,817399.00642857,30
KRW-GAS,2025-01-27T00:30:00,2025-01-27T09:30:00,7190,7244,7168,7170,1737939592754,359725271.838746,50024.46158843,30
KRW-GAS,2025-01-27T00:00:00,2025-01-27T09:00:00,7183,7215,7090,7195,1737937797790,383469629.8574253,53586.62515624,30
KRW-GAS,2025-01-26T23:30:00,2025-01-27T08:30:00,7199,7220,7158,7183,1737935989602,247387836.6782514,34427.86431261,30
KRW-GAS,2025-01-26T23:00:00,2025-01-27T08:00:00,7261,7265,7162,7214,1737934196083,416868360.1428346,57810.47525844,30
KRW-GAS,2025-01-26T22:30:00,2025-01-27T07:30:00,7303,7320,7252,7286,1737932385089,88261855.7190267,12123.96644238,30
KRW-GAS,2025-01-26T22:00:00,2025-01-27T07:00:00,7275,7311,7248,7303,1737930565392,74933263.00809133,10311.91876027,30
KRW-GAS,2025-01-26T21:30:00,2025-01-27T06:30:00,7277,7284,7273,7275,1737928799511,47568445.73975111,6535.39552322,30
KRW-GAS,2025-01-26T21:00:00,2025-01-27T06:00:00,7267,7300,7264,7287,1737926918498,14546228.42827165,1999.18024964,30
KRW-GAS,2025-01-26T20:30:00,2025-01-27T05:30:00,7268,7285,7267,7279,1737925070520,12693202.88416877,1744.93798992,30
KRW-GAS,2025-01-26T20:00:00,2025-01-27T05:00:00,7268,7290,7268,7268,1737923317260,23900840.36228266,3284.73128204,30
KRW-GAS,2025-01-26T19:30:00,2025-01-27T04:30:00,7267,7268,7267,7268,1737921277101,991901.49961715,136.49309506,30
KRW-GAS,2025-01-26T19:00:00,2025-01-27T04:00:00,7262,7263,7262,7262,1737919368731,6047099.24629285,832.70428864,30
KRW-GAS,2025-01-26T18:30:00,2025-01-27T03:30:00,7277,7277,7262,7270,1737917903821,26444728.15012437,3636.86507129,30
KRW-GAS,2025-01-26T18:00:00,2025-01-27T03:00:00,7261,7290,7254,7281,1737916106847,11614243.39918766,1594.78175109,30
KRW-GAS,2025-01-26T17:30:00,2025-01-27T02:30:00,7251,7283,7248,7283,1737914149246,29074634.02807728,4010.13397091,30
KRW-GAS,2025-01-26T17:00:00,2025-01-27T02:00:00,7261,7275,7251,7251,1737912596818,28679752.06214291,3951.22562109,30
KRW-GAS,2025-01-26T16:30:00,2025-01-27T01:30:00,7274,7287,7255,7273,1737910723584,81849143.88512972,11267.42548233,30
KRW-GAS,2025-01-26T16:00:00,2025-01-27T01:00:00,7278,7279,7251,7274,1737908997576,70523461.36560497,9712.04763378,30
KRW-GAS,2025-01-26T15:30:00,2025-01-27T00:30:00,7307,7307,7279,7279,1737907139094,28229788.8873022,3876.09847225,30
KRW-GAS,2025-01-26T15:00:00,2025-01-27T00:00:00,7320,7320,7295,7300,1737905381426,26725501.51251196,3660.43049977,30
KRW-GAS,2025-01-26T14:30:00,2025-01-26T23:30:00,7274,7320,7274,7320,1737903598961,36672876.00625995,5025.17906682,30
KRW-GAS,2025-01-26T14:00:00,2025-01-26T23:00:00,7306,7312,7260,7273,1737901797377,127253438.93009482,17462.31259212,30
KRW-GAS,2025-01-26T13:30:00,2025-01-26T22:30:00,7290,7334,7263,7306,1737899913561,104529125.82493916,14347.3330632,30
KRW-GAS,2025-01-26T13:00:00,2025-01-26T22:00:00,7259,7420,7251,7294,1737898193242,942045091.6230992,127989.06303333,30
KRW-GAS,2025-01-26T12:30:00,2025-01-26T21:30:00,7263,7270,7250,7259,1737896379143,117701888.11034401,16227.96298188,30
KRW-GAS,2025-01-26T12:00:00,2025-01-26T21:00:00,7279,7290,7259,7263,1737894600002,119078443.49795406,16381.0275692,30
KRW-GAS,2025-01-26T11:30:00,2025-01-26T20:30:00,7291,7312,7274,7279,1737892755097,28139528.63773363,3860.77270225,30
KRW-GAS,2025-01-26T11:00:00,2025-01-26T20:00:00,7306,7321,7270,7292,1737890980575,95860846.76667617,13146.56678926,30
KRW-GAS,2025-01-26T10:30:00,2025-01-26T19:30:00,7282,7310,7264,7306,1737889183417,70304820.62930612,9652.64177766,30
KRW-GAS,2025-01-26T10:00:00,2025-01-26T19:00:00,7269,7298,7253,7267,1737887367862,40186328.03923159,5522.64027819,30
KRW-GAS,2025-01-26T09:30:00,2025-01-26T18:30:00,7284,7296,7247,7253,1737885575810,182596254.21496984,25101.70789022,30
KRW-GAS,2025-01-26T09:00:00,2025-01-26T18:00:00,7321,7331,7285,7285,1737883795547,114752942.1166539,15696.02458448,30
KRW-GAS,2025-01-26T08:30:00,2025-01-26T17:30:00,7331,7346,7321,7321,1737881998970,84507297.94251505,11531.83781013,30
KRW-GAS,2025-01-26T08:00:00,2025-01-26T17:00:00,7353,7367,7321,7331,1737880165738,136799885.46765846,18647.26946852,30
KRW-GAS,2025-01-26T07:30:00,2025-01-26T16:30:00,7344,7370,7333,7352,1737878395071,80040273.30472082,10895.81393581,30
KRW-GAS,2025-01-26T07:00:00,2025-01-26T16:00:00,7361,7376,7321,7344,1737876576045,291503053.4175515,39699.8294973,30
KRW-GAS,2025-01-26T06:30:00,2025-01-26T15:30:00,7331,7370,7327,7346,1737874792071,131577320.55814458,17911.13164017,30
KRW-GAS,2025-01-26T06:00:00,2025-01-26T15:00:00,7389,7389,7321,7331,1737872958122,172152663.66641992,23441.15550031,30
KRW-GAS,2025-01-26T05:30:00,2025-01-26T14:30:00,7315,7390,7311,7372,1737871198837,263086374.15231717,35769.03594232,30
KRW-GAS,2025-01-26T05:00:00,2025-01-26T14:00:00,7297,7313,7284,7313,1737869397835,43923743.64020443,6018.08044238,30
KRW-GAS,2025-01-26T04:30:00,2025-01-26T13:30:00,7309,7315,7265,7297,1737867591652,110504627.34658386,15165.39512237,30
KRW-GAS,2025-01-26T04:00:00,2025-01-26T13:00:00,7308,7320,7285,7309,1737865761836,107303828.05633028,14690.08744199,30
KRW-GAS,2025-01-26T03:30:00,2025-01-26T12:30:00,7301,7321,7288,7308,1737863988847,116693524.94687507,15967.59221153,30
KRW-GAS,2025-01-26T03:00:00,2025-01-26T12:00:00,7307,7315,7284,7306,1737862164678,143890781.91435868,19701.71381223,30
KRW-GAS,2025-01-26T02:30:00,2025-01-26T11:30:00,7244,7314,7227,7283,1737860392821,103621044.88418815,14245.46938744,30
KRW-GAS,2025-01-26T02:00:00,2025-01-26T11:00:00,7229,7253,7197,7244,1737858587017,63538982.31662816,8788.65989162,30
KRW-GAS,2025-01-26T01:30:00,2025-01-26T10:30:00,7240,7253,7220,7229,1737856796890,85509994.29010995,11815.32423608,30
KRW-GAS,2025-01-26T01:00:00,2025-01-26T10:00:00,7183,7240,7175,7240,1737854923753,93739547.6398455,13020.73043926,30
KRW-GAS,2025-01-26T00:30:00,2025-01-26T09:30:00,7251,7251,7190,7190,1737853160557,308648087.737497,42765.4698518,30
KRW-GAS,2025-01-26T00:00:00,2025-01-26T09:00:00,7167,7301,7135,7251,1737851387740,907278540.4196367,125225.13807286,30
KRW-GAS,2025-01-25T23:30:00,2025-01-26T08:30:00,7175,7184,7149,7160,1737849599083,76815808.00971037,10712.36214002,30
KRW-GAS,2025-01-25T23:00:00,2025-01-26T08:00:00,7172,7187,7150,7165,1737847638320,89740878.3958619,12510.15480164,30
KRW-GAS,2025-01-25T22:30:00,2025-01-26T07:30:00,7173,7186,7140,7172,1737845897708,33871299.28830249,4731.78546931,30
KRW-GAS,2025-01-25T22:00:00,2025-01-26T07:00:00,7176,7192,7160,7173,1737844199323,55096037.1763183,7667.76939779,30
KRW-GAS,2025-01-25T21:30:00,2025-01-26T06:30:00,7177,7180,7157,7176,1737842190825,20853803.76689556,2907.21970781,30
KRW-GAS,2025-01-25T21:00:00,2025-01-26T06:00:00,7150,7185,7149,7178,1737840431160,38751733.73187491,5415.35743298,30
KRW-GAS,2025-01-25T20:30:00,2025-01-26T05:30:00,7157,7166,7151,7164,1737838744569,18684375.60840935,2607.57438086,30
KRW-GAS,2025-01-25T20:00:00,2025-01-26T05:00:00,7144,7160,7138,7158,1737836974431,33472736.26868178,4681.19124495,30
KRW-GAS,2025-01-25T19:30:00,2025-01-26T04:30:00,7145,7145,7130,7144,1737835184009,15904369.7577137,2226.60779128,30
KRW-GAS,2025-01-25T19:00:00,2025-01-26T04:00:00,7133,7146,7130,7145,1737833342890,6396461.69857284,895.85612437,30
KRW-GAS,2025-01-25T18:30:00,2025-01-26T03:30:00,7109,7130,7109,7130,1737831598463,48673293.88332887,6835.05914789,30
KRW-GAS,2025-01-25T18:00:00,2025-01-26T03:00:00,7116,7117,7086,7097,1737829701447,15301183.86849592,2153.62442607,30
KRW-GAS,2025-01-25T17:30:00,2025-01-26T02:30:00,7094,7108,7090,7095,1737827412653,7982840.97598767,1124.66391163,30
KRW-GAS,2025-01-25T17:00:00,2025-01-26T02:00:00,7116,7118,7085,7090,1737825845687,23823096.69289265,3357.62872643,30
KRW-GAS,2025-01-25T16:30:00,2025-01-26T01:30:00,7093,7116,7092,7116,1737824390772,32819458.58663514,4619.65780685,30
KRW-GAS,2025-01-25T16:00:00,2025-01-26T01:00:00,7110,7111,7082,7093,1737822573171,81117081.69015022,11425.66723898,30
