market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-GLM,2025-01-27T13:30:00,2025-01-27T22:30:00,491.7,492.4,490.5,492.4,1737984811577,766617.66742232,1559.29693453,30
KRW-GLM,2025-01-27T13:00:00,2025-01-27T22:00:00,489.2,493.2,487.5,491.7,1737984557075,40902902.32934874,83309.60984504,30
KRW-GLM,2025-01-27T12:30:00,2025-01-27T21:30:00,479.3,492.5,479,488.8,1737982792030,44511505.31622889,91166.39551801,30
KRW-GLM,2025-01-27T12:00:00,2025-01-27T21:00:00,479.8,482.2,479,479,1737980948662,73929374.65887918,153810.64307309,30
KRW-GLM,2025-01-27T11:30:00,2025-01-27T20:30:00,483,484.3,479.6,479.6,1737979130470,27591886.16369977,57292.28897837,30
KRW-GLM,2025-01-27T11:00:00,2025-01-27T20:00:00,478.6,484.5,477.9,484,1737977184736,28998901.2937419,60210.40702781,30
KRW-GLM,2025-01-27T10:30:00,2025-01-27T19:30:00,482.6,482.6,477.3,478.5,1737975595854,24636881.56537883,51431.7135121,30
KRW-GLM,2025-01-27T10:00:00,2025-01-27T19:00:00,485,486,482.6,482.7,1737973788521,15018075.63918472,31050.36401732,30
KRW-GLM,2025-01-27T09:30:00,2025-01-27T18:30:00,480,486,480,485,1737971996518,36162948.58103171,74883.05918413,30
KRW-GLM,2025-01-27T09:00:00,2025-01-27T18:00:00,478.1,483.7,477.7,480,1737970185152,18303000.53429245,38069.65484567,30
KRW-GLM,2025-01-27T08:30:00,2025-01-27T17:30:00,482,482,474,478.1,1737968380480,127632865.45386195,267787.42763301,30
KRW-GLM,2025-01-27T08:00:00,2025-01-27T17:00:00,484.9,485.8,480,482.9,1737966570099,77769513.92808935,160977.03086301,30
KRW-GLM,2025-01-27T07:30:00,2025-01-27T16:30:00,478.8,486.7,476.9,485.1,1737964798444,145705167.99175185,301648.17071584,30
KRW-GLM,2025-01-27T07:00:00,2025-01-27T16:00:00,486.2,487.4,476.3,478.8,1737962994220,210017283.68930125,435423.24585414,30
KRW-GLM,2025-01-27T06:30:00,2025-01-27T15:30:00,488,488.8,485,486.2,1737961160480,94803430.48312324,195048.78445834,30
KRW-GLM,2025-01-27T06:00:00,2025-01-27T15:00:00,490.2,490.8,487.6,488,1737959298260,90643864.0113805,185469.28184231,30
KRW-GLM,2025-01-27T05:30:00,2025-01-27T14:30:00,492.8,492.8,490,491.6,1737957525981,51004628.08187502,103835.22541219,30
KRW-GLM,2025-01-27T05:00:00,2025-01-27T14:00:00,494,495.2,492.5,492.8,1737955759344,14267570.39740135,28921.83105667,30
KRW-GLM,2025-01-27T04:30:00,2025-01-27T13:30:00,493.8,495.8,493,493.1,1737953965443,19282567.03890808,39057.99158457,30
KRW-GLM,2025-01-27T04:00:00,2025-01-27T13:00:00,496.4,497,493.8,494.4,1737952194742,30825622.62029375,62310.84976445,30
KRW-GLM,2025-01-27T03:30:00,2025-01-27T12:30:00,498,498.3,496.3,497,1737950361134,8140423.30407452,16370.010209,30
KRW-GLM,2025-01-27T03:00:00,2025-01-27T12:00:00,494.7,500,494.7,498,1737948556077,32354241.21918633,65073.32984696,30
KRW-GLM,2025-01-27T02:30:00,2025-01-27T11:30:00,496.3,496.5,494.2,494.9,1737946793734,52993010.79021142,107036.0912197,30
KRW-GLM,2025-01-27T02:00:00,2025-01-27T11:00:00,498.1,498.6,494.2,496.4,1737944948160,88756971.31757478,178714.4554921,30
KRW-GLM,2025-01-27T01:30:00,2025-01-27T10:30:00,498,501.9,498,498.7,1737943076613,14034444.69244928,28055.59902411,30
KRW-GLM,2025-01-27T01:00:00,2025-01-27T10:00:00,499.8,503.9,497.7,499,1737941387650,65619692.97360744,131351.55197421,30
KRW-GLM,2025-01-27T00:30:00,2025-01-27T09:30:00,504.3,504.6,498.8,499.9,1737939579362,116564164.46865378,232310.37564096,30
KRW-GLM,2025-01-27T00:00:00,2025-01-27T09:00:00,505,510.3,502,504.7,1737937728532,97309591.88807642,192800.27649552,30
KRW-GLM,2025-01-26T23:30:00,2025-01-27T08:30:00,506.4,506.4,503.6,505.2,1737935966308,71374176.57156838,141401.89235945,30
KRW-GLM,2025-01-26T23:00:00,2025-01-27T08:00:00,512.9,512.9,504,506.4,1737934186423,107521493.75000314,211571.2813397,30
KRW-GLM,2025-01-26T22:30:00,2025-01-27T07:30:00,513,514.1,512.3,512.9,1737932326083,13833248.62593888,26944.11750455,30
KRW-GLM,2025-01-26T22:00:00,2025-01-27T07:00:00,512.5,513.3,510.5,512.8,1737930565593,44659150.63917543,87318.13372458,30
KRW-GLM,2025-01-26T21:30:00,2025-01-27T06:30:00,515.1,515.1,512.5,512.5,1737928799955,22105125.84165662,43050.81754434,30
KRW-GLM,2025-01-26T21:00:00,2025-01-27T06:00:00,515.4,515.8,514.3,515.8,1737926560858,11323662.06864957,22002.61555537,30
KRW-GLM,2025-01-26T20:30:00,2025-01-27T05:30:00,517.8,517.9,515,516,1737924946666,25864557.88311518,50160.80125063,30
KRW-GLM,2025-01-26T20:00:00,2025-01-27T05:00:00,517.9,518.7,517.1,517.8,1737923350005,8367636.66590735,16160.52999926,30
KRW-GLM,2025-01-26T19:30:00,2025-01-27T04:30:00,518.5,519.1,517.1,518.5,1737921164406,42888114.845516,82859.00148565,30
KRW-GLM,2025-01-26T19:00:00,2025-01-27T04:00:00,519,519.2,518.1,518.6,1737919791835,9154283.94240555,17654.02442619,30
KRW-GLM,2025-01-26T18:30:00,2025-01-27T03:30:00,520.3,520.3,519,519,1737917897918,21604220.46993366,41588.57391135,30
KRW-GLM,2025-01-26T18:00:00,2025-01-27T03:00:00,520,521.8,519.3,520.4,1737916159540,24109503.94431005,46289.33719976,30
KRW-GLM,2025-01-26T17:30:00,2025-01-27T02:30:00,518.1,520.3,518,520.2,1737914282230,8508842.38123535,16398.60654761,30
KRW-GLM,2025-01-26T17:00:00,2025-01-27T02:00:00,518.8,518.9,518.2,518.2,1737912527360,4462504.29874485,8609.90209253,30
KRW-GLM,2025-01-26T16:30:00,2025-01-27T01:30:00,517.6,519.1,517.1,518.5,1737910643914,35720926.05316844,68991.02479156,30
KRW-GLM,2025-01-26T16:00:00,2025-01-27T01:00:00,517.7,517.7,515.3,516.2,1737908911885,24389742.78033617,47262.01060248,30
KRW-GLM,2025-01-26T15:30:00,2025-01-27T00:30:00,519.1,520,517.7,517.7,1737907163075,36475987.46789723,70269.58764952,30
KRW-GLM,2025-01-26T15:00:00,2025-01-27T00:00:00,518.8,519.9,517.7,518.7,1737905379500,17511766.90137413,33791.1931979,30
KRW-GLM,2025-01-26T14:30:00,2025-01-26T23:30:00,516.8,519.7,516.8,519.5,1737903506348,8706432.47211994,16783.65668173,30
KRW-GLM,2025-01-26T14:00:00,2025-01-26T23:00:00,519.1,519.4,516.2,516.8,1737901679167,40182559.55298099,77696.20493754,30
KRW-GLM,2025-01-26T13:30:00,2025-01-26T22:30:00,518.2,520.2,517.4,519,1737899855656,49023354.82913407,94561.90450054,30
KRW-GLM,2025-01-26T13:00:00,2025-01-26T22:00:00,516.4,521,515.6,518.3,1737898197117,73810739.9798715,142620.322054,30
KRW-GLM,2025-01-26T12:30:00,2025-01-26T21:30:00,518,518.3,515.9,516.5,1737896385593,61363771.76620885,118669.83120166,30
KRW-GLM,2025-01-26T12:00:00,2025-01-26T21:00:00,518.1,518.2,516.8,518,1737894459453,16053759.49410804,31015.7718152,30
KRW-GLM,2025-01-26T11:30:00,2025-01-26T20:30:00,516.6,518.1,516.4,518.1,1737892531115,31523530.87522363,60945.40007485,30
KRW-GLM,2025-01-26T11:00:00,2025-01-26T20:00:00,517.2,518.2,515.4,516.7,1737890945824,41543960.61846321,80439.09544793,30
KRW-GLM,2025-01-26T10:30:00,2025-01-26T19:30:00,515.8,516.7,513.6,516.7,1737889174624,9607660.62430395,18652.52192706,30
KRW-GLM,2025-01-26T10:00:00,2025-01-26T19:00:00,514.2,516.9,514,515.4,1737887328959,31272579.09188097,60706.63481879,30
KRW-GLM,2025-01-26T09:30:00,2025-01-26T18:30:00,516,516.1,513.6,513.8,1737885581513,70985832.5177473,137932.32124199,30
KRW-GLM,2025-01-26T09:00:00,2025-01-26T18:00:00,518.5,518.9,514.7,515.2,1737883775877,73544648.51951174,142330.59591616,30
KRW-GLM,2025-01-26T08:30:00,2025-01-26T17:30:00,518.6,519.3,516.5,518.5,1737881800529,93187699.282643,180057.1971713,30
KRW-GLM,2025-01-26T08:00:00,2025-01-26T17:00:00,521.7,522,518.6,518.6,1737880171678,24114960.21154296,46403.96757183,30
KRW-GLM,2025-01-26T07:30:00,2025-01-26T16:30:00,520.6,521.8,518.5,520.7,1737878387060,60826174.63862317,116949.57609751,30
KRW-GLM,2025-01-26T07:00:00,2025-01-26T16:00:00,519.7,521,519,520.9,1737876531284,53686505.80673216,103140.22638955,30
KRW-GLM,2025-01-26T06:30:00,2025-01-26T15:30:00,518.2,519.8,516.8,518.9,1737874764213,46185154.47318342,89164.79780681,30
KRW-GLM,2025-01-26T06:00:00,2025-01-26T15:00:00,520.9,520.9,518.8,518.8,1737872838736,40490900.97712485,77864.54127879,30
KRW-GLM,2025-01-26T05:30:00,2025-01-26T14:30:00,518.1,520.9,517.4,520.9,1737871175367,89388461.95765343,172104.12149601,30
KRW-GLM,2025-01-26T05:00:00,2025-01-26T14:00:00,518.5,518.5,517.2,517.9,1737869132137,13798276.67463855,26640.89102888,30
KRW-GLM,2025-01-26T04:30:00,2025-01-26T13:30:00,518,519,516,518.5,1737867590347,64016182.56413439,123709.92926628,30
KRW-GLM,2025-01-26T04:00:00,2025-01-26T13:00:00,516.6,519.4,515.9,518.3,1737865745677,27899209.14179519,53887.34053708,30
KRW-GLM,2025-01-26T03:30:00,2025-01-26T12:30:00,515.5,517.5,514.4,516.7,1737863874108,31520623.56862588,61069.08152258,30
KRW-GLM,2025-01-26T03:00:00,2025-01-26T12:00:00,515.8,516.6,513.9,515.2,1737862191878,32249462.1184653,62567.09985996,30
KRW-GLM,2025-01-26T02:30:00,2025-01-26T11:30:00,515,515.8,513.4,515.8,1737860390773,69960644.65044786,135876.16220211,30
KRW-GLM,2025-01-26T02:00:00,2025-01-26T11:00:00,514.4,515.1,512.2,515,1737858591151,34315419.22131319,66838.54792978,30
KRW-GLM,2025-01-26T01:30:00,2025-01-26T10:30:00,514.1,517,513,514.9,1737856794152,77316189.46066108,150250.52545794,30
KRW-GLM,2025-01-26T01:00:00,2025-01-26T10:00:00,512,516,510.7,514,1737854977346,102269261.69614182,199041.10883835,30
KRW-GLM,2025-01-26T00:30:00,2025-01-26T09:30:00,513.8,514,510.7,512.2,1737853123468,40525030.38792362,79125.97220725,30
KRW-GLM,2025-01-26T00:00:00,2025-01-26T09:00:00,509.6,515.3,505.5,514,1737851380674,176912166.63617617,346601.83642594,30
KRW-GLM,2025-01-25T23:30:00,2025-01-26T08:30:00,510.5,511.5,509.6,510.5,1737849547297,87367231.72611304,171164.39981833,30
KRW-GLM,2025-01-25T23:00:00,2025-01-26T08:00:00,509.8,511.2,509.3,511.2,1737847783931,14170946.38649877,27790.22221701,30
KRW-GLM,2025-01-25T22:30:00,2025-01-26T07:30:00,510.3,510.8,509.2,510.5,1737845982708,28020316.54167983,54958.2692946,30
KRW-GLM,2025-01-25T22:00:00,2025-01-26T07:00:00,510.6,511,510.2,510.3,1737844168743,4276603.17734621,8376.97875755,30
KRW-GLM,2025-01-25T21:30:00,2025-01-26T06:30:00,510.7,511.3,508.8,509.8,1737842311972,25472032.01419773,49934.8437632,30
KRW-GLM,2025-01-25T21:00:00,2025-01-26T06:00:00,510.2,511.2,509.7,509.8,1737840324520,6471301.4025111,12685.9235312,30
