market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-GMT,2025-01-27T13:30:00,2025-01-27T22:30:00,145.1,146,144.8,146,1737984821913,23892776.60387566,164458.75499018,30
KRW-GMT,2025-01-27T13:00:00,2025-01-27T22:00:00,143.9,145.6,143.1,145,1737984572516,215260345.57111335,1490635.71370225,30
KRW-GMT,2025-01-27T12:30:00,2025-01-27T21:30:00,140.9,145.8,140.5,143.8,1737982792008,321043235.31485695,2242396.28084443,30
KRW-GMT,2025-01-27T12:00:00,2025-01-27T21:00:00,140.5,141.4,140.4,140.9,1737980981200,101385523.60149187,719823.85942923,30
KRW-GMT,2025-01-27T11:30:00,2025-01-27T20:30:00,141.4,142,140.4,140.4,1737979197553,140659129.80587327,997992.24853987,30
KRW-GMT,2025-01-27T11:00:00,2025-01-27T20:00:00,140.2,142.4,140.2,141.4,1737977399011,114080954.92461796,808097.47869381,30
KRW-GMT,2025-01-27T10:30:00,2025-01-27T19:30:00,141.4,141.6,140,140.5,1737975586743,499861159.0507143,3559405.55742974,30
KRW-GMT,2025-01-27T10:00:00,2025-01-27T19:00:00,142.4,142.4,141.4,141.5,1737973783265,94827307.97699618,668717.72297002,30
KRW-GMT,2025-01-27T09:30:00,2025-01-27T18:30:00,141,142.3,140.6,142.1,1737971957667,68812874.7452537,486437.60421452,30
KRW-GMT,2025-01-27T09:00:00,2025-01-27T18:00:00,141.2,142.2,140.4,141,1737970187499,182265837.22250345,1289421.76009313,30
KRW-GMT,2025-01-27T08:30:00,2025-01-27T17:30:00,141.8,142.4,140.1,140.9,1737968392490,411490410.82697684,2927720.2763021,30
KRW-GMT,2025-01-27T08:00:00,2025-01-27T17:00:00,142.9,142.9,140.7,141.9,1737966600032,268535348.31767917,1899422.4960263,30
KRW-GMT,2025-01-27T07:30:00,2025-01-27T16:30:00,140.3,143.7,140.3,143.2,1737964791864,448786513.68562895,3157363.39643349,30
KRW-GMT,2025-01-27T07:00:00,2025-01-27T16:00:00,143.7,144.9,140.3,140.3,1737962999907,532949928.13691485,3741418.16093526,30
KRW-GMT,2025-01-27T06:30:00,2025-01-27T15:30:00,145.2,145.2,142.9,143.8,1737961181473,550022130.7608309,3821202.0417432,30
KRW-GMT,2025-01-27T06:00:00,2025-01-27T15:00:00,146.2,147.1,145,145.3,1737959393756,225203173.67015895,1548036.56588377,30
KRW-GMT,2025-01-27T05:30:00,2025-01-27T14:30:00,147,147.1,145.3,146.2,1737957595028,259859144.80797237,1779275.22312389,30
KRW-GMT,2025-01-27T05:00:00,2025-01-27T14:00:00,146.8,147.6,146.5,147,1737955795507,143895191.88849676,979321.17570833,30
KRW-GMT,2025-01-27T04:30:00,2025-01-27T13:30:00,147.1,147.6,146.5,146.8,1737953975103,110767498.23671524,752781.85157984,30
KRW-GMT,2025-01-27T04:00:00,2025-01-27T13:00:00,146.7,147.4,146.3,147.1,1737952185449,125671038.44048694,856525.65899957,30
KRW-GMT,2025-01-27T03:30:00,2025-01-27T12:30:00,147.5,149,146.5,146.8,1737950391444,166131416.07172763,1128467.05801412,30
KRW-GMT,2025-01-27T03:00:00,2025-01-27T12:00:00,145.5,147.9,145.3,147.4,1737948565213,197876462.34296823,1346013.00577783,30
KRW-GMT,2025-01-27T02:30:00,2025-01-27T11:30:00,146,146.6,145.1,145.3,1737946792920,367477061.16487706,2525581.71882103,30
KRW-GMT,2025-01-27T02:00:00,2025-01-27T11:00:00,147.3,147.4,145.6,145.7,1737944993227,718265245.93581,4908269.3568758,30
KRW-GMT,2025-01-27T01:30:00,2025-01-27T10:30:00,148.3,148.9,147.2,147.2,1737943199877,389345180.87587774,2631910.10915754,30
KRW-GMT,2025-01-27T01:00:00,2025-01-27T10:00:00,149.2,149.7,147.2,147.8,1737941398714,975237547.2360111,6574701.54419401,30
KRW-GMT,2025-01-27T00:30:00,2025-01-27T09:30:00,150.8,151.3,149.1,149.1,1737939582542,821353947.4043198,5469974.65530263,30
KRW-GMT,2025-01-27T00:00:00,2025-01-27T09:00:00,153,153.6,150.5,150.7,1737937778782,867504003.7295586,5715721.84337811,30
KRW-GMT,2025-01-26T23:30:00,2025-01-27T08:30:00,153.8,153.9,152.6,153,1737935980316,394912488.2643357,2579856.42232217,30
KRW-GMT,2025-01-26T23:00:00,2025-01-27T08:00:00,156.3,156.5,153.2,153.9,1737934196501,395456386.5273932,2559510.4035321,30
KRW-GMT,2025-01-26T22:30:00,2025-01-27T07:30:00,157.3,159,156.1,156.3,1737932397008,76945105.39929578,490400.38829806,30
KRW-GMT,2025-01-26T22:00:00,2025-01-27T07:00:00,157.3,157.4,156.2,156.9,1737930593462,178240189.81835902,1137887.36081989,30
KRW-GMT,2025-01-26T21:30:00,2025-01-27T06:30:00,157.4,157.4,156.7,157.2,1737928781286,61942831.00272225,394311.97911856,30
KRW-GMT,2025-01-26T21:00:00,2025-01-27T06:00:00,158.5,158.5,157.3,157.4,1737926989256,140984563.935735,892297.81300353,30
KRW-GMT,2025-01-26T20:30:00,2025-01-27T05:30:00,159.6,159.6,158.5,158.5,1737925140684,25720803.94146003,161960.80561164,30
KRW-GMT,2025-01-26T20:00:00,2025-01-27T05:00:00,159.2,159.9,159.1,159.6,1737923260488,31341372.93773891,196451.72199468,30
KRW-GMT,2025-01-26T19:30:00,2025-01-27T04:30:00,158.5,159.3,158.3,159.3,1737921590802,59475814.34822984,374289.3432428,30
KRW-GMT,2025-01-26T19:00:00,2025-01-27T04:00:00,159.2,159.4,158.3,158.5,1737919607504,35846951.85720519,225892.9926401,30
KRW-GMT,2025-01-26T18:30:00,2025-01-27T03:30:00,158.6,159.3,158.6,159,1737917983752,30058430.61597614,188967.80757195,30
KRW-GMT,2025-01-26T18:00:00,2025-01-27T03:00:00,158.6,158.8,158.1,158.6,1737916069522,44252141.24856605,279204.22412011,30
KRW-GMT,2025-01-26T17:30:00,2025-01-27T02:30:00,158.9,159.4,158.3,158.3,1737914388763,124810208.64153221,786547.39504362,30
KRW-GMT,2025-01-26T17:00:00,2025-01-27T02:00:00,159.2,159.7,159,159,1737912505005,53370137.25672538,335154.9709874,30
KRW-GMT,2025-01-26T16:30:00,2025-01-27T01:30:00,159.3,159.9,158.7,159.2,1737910678896,66559287.1310801,417948.84673491,30
KRW-GMT,2025-01-26T16:00:00,2025-01-27T01:00:00,159.6,160,158.2,159,1737908983245,226228274.1484605,1423993.15930978,30
KRW-GMT,2025-01-26T15:30:00,2025-01-27T00:30:00,159,159.7,158.2,159.3,1737907198696,225861214.17820734,1423288.61131623,30
KRW-GMT,2025-01-26T15:00:00,2025-01-27T00:00:00,160.3,160.7,158.6,158.9,1737905390565,427132985.35775596,2673341.65213954,30
KRW-GMT,2025-01-26T14:30:00,2025-01-26T23:30:00,159.1,162.1,158.7,160.3,1737903569846,1932522572.6512413,12046574.54870515,30
KRW-GMT,2025-01-26T14:00:00,2025-01-26T23:00:00,158.7,159.7,158.3,159.1,1737901792907,400163479.2851576,2515541.35295898,30
KRW-GMT,2025-01-26T13:30:00,2025-01-26T22:30:00,157.7,159,157.3,158.7,1737899986708,336081445.8378466,2127484.1138259,30
KRW-GMT,2025-01-26T13:00:00,2025-01-26T22:00:00,156.6,158.1,156.6,157.4,1737898159039,229501512.13223094,1459912.52329465,30
KRW-GMT,2025-01-26T12:30:00,2025-01-26T21:30:00,158,158,156.4,157,1737896397391,258676598.62749386,1648623.21598321,30
KRW-GMT,2025-01-26T12:00:00,2025-01-26T21:00:00,158.3,158.3,157.2,157.6,1737894587822,162330581.28226644,1029809.23141335,30
KRW-GMT,2025-01-26T11:30:00,2025-01-26T20:30:00,157.7,158.3,157.2,158.3,1737892783530,265241406.37557894,1679923.98804187,30
KRW-GMT,2025-01-26T11:00:00,2025-01-26T20:00:00,156.6,158.3,156.6,157.6,1737890999384,303946102.77129376,1931197.46300748,30
KRW-GMT,2025-01-26T10:30:00,2025-01-26T19:30:00,156,156.6,155.3,156.6,1737889180166,123180295.20911552,790861.76064154,30
KRW-GMT,2025-01-26T10:00:00,2025-01-26T19:00:00,155.4,156.4,155.1,156,1737887361684,90422847.55386385,580300.08536536,30
KRW-GMT,2025-01-26T09:30:00,2025-01-26T18:30:00,156.6,156.7,155.2,155.4,1737885583422,212239940.31065768,1362908.80941074,30
KRW-GMT,2025-01-26T09:00:00,2025-01-26T18:00:00,156.2,156.7,155.9,156.6,1737883795543,190194857.57692206,1217013.71072473,30
KRW-GMT,2025-01-26T08:30:00,2025-01-26T17:30:00,156.2,156.5,155.6,156.3,1737881968621,102399298.61048105,656221.5288164,30
KRW-GMT,2025-01-26T08:00:00,2025-01-26T17:00:00,156.3,156.9,156,156.2,1737880190626,174497523.79252073,1114647.07108628,30
KRW-GMT,2025-01-26T07:30:00,2025-01-26T16:30:00,155.8,156.4,155.4,156,1737878368438,99034547.00689647,635333.980215,30
KRW-GMT,2025-01-26T07:00:00,2025-01-26T16:00:00,156.4,156.7,155.9,155.9,1737876597315,186992440.33011842,1195986.74812036,30
