market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-GRS,2025-01-27T13:30:00,2025-01-27T22:30:00,713,714,711,712,1737984810229,17354094.57935562,24397.73986984,30
KRW-GRS,2025-01-27T13:00:00,2025-01-27T22:00:00,713,715,708,715,1737984516482,105224237.33563381,147710.44327472,30
KRW-GRS,2025-01-27T12:30:00,2025-01-27T21:30:00,704,716,703,713,1737982788176,144910103.22682607,204159.41498367,30
KRW-GRS,2025-01-27T12:00:00,2025-01-27T21:00:00,702,707,702,704,1737980960175,53333038.83383003,75583.36655199,30
KRW-GRS,2025-01-27T11:30:00,2025-01-27T20:30:00,702,707,701,704,1737979200014,49415727.96422047,70090.49058129,30
KRW-GRS,2025-01-27T11:00:00,2025-01-27T20:00:00,691,702,691,702,1737977399029,77100712.56193222,110480.07127771,30
KRW-GRS,2025-01-27T10:30:00,2025-01-27T19:30:00,696,698,689,692,1737975586035,53252962.46381407,76888.30527049,30
KRW-GRS,2025-01-27T10:00:00,2025-01-27T19:00:00,701,702,695,695,1737973796638,101390613.3851677,145499.17426279,30
KRW-GRS,2025-01-27T09:30:00,2025-01-27T18:30:00,694,704,693,704,1737971796621,47112006.62496474,67335.1973122,30
KRW-GRS,2025-01-27T09:00:00,2025-01-27T18:00:00,689,700,685,696,1737969967040,90070172.59124883,129707.72503131,30
KRW-GRS,2025-01-27T08:30:00,2025-01-27T17:30:00,693,696,685,689,1737968393409,132617379.96430881,192761.98002802,30
KRW-GRS,2025-01-27T08:00:00,2025-01-27T17:00:00,699,700,690,693,1737966534331,267702062.62466303,385622.52595827,30
KRW-GRS,2025-01-27T07:30:00,2025-01-27T16:30:00,681,704,681,699,1737964799452,469282681.49237823,675954.5800533,30
KRW-GRS,2025-01-27T07:00:00,2025-01-27T16:00:00,697,701,681,681,1737962999325,525610117.6237824,760570.82214731,30
KRW-GRS,2025-01-27T06:30:00,2025-01-27T15:30:00,709,713,692,697,1737961184425,570743453.008845,815506.80403687,30
KRW-GRS,2025-01-27T06:00:00,2025-01-27T15:00:00,714,717,707,713,1737959385277,157858621.74388298,221884.59083125,30
KRW-GRS,2025-01-27T05:30:00,2025-01-27T14:30:00,718,720,711,714,1737957582175,131923943.59705845,184659.24885545,30
KRW-GRS,2025-01-27T05:00:00,2025-01-27T14:00:00,716,724,714,718,1737955764622,97298360.00833426,135584.49064429,30
KRW-GRS,2025-01-27T04:30:00,2025-01-27T13:30:00,723,725,712,716,1737953968841,240234568.68733233,335422.15709536,30
KRW-GRS,2025-01-27T04:00:00,2025-01-27T13:00:00,722,726,719,723,1737952193814,88702677.61322361,123086.02484471,30
KRW-GRS,2025-01-27T03:30:00,2025-01-27T12:30:00,730,730,719,722,1737950393204,130058925.80119772,179886.57305922,30
KRW-GRS,2025-01-27T03:00:00,2025-01-27T12:00:00,720,731,720,730,1737948547484,159265007.25345615,219628.77826562,30
KRW-GRS,2025-01-27T02:30:00,2025-01-27T11:30:00,722,724,716,720,1737946794018,277931554.4138068,386605.66302123,30
KRW-GRS,2025-01-27T02:00:00,2025-01-27T11:00:00,724,726,719,723,1737944952702,421042579.99764454,583253.29269838,30
KRW-GRS,2025-01-27T01:30:00,2025-01-27T10:30:00,730,730,722,725,1737943194183,188355479.42254204,259592.43598649,30
KRW-GRS,2025-01-27T01:00:00,2025-01-27T10:00:00,731,738,721,731,1737941355193,565209207.4311785,776130.26944775,30
KRW-GRS,2025-01-27T00:30:00,2025-01-27T09:30:00,751,755,725,732,1737939591764,658464596.5179085,894807.17095805,30
KRW-GRS,2025-01-27T00:00:00,2025-01-27T09:00:00,769,782,729,750,1737937795555,2205186667.321049,2941852.1059274,30
KRW-GRS,2025-01-26T23:30:00,2025-01-27T08:30:00,765,770,745,768,1737935999309,1012652632.3316581,1331486.61263461,30
KRW-GRS,2025-01-26T23:00:00,2025-01-27T08:00:00,787,787,755,763,1737934174608,1089327324.270365,1416963.68559229,30
KRW-GRS,2025-01-26T22:30:00,2025-01-27T07:30:00,776,789,772,787,1737932399498,865236246.1955702,1105292.89787638,30
KRW-GRS,2025-01-26T22:00:00,2025-01-27T07:00:00,778,782,769,777,1737930599387,465241459.0560421,598441.03184509,30
KRW-GRS,2025-01-26T21:30:00,2025-01-27T06:30:00,769,778,769,778,1737928782610,204780788.14171633,264272.51509477,30
KRW-GRS,2025-01-26T21:00:00,2025-01-27T06:00:00,774,776,767,770,1737926981939,92161118.32659005,119285.71215161,30
KRW-GRS,2025-01-26T20:30:00,2025-01-27T05:30:00,767,775,764,773,1737925190740,102941072.94687796,133604.72949973,30
KRW-GRS,2025-01-26T20:00:00,2025-01-27T05:00:00,769,775,763,770,1737923314231,220005811.2036224,285333.64277016,30
KRW-GRS,2025-01-26T19:30:00,2025-01-27T04:30:00,766,772,766,768,1737921549376,70314810.75832613,91446.83068881,30
KRW-GRS,2025-01-26T19:00:00,2025-01-27T04:00:00,764,765,761,765,1737919776876,20837740.72368416,27274.05543088,30
KRW-GRS,2025-01-26T18:30:00,2025-01-27T03:30:00,764,765,761,764,1737917966916,25707672.89985917,33675.22946467,30
KRW-GRS,2025-01-26T18:00:00,2025-01-27T03:00:00,763,766,761,765,1737916179217,44767588.39283314,58624.44613121,30
KRW-GRS,2025-01-26T17:30:00,2025-01-27T02:30:00,757,766,756,765,1737914315917,95192931.81153052,124826.76660762,30
KRW-GRS,2025-01-26T17:00:00,2025-01-27T02:00:00,764,765,754,757,1737912580992,88385158.84147803,116730.63789671,30
KRW-GRS,2025-01-26T16:30:00,2025-01-27T01:30:00,765,772,751,764,1737910795909,629598392.7092764,821853.36484892,30
KRW-GRS,2025-01-26T16:00:00,2025-01-27T01:00:00,750,765,747,765,1737908997365,178615406.3855331,235357.66045154,30
KRW-GRS,2025-01-26T15:30:00,2025-01-27T00:30:00,749,754,746,750,1737907174110,78550568.91055824,104918.03383943,30
KRW-GRS,2025-01-26T15:00:00,2025-01-27T00:00:00,754,758,746,748,1737905389442,162820366.64054307,216782.32927573,30
KRW-GRS,2025-01-26T14:30:00,2025-01-26T23:30:00,746,758,741,754,1737903589278,259463577.31487146,346650.54762351,30
KRW-GRS,2025-01-26T14:00:00,2025-01-26T23:00:00,752,754,741,746,1737901794494,223320151.94864234,298662.10164327,30
KRW-GRS,2025-01-26T13:30:00,2025-01-26T22:30:00,748,754,746,752,1737899983594,282463078.45812386,376207.66762563,30
KRW-GRS,2025-01-26T13:00:00,2025-01-26T22:00:00,737,754,734,746,1737898190697,618873179.6777891,831128.81310161,30
KRW-GRS,2025-01-26T12:30:00,2025-01-26T21:30:00,747,751,733,740,1737896399426,695739330.3133619,941668.37311084,30
KRW-GRS,2025-01-26T12:00:00,2025-01-26T21:00:00,765,766,745,747,1737894599296,502937519.0438454,664956.67863154,30
KRW-GRS,2025-01-26T11:30:00,2025-01-26T20:30:00,760,770,756,765,1737892790550,419853376.46381944,550750.36771517,30
KRW-GRS,2025-01-26T11:00:00,2025-01-26T20:00:00,768,773,755,760,1737890992962,1072842561.8994212,1401277.35739078,30
KRW-GRS,2025-01-26T10:30:00,2025-01-26T19:30:00,757,768,755,768,1737889199992,259162721.85888192,340108.28337841,30
KRW-GRS,2025-01-26T10:00:00,2025-01-26T19:00:00,754,761,752,757,1737887357604,152076405.95845628,201065.34547427,30
KRW-GRS,2025-01-26T09:30:00,2025-01-26T18:30:00,760,764,751,754,1737885597794,277655115.17509025,367129.81076801,30
KRW-GRS,2025-01-26T09:00:00,2025-01-26T18:00:00,758,766,756,764,1737883788125,191581695.2407934,251988.95251717,30
KRW-GRS,2025-01-26T08:30:00,2025-01-26T17:30:00,753,767,753,757,1737881929533,296685849.2388742,389459.383066,30
KRW-GRS,2025-01-26T08:00:00,2025-01-26T17:00:00,763,763,752,753,1737880168413,258916020.53624326,342243.71247222,30
KRW-GRS,2025-01-26T07:30:00,2025-01-26T16:30:00,761,768,752,763,1737878391754,755680367.8563988,993511.77135998,30
KRW-GRS,2025-01-26T07:00:00,2025-01-26T16:00:00,745,769,739,761,1737876599099,944236123.1211591,1243453.23795365,30
KRW-GRS,2025-01-26T06:30:00,2025-01-26T15:30:00,748,756,737,748,1737874785351,377877293.4563764,505192.31859832,30
KRW-GRS,2025-01-26T06:00:00,2025-01-26T15:00:00,760,762,743,748,1737872996630,684126925.9843068,909414.47285411,30
KRW-GRS,2025-01-26T05:30:00,2025-01-26T14:30:00,746,763,744,761,1737871194279,954981327.0414636,1265510.01779266,30
KRW-GRS,2025-01-26T05:00:00,2025-01-26T14:00:00,743,747,739,744,1737869380265,257746294.3871515,346900.12670367,30
KRW-GRS,2025-01-26T04:30:00,2025-01-26T13:30:00,737,745,734,742,1737867542550,180509391.82827556,243638.7716435,30
KRW-GRS,2025-01-26T04:00:00,2025-01-26T13:00:00,736,740,733,737,1737865790136,85723500.24393854,116584.11881697,30
KRW-GRS,2025-01-26T03:30:00,2025-01-26T12:30:00,745,748,732,737,1737863982906,481604955.98768127,649546.77457048,30
KRW-GRS,2025-01-26T03:00:00,2025-01-26T12:00:00,729,748,727,745,1737862199728,654637091.3542429,885018.25403912,30
KRW-GRS,2025-01-26T02:30:00,2025-01-26T11:30:00,723,730,721,727,1737860398277,174716171.44672725,240783.72177649,30
KRW-GRS,2025-01-26T02:00:00,2025-01-26T11:00:00,724,725,719,723,1737858591073,160363657.17575336,222237.9829446,30
KRW-GRS,2025-01-26T01:30:00,2025-01-26T10:30:00,716,733,715,725,1737856788345,210153097.00491935,290494.91189119,30
KRW-GRS,2025-01-26T01:00:00,2025-01-26T10:00:00,711,717,710,716,1737854910321,148659579.95436117,208384.64861111,30
KRW-GRS,2025-01-26T00:30:00,2025-01-26T09:30:00,734,735,704,711,1737853199111,930637807.015113,1296778.83022373,30
KRW-GRS,2025-01-26T00:00:00,2025-01-26T09:00:00,712,743,705,734,1737851396696,1688812702.4009829,2313540.14689728,30
KRW-GRS,2025-01-25T23:30:00,2025-01-26T08:30:00,714,717,710,714,1737849594426,180364672.94691575,252949.76129162,30
KRW-GRS,2025-01-25T23:00:00,2025-01-26T08:00:00,712,714,711,712,1737847752202,53483758.83286219,75024.47825547,30
KRW-GRS,2025-01-25T22:30:00,2025-01-26T07:30:00,709,712,709,712,1737845987199,22093598.93613943,31043.70381045,30
KRW-GRS,2025-01-25T22:00:00,2025-01-26T07:00:00,712,712,707,707,1737844150586,33270676.3187641,46944.47412746,30
KRW-GRS,2025-01-25T21:30:00,2025-01-26T06:30:00,710,712,709,710,1737842377805,34341381.46024845,48302.20935485,30
KRW-GRS,2025-01-25T21:00:00,2025-01-26T06:00:00,708,709,708,709,1737840545322,22093222.40257425,31182.32248368,30
