market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-GRT,2025-01-27T13:30:00,2025-01-27T22:30:00,265,265,264,264,1737984779452,16356608.99849774,61727.3174458,30
KRW-GRT,2025-01-27T13:00:00,2025-01-27T22:00:00,264,267,262,265,1737984572197,435942884.923564,1644268.61215124,30
KRW-GRT,2025-01-27T12:30:00,2025-01-27T21:30:00,257,267,257,264,1737982783573,300044727.19578266,1146802.63830713,30
KRW-GRT,2025-01-27T12:00:00,2025-01-27T21:00:00,258,259,256,257,1737980998388,110905533.21550648,430689.09057882,30
KRW-GRT,2025-01-27T11:30:00,2025-01-27T20:30:00,259,260,257,257,1737979156482,81454290.16268982,315948.03918859,30
KRW-GRT,2025-01-27T11:00:00,2025-01-27T20:00:00,256,259,255,259,1737977394041,212451171.38140032,825674.00197651,30
KRW-GRT,2025-01-27T10:30:00,2025-01-27T19:30:00,261,261,255,256,1737975573460,421096914.81892157,1641725.28490584,30
KRW-GRT,2025-01-27T10:00:00,2025-01-27T19:00:00,261,262,259,261,1737973786400,120665177.99244383,463412.93978628,30
KRW-GRT,2025-01-27T09:30:00,2025-01-27T18:30:00,259,262,259,262,1737971987742,64108130.57411849,246473.34629802,30
KRW-GRT,2025-01-27T09:00:00,2025-01-27T18:00:00,258,262,257,260,1737970173221,161273581.29684854,618870.31346959,30
KRW-GRT,2025-01-27T08:30:00,2025-01-27T17:30:00,260,260,256,258,1737968396854,365992068.9065786,1420818.27726934,30
KRW-GRT,2025-01-27T08:00:00,2025-01-27T17:00:00,260,261,257,260,1737966594403,164918109.0755412,636797.94199473,30
KRW-GRT,2025-01-27T07:30:00,2025-01-27T16:30:00,255,262,255,260,1737964799469,477627547.7577394,1843100.26238019,30
KRW-GRT,2025-01-27T07:00:00,2025-01-27T16:00:00,261,261,256,256,1737962998140,524428750.64882785,2035101.38858664,30
KRW-GRT,2025-01-27T06:30:00,2025-01-27T15:30:00,261,262,258,260,1737961198843,573560044.2736377,2205136.94884425,30
KRW-GRT,2025-01-27T06:00:00,2025-01-27T15:00:00,263,264,261,262,1737959397229,226640352.83341467,864362.3428276,30
KRW-GRT,2025-01-27T05:30:00,2025-01-27T14:30:00,264,265,261,263,1737957575352,342834719.10445225,1307424.96043414,30
KRW-GRT,2025-01-27T05:00:00,2025-01-27T14:00:00,265,265,263,263,1737955796722,154146712.02321973,583485.71524092,30
KRW-GRT,2025-01-27T04:30:00,2025-01-27T13:30:00,266,266,263,265,1737953990354,216180404.0695612,816936.80262257,30
KRW-GRT,2025-01-27T04:00:00,2025-01-27T13:00:00,268,268,264,266,1737952194087,309330971.2691243,1164369.29985954,30
KRW-GRT,2025-01-27T03:30:00,2025-01-27T12:30:00,269,270,267,268,1737950392277,173691765.02233934,647831.07790772,30
KRW-GRT,2025-01-27T03:00:00,2025-01-27T12:00:00,266,270,265,270,1737948583557,178143510.39301607,663883.07151859,30
KRW-GRT,2025-01-27T02:30:00,2025-01-27T11:30:00,267,268,265,266,1737946786924,365768051.4891729,1373723.1004514,30
KRW-GRT,2025-01-27T02:00:00,2025-01-27T11:00:00,268,270,266,267,1737944999956,490791599.6056133,1836168.28526847,30
KRW-GRT,2025-01-27T01:30:00,2025-01-27T10:30:00,269,271,268,269,1737943196590,220735488.09797814,819473.13816675,30
KRW-GRT,2025-01-27T01:00:00,2025-01-27T10:00:00,272,273,269,269,1737941399967,1030775620.8148086,3814019.66867209,30
KRW-GRT,2025-01-27T00:30:00,2025-01-27T09:30:00,274,275,271,272,1737939598222,856869593.9492544,3143005.59686186,30
