market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-HBAR,2025-01-27T13:30:00,2025-01-27T22:30:00,470,472.2,469.9,472.2,1737984818594,244069774.27824464,518298.79097301,30
KRW-HBAR,2025-01-27T13:00:00,2025-01-27T22:00:00,469.3,476.6,466.9,470.2,1737984598581,4066267490.202413,8605327.8737861,30
KRW-HBAR,2025-01-27T12:30:00,2025-01-27T21:30:00,456.3,474.8,455.4,469.5,1737982798672,4222957653.836737,9049734.62426509,30
KRW-HBAR,2025-01-27T12:00:00,2025-01-27T21:00:00,455.1,458.2,453.5,456.3,1737980993982,1136179904.0847628,2490241.04987731,30
KRW-HBAR,2025-01-27T11:30:00,2025-01-27T20:30:00,458.2,459.7,455.1,455.1,1737979198373,807632468.2478867,1766065.8210194,30
KRW-HBAR,2025-01-27T11:00:00,2025-01-27T20:00:00,453.5,459.4,453.4,458.4,1737977399632,1466528082.3205752,3213157.64176032,30
KRW-HBAR,2025-01-27T10:30:00,2025-01-27T19:30:00,459.4,459.9,451.4,453.7,1737975598099,1905759604.4365134,4191305.06598727,30
KRW-HBAR,2025-01-27T10:00:00,2025-01-27T19:00:00,461.6,461.7,457.3,459.5,1737973799629,989797603.0625198,2153626.60218398,30
KRW-HBAR,2025-01-27T09:30:00,2025-01-27T18:30:00,455.7,461.7,455.1,461.6,1737971994215,1290736818.4633796,2816366.92051506,30
KRW-HBAR,2025-01-27T09:00:00,2025-01-27T18:00:00,457.1,465,454.5,455.7,1737970197157,2421465516.3981075,5254342.79539047,30
KRW-HBAR,2025-01-27T08:30:00,2025-01-27T17:30:00,463.7,464.1,452.8,457.1,1737968398609,3505670804.832462,7682928.49450086,30
KRW-HBAR,2025-01-27T08:00:00,2025-01-27T17:00:00,468.2,468.2,460.4,463.7,1737966599157,2582379731.0444646,5571653.23997333,30
KRW-HBAR,2025-01-27T07:30:00,2025-01-27T16:30:00,450.9,471.2,450.9,468.2,1737964792302,5489005725.720008,11865389.05962096,30
KRW-HBAR,2025-01-27T07:00:00,2025-01-27T16:00:00,468.5,470.9,450,450.7,1737962999931,6270164908.041472,13586672.58906872,30
KRW-HBAR,2025-01-27T06:30:00,2025-01-27T15:30:00,471.9,471.9,465.1,468.5,1737961197930,5134844184.441962,10953387.56014709,30
KRW-HBAR,2025-01-27T06:00:00,2025-01-27T15:00:00,475.5,477.7,471.9,472.1,1737959398732,2746462850.356736,5799778.18453377,30
KRW-HBAR,2025-01-27T05:30:00,2025-01-27T14:30:00,478.3,478.6,473,475.5,1737957598185,2760805151.401083,5809169.25750935,30
KRW-HBAR,2025-01-27T05:00:00,2025-01-27T14:00:00,481.4,482.2,478,478.2,1737955794622,1713432138.2086558,3571796.78799873,30
KRW-HBAR,2025-01-27T04:30:00,2025-01-27T13:30:00,482.8,484.1,480,481.4,1737953999975,1404903567.8708787,2920824.1237224,30
KRW-HBAR,2025-01-27T04:00:00,2025-01-27T13:00:00,485.2,485.5,481.8,482.1,1737952176153,894514502.1972412,1852426.77129702,30
KRW-HBAR,2025-01-27T03:30:00,2025-01-27T12:30:00,487.8,487.8,485,485.7,1737950390904,677805942.4411963,1394840.74718137,30
KRW-HBAR,2025-01-27T03:00:00,2025-01-27T12:00:00,481.4,488.8,481.3,487.7,1737948597572,1172513822.5268362,2413471.49629188,30
KRW-HBAR,2025-01-27T02:30:00,2025-01-27T11:30:00,484.3,484.7,480.4,481.4,1737946793023,2011837863.0993767,4174924.28087389,30
KRW-HBAR,2025-01-27T02:00:00,2025-01-27T11:00:00,484.8,487.8,481.2,484.3,1737944997070,2080770915.6465175,4297835.2850405,30
KRW-HBAR,2025-01-27T01:30:00,2025-01-27T10:30:00,486.5,490.2,484.1,484.3,1737943199618,2192822807.409224,4501581.71195723,30
KRW-HBAR,2025-01-27T01:00:00,2025-01-27T10:00:00,489,491.3,482.1,486.5,1737941398830,3443994912.394602,7070360.90140252,30
KRW-HBAR,2025-01-27T00:30:00,2025-01-27T09:30:00,493.9,495.3,488.6,489,1737939598126,2644451464.011319,5381215.69922723,30
KRW-HBAR,2025-01-27T00:00:00,2025-01-27T09:00:00,492.8,498.1,490.2,493.8,1737937799785,3410901935.540384,6906408.62979715,30
KRW-HBAR,2025-01-26T23:30:00,2025-01-27T08:30:00,496.7,496.7,492.5,492.8,1737935999370,2091453642.4753978,4237050.70243735,30
KRW-HBAR,2025-01-26T23:00:00,2025-01-27T08:00:00,500.9,501.3,494,497.4,1737934198268,2435474673.833929,4902915.31967335,30
