market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-HIVE,2025-01-27T13:30:00,2025-01-27T22:30:00,629.8,636.5,629.1,633.1,1737984818954,239657238.50239685,378875.96563304,30
KRW-HIVE,2025-01-27T13:00:00,2025-01-27T22:00:00,635,636.2,626.6,628.1,1737984597287,2288728755.960359,3630798.58551269,30
KRW-HIVE,2025-01-27T12:30:00,2025-01-27T21:30:00,615.4,643.4,615,635,1737982799062,3969710982.434886,6249008.65878711,30
KRW-HIVE,2025-01-27T12:00:00,2025-01-27T21:00:00,621.6,625,615,615.4,1737980996062,1301309713.4034944,2102458.69645559,30
KRW-HIVE,2025-01-27T11:30:00,2025-01-27T20:30:00,620.6,630.8,618.6,621.6,1737979199250,1816767606.773138,2905793.12059277,30
KRW-HIVE,2025-01-27T11:00:00,2025-01-27T20:00:00,623.2,626.1,613.3,620.5,1737977397144,1935855906.9388757,3132263.49504092,30
KRW-HIVE,2025-01-27T10:30:00,2025-01-27T19:30:00,625.1,626.6,618,622.8,1737975597573,1059818179.253753,1702550.2604211,30
KRW-HIVE,2025-01-27T10:00:00,2025-01-27T19:00:00,630.3,630.7,623.8,625.2,1737973799424,1187664544.315759,1894206.6405434,30
KRW-HIVE,2025-01-27T09:30:00,2025-01-27T18:30:00,617.1,633,617,629.4,1737971999889,2143647571.1515276,3420102.88021765,30
KRW-HIVE,2025-01-27T09:00:00,2025-01-27T18:00:00,608.4,629.6,607.3,616.7,1737970199324,2552057646.8806434,4109185.48465197,30
KRW-HIVE,2025-01-27T08:30:00,2025-01-27T17:30:00,622.5,622.9,603.3,609.1,1737968399833,3081775593.0838623,5058830.98581795,30
KRW-HIVE,2025-01-27T08:00:00,2025-01-27T17:00:00,627.2,628.4,618.8,624,1737966598921,1803420447.7632122,2895126.32154282,30
KRW-HIVE,2025-01-27T07:30:00,2025-01-27T16:30:00,617.4,634.8,616.1,626.6,1737964800021,3779632757.290365,6013222.59448081,30
KRW-HIVE,2025-01-27T07:00:00,2025-01-27T16:00:00,636.3,638.7,615.9,617.4,1737962999853,5798260409.66913,9232421.98230524,30
