market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-HPO,2025-01-27T13:00:00,2025-01-27T22:00:00,93.56,94.5,93.44,93.98,1737984485528,117570423.65428989,1250223.6279127,30
KRW-HPO,2025-01-27T12:30:00,2025-01-27T21:30:00,92.36,94.3,92.35,93.56,1737982793987,76544409.74002537,819250.07611232,30
KRW-HPO,2025-01-27T12:00:00,2025-01-27T21:00:00,92.99,93,92.31,92.31,1737980942190,24128352.94647042,260363.68112108,30
KRW-HPO,2025-01-27T11:30:00,2025-01-27T20:30:00,92.43,93.13,91.95,92.98,1737979195020,28320591.00362682,305690.01751317,30
KRW-HPO,2025-01-27T11:00:00,2025-01-27T20:00:00,91.6,92.2,91.36,92.2,1737977398497,202771961.7346501,2212514.9349007,30
KRW-HPO,2025-01-27T10:30:00,2025-01-27T19:30:00,94.03,94.33,91.29,91.61,1737975579757,253340138.62766072,2733760.15858041,30
KRW-HPO,2025-01-27T10:00:00,2025-01-27T19:00:00,93.42,94.34,93.42,94.03,1737973783029,79735369.96750562,848327.01525843,30
KRW-HPO,2025-01-27T09:30:00,2025-01-27T18:30:00,92.97,94.29,92.63,93.5,1737971972704,83441033.66318361,890041.31515079,30
KRW-HPO,2025-01-27T09:00:00,2025-01-27T18:00:00,92.22,93.35,91.88,93.17,1737970162074,52191636.50388429,563791.59982614,30
KRW-HPO,2025-01-27T08:30:00,2025-01-27T17:30:00,94.23,94.52,91.38,91.89,1737968364317,278450434.9320963,3008060.81049673,30
KRW-HPO,2025-01-27T08:00:00,2025-01-27T17:00:00,94.62,95.58,93.72,94.5,1737966599016,168603640.33779356,1787338.1796245,30
KRW-HPO,2025-01-27T07:30:00,2025-01-27T16:30:00,93.51,95.81,93.5,94.28,1737964777649,341195069.3160449,3621664.09825483,30
KRW-HPO,2025-01-27T07:00:00,2025-01-27T16:00:00,97.2,97.6,93.5,93.51,1737962996199,479496876.92407984,5030793.55706954,30
KRW-HPO,2025-01-27T06:30:00,2025-01-27T15:30:00,98.66,99.81,96.76,97.31,1737961197666,446623795.07469124,4566048.85889727,30
KRW-HPO,2025-01-27T06:00:00,2025-01-27T15:00:00,99.59,99.66,98.6,98.65,1737959393875,228713030.24012622,2309151.22400526,30
KRW-HPO,2025-01-27T05:30:00,2025-01-27T14:30:00,100.8,100.8,98.83,99.6,1737957577311,304543912.4198814,3058169.92264342,30
KRW-HPO,2025-01-27T05:00:00,2025-01-27T14:00:00,101.5,101.8,100.5,100.9,1737955795022,102584217.8089524,1014923.93639109,30
KRW-HPO,2025-01-27T04:30:00,2025-01-27T13:30:00,102.1,102.2,100.7,101.6,1737953994365,201100372.16569972,1984616.53603562,30
KRW-HPO,2025-01-27T04:00:00,2025-01-27T13:00:00,102.5,102.5,101.2,102,1737952177938,234244150.40719315,2301603.27839503,30
KRW-HPO,2025-01-27T03:30:00,2025-01-27T12:30:00,101.5,102.7,101.1,102.5,1737950396087,187238145.9633711,1832854.57373342,30
KRW-HPO,2025-01-27T03:00:00,2025-01-27T12:00:00,102,102.6,101.2,101.7,1737948573745,257158114.19376153,2517570.77491091,30
KRW-HPO,2025-01-27T02:30:00,2025-01-27T11:30:00,100.4,102.5,100.4,101.6,1737946784822,349950807.7746804,3436478.30349141,30
KRW-HPO,2025-01-27T02:00:00,2025-01-27T11:00:00,100.7,102.2,100,100.4,1737944981899,193065485.17902672,1918930.28264667,30
KRW-HPO,2025-01-27T01:30:00,2025-01-27T10:30:00,101.2,102.5,100.3,100.8,1737943197151,302381556.4015488,2983170.15677653,30
KRW-HPO,2025-01-27T01:00:00,2025-01-27T10:00:00,102.6,103,98.5,101.5,1737941386374,775255991.6135454,7715512.31880488,30
KRW-HPO,2025-01-27T00:30:00,2025-01-27T09:30:00,100.2,103.6,100.1,103,1737939591294,865645061.8904265,8456613.59234563,30
